frequency,raw
20.00,15.61
20.20,15.61
20.40,15.62
20.61,15.62
20.81,15.62
21.02,15.62
21.23,15.61
21.44,15.60
21.66,15.61
21.87,15.60
22.09,15.60
22.31,15.60
22.54,15.59
22.76,15.59
22.99,15.59
23.22,15.59
23.45,15.58
23.69,15.57
23.92,15.58
24.16,15.57
24.40,15.55
24.65,15.54
24.89,15.54
25.14,15.53
25.39,15.52
25.65,15.51
25.91,15.50
26.16,15.49
26.43,15.48
26.69,15.48
26.96,15.47
27.23,15.46
27.50,15.44
27.77,15.43
28.05,15.43
28.33,15.41
28.62,15.40
28.90,15.39
29.19,15.38
29.48,15.36
29.78,15.36
30.08,15.34
30.38,15.32
30.68,15.30
30.99,15.29
31.30,15.27
31.61,15.24
31.93,15.23
32.24,15.21
32.57,15.19
32.89,15.18
33.22,15.16
33.55,15.13
33.89,15.12
34.23,15.11
34.57,15.09
34.92,15.08
35.27,15.07
35.62,15.06
35.97,15.03
36.33,15.02
36.70,15.02
37.06,15.01
37.43,14.99
37.81,14.98
38.19,14.96
38.57,14.94
38.95,14.93
39.34,14.92
39.74,14.89
40.14,14.88
40.54,14.84
40.94,14.83
41.35,14.80
41.76,14.77
42.18,14.75
42.60,14.71
43.03,14.69
43.46,14.67
43.90,14.64
44.33,14.59
44.78,14.56
45.23,14.54
45.68,14.50
46.13,14.47
46.60,14.44
47.06,14.41
47.53,14.38
48.01,14.35
48.49,14.32
48.97,14.29
49.46,14.26
49.96,14.24
50.46,14.20
50.96,14.18
51.47,14.15
51.99,14.12
52.51,14.09
53.03,14.05
53.56,14.02
54.10,14.00
54.64,13.95
55.18,13.92
55.74,13.87
56.29,13.84
56.86,13.80
57.42,13.76
58.00,13.73
58.58,13.69
59.16,13.64
59.76,13.61
60.35,13.57
60.96,13.54
61.57,13.50
62.18,13.45
62.80,13.43
63.43,13.39
64.07,13.36
64.71,13.31
65.35,13.27
66.01,13.23
66.67,13.19
67.33,13.14
68.01,13.10
68.69,13.06
69.37,13.01
70.07,12.96
70.77,12.92
71.48,12.89
72.19,12.83
72.91,12.79
73.64,12.74
74.38,12.68
75.12,12.63
75.87,12.59
76.63,12.54
77.40,12.49
78.17,12.44
78.95,12.38
79.74,12.34
80.54,12.28
81.35,12.22
82.16,12.17
82.98,12.11
83.81,12.05
84.65,12.00
85.50,11.94
86.35,11.88
87.22,11.81
88.09,11.76
88.97,11.69
89.86,11.64
90.76,11.57
91.66,11.50
92.58,11.44
93.51,11.38
94.44,11.32
95.39,11.25
96.34,11.19
97.30,11.13
98.28,11.07
99.26,11.01
100.25,10.95
101.25,10.87
102.27,10.82
103.29,10.75
104.32,10.69
105.37,10.62
106.42,10.55
107.48,10.48
108.56,10.41
109.64,10.34
110.74,10.26
111.85,10.20
112.97,10.12
114.10,10.06
115.24,9.97
116.39,9.92
117.55,9.85
118.73,9.78
119.92,9.71
121.12,9.65
122.33,9.58
123.55,9.51
124.79,9.45
126.03,9.38
127.29,9.32
128.57,9.26
129.85,9.19
131.15,9.12
132.46,9.04
133.79,8.97
135.12,8.90
136.48,8.82
137.84,8.75
139.22,8.67
140.61,8.59
142.02,8.52
143.44,8.44
144.87,8.36
146.32,8.29
147.78,8.20
149.26,8.12
150.75,8.04
152.26,7.96
153.78,7.87
155.32,7.79
156.88,7.70
158.44,7.61
160.03,7.52
161.63,7.42
163.24,7.33
164.88,7.24
166.53,7.13
168.19,7.02
169.87,6.93
171.57,6.81
173.29,6.71
175.02,6.60
176.77,6.49
178.54,6.37
180.32,6.25
182.13,6.13
183.95,6.01
185.79,5.89
187.65,5.77
189.52,5.64
191.42,5.51
193.33,5.38
195.27,5.25
197.22,5.13
199.19,4.99
201.18,4.86
203.19,4.74
205.23,4.60
207.28,4.48
209.35,4.35
211.44,4.23
213.56,4.10
215.69,3.98
217.85,3.86
220.03,3.73
222.23,3.61
224.45,3.49
226.70,3.36
228.96,3.25
231.25,3.13
233.57,3.02
235.90,2.90
238.26,2.79
240.64,2.68
243.05,2.58
245.48,2.47
247.93,2.36
250.41,2.26
252.92,2.16
255.45,2.05
258.00,1.95
260.58,1.87
263.19,1.77
265.82,1.69
268.48,1.59
271.16,1.51
273.87,1.42
276.61,1.34
279.38,1.25
282.17,1.18
284.99,1.10
287.84,1.02
290.72,0.96
293.63,0.87
296.57,0.80
299.53,0.73
302.53,0.65
305.55,0.59
308.61,0.51
311.69,0.44
314.81,0.39
317.96,0.31
321.14,0.25
324.35,0.18
327.59,0.12
330.87,0.06
334.18,0.01
337.52,-0.06
340.90,-0.11
344.30,-0.17
347.75,-0.22
351.23,-0.26
354.74,-0.31
358.28,-0.37
361.87,-0.40
365.49,-0.45
369.14,-0.49
372.83,-0.53
376.56,-0.57
