frequency,raw
20.00,5.14
20.20,5.18
20.40,5.20
20.61,5.23
20.81,5.26
21.02,5.29
21.23,5.31
21.44,5.33
21.66,5.35
21.87,5.36
22.09,5.38
22.31,5.38
22.54,5.39
22.76,5.41
22.99,5.41
23.22,5.41
23.45,5.42
23.69,5.41
23.92,5.41
24.16,5.41
24.40,5.39
24.65,5.38
24.89,5.37
25.14,5.36
25.39,5.35
25.65,5.33
25.91,5.31
26.16,5.29
26.43,5.27
26.69,5.25
26.96,5.22
27.23,5.20
27.50,5.16
27.77,5.14
28.05,5.11
28.33,5.08
28.62,5.05
28.90,5.01
29.19,4.97
29.48,4.94
29.78,4.91
30.08,4.87
30.38,4.82
30.68,4.79
30.99,4.75
31.30,4.71
31.61,4.68
31.93,4.63
32.24,4.58
32.57,4.54
32.89,4.51
33.22,4.47
33.55,4.42
33.89,4.38
34.23,4.32
34.57,4.28
34.92,4.23
35.27,4.19
35.62,4.14
35.97,4.08
36.33,4.03
36.70,3.97
37.06,3.91
37.43,3.85
37.81,3.79
38.19,3.73
38.57,3.66
38.95,3.60
39.34,3.53
39.74,3.47
40.14,3.41
40.54,3.33
40.94,3.28
41.35,3.21
41.76,3.15
42.18,3.08
42.60,3.02
43.03,2.95
43.46,2.89
43.90,2.82
44.33,2.76
44.78,2.68
45.23,2.63
45.68,2.56
46.13,2.50
46.60,2.43
47.06,2.38
47.53,2.31
48.01,2.24
48.49,2.18
48.97,2.12
49.46,2.06
49.96,2.00
50.46,1.95
50.96,1.90
51.47,1.85
51.99,1.80
52.51,1.75
53.03,1.70
53.56,1.67
54.10,1.63
54.64,1.58
55.18,1.55
55.74,1.52
56.29,1.48
56.86,1.45
57.42,1.42
58.00,1.40
58.58,1.36
59.16,1.34
59.76,1.31
60.35,1.29
60.96,1.26
61.57,1.24
62.18,1.22
62.80,1.20
63.43,1.18
64.07,1.15
64.71,1.14
65.35,1.12
66.01,1.09
66.67,1.08
67.33,1.06
68.01,1.04
68.69,1.03
69.37,1.01
70.07,0.99
70.77,0.97
71.48,0.96
72.19,0.94
72.91,0.92
73.64,0.90
74.38,0.88
75.12,0.87
75.87,0.85
76.63,0.83
77.40,0.81
78.17,0.80
78.95,0.80
79.74,0.78
80.54,0.78
81.35,0.78
82.16,0.77
82.98,0.76
83.81,0.76
84.65,0.74
85.50,0.74
86.35,0.73
87.22,0.72
88.09,0.72
88.97,0.71
89.86,0.70
90.76,0.70
91.66,0.68
92.58,0.68
93.51,0.67
94.44,0.67
95.39,0.66
96.34,0.65
97.30,0.64
98.28,0.65
99.26,0.64
100.25,0.64
101.25,0.63
102.27,0.63
103.29,0.62
104.32,0.62
105.37,0.61
106.42,0.60
107.48,0.60
108.56,0.59
109.64,0.57
110.74,0.56
111.85,0.55
112.97,0.53
114.10,0.51
115.24,0.50
116.39,0.49
117.55,0.47
118.73,0.45
119.92,0.44
121.12,0.42
122.33,0.41
123.55,0.40
124.79,0.37
126.03,0.36
127.29,0.34
128.57,0.33
129.85,0.31
131.15,0.28
132.46,0.27
133.79,0.24
135.12,0.21
136.48,0.18
137.84,0.14
139.22,0.12
140.61,0.09
142.02,0.07
143.44,0.03
144.87,0.01
146.32,-0.02
147.78,-0.06
149.26,-0.08
150.75,-0.13
152.26,-0.16
153.78,-0.19
155.32,-0.22
156.88,-0.25
158.44,-0.29
160.03,-0.31
161.63,-0.34
163.24,-0.35
164.88,-0.37
166.53,-0.39
168.19,-0.41
169.87,-0.42
171.57,-0.42
173.29,-0.44
175.02,-0.44
176.77,-0.46
178.54,-0.46
180.32,-0.47
182.13,-0.47
183.95,-0.48
185.79,-0.48
187.65,-0.48
189.52,-0.50
191.42,-0.49
193.33,-0.49
195.27,-0.50
197.22,-0.50
199.19,-0.51
201.18,-0.51
203.19,-0.52
205.23,-0.53
207.28,-0.54
209.35,-0.55
211.44,-0.55
213.56,-0.57
215.69,-0.58
217.85,-0.59
220.03,-0.60
222.23,-0.60
224.45,-0.60
226.70,-0.60
228.96,-0.59
231.25,-0.59
233.57,-0.58
235.90,-0.58
238.26,-0.55
240.64,-0.55
243.05,-0.53
245.48,-0.53
247.93,-0.52
250.41,-0.49
252.92,-0.49
255.45,-0.48
258.00,-0.46
260.58,-0.44
263.19,-0.42
265.82,-0.40
268.48,-0.40
271.16,-0.37
273.87,-0.36
276.61,-0.34
279.38,-0.32
282.17,-0.31
284.99,-0.30
287.84,-0.29
290.72,-0.27
293.63,-0.26
296.57,-0.26
299.53,-0.26
302.53,-0.25
305.55,-0.25
308.61,-0.24
311.69,-0.24
314.81,-0.23
317.96,-0.24
321.14,-0.23
324.35,-0.24
327.59,-0.23
330.87,-0.24
334.18,-0.23
337.52,-0.23
340.90,-0.23
344.30,-0.22
347.75,-0.22
351.23,-0.21
354.74,-0.20
358.28,-0.22
361.87,-0.22
365.49,-0.23
369.14,-0.24
372.83,-0.24
376.56,-0.25
380.33,-0.27
384.13,-0.28
387.97,-0.30
391.85,-0.32
395.77,-0.34
399.73,-0.36
403.72,-0.38
407.76,-0.41
411.84,-0.44
415.96,-0.45
420.12,-0.48
424.32,-0.51
428.56,-0.52
432.85,-0.54
437.18,-0.56
441.55,-0.56
445.96,-0.58
450.42,-0.58
454.93,-0.58
459.48,-0.57
464.07,-0.57
468.71,-0.56
473.40,-0.56
478.13,-0.55
482.91,-0.55
487.74,-0.55
492.62,-0.54
497.55,-0.55
502.52,-0.56
507.55,-0.57
512.62,-0.57
517.75,-0.58
522.93,-0.59
528.16,-0.60
533.44,-0.60
538.77,-0.61
544.16,-0.61
549.60,-0.61
555.10,-0.60
560.65,-0.58
566.25,-0.56
571.92,-0.53
577.64,-0.51
583.41,-0.48
589.25,-0.45
595.14,-0.43
601.09,-0.41
607.10,-0.37
613.17,-0.36
619.30,-0.32
625.50,-0.29
631.75,-0.28
638.07,-0.26
644.45,-0.23
650.89,-0.21
657.40,-0.18
663.98,-0.16
670.62,-0.13
677.32,-0.11
684.10,-0.09
690.94,-0.07
697.85,-0.05
704.83,-0.03
711.87,-0.02
718.99,0.00
726.18,0.00
733.44,0.01
740.78,0.02
748.19,0.02
755.67,0.03
763.23,0.04
770.86,0.03
778.57,0.03
786.35,0.03
794.22,0.03
802.16,0.03
810.18,0.01
818.28,0.02
826.46,0.01
834.73,0.02
843.08,0.02
851.51,0.01
860.02,0.00
868.62,0.02
877.31,0.01
886.08,0.01
894.94,0.02
903.89,0.01
912.93,0.02
922.06,0.02
931.28,0.01
940.59,0.02
950.00,0.02
959.50,0.01
969.09,0.01
978.78,0.01
988.57,-0.00
998.46,-0.01
1008.44,-0.01
1018.53,-0.01
1028.71,-0.02
1039.00,-0.02
1049.39,-0.03
1059.88,-0.03
1070.48,-0.05
1081.19,-0.07
1092.00,-0.07
1102.92,-0.09
1113.95,-0.11
1125.09,-0.13
1136.34,-0.16
1147.70,-0.18
1159.18,-0.21
1170.77,-0.24
1182.48,-0.27
1194.30,-0.29
1206.25,-0.32
1218.31,-0.35
1230.49,-0.38
