frequency,raw
20.00,-5.62
20.20,-5.55
20.40,-5.50
20.61,-5.43
20.81,-5.37
21.02,-5.30
21.23,-5.24
21.44,-5.18
21.66,-5.12
21.87,-5.08
22.09,-5.02
22.31,-4.97
22.54,-4.92
22.76,-4.85
22.99,-4.80
23.22,-4.73
23.45,-4.66
23.69,-4.59
23.92,-4.52
24.16,-4.45
24.40,-4.40
24.65,-4.34
24.89,-4.28
25.14,-4.23
25.39,-4.17
25.65,-4.12
25.91,-4.05
26.16,-3.98
26.43,-3.90
26.69,-3.83
26.96,-3.75
27.23,-3.68
27.50,-3.62
27.77,-3.57
28.05,-3.51
28.33,-3.47
28.62,-3.42
28.90,-3.39
29.19,-3.35
29.48,-3.31
29.78,-3.27
30.08,-3.22
30.38,-3.18
30.68,-3.12
30.99,-3.06
31.30,-3.00
31.61,-2.93
31.93,-2.87
32.24,-2.82
32.57,-2.75
32.89,-2.69
33.22,-2.63
33.55,-2.58
33.89,-2.54
34.23,-2.50
34.57,-2.45
34.92,-2.40
35.27,-2.35
35.62,-2.29
35.97,-2.24
36.33,-2.18
36.70,-2.13
37.06,-2.09
37.43,-2.05
37.81,-2.01
38.19,-1.98
38.57,-1.96
38.95,-1.92
39.34,-1.90
39.74,-1.86
40.14,-1.83
40.54,-1.81
40.94,-1.77
41.35,-1.74
41.76,-1.72
42.18,-1.69
42.60,-1.65
43.03,-1.63
43.46,-1.59
43.90,-1.56
44.33,-1.52
44.78,-1.49
45.23,-1.44
45.68,-1.42
46.13,-1.38
46.60,-1.35
47.06,-1.31
47.53,-1.29
48.01,-1.26
48.49,-1.24
48.97,-1.23
49.46,-1.21
49.96,-1.19
50.46,-1.16
50.96,-1.13
51.47,-1.11
51.99,-1.09
52.51,-1.06
53.03,-1.04
53.56,-1.01
54.10,-0.98
54.64,-0.97
55.18,-0.95
55.74,-0.94
56.29,-0.93
56.86,-0.91
57.42,-0.90
58.00,-0.89
58.58,-0.89
59.16,-0.87
59.76,-0.86
60.35,-0.85
60.96,-0.84
61.57,-0.83
62.18,-0.81
62.80,-0.80
63.43,-0.80
64.07,-0.79
64.71,-0.78
65.35,-0.78
66.01,-0.77
66.67,-0.75
67.33,-0.73
68.01,-0.73
68.69,-0.70
69.37,-0.69
70.07,-0.68
70.77,-0.67
71.48,-0.65
72.19,-0.64
72.91,-0.62
73.64,-0.61
74.38,-0.58
75.12,-0.56
75.87,-0.53
76.63,-0.51
77.40,-0.48
78.17,-0.45
78.95,-0.41
79.74,-0.39
80.54,-0.35
81.35,-0.32
82.16,-0.30
82.98,-0.28
83.81,-0.25
84.65,-0.24
85.50,-0.21
86.35,-0.19
87.22,-0.17
88.09,-0.15
88.97,-0.13
89.86,-0.11
90.76,-0.09
91.66,-0.08
92.58,-0.06
93.51,-0.04
94.44,-0.02
95.39,-0.00
96.34,0.01
97.30,0.03
98.28,0.05
99.26,0.08
100.25,0.10
101.25,0.12
102.27,0.14
103.29,0.16
104.32,0.18
105.37,0.20
106.42,0.22
107.48,0.25
108.56,0.27
109.64,0.30
110.74,0.32
111.85,0.35
112.97,0.38
114.10,0.39
115.24,0.42
116.39,0.44
117.55,0.46
118.73,0.48
119.92,0.51
121.12,0.52
122.33,0.54
123.55,0.56
124.79,0.58
126.03,0.60
127.29,0.61
128.57,0.64
129.85,0.65
131.15,0.66
132.46,0.68
133.79,0.69
135.12,0.69
136.48,0.70
137.84,0.69
139.22,0.70
140.61,0.70
142.02,0.71
143.44,0.70
144.87,0.70
146.32,0.71
147.78,0.70
149.26,0.71
150.75,0.70
152.26,0.70
153.78,0.71
155.32,0.72
156.88,0.73
158.44,0.74
160.03,0.75
161.63,0.74
163.24,0.74
164.88,0.73
166.53,0.70
168.19,0.67
169.87,0.63
171.57,0.61
173.29,0.58
175.02,0.57
176.77,0.55
178.54,0.57
180.32,0.58
182.13,0.59
