frequency,raw
20.00,-7.53
20.20,-7.43
20.40,-7.36
20.61,-7.25
20.81,-7.16
21.02,-7.06
21.23,-6.97
21.44,-6.87
21.66,-6.77
21.87,-6.68
22.09,-6.57
22.31,-6.48
22.54,-6.38
22.76,-6.27
22.99,-6.18
23.22,-6.08
23.45,-5.98
23.69,-5.88
23.92,-5.79
24.16,-5.69
24.40,-5.60
24.65,-5.50
24.89,-5.41
25.14,-5.30
25.39,-5.20
25.65,-5.11
25.91,-5.01
26.16,-4.90
26.43,-4.81
26.69,-4.71
26.96,-4.61
27.23,-4.51
27.50,-4.42
27.77,-4.32
28.05,-4.22
28.33,-4.13
28.62,-4.02
28.90,-3.94
29.19,-3.85
29.48,-3.75
29.78,-3.66
30.08,-3.56
30.38,-3.49
30.68,-3.39
30.99,-3.29
31.30,-3.21
31.61,-3.12
31.93,-3.04
32.24,-2.97
32.57,-2.88
32.89,-2.80
33.22,-2.71
33.55,-2.63
33.89,-2.55
34.23,-2.48
34.57,-2.40
34.92,-2.33
35.27,-2.25
35.62,-2.18
35.97,-2.12
36.33,-2.04
36.70,-1.97
37.06,-1.90
37.43,-1.83
37.81,-1.76
38.19,-1.70
38.57,-1.63
38.95,-1.56
39.34,-1.50
39.74,-1.44
40.14,-1.37
40.54,-1.32
40.94,-1.24
41.35,-1.18
41.76,-1.12
42.18,-1.06
42.60,-1.00
43.03,-0.94
43.46,-0.88
43.90,-0.82
44.33,-0.76
44.78,-0.71
45.23,-0.65
45.68,-0.61
46.13,-0.55
46.60,-0.51
47.06,-0.45
47.53,-0.41
48.01,-0.37
48.49,-0.33
48.97,-0.29
49.46,-0.26
49.96,-0.22
50.46,-0.18
50.96,-0.14
51.47,-0.11
51.99,-0.08
52.51,-0.05
53.03,-0.02
53.56,0.01
54.10,0.04
54.64,0.06
55.18,0.08
55.74,0.11
56.29,0.12
56.86,0.14
57.42,0.16
58.00,0.18
58.58,0.18
59.16,0.20
59.76,0.21
60.35,0.22
60.96,0.22
61.57,0.23
62.18,0.24
62.80,0.25
63.43,0.26
64.07,0.25
64.71,0.26
65.35,0.26
66.01,0.26
66.67,0.26
67.33,0.27
68.01,0.26
68.69,0.27
69.37,0.26
70.07,0.26
70.77,0.26
71.48,0.26
72.19,0.25
72.91,0.25
73.64,0.24
74.38,0.23
75.12,0.23
75.87,0.23
76.63,0.21
77.40,0.20
78.17,0.19
78.95,0.19
79.74,0.18
80.54,0.17
81.35,0.17
82.16,0.15
82.98,0.13
83.81,0.13
84.65,0.10
85.50,0.08
86.35,0.06
87.22,0.03
88.09,0.01
88.97,-0.02
89.86,-0.05
90.76,-0.08
91.66,-0.12
92.58,-0.16
93.51,-0.19
94.44,-0.23
95.39,-0.27
96.34,-0.32
97.30,-0.36
98.28,-0.40
99.26,-0.44
100.25,-0.48
101.25,-0.53
102.27,-0.57
103.29,-0.62
104.32,-0.66
105.37,-0.71
106.42,-0.76
107.48,-0.80
108.56,-0.84
109.64,-0.89
110.74,-0.94
111.85,-0.97
112.97,-1.02
114.10,-1.07
115.24,-1.11
116.39,-1.16
117.55,-1.21
118.73,-1.26
119.92,-1.31
121.12,-1.37
122.33,-1.42
123.55,-1.47
124.79,-1.53
126.03,-1.58
127.29,-1.63
128.57,-1.68
129.85,-1.74
131.15,-1.80
132.46,-1.85
133.79,-1.91
135.12,-1.98
136.48,-2.04
137.84,-2.12
139.22,-2.18
140.61,-2.25
142.02,-2.31
143.44,-2.39
144.87,-2.46
146.32,-2.52
147.78,-2.60
149.26,-2.66
150.75,-2.74
152.26,-2.81
153.78,-2.86
155.32,-2.93
156.88,-3.00
158.44,-3.07
160.03,-3.13
161.63,-3.21
163.24,-3.26
164.88,-3.33
166.53,-3.41
168.19,-3.48
169.87,-3.56
171.57,-3.63
173.29,-3.71
175.02,-3.77
176.77,-3.86
178.54,-3.92
180.32,-3.99
182.13,-4.06
183.95,-4.13
185.79,-4.19
187.65,-4.26
189.52,-4.34
191.42,-4.39
193.33,-4.45
195.27,-4.52
197.22,-4.58
199.19,-4.63
201.18,-4.68
203.19,-4.74
205.23,-4.81
207.28,-4.85
209.35,-4.91
211.44,-4.96
213.56,-5.01
215.69,-5.08
217.85,-5.13
220.03,-5.18
222.23,-5.21
224.45,-5.24
226.70,-5.27
228.96,-5.27
231.25,-5.27
233.57,-5.24
235.90,-5.22
238.26,-5.17
240.64,-5.15
243.05,-5.11
245.48,-5.11
247.93,-5.12
250.41,-5.13
252.92,-5.19
255.45,-5.25
258.00,-5.33
260.58,-5.39
263.19,-5.45
265.82,-5.49
268.48,-5.52
271.16,-5.49
273.87,-5.45
276.61,-5.38
279.38,-5.28
282.17,-5.20
284.99,-5.12
287.84,-5.08
290.72,-5.05
293.63,-5.05
296.57,-5.11
299.53,-5.20
302.53,-5.31
305.55,-5.44
308.61,-5.57
311.69,-5.71
314.81,-5.84
317.96,-5.97
321.14,-6.07
324.35,-6.18
327.59,-6.25
330.87,-6.32
334.18,-6.38
337.52,-6.42
340.90,-6.47
344.30,-6.51
347.75,-6.55
351.23,-6.58
354.74,-6.61
358.28,-6.66
361.87,-6.70
365.49,-6.74
369.14,-6.78
372.83,-6.82
376.56,-6.86
380.33,-6.92
384.13,-6.97
387.97,-7.04
391.85,-7.11
395.77,-7.17
399.73,-7.24
403.72,-7.30
407.76,-7.37
411.84,-7.43
415.96,-7.46
420.12,-7.51
424.32,-7.54
428.56,-7.57
432.85,-7.60
437.18,-7.63
441.55,-7.64
445.96,-7.67
450.42,-7.72
454.93,-7.78
459.48,-7.83
464.07,-7.90
468.71,-7.98
473.40,-8.07
478.13,-8.18
482.91,-8.32
487.74,-8.46
492.62,-8.62
497.55,-8.79
502.52,-8.98
507.55,-9.16
512.62,-9.35
517.75,-9.53
522.93,-9.72
528.16,-9.91
533.44,-10.10
538.77,-10.32
544.16,-10.56
549.60,-10.82
555.10,-11.11
560.65,-11.43
566.25,-11.77
571.92,-12.11
577.64,-12.48
583.41,-12.83
589.25,-13.16
595.14,-13.49
601.09,-13.77
607.10,-14.02
613.17,-14.26
619.30,-14.44
625.50,-14.60
631.75,-14.76
638.07,-14.86
644.45,-14.92
650.89,-14.95
657.40,-14.93
663.98,-14.87
670.62,-14.76
677.32,-14.60
684.10,-14.40
690.94,-14.16
697.85,-13.88
704.83,-13.55
711.87,-13.21
718.99,-12.83
726.18,-12.43
733.44,-12.00
740.78,-11.56
748.19,-11.10
755.67,-10.63
763.23,-10.16
770.86,-9.69
778.57,-9.23
786.35,-8.76
794.22,-8.30
802.16,-7.84
810.18,-7.39
818.28,-6.94
826.46,-6.50
834.73,-6.07
843.08,-5.64
851.51,-5.23
860.02,-4.83
868.62,-4.43
877.31,-4.05
886.08,-3.68
894.94,-3.31
903.89,-2.96
912.93,-2.61
922.06,-2.28
931.28,-1.96
940.59,-1.64
950.00,-1.35
959.50,-1.06
969.09,-0.79
978.78,-0.53
988.57,-0.27
998.46,-0.04
1008.44,0.18
1018.53,0.39
1028.71,0.58
1039.00,0.77
1049.39,0.93
1059.88,1.08
1070.48,1.20
1081.19,1.30
1092.00,1.41
1102.92,1.49
1113.95,1.56
1125.09,1.61
1136.34,1.64
1147.70,1.66
1159.18,1.66
1170.77,1.65
1182.48,1.62
1194.30,1.58
1206.25,1.52
1218.31,1.44
1230.49,1.36
1242.80,1.27
1255.22,1.20
1267.78,1.13
1280.45,1.07
1293.26,1.03
1306.19,1.01
1319.25,0.98
1332.45,0.96
1345.77,0.92
1359.23,0.87
1372.82,0.82
1386.55,0.73
1400.41,0.64
1414.42,0.52
1428.56,0.40
1442.85,0.29
1457.28,0.15
1471.85,0.03
1486.57,-0.09
1501.43,-0.21
1516.45,-0.34
1531.61,-0.47
1546.93,-0.59
1562.40,-0.71
1578.02,-0.84
1593.80,-0.96
1609.74,-1.08
1625.84,-1.19
1642.10,-1.31
1658.52,-1.43
1675.10,-1.52
1691.85,-1.62
1708.77,-1.71
1725.86,-1.80
1743.12,-1.90
1760.55,-1.99
1778.15,-2.08
1795.94,-2.19
1813.90,-2.28
1832.03,-2.38
1850.36,-2.48
1868.86,-2.59
1887.55,-2.71
1906.42,-2.83
1925.49,-2.96
1944.74,-3.09
1964.19,-3.22
1983.83,-3.35
2003.67,-3.47
2023.71,-3.53
2043.94,-3.55
2064.38,-3.53
2085.03,-3.42
2105.88,-3.25
2126.94,-3.04
2148.20,-2.77
2169.69,-2.50
2191.38,-2.22
2213.30,-1.96
2235.43,-1.75
2257.78,-1.56
2280.36,-1.41
2303.17,-1.32
2326.20,-1.24
2349.46,-1.20
2372.95,-1.16
2396.68,-1.13
2420.65,-1.09
2444.86,-1.03
2469.31,-0.97
2494.00,-0.89
2518.94,-0.80
2544.13,-0.68
2569.57,-0.57
2595.27,-0.45
2621.22,-0.34
2647.43,-0.24
2673.90,-0.15
2700.64,-0.08
2727.65,-0.02
2754.93,0.02
2782.48,0.05
2810.30,0.05
2838.40,0.05
2866.79,0.04
2895.46,0.00
2924.41,-0.03
2953.65,-0.07
2983.19,-0.13
3013.02,-0.19
3043.15,-0.23
3073.58,-0.30
3104.32,-0.36
3135.36,-0.44
3166.72,-0.51
3198.38,-0.58
3230.37,-0.65
3262.67,-0.73
3295.30,-0.82
3328.25,-0.91
3361.53,-1.02
3395.15,-1.13
3429.10,-1.25
3463.39,-1.37
3498.03,-1.53
3533.01,-1.69
3568.34,-1.84
3604.02,-2.03
3640.06,-2.21
3676.46,-2.40
3713.22,-2.60
3750.36,-2.79
3787.86,-3.00
3825.74,-3.23
3864.00,-3.46
3902.64,-3.72
3941.66,-4.03
3981.08,-4.35
4020.89,-4.71
4061.10,-5.08
4101.71,-5.49
4142.73,-5.87
4184.15,-6.26
4226.00,-6.58
4268.26,-6.85
4310.94,-7.08
4354.05,-7.23
4397.59,-7.36
4441.56,-7.47
4485.98,-7.55
4530.84,-7.62
4576.15,-7.66
4621.91,-7.64
4668.13,-7.54
4714.81,-7.36
4761.96,-7.11
4809.58,-6.64
4857.67,-6.08
4906.25,-5.43
4955.31,-4.61
5004.87,-3.74
5054.91,-2.85
5105.46,-1.97
5156.52,-1.16
5208.08,-0.41
5260.16,0.24
5312.77,0.74
5365.89,1.14
5419.55,1.42
5473.75,1.57
5528.49,1.68
5583.77,1.71
5639.61,1.74
5696.00,1.78
5752.96,1.81
5810.49,1.86
5868.60,1.91
5927.28,1.93
5986.56,1.94
6046.42,1.90
6106.89,1.85
6167.96,1.76
6229.64,1.64
6291.93,1.52
6354.85,1.39
6418.40,1.27
6482.58,1.19
6547.41,1.10
6612.88,1.07
6679.01,1.05
6745.80,1.04
6813.26,1.04
6881.39,1.02
6950.21,0.99
7019.71,0.94
7089.91,0.87
7160.81,0.76
7232.41,0.64
7304.74,0.49
7377.79,0.30
7451.56,0.12
7526.08,-0.11
7601.34,-0.34
7677.35,-0.63
7754.13,-0.92
7831.67,-1.26
7909.98,-1.63
7989.08,-2.02
8068.98,-2.42
8149.67,-2.86
8231.16,-3.30
8313.47,-3.74
8396.61,-4.18
8480.57,-4.61
8565.38,-5.09
8651.03,-5.58
8737.54,-6.09
8824.92,-6.71
8913.17,-7.36
9002.30,-7.99
9092.32,-8.70
9183.25,-9.40
9275.08,-10.05
9367.83,-10.65
9461.51,-11.16
9556.12,-11.59
9651.68,-11.91
9748.20,-12.12
9845.68,-12.23
9944.14,-12.28
10043.58,-12.23
10144.02,-12.11
10245.46,-11.95
10347.91,-11.72
10451.39,-11.44
10555.91,-11.15
10661.46,-10.81
10768.08,-10.44
10875.76,-10.08
10984.52,-9.71
11094.36,-9.33
11205.31,-8.96
11317.36,-8.57
11430.53,-8.17
11544.84,-7.75
11660.29,-7.32
11776.89,-6.92
11894.66,-6.52
12013.60,-6.13
12133.74,-5.85
12255.08,-5.65
12377.63,-5.50
12501.41,-5.47
12626.42,-5.54
12752.68,-5.69
12880.21,-5.91
13009.01,-6.16
13139.10,-6.43
13270.49,-6.73
13403.20,-6.95
13537.23,-7.15
13672.60,-7.34
13809.33,-7.41
13947.42,-7.44
14086.90,-7.44
14227.77,-7.37
14370.04,-7.30
14513.74,-7.23
14658.88,-7.20
14805.47,-7.27
14953.52,-7.38
15103.06,-7.58
15254.09,-7.96
15406.63,-8.38
15560.70,-8.90
15716.30,-9.56
15873.47,-10.27
16032.20,-11.04
16192.52,-11.89
16354.45,-12.76
16517.99,-13.66
16683.17,-14.52
16850.01,-15.34
17018.51,-16.10
17188.69,-16.75
17360.58,-17.28
17534.18,-17.77
17709.53,-18.17
17886.62,-18.47
18065.49,-18.60
18246.14,-18.70
18428.60,-18.87
18612.89,-19.06
18799.02,-19.27
18987.01,-19.50
19176.88,-19.71
19368.65,-19.87
19562.33,-19.98
19757.96,-20.04
19955.54,-20.09
