frequency,raw
20.00,1.77
20.20,1.82
20.40,1.86
20.61,1.93
20.81,1.98
21.02,2.03
21.23,2.09
21.44,2.14
21.66,2.19
21.87,2.24
22.09,2.30
22.31,2.34
22.54,2.40
22.76,2.45
22.99,2.50
23.22,2.54
23.45,2.60
23.69,2.65
23.92,2.70
24.16,2.76
24.40,2.81
24.65,2.87
24.89,2.93
25.14,2.99
25.39,3.04
25.65,3.09
25.91,3.14
26.16,3.20
26.43,3.25
26.69,3.30
26.96,3.35
27.23,3.40
27.50,3.44
27.77,3.49
28.05,3.55
28.33,3.60
28.62,3.65
28.90,3.69
29.19,3.73
29.48,3.78
29.78,3.83
30.08,3.88
30.38,3.91
30.68,3.96
30.99,4.01
31.30,4.05
31.61,4.09
31.93,4.12
32.24,4.14
32.57,4.18
32.89,4.21
33.22,4.25
33.55,4.28
33.89,4.31
34.23,4.33
34.57,4.37
34.92,4.40
35.27,4.43
35.62,4.46
35.97,4.48
36.33,4.51
36.70,4.53
37.06,4.56
37.43,4.59
37.81,4.61
38.19,4.63
38.57,4.65
38.95,4.68
39.34,4.69
39.74,4.71
40.14,4.73
40.54,4.73
40.94,4.75
41.35,4.76
41.76,4.77
42.18,4.78
42.60,4.79
43.03,4.78
43.46,4.79
43.90,4.80
44.33,4.80
44.78,4.79
45.23,4.80
45.68,4.80
46.13,4.80
46.60,4.79
47.06,4.79
47.53,4.78
48.01,4.77
48.49,4.76
48.97,4.75
49.46,4.74
49.96,4.72
50.46,4.72
50.96,4.71
51.47,4.69
51.99,4.68
52.51,4.66
53.03,4.65
53.56,4.65
54.10,4.64
54.64,4.61
55.18,4.60
55.74,4.58
56.29,4.56
56.86,4.55
57.42,4.54
58.00,4.52
58.58,4.49
59.16,4.48
59.76,4.46
60.35,4.45
60.96,4.42
61.57,4.41
62.18,4.40
62.80,4.39
63.43,4.37
64.07,4.36
64.71,4.35
65.35,4.33
66.01,4.32
66.67,4.31
67.33,4.31
68.01,4.29
68.69,4.29
69.37,4.27
70.07,4.26
70.77,4.25
71.48,4.24
72.19,4.23
72.91,4.22
73.64,4.20
74.38,4.18
75.12,4.17
75.87,4.16
76.63,4.13
77.40,4.11
78.17,4.10
78.95,4.08
79.74,4.05
80.54,4.03
81.35,4.01
82.16,3.98
82.98,3.94
83.81,3.92
84.65,3.87
85.50,3.83
86.35,3.78
87.22,3.73
88.09,3.68
88.97,3.63
89.86,3.57
90.76,3.51
91.66,3.44
92.58,3.38
93.51,3.31
94.44,3.25
95.39,3.17
96.34,3.09
97.30,3.02
98.28,2.95
99.26,2.87
100.25,2.79
101.25,2.71
102.27,2.63
103.29,2.55
104.32,2.47
105.37,2.39
106.42,2.29
107.48,2.22
108.56,2.14
109.64,2.05
110.74,1.96
111.85,1.88
112.97,1.79
114.10,1.70
115.24,1.62
116.39,1.53
117.55,1.44
118.73,1.36
119.92,1.27
121.12,1.18
122.33,1.10
123.55,1.02
124.79,0.93
126.03,0.86
127.29,0.77
128.57,0.70
129.85,0.63
131.15,0.54
132.46,0.48
133.79,0.41
135.12,0.33
136.48,0.26
137.84,0.18
139.22,0.11
140.61,0.05
142.02,-0.02
143.44,-0.10
144.87,-0.16
146.32,-0.23
147.78,-0.31
149.26,-0.38
150.75,-0.46
152.26,-0.54
153.78,-0.62
155.32,-0.70
156.88,-0.79
158.44,-0.89
160.03,-0.98
161.63,-1.08
163.24,-1.17
164.88,-1.26
166.53,-1.37
168.19,-1.47
169.87,-1.58
171.57,-1.67
173.29,-1.78
175.02,-1.86
176.77,-1.96
178.54,-2.05
180.32,-2.13
182.13,-2.22
183.95,-2.30
185.79,-2.37
187.65,-2.45
189.52,-2.54
191.42,-2.60
193.33,-2.67
195.27,-2.75
197.22,-2.82
199.19,-2.89
201.18,-2.95
203.19,-3.03
205.23,-3.11
207.28,-3.17
209.35,-3.24
211.44,-3.31
213.56,-3.38
215.69,-3.47
217.85,-3.54
220.03,-3.63
222.23,-3.70
224.45,-3.79
226.70,-3.89
228.96,-3.97
231.25,-4.07
233.57,-4.16
235.90,-4.26
238.26,-4.34
240.64,-4.43
243.05,-4.51
245.48,-4.60
247.93,-4.67
250.41,-4.73
252.92,-4.80
255.45,-4.87
258.00,-4.93
260.58,-4.97
263.19,-5.02
265.82,-5.06
268.48,-5.11
271.16,-5.14
273.87,-5.18
276.61,-5.20
279.38,-5.22
282.17,-5.24
284.99,-5.25
287.84,-5.28
290.72,-5.28
293.63,-5.30
296.57,-5.32
299.53,-5.34
302.53,-5.35
305.55,-5.38
308.61,-5.39
311.69,-5.41
314.81,-5.41
317.96,-5.41
321.14,-5.39
324.35,-5.38
327.59,-5.32
330.87,-5.26
334.18,-5.18
337.52,-5.08
340.90,-4.98
344.30,-4.86
347.75,-4.74
351.23,-4.61
354.74,-4.48
358.28,-4.36
361.87,-4.24
365.49,-4.12
369.14,-4.00
372.83,-3.88
376.56,-3.75
380.33,-3.66
384.13,-3.54
387.97,-3.43
391.85,-3.32
395.77,-3.21
399.73,-3.10
403.72,-2.98
407.76,-2.88
411.84,-2.77
415.96,-2.64
420.12,-2.52
424.32,-2.41
428.56,-2.28
432.85,-2.16
437.18,-2.03
441.55,-1.90
445.96,-1.78
450.42,-1.64
454.93,-1.51
459.48,-1.37
464.07,-1.24
468.71,-1.11
473.40,-0.98
478.13,-0.85
482.91,-0.73
487.74,-0.62
492.62,-0.49
497.55,-0.38
502.52,-0.28
507.55,-0.18
512.62,-0.08
517.75,0.01
522.93,0.10
528.16,0.18
533.44,0.27
538.77,0.34
544.16,0.40
549.60,0.47
555.10,0.53
560.65,0.59
566.25,0.64
571.92,0.70
577.64,0.73
583.41,0.77
589.25,0.81
595.14,0.82
601.09,0.85
607.10,0.87
613.17,0.88
619.30,0.89
625.50,0.91
631.75,0.90
638.07,0.90
644.45,0.90
650.89,0.90
657.40,0.89
663.98,0.88
670.62,0.88
677.32,0.87
684.10,0.84
690.94,0.83
697.85,0.81
704.83,0.79
711.87,0.76
718.99,0.74
726.18,0.70
733.44,0.67
740.78,0.64
748.19,0.60
755.67,0.58
763.23,0.54
770.86,0.51
778.57,0.47
786.35,0.43
794.22,0.40
802.16,0.36
810.18,0.32
818.28,0.29
826.46,0.25
834.73,0.23
843.08,0.21
851.51,0.18
860.02,0.15
868.62,0.14
877.31,0.11
886.08,0.09
894.94,0.08
903.89,0.06
912.93,0.05
922.06,0.04
931.28,0.02
940.59,0.02
950.00,0.01
959.50,0.00
969.09,-0.01
978.78,-0.01
988.57,-0.01
998.46,-0.01
1008.44,0.00
1018.53,0.00
1028.71,0.00
1039.00,0.02
1049.39,0.02
1059.88,0.02
1070.48,0.02
1081.19,0.00
1092.00,0.00
1102.92,-0.02
1113.95,-0.03
1125.09,-0.05
1136.34,-0.08
1147.70,-0.11
1159.18,-0.16
1170.77,-0.20
1182.48,-0.24
1194.30,-0.28
1206.25,-0.33
