frequency,raw
20.00,2.28
20.20,2.39
20.40,2.48
20.61,2.59
20.81,2.69
21.02,2.80
21.23,2.90
21.44,3.00
21.66,3.10
21.87,3.19
22.09,3.29
22.31,3.37
22.54,3.47
22.76,3.56
22.99,3.64
23.22,3.72
23.45,3.80
23.69,3.87
23.92,3.94
24.16,4.01
24.40,4.06
24.65,4.13
24.89,4.19
25.14,4.26
25.39,4.32
25.65,4.38
25.91,4.44
26.16,4.51
26.43,4.56
26.69,4.62
26.96,4.67
27.23,4.72
27.50,4.76
27.77,4.82
28.05,4.87
28.33,4.92
28.62,4.97
28.90,5.01
29.19,5.05
29.48,5.10
29.78,5.15
30.08,5.19
30.38,5.22
30.68,5.27
30.99,5.31
31.30,5.35
31.61,5.39
31.93,5.42
32.24,5.45
32.57,5.48
32.89,5.52
33.22,5.55
33.55,5.57
33.89,5.59
34.23,5.60
34.57,5.62
34.92,5.63
35.27,5.65
35.62,5.67
35.97,5.67
36.33,5.68
36.70,5.69
37.06,5.69
37.43,5.70
37.81,5.70
38.19,5.70
38.57,5.70
38.95,5.71
39.34,5.70
39.74,5.70
40.14,5.69
40.54,5.68
40.94,5.68
41.35,5.67
41.76,5.65
42.18,5.64
42.60,5.62
43.03,5.59
43.46,5.57
43.90,5.55
44.33,5.52
44.78,5.48
45.23,5.46
45.68,5.42
46.13,5.39
46.60,5.36
47.06,5.33
47.53,5.29
48.01,5.25
48.49,5.21
48.97,5.17
49.46,5.13
49.96,5.09
50.46,5.06
50.96,5.04
51.47,5.00
51.99,4.96
52.51,4.92
53.03,4.88
53.56,4.85
54.10,4.82
54.64,4.77
55.18,4.73
55.74,4.69
56.29,4.64
56.86,4.60
57.42,4.55
58.00,4.50
58.58,4.44
59.16,4.39
59.76,4.33
60.35,4.27
60.96,4.21
61.57,4.15
62.18,4.09
62.80,4.03
63.43,3.96
64.07,3.89
64.71,3.82
65.35,3.75
66.01,3.67
66.67,3.61
67.33,3.53
68.01,3.45
68.69,3.39
69.37,3.31
70.07,3.23
70.77,3.16
71.48,3.08
72.19,3.01
72.91,2.93
73.64,2.85
74.38,2.78
75.12,2.70
75.87,2.63
76.63,2.55
77.40,2.47
78.17,2.40
78.95,2.34
79.74,2.27
80.54,2.21
81.35,2.15
82.16,2.08
82.98,2.01
83.81,1.96
84.65,1.88
85.50,1.82
86.35,1.75
87.22,1.68
88.09,1.62
88.97,1.56
89.86,1.49
90.76,1.43
91.66,1.36
92.58,1.30
93.51,1.24
94.44,1.18
95.39,1.13
96.34,1.06
97.30,1.01
98.28,0.96
99.26,0.92
100.25,0.87
101.25,0.83
102.27,0.79
103.29,0.75
104.32,0.72
105.37,0.68
106.42,0.65
107.48,0.63
108.56,0.61
109.64,0.58
110.74,0.56
111.85,0.55
112.97,0.54
114.10,0.52
115.24,0.52
116.39,0.51
117.55,0.49
118.73,0.49
119.92,0.48
121.12,0.46
122.33,0.46
123.55,0.46
124.79,0.44
126.03,0.44
127.29,0.43
128.57,0.43
129.85,0.42
131.15,0.40
132.46,0.40
133.79,0.38
135.12,0.36
136.48,0.34
137.84,0.31
139.22,0.29
140.61,0.26
142.02,0.24
143.44,0.20
144.87,0.17
146.32,0.13
