frequency,raw
20.00,5.05
20.20,5.05
20.40,5.04
20.61,5.04
20.81,5.04
21.02,5.03
21.23,5.03
21.44,5.01
21.66,5.01
21.87,4.99
22.09,4.99
22.31,4.97
22.54,4.96
22.76,4.95
22.99,4.93
23.22,4.91
23.45,4.90
23.69,4.88
23.92,4.86
24.16,4.84
24.40,4.81
24.65,4.79
24.89,4.77
25.14,4.75
25.39,4.72
25.65,4.70
25.91,4.67
26.16,4.66
26.43,4.64
26.69,4.62
26.96,4.60
27.23,4.58
27.50,4.56
27.77,4.54
28.05,4.53
28.33,4.51
28.62,4.50
28.90,4.48
29.19,4.46
29.48,4.45
29.78,4.44
30.08,4.43
30.38,4.41
30.68,4.40
30.99,4.40
31.30,4.39
31.61,4.39
31.93,4.38
32.24,4.36
32.57,4.37
32.89,4.37
33.22,4.38
33.55,4.38
33.89,4.37
34.23,4.37
34.57,4.37
34.92,4.37
35.27,4.37
35.62,4.37
35.97,4.36
36.33,4.37
36.70,4.36
37.06,4.36
37.43,4.36
37.81,4.35
38.19,4.35
38.57,4.34
38.95,4.34
39.34,4.33
39.74,4.33
40.14,4.33
40.54,4.32
40.94,4.32
41.35,4.32
41.76,4.31
42.18,4.31
42.60,4.30
43.03,4.29
43.46,4.29
43.90,4.28
44.33,4.27
44.78,4.25
45.23,4.26
45.68,4.24
46.13,4.23
46.60,4.22
47.06,4.21
47.53,4.20
48.01,4.18
48.49,4.16
48.97,4.14
49.46,4.12
49.96,4.10
50.46,4.09
50.96,4.08
51.47,4.06
51.99,4.04
52.51,4.02
53.03,4.00
53.56,3.99
54.10,3.97
54.64,3.94
55.18,3.92
55.74,3.90
56.29,3.87
56.86,3.85
57.42,3.83
58.00,3.80
58.58,3.76
59.16,3.74
59.76,3.70
60.35,3.67
60.96,3.64
61.57,3.61
62.18,3.58
62.80,3.55
63.43,3.51
64.07,3.47
64.71,3.44
65.35,3.40
66.01,3.36
66.67,3.32
67.33,3.28
68.01,3.24
68.69,3.21
69.37,3.16
70.07,3.11
70.77,3.07
71.48,3.02
72.19,2.98
72.91,2.93
73.64,2.88
74.38,2.83
75.12,2.79
75.87,2.74
76.63,2.68
77.40,2.63
78.17,2.57
78.95,2.53
79.74,2.47
80.54,2.42
81.35,2.37
82.16,2.32
82.98,2.26
83.81,2.20
84.65,2.13
85.50,2.07
86.35,2.00
87.22,1.93
88.09,1.87
88.97,1.79
89.86,1.72
90.76,1.64
91.66,1.55
92.58,1.48
93.51,1.40
94.44,1.31
95.39,1.23
96.34,1.14
97.30,1.05
98.28,0.98
99.26,0.90
100.25,0.82
101.25,0.74
102.27,0.67
103.29,0.60
104.32,0.52
105.37,0.46
106.42,0.38
107.48,0.32
108.56,0.26
109.64,0.19
110.74,0.12
111.85,0.06
112.97,0.00
114.10,-0.07
115.24,-0.13
116.39,-0.20
117.55,-0.27
118.73,-0.34
119.92,-0.41
121.12,-0.48
122.33,-0.55
123.55,-0.61
124.79,-0.69
126.03,-0.75
127.29,-0.82
128.57,-0.88
129.85,-0.94
131.15,-1.01
132.46,-1.06
133.79,-1.12
135.12,-1.18
136.48,-1.24
137.84,-1.31
139.22,-1.35
140.61,-1.40
142.02,-1.44
143.44,-1.50
144.87,-1.54
146.32,-1.59
147.78,-1.64
149.26,-1.67
150.75,-1.72
152.26,-1.76
153.78,-1.80
155.32,-1.84
156.88,-1.89
158.44,-1.94
160.03,-1.98
161.63,-2.03
163.24,-2.06
164.88,-2.11
166.53,-2.15
168.19,-2.20
169.87,-2.25
171.57,-2.29
173.29,-2.34
175.02,-2.37
176.77,-2.42
178.54,-2.45
180.32,-2.49
182.13,-2.53
183.95,-2.57
185.79,-2.59
187.65,-2.62
189.52,-2.66
191.42,-2.68
193.33,-2.70
195.27,-2.72
197.22,-2.74
199.19,-2.75
201.18,-2.76
203.19,-2.77
205.23,-2.77
207.28,-2.76
209.35,-2.76
211.44,-2.74
213.56,-2.73
215.69,-2.72
217.85,-2.70
220.03,-2.68
222.23,-2.64
224.45,-2.62
226.70,-2.60
228.96,-2.57
231.25,-2.55
233.57,-2.52
235.90,-2.50
238.26,-2.47
240.64,-2.45
243.05,-2.42
245.48,-2.42
247.93,-2.40
250.41,-2.38
252.92,-2.37
255.45,-2.37
258.00,-2.36
260.58,-2.36
263.19,-2.36
265.82,-2.36
268.48,-2.38
271.16,-2.38
273.87,-2.40
276.61,-2.42
279.38,-2.43
282.17,-2.46
284.99,-2.48
287.84,-2.51
290.72,-2.53
293.63,-2.55
296.57,-2.58
299.53,-2.60
302.53,-2.62
305.55,-2.63
308.61,-2.64
311.69,-2.65
314.81,-2.64
317.96,-2.65
