frequency,raw
20.00,-5.39
20.20,-5.35
20.40,-5.34
20.61,-5.30
20.81,-5.26
21.02,-5.23
21.23,-5.19
21.44,-5.16
21.66,-5.12
21.87,-5.09
22.09,-5.05
22.31,-5.02
22.54,-4.98
22.76,-4.94
22.99,-4.90
23.22,-4.87
23.45,-4.83
23.69,-4.79
23.92,-4.76
24.16,-4.72
24.40,-4.70
24.65,-4.66
24.89,-4.63
25.14,-4.58
25.39,-4.55
25.65,-4.51
25.91,-4.48
26.16,-4.44
26.43,-4.40
26.69,-4.37
26.96,-4.33
27.23,-4.30
27.50,-4.27
27.77,-4.23
28.05,-4.19
28.33,-4.16
28.62,-4.13
28.90,-4.11
29.19,-4.08
29.48,-4.04
29.78,-4.01
30.08,-3.97
30.38,-3.96
30.68,-3.92
30.99,-3.89
31.30,-3.87
31.61,-3.84
31.93,-3.82
32.24,-3.81
32.57,-3.78
32.89,-3.75
33.22,-3.72
33.55,-3.70
33.89,-3.68
34.23,-3.67
34.57,-3.64
34.92,-3.62
35.27,-3.60
35.62,-3.58
35.97,-3.57
36.33,-3.54
36.70,-3.53
37.06,-3.51
37.43,-3.49
37.81,-3.47
38.19,-3.46
38.57,-3.44
38.95,-3.42
39.34,-3.41
39.74,-3.39
40.14,-3.37
40.54,-3.36
40.94,-3.33
41.35,-3.32
41.76,-3.30
42.18,-3.29
42.60,-3.27
43.03,-3.26
43.46,-3.24
43.90,-3.22
44.33,-3.20
44.78,-3.20
45.23,-3.18
45.68,-3.17
46.13,-3.16
46.60,-3.15
47.06,-3.13
47.53,-3.13
48.01,-3.12
48.49,-3.12
48.97,-3.12
49.46,-3.11
49.96,-3.11
50.46,-3.10
50.96,-3.09
51.47,-3.09
51.99,-3.09
52.51,-3.09
53.03,-3.08
53.56,-3.07
54.10,-3.06
54.64,-3.07
55.18,-3.06
55.74,-3.06
56.29,-3.06
56.86,-3.05
57.42,-3.05
58.00,-3.05
58.58,-3.06
59.16,-3.05
59.76,-3.05
60.35,-3.04
60.96,-3.04
61.57,-3.03
62.18,-3.02
62.80,-3.01
63.43,-3.00
64.07,-2.99
64.71,-2.98
65.35,-2.97
66.01,-2.96
66.67,-2.94
67.33,-2.93
68.01,-2.92
68.69,-2.89
69.37,-2.88
70.07,-2.86
70.77,-2.84
71.48,-2.83
72.19,-2.80
72.91,-2.78
73.64,-2.77
74.38,-2.74
75.12,-2.71
75.87,-2.69
76.63,-2.67
77.40,-2.65
78.17,-2.62
78.95,-2.59
79.74,-2.56
80.54,-2.53
81.35,-2.49
82.16,-2.46
82.98,-2.43
83.81,-2.40
84.65,-2.38
85.50,-2.35
86.35,-2.32
87.22,-2.30
88.09,-2.27
88.97,-2.25
89.86,-2.22
90.76,-2.20
91.66,-2.18
92.58,-2.16
93.51,-2.14
94.44,-2.11
95.39,-2.09
96.34,-2.08
97.30,-2.06
98.28,-2.03
99.26,-2.01
100.25,-1.98
101.25,-1.96
102.27,-1.94
103.29,-1.91
104.32,-1.89
105.37,-1.86
106.42,-1.85
107.48,-1.82
108.56,-1.79
109.64,-1.77
110.74,-1.74
111.85,-1.71
112.97,-1.69
114.10,-1.67
115.24,-1.64
116.39,-1.62
117.55,-1.60
118.73,-1.58
119.92,-1.55
121.12,-1.55
122.33,-1.52
