frequency,raw
20.00,2.83
20.20,2.88
20.40,2.91
20.61,2.96
20.81,3.00
21.02,3.05
21.23,3.09
21.44,3.13
21.66,3.18
21.87,3.23
22.09,3.28
22.31,3.32
22.54,3.37
22.76,3.43
22.99,3.47
23.22,3.51
23.45,3.56
23.69,3.61
23.92,3.65
24.16,3.69
24.40,3.72
24.65,3.77
24.89,3.81
25.14,3.86
25.39,3.90
25.65,3.94
25.91,3.98
26.16,4.03
26.43,4.06
26.69,4.10
26.96,4.14
27.23,4.18
27.50,4.20
27.77,4.24
28.05,4.28
28.33,4.31
28.62,4.34
28.90,4.36
29.19,4.39
29.48,4.41
29.78,4.44
30.08,4.47
30.38,4.48
30.68,4.51
30.99,4.54
31.30,4.55
31.61,4.57
31.93,4.58
32.24,4.58
32.57,4.60
32.89,4.61
33.22,4.62
33.55,4.63
33.89,4.63
34.23,4.62
34.57,4.63
34.92,4.63
35.27,4.63
35.62,4.63
35.97,4.61
36.33,4.61
36.70,4.60
37.06,4.59
37.43,4.59
37.81,4.58
38.19,4.57
38.57,4.55
38.95,4.55
39.34,4.53
39.74,4.52
40.14,4.50
40.54,4.48
40.94,4.47
41.35,4.46
41.76,4.44
42.18,4.43
42.60,4.41
43.03,4.39
43.46,4.38
43.90,4.36
44.33,4.35
44.78,4.32
45.23,4.31
45.68,4.28
46.13,4.26
46.60,4.24
47.06,4.22
47.53,4.20
48.01,4.18
48.49,4.15
48.97,4.13
49.46,4.10
49.96,4.08
50.46,4.07
50.96,4.05
51.47,4.03
51.99,4.01
52.51,3.99
53.03,3.97
53.56,3.96
54.10,3.95
54.64,3.92
55.18,3.91
55.74,3.90
56.29,3.88
56.86,3.86
57.42,3.85
58.00,3.84
58.58,3.81
59.16,3.80
59.76,3.78
60.35,3.76
60.96,3.74
61.57,3.73
62.18,3.72
62.80,3.70
63.43,3.68
64.07,3.65
64.71,3.64
65.35,3.61
66.01,3.58
66.67,3.56
67.33,3.53
68.01,3.49
68.69,3.47
69.37,3.43
70.07,3.39
70.77,3.35
71.48,3.30
72.19,3.26
72.91,3.22
73.64,3.16
74.38,3.12
75.12,3.07
75.87,3.03
76.63,2.97
77.40,2.93
78.17,2.89
78.95,2.85
79.74,2.81
80.54,2.79
81.35,2.77
82.16,2.74
82.98,2.72
83.81,2.71
84.65,2.68
85.50,2.68
86.35,2.67
87.22,2.66
88.09,2.67
88.97,2.67
89.86,2.67
90.76,2.68
91.66,2.68
92.58,2.69
93.51,2.70
94.44,2.72
95.39,2.73
96.34,2.73
97.30,2.74
98.28,2.77
99.26,2.78
100.25,2.79
101.25,2.81
102.27,2.82
103.29,2.83
104.32,2.84
105.37,2.85
106.42,2.84
107.48,2.86
108.56,2.86
109.64,2.86
110.74,2.85
111.85,2.86
112.97,2.84
114.10,2.83
115.24,2.82
116.39,2.80
117.55,2.78
118.73,2.76
119.92,2.74
121.12,2.70
122.33,2.67
123.55,2.65
124.79,2.61
126.03,2.59
127.29,2.55
128.57,2.53
129.85,2.50
131.15,2.46
132.46,2.44
133.79,2.40
135.12,2.36
136.48,2.32
137.84,2.27
139.22,2.23
140.61,2.19
142.02,2.15
143.44,2.09
144.87,2.05
146.32,2.00
147.78,1.94
149.26,1.89
150.75,1.83
152.26,1.77
153.78,1.72
155.32,1.66
156.88,1.59
158.44,1.52
160.03,1.46
161.63,1.39
163.24,1.33
164.88,1.27
166.53,1.19
168.19,1.12
169.87,1.04
171.57,0.98
173.29,0.90
175.02,0.83
176.77,0.75
178.54,0.68
180.32,0.60
182.13,0.53
183.95,0.45
185.79,0.38
187.65,0.30
189.52,0.21
191.42,0.14
193.33,0.06
195.27,-0.02
197.22,-0.10
199.19,-0.18
201.18,-0.25
203.19,-0.33
205.23,-0.42
207.28,-0.49
209.35,-0.57
211.44,-0.64
213.56,-0.73
215.69,-0.82
217.85,-0.91
220.03,-1.00
222.23,-1.08
224.45,-1.17
226.70,-1.27
228.96,-1.36
231.25,-1.47
233.57,-1.56
235.90,-1.67
238.26,-1.76
240.64,-1.87
243.05,-1.96
245.48,-2.07
247.93,-2.17
250.41,-2.26
252.92,-2.35
255.45,-2.45
258.00,-2.54
260.58,-2.62
263.19,-2.70
265.82,-2.78
268.48,-2.86
271.16,-2.93
273.87,-3.01
276.61,-3.07
279.38,-3.13
282.17,-3.19
284.99,-3.24
287.84,-3.30
290.72,-3.34
293.63,-3.38
296.57,-3.43
299.53,-3.47
302.53,-3.51
305.55,-3.55
308.61,-3.58
311.69,-3.61
314.81,-3.62
317.96,-3.65
321.14,-3.67
324.35,-3.70
327.59,-3.71
330.87,-3.72
334.18,-3.73
337.52,-3.73
340.90,-3.73
344.30,-3.72
347.75,-3.72
351.23,-3.70
354.74,-3.67
358.28,-3.59
361.87,-3.50
365.49,-3.42
369.14,-3.33
372.83,-3.24
376.56,-3.15
380.33,-3.08
384.13,-3.00
387.97,-2.93
391.85,-2.86
395.77,-2.79
399.73,-2.73
403.72,-2.68
407.76,-2.63
411.84,-2.60
415.96,-2.54
420.12,-2.51
424.32,-2.48
428.56,-2.44
432.85,-2.42
437.18,-2.40
441.55,-2.36
445.96,-2.35
450.42,-2.36
454.93,-2.37
459.48,-2.38
464.07,-2.39
468.71,-2.39
473.40,-2.40
478.13,-2.40
482.91,-2.40
487.74,-2.41
492.62,-2.41
497.55,-2.41
502.52,-2.41
507.55,-2.42
512.62,-2.41
517.75,-2.40
522.93,-2.39
528.16,-2.38
533.44,-2.36
538.77,-2.35
544.16,-2.33
549.60,-2.30
555.10,-2.28
560.65,-2.25
566.25,-2.22
571.92,-2.19
577.64,-2.17
583.41,-2.14
589.25,-2.10
