frequency,raw
20.00,7.33
20.20,7.37
20.40,7.40
20.61,7.44
20.81,7.47
21.02,7.51
21.23,7.54
21.44,7.57
21.66,7.60
21.87,7.63
22.09,7.66
22.31,7.69
22.54,7.72
22.76,7.75
22.99,7.78
23.22,7.80
23.45,7.83
23.69,7.85
23.92,7.87
24.16,7.90
24.40,7.90
24.65,7.93
24.89,7.94
25.14,7.97
25.39,7.99
25.65,8.00
25.91,8.02
26.16,8.04
26.43,8.06
26.69,8.08
26.96,8.09
27.23,8.11
27.50,8.12
27.77,8.14
28.05,8.17
28.33,8.18
28.62,8.20
28.90,8.21
29.19,8.23
29.48,8.24
29.78,8.27
30.08,8.29
30.38,8.30
30.68,8.32
30.99,8.35
31.30,8.36
31.61,8.39
31.93,8.41
32.24,8.42
32.57,8.44
32.89,8.47
33.22,8.50
33.55,8.52
33.89,8.54
34.23,8.56
34.57,8.58
34.92,8.61
35.27,8.63
35.62,8.65
35.97,8.66
36.33,8.69
36.70,8.70
37.06,8.72
37.43,8.74
37.81,8.76
38.19,8.77
38.57,8.78
38.95,8.80
39.34,8.81
39.74,8.82
40.14,8.83
40.54,8.83
40.94,8.85
41.35,8.86
41.76,8.87
42.18,8.88
42.60,8.88
43.03,8.88
43.46,8.89
43.90,8.89
44.33,8.89
44.78,8.88
45.23,8.89
45.68,8.88
46.13,8.88
46.60,8.87
47.06,8.87
47.53,8.86
48.01,8.85
48.49,8.84
48.97,8.82
49.46,8.81
49.96,8.79
50.46,8.78
50.96,8.78
51.47,8.76
51.99,8.74
52.51,8.72
53.03,8.71
53.56,8.70
54.10,8.69
54.64,8.67
55.18,8.65
55.74,8.63
56.29,8.61
56.86,8.60
57.42,8.58
58.00,8.56
58.58,8.53
59.16,8.52
59.76,8.49
60.35,8.48
60.96,8.45
61.57,8.44
62.18,8.42
62.80,8.41
63.43,8.39
64.07,8.36
64.71,8.35
65.35,8.33
66.01,8.31
66.67,8.30
67.33,8.28
68.01,8.26
68.69,8.25
69.37,8.23
70.07,8.22
70.77,8.21
71.48,8.19
72.19,8.18
72.91,8.17
73.64,8.16
74.38,8.15
75.12,8.14
75.87,8.14
76.63,8.13
77.40,8.12
78.17,8.13
78.95,8.13
79.74,8.13
80.54,8.15
81.35,8.16
82.16,8.17
82.98,8.18
83.81,8.19
84.65,8.20
85.50,8.21
86.35,8.22
87.22,8.23
88.09,8.25
88.97,8.27
89.86,8.28
90.76,8.30
91.66,8.31
92.58,8.33
93.51,8.35
94.44,8.37
95.39,8.39
96.34,8.40
97.30,8.42
98.28,8.45
99.26,8.47
100.25,8.50
101.25,8.52
102.27,8.54
103.29,8.56
104.32,8.58
105.37,8.60
106.42,8.60
107.48,8.63
108.56,8.64
109.64,8.64
110.74,8.64
111.85,8.64
112.97,8.63
114.10,8.61
115.24,8.60
116.39,8.58
117.55,8.54
118.73,8.50
119.92,8.46
121.12,8.40
122.33,8.35
123.55,8.29
124.79,8.21
126.03,8.14
127.29,8.05
128.57,7.97
129.85,7.87
131.15,7.76
132.46,7.67
133.79,7.55
135.12,7.43
