frequency,raw
20.00,-4.42
20.20,-4.36
20.40,-4.32
20.61,-4.26
20.81,-4.21
21.02,-4.16
21.23,-4.12
21.44,-4.10
21.66,-4.07
21.87,-4.05
22.09,-4.02
22.31,-4.01
22.54,-3.98
22.76,-3.96
22.99,-3.94
23.22,-3.92
23.45,-3.89
23.69,-3.87
23.92,-3.85
24.16,-3.83
24.40,-3.83
24.65,-3.80
24.89,-3.79
25.14,-3.76
25.39,-3.74
25.65,-3.72
25.91,-3.70
26.16,-3.66
26.43,-3.64
26.69,-3.61
26.96,-3.59
27.23,-3.57
27.50,-3.56
27.77,-3.54
28.05,-3.51
28.33,-3.50
28.62,-3.47
28.90,-3.46
29.19,-3.44
29.48,-3.41
29.78,-3.38
30.08,-3.36
30.38,-3.35
30.68,-3.33
30.99,-3.30
31.30,-3.29
31.61,-3.27
31.93,-3.26
32.24,-3.26
32.57,-3.24
32.89,-3.22
33.22,-3.20
33.55,-3.19
33.89,-3.18
34.23,-3.18
34.57,-3.16
34.92,-3.16
35.27,-3.15
35.62,-3.14
35.97,-3.14
36.33,-3.12
36.70,-3.12
37.06,-3.11
37.43,-3.09
37.81,-3.08
38.19,-3.07
38.57,-3.05
38.95,-3.03
39.34,-3.01
39.74,-2.99
40.14,-2.96
40.54,-2.94
40.94,-2.90
41.35,-2.86
41.76,-2.83
42.18,-2.79
42.60,-2.75
43.03,-2.72
43.46,-2.67
43.90,-2.63
44.33,-2.58
44.78,-2.54
45.23,-2.48
45.68,-2.45
46.13,-2.39
46.60,-2.35
47.06,-2.30
47.53,-2.26
48.01,-2.22
48.49,-2.19
48.97,-2.15
49.46,-2.11
49.96,-2.08
50.46,-2.03
50.96,-1.99
51.47,-1.96
51.99,-1.93
52.51,-1.90
53.03,-1.87
53.56,-1.83
54.10,-1.80
54.64,-1.79
55.18,-1.76
55.74,-1.74
56.29,-1.72
56.86,-1.70
57.42,-1.68
58.00,-1.67
58.58,-1.67
59.16,-1.66
59.76,-1.66
60.35,-1.65
60.96,-1.66
61.57,-1.65
62.18,-1.65
62.80,-1.64
63.43,-1.65
64.07,-1.65
64.71,-1.65
65.35,-1.65
66.01,-1.65
66.67,-1.64
67.33,-1.63
68.01,-1.64
68.69,-1.62
69.37,-1.61
70.07,-1.60
70.77,-1.59
71.48,-1.58
72.19,-1.56
72.91,-1.55
73.64,-1.54
74.38,-1.52
75.12,-1.50
75.87,-1.48
76.63,-1.46
77.40,-1.44
78.17,-1.41
78.95,-1.39
79.74,-1.36
80.54,-1.33
81.35,-1.30
82.16,-1.28
82.98,-1.26
83.81,-1.23
84.65,-1.22
85.50,-1.19
86.35,-1.18
87.22,-1.17
88.09,-1.15
88.97,-1.14
