frequency,raw
20.00,2.60
20.20,2.63
20.40,2.65
20.61,2.69
20.81,2.72
21.02,2.75
21.23,2.78
21.44,2.81
21.66,2.84
21.87,2.86
22.09,2.89
22.31,2.92
22.54,2.95
22.76,2.98
22.99,3.01
23.22,3.03
23.45,3.07
23.69,3.10
23.92,3.12
24.16,3.15
24.40,3.16
24.65,3.19
24.89,3.21
25.14,3.23
25.39,3.25
25.65,3.27
25.91,3.29
26.16,3.32
26.43,3.34
26.69,3.36
26.96,3.38
27.23,3.40
27.50,3.42
27.77,3.44
28.05,3.46
28.33,3.48
28.62,3.50
28.90,3.50
29.19,3.52
29.48,3.53
29.78,3.55
30.08,3.57
30.38,3.57
30.68,3.59
30.99,3.61
31.30,3.61
31.61,3.62
31.93,3.62
32.24,3.61
32.57,3.62
32.89,3.62
33.22,3.63
33.55,3.63
33.89,3.63
34.23,3.62
34.57,3.62
34.92,3.62
35.27,3.61
35.62,3.61
35.97,3.60
36.33,3.60
36.70,3.58
37.06,3.58
37.43,3.57
37.81,3.57
38.19,3.56
38.57,3.55
38.95,3.55
39.34,3.54
39.74,3.53
40.14,3.53
40.54,3.52
40.94,3.52
41.35,3.52
41.76,3.51
42.18,3.50
42.60,3.50
43.03,3.49
43.46,3.49
43.90,3.48
44.33,3.48
44.78,3.46
45.23,3.46
45.68,3.45
46.13,3.44
46.60,3.43
47.06,3.42
47.53,3.41
48.01,3.39
48.49,3.37
48.97,3.36
49.46,3.34
49.96,3.31
50.46,3.30
50.96,3.29
51.47,3.27
51.99,3.25
52.51,3.23
53.03,3.21
53.56,3.20
54.10,3.18
54.64,3.15
55.18,3.13
55.74,3.11
56.29,3.08
56.86,3.06
57.42,3.04
58.00,3.02
58.58,2.98
59.16,2.97
59.76,2.94
60.35,2.92
60.96,2.90
61.57,2.88
62.18,2.87
62.80,2.85
63.43,2.83
64.07,2.81
64.71,2.79
65.35,2.77
66.01,2.76
66.67,2.75
67.33,2.74
68.01,2.72
68.69,2.72
69.37,2.71
70.07,2.70
70.77,2.69
71.48,2.68
72.19,2.68
72.91,2.67
73.64,2.66
74.38,2.66
75.12,2.66
75.87,2.66
76.63,2.65
77.40,2.65
78.17,2.65
78.95,2.66
79.74,2.66
80.54,2.67
81.35,2.68
82.16,2.69
82.98,2.69
83.81,2.71
84.65,2.70
85.50,2.72
86.35,2.72
87.22,2.72
88.09,2.73
88.97,2.74
89.86,2.74
90.76,2.75
91.66,2.75
92.58,2.75
93.51,2.76
94.44,2.77
95.39,2.77
96.34,2.77
97.30,2.77
98.28,2.79
99.26,2.79
100.25,2.80
101.25,2.81
102.27,2.81
103.29,2.82
104.32,2.82
105.37,2.83
106.42,2.83
107.48,2.84
108.56,2.85
109.64,2.86
110.74,2.86
111.85,2.87
112.97,2.87
114.10,2.87
115.24,2.88
116.39,2.88
117.55,2.88
118.73,2.88
119.92,2.89
121.12,2.87
122.33,2.87
123.55,2.87
124.79,2.86
126.03,2.86
127.29,2.85
128.57,2.85
129.85,2.84
131.15,2.82
132.46,2.82
133.79,2.81
135.12,2.79
136.48,2.78
137.84,2.75
139.22,2.74
140.61,2.73
142.02,2.72
143.44,2.69
144.87,2.68
146.32,2.66
147.78,2.63
149.26,2.62
150.75,2.59
152.26,2.56
153.78,2.55
155.32,2.52
156.88,2.49
158.44,2.46
160.03,2.43
161.63,2.40
163.24,2.38
164.88,2.35
166.53,2.31
168.19,2.28
169.87,2.24
171.57,2.21
173.29,2.17
175.02,2.15
176.77,2.11
178.54,2.08
180.32,2.05
182.13,2.03
183.95,2.00
185.79,1.99
187.65,1.97
189.52,1.95
191.42,1.95
193.33,1.94
195.27,1.94
197.22,1.94
199.19,1.93
201.18,1.94
203.19,1.93
205.23,1.92
207.28,1.92
209.35,1.90
211.44,1.89
213.56,1.87
215.69,1.85
217.85,1.82
220.03,1.80
222.23,1.79
224.45,1.76
226.70,1.72
228.96,1.70
231.25,1.67
233.57,1.64
235.90,1.60
238.26,1.58
240.64,1.54
243.05,1.53
245.48,1.49
247.93,1.46
250.41,1.44
252.92,1.42
255.45,1.39
258.00,1.37
260.58,1.37
263.19,1.35
265.82,1.35
268.48,1.34
271.16,1.34
273.87,1.34
276.61,1.35
279.38,1.37
282.17,1.38
284.99,1.40
287.84,1.40
290.72,1.44
293.63,1.46
296.57,1.47
299.53,1.48
302.53,1.49
305.55,1.49
308.61,1.50
311.69,1.49
314.81,1.49
317.96,1.46
321.14,1.44
324.35,1.41
327.59,1.39
330.87,1.35
334.18,1.33
337.52,1.29
340.90,1.26
344.30,1.23
347.75,1.19
351.23,1.17
354.74,1.14
358.28,1.06
361.87,1.00
365.49,0.94
369.14,0.88
372.83,0.84
376.56,0.79
380.33,0.73
384.13,0.69
387.97,0.64
391.85,0.59
395.77,0.56
399.73,0.52
403.72,0.48
407.76,0.43
411.84,0.39
415.96,0.36
420.12,0.32
424.32,0.28
428.56,0.25
432.85,0.22
437.18,0.18
441.55,0.16
445.96,0.11
450.42,0.09
454.93,0.06
459.48,0.04
464.07,0.01
468.71,-0.02
473.40,-0.04
478.13,-0.07
482.91,-0.11
487.74,-0.14
492.62,-0.17
497.55,-0.20
502.52,-0.24
507.55,-0.28
512.62,-0.31
517.75,-0.35
522.93,-0.38
528.16,-0.42
533.44,-0.45
538.77,-0.49
544.16,-0.53
549.60,-0.56
555.10,-0.59
560.65,-0.62
566.25,-0.65
571.92,-0.67
577.64,-0.70
583.41,-0.73
589.25,-0.74
595.14,-0.78
601.09,-0.80
607.10,-0.82
613.17,-0.85
619.30,-0.86
625.50,-0.88
631.75,-0.91
638.07,-0.92
644.45,-0.93
650.89,-0.94
657.40,-0.95
663.98,-0.96
670.62,-0.95
677.32,-0.96
684.10,-0.96
690.94,-0.95
697.85,-0.95
704.83,-0.95
711.87,-0.95
718.99,-0.94
726.18,-0.94
733.44,-0.93
740.78,-0.93
748.19,-0.92
755.67,-0.90
763.23,-0.89
770.86,-0.88
778.57,-0.87
786.35,-0.85
794.22,-0.83
802.16,-0.81
810.18,-0.80
818.28,-0.76
826.46,-0.74
834.73,-0.71
843.08,-0.67
851.51,-0.64
860.02,-0.61
868.62,-0.56
877.31,-0.53
886.08,-0.49
894.94,-0.45
903.89,-0.41
912.93,-0.37
922.06,-0.33
931.28,-0.30
940.59,-0.24
950.00,-0.21
959.50,-0.17
969.09,-0.13
