frequency,raw
20.00,7.98
20.20,8.04
20.40,8.07
20.61,8.12
20.81,8.16
21.02,8.20
21.23,8.24
21.44,8.26
21.66,8.30
21.87,8.32
22.09,8.35
22.31,8.37
22.54,8.40
22.76,8.44
22.99,8.45
23.22,8.47
23.45,8.50
23.69,8.51
23.92,8.52
24.16,8.54
24.40,8.53
24.65,8.54
24.89,8.55
25.14,8.56
25.39,8.56
25.65,8.56
25.91,8.57
26.16,8.58
26.43,8.58
26.69,8.59
26.96,8.59
27.23,8.60
27.50,8.59
27.77,8.60
28.05,8.61
28.33,8.61
28.62,8.62
28.90,8.61
29.19,8.61
29.48,8.62
29.78,8.62
30.08,8.63
30.38,8.63
30.68,8.64
30.99,8.66
31.30,8.67
31.61,8.69
31.93,8.70
32.24,8.70
32.57,8.71
32.89,8.73
33.22,8.75
33.55,8.76
33.89,8.77
34.23,8.78
34.57,8.80
34.92,8.81
35.27,8.82
35.62,8.84
35.97,8.85
36.33,8.87
36.70,8.88
37.06,8.90
37.43,8.91
37.81,8.93
38.19,8.94
38.57,8.96
38.95,8.98
39.34,8.98
39.74,9.00
40.14,9.01
40.54,9.01
40.94,9.03
41.35,9.04
41.76,9.04
42.18,9.05
42.60,9.05
43.03,9.04
43.46,9.05
43.90,9.05
44.33,9.05
44.78,9.04
45.23,9.04
45.68,9.03
46.13,9.02
46.60,9.01
47.06,9.01
47.53,8.99
48.01,8.98
48.49,8.96
48.97,8.94
49.46,8.91
49.96,8.89
50.46,8.87
50.96,8.86
51.47,8.83
51.99,8.80
52.51,8.77
53.03,8.74
53.56,8.73
54.10,8.70
54.64,8.66
55.18,8.63
55.74,8.60
56.29,8.56
56.86,8.52
57.42,8.49
58.00,8.45
58.58,8.40
59.16,8.36
59.76,8.31
60.35,8.28
60.96,8.23
61.57,8.19
62.18,8.14
62.80,8.10
63.43,8.05
64.07,7.99
64.71,7.94
65.35,7.89
66.01,7.83
66.67,7.79
67.33,7.74
68.01,7.68
68.69,7.64
69.37,7.58
70.07,7.53
70.77,7.47
71.48,7.42
72.19,7.37
72.91,7.32
73.64,7.26
74.38,7.22
75.12,7.17
75.87,7.12
76.63,7.07
77.40,7.02
78.17,6.98
78.95,6.94
79.74,6.89
80.54,6.86
81.35,6.83
82.16,6.79
82.98,6.74
83.81,6.71
84.65,6.66
85.50,6.62
86.35,6.58
87.22,6.53
88.09,6.50
88.97,6.45
89.86,6.40
90.76,6.35
91.66,6.29
92.58,6.24
93.51,6.19
94.44,6.14
95.39,6.08
96.34,6.01
97.30,5.95
98.28,5.89
99.26,5.83
100.25,5.77
101.25,5.70
102.27,5.64
103.29,5.57
104.32,5.50
105.37,5.43
106.42,5.35
107.48,5.29
108.56,5.21
109.64,5.14
110.74,5.06
111.85,4.99
112.97,4.90
114.10,4.82
115.24,4.74
116.39,4.66
117.55,4.57
118.73,4.48
119.92,4.39
121.12,4.29
122.33,4.20
123.55,4.11
124.79,4.01
126.03,3.93
127.29,3.83
128.57,3.74
129.85,3.64
131.15,3.54
132.46,3.45
133.79,3.34
135.12,3.23
136.48,3.13
137.84,3.01
139.22,2.90
140.61,2.79
142.02,2.69
143.44,2.57
144.87,2.47
146.32,2.37
147.78,2.27
149.26,2.19
150.75,2.09
152.26,2.02
153.78,1.96
155.32,1.89
156.88,1.84
158.44,1.78
160.03,1.73
161.63,1.68
163.24,1.65
164.88,1.61
166.53,1.57
168.19,1.53
169.87,1.48
171.57,1.46
173.29,1.42
175.02,1.40
176.77,1.37
178.54,1.35
180.32,1.33
182.13,1.31
183.95,1.29
185.79,1.28
187.65,1.27
189.52,1.25
191.42,1.25
193.33,1.25
195.27,1.24
197.22,1.24
199.19,1.23
201.18,1.24
203.19,1.24
205.23,1.23
207.28,1.25
209.35,1.25
211.44,1.26
213.56,1.26
215.69,1.26
217.85,1.27
220.03,1.27
222.23,1.29
224.45,1.30
226.70,1.31
228.96,1.33
231.25,1.34
233.57,1.36
235.90,1.36
238.26,1.39
240.64,1.39
243.05,1.41
245.48,1.41
247.93,1.41
250.41,1.43
252.92,1.43
255.45,1.42
258.00,1.42
260.58,1.42
263.19,1.41
265.82,1.41
268.48,1.39
271.16,1.38
273.87,1.36
276.61,1.35
279.38,1.33
282.17,1.31
284.99,1.29
287.84,1.25
290.72,1.23
293.63,1.19
296.57,1.15
299.53,1.10
302.53,1.06
305.55,1.00
308.61,0.95
311.69,0.90
314.81,0.85
317.96,0.78
321.14,0.72
324.35,0.65
327.59,0.59
330.87,0.53
334.18,0.47
337.52,0.43
340.90,0.39
344.30,0.36
347.75,0.34
351.23,0.35
354.74,0.35
358.28,0.34
361.87,0.32
365.49,0.30
369.14,0.28
372.83,0.25
376.56,0.21
380.33,0.15
384.13,0.09
387.97,0.02
391.85,-0.05
395.77,-0.11
399.73,-0.17
403.72,-0.23
407.76,-0.29
411.84,-0.35
415.96,-0.38
420.12,-0.43
424.32,-0.48
428.56,-0.51
432.85,-0.55
437.18,-0.59
441.55,-0.62
445.96,-0.67
450.42,-0.71
454.93,-0.77
459.48,-0.81
464.07,-0.87
468.71,-0.93
473.40,-0.99
478.13,-1.04
482.91,-1.10
487.74,-1.17
492.62,-1.22
497.55,-1.28
502.52,-1.34
507.55,-1.39
512.62,-1.44
517.75,-1.48
522.93,-1.52
528.16,-1.55
533.44,-1.58
538.77,-1.60
544.16,-1.63
549.60,-1.64
555.10,-1.64
560.65,-1.65
566.25,-1.64
571.92,-1.62
577.64,-1.61
583.41,-1.59
589.25,-1.55
595.14,-1.53
601.09,-1.50
607.10,-1.45
613.17,-1.42
619.30,-1.37
625.50,-1.32
631.75,-1.29
638.07,-1.24
644.45,-1.19
650.89,-1.14
657.40,-1.09
663.98,-1.04
670.62,-0.98
677.32,-0.93
684.10,-0.88
690.94,-0.82
697.85,-0.77
704.83,-0.72
711.87,-0.67
718.99,-0.63
726.18,-0.60
733.44,-0.56
740.78,-0.52
748.19,-0.49
755.67,-0.46
763.23,-0.44
770.86,-0.42
778.57,-0.41
786.35,-0.39
794.22,-0.38
802.16,-0.38
810.18,-0.39
818.28,-0.39
826.46,-0.40
834.73,-0.42
843.08,-0.44
851.51,-0.48
860.02,-0.53
868.62,-0.56
877.31,-0.63
886.08,-0.69
894.94,-0.74
903.89,-0.80
912.93,-0.83
922.06,-0.84
931.28,-0.83
940.59,-0.76
950.00,-0.68
959.50,-0.58
969.09,-0.45
978.78,-0.31
988.57,-0.16
998.46,-0.03
1008.44,0.10
1018.53,0.22
1028.71,0.31
1039.00,0.40
1049.39,0.47
1059.88,0.54
1070.48,0.59
1081.19,0.62
1092.00,0.67
1102.92,0.69
1113.95,0.72
1125.09,0.73
1136.34,0.74
1147.70,0.75
1159.18,0.75
1170.77,0.77
1182.48,0.83
1194.30,0.92
1206.25,1.03
1218.31,1.18
