frequency,raw
20.00,1.55
20.20,1.59
20.40,1.60
20.61,1.63
20.81,1.66
21.02,1.69
21.23,1.72
21.44,1.74
21.66,1.77
21.87,1.79
22.09,1.83
22.31,1.85
22.54,1.89
22.76,1.93
22.99,1.96
23.22,1.98
23.45,2.02
23.69,2.05
23.92,2.07
24.16,2.10
24.40,2.11
24.65,2.15
24.89,2.17
25.14,2.20
25.39,2.23
25.65,2.25
25.91,2.28
26.16,2.31
26.43,2.33
26.69,2.35
26.96,2.37
27.23,2.39
27.50,2.40
27.77,2.42
28.05,2.44
28.33,2.46
28.62,2.48
28.90,2.48
29.19,2.50
29.48,2.51
29.78,2.53
30.08,2.55
30.38,2.54
30.68,2.56
30.99,2.58
31.30,2.57
31.61,2.58
31.93,2.58
32.24,2.57
32.57,2.57
32.89,2.58
33.22,2.58
33.55,2.57
33.89,2.57
34.23,2.56
34.57,2.55
34.92,2.54
35.27,2.54
35.62,2.53
35.97,2.51
36.33,2.50
36.70,2.49
37.06,2.47
37.43,2.46
37.81,2.45
38.19,2.43
38.57,2.42
38.95,2.41
39.34,2.39
39.74,2.38
40.14,2.37
40.54,2.35
40.94,2.34
41.35,2.33
41.76,2.32
42.18,2.31
42.60,2.30
43.03,2.28
43.46,2.27
43.90,2.26
44.33,2.25
44.78,2.23
45.23,2.23
45.68,2.21
46.13,2.20
46.60,2.18
47.06,2.17
47.53,2.16
48.01,2.14
48.49,2.12
48.97,2.10
49.46,2.08
49.96,2.06
50.46,2.05
50.96,2.04
51.47,2.02
51.99,2.00
52.51,1.97
53.03,1.95
53.56,1.94
54.10,1.93
54.64,1.89
55.18,1.87
55.74,1.85
56.29,1.82
56.86,1.80
57.42,1.77
58.00,1.74
58.58,1.70
59.16,1.67
59.76,1.63
60.35,1.60
60.96,1.56
61.57,1.53
62.18,1.49
62.80,1.45
63.43,1.41
64.07,1.37
64.71,1.33
65.35,1.28
66.01,1.24
66.67,1.20
67.33,1.16
68.01,1.11
68.69,1.08
69.37,1.04
70.07,0.99
70.77,0.95
71.48,0.91
72.19,0.87
72.91,0.83
73.64,0.78
74.38,0.74
75.12,0.71
75.87,0.67
76.63,0.62
77.40,0.59
78.17,0.55
78.95,0.52
79.74,0.49
80.54,0.46
81.35,0.43
82.16,0.40
82.98,0.37
83.81,0.35
84.65,0.30
85.50,0.28
86.35,0.24
87.22,0.21
88.09,0.18
88.97,0.15
89.86,0.12
90.76,0.08
91.66,0.04
92.58,0.01
93.51,-0.02
94.44,-0.05
95.39,-0.08
96.34,-0.13
97.30,-0.16
98.28,-0.18
99.26,-0.21
100.25,-0.24
101.25,-0.26
102.27,-0.29
103.29,-0.32
104.32,-0.35
105.37,-0.37
106.42,-0.41
107.48,-0.42
108.56,-0.45
109.64,-0.47
110.74,-0.49
111.85,-0.51
112.97,-0.53
114.10,-0.56
115.24,-0.58
116.39,-0.60
117.55,-0.62
118.73,-0.65
119.92,-0.67
121.12,-0.70
122.33,-0.72
123.55,-0.74
124.79,-0.77
126.03,-0.79
127.29,-0.81
128.57,-0.83
129.85,-0.85
131.15,-0.88
132.46,-0.89
133.79,-0.92
135.12,-0.94
136.48,-0.97
