frequency,raw
20.00,-4.19
20.20,-4.12
20.40,-4.07
20.61,-4.01
20.81,-3.96
21.02,-3.90
21.23,-3.84
21.44,-3.78
21.66,-3.71
21.87,-3.65
22.09,-3.57
22.31,-3.49
22.54,-3.41
22.76,-3.34
22.99,-3.27
23.22,-3.21
23.45,-3.15
23.69,-3.09
23.92,-3.04
24.16,-2.98
24.40,-2.94
24.65,-2.88
24.89,-2.82
25.14,-2.75
25.39,-2.69
25.65,-2.63
25.91,-2.56
26.16,-2.49
26.43,-2.42
26.69,-2.36
26.96,-2.29
27.23,-2.23
27.50,-2.17
27.77,-2.10
28.05,-2.03
28.33,-1.97
28.62,-1.89
28.90,-1.84
29.19,-1.77
29.48,-1.70
29.78,-1.64
30.08,-1.57
30.38,-1.53
30.68,-1.46
30.99,-1.40
31.30,-1.35
31.61,-1.28
31.93,-1.22
32.24,-1.17
32.57,-1.10
32.89,-1.02
33.22,-0.94
33.55,-0.87
33.89,-0.80
34.23,-0.74
34.57,-0.66
34.92,-0.60
35.27,-0.53
35.62,-0.46
35.97,-0.41
36.33,-0.34
36.70,-0.28
37.06,-0.23
37.43,-0.17
37.81,-0.12
38.19,-0.07
38.57,-0.02
38.95,0.04
39.34,0.09
39.74,0.15
40.14,0.21
40.54,0.25
40.94,0.31
41.35,0.36
41.76,0.41
42.18,0.46
42.60,0.50
43.03,0.54
43.46,0.58
43.90,0.63
44.33,0.67
44.78,0.70
45.23,0.75
45.68,0.78
46.13,0.82
46.60,0.86
47.06,0.90
47.53,0.94
48.01,0.97
48.49,1.00
48.97,1.02
49.46,1.04
49.96,1.06
50.46,1.09
50.96,1.11
51.47,1.12
51.99,1.14
52.51,1.15
53.03,1.17
53.56,1.19
54.10,1.22
54.64,1.22
55.18,1.24
55.74,1.25
56.29,1.26
56.86,1.28
57.42,1.29
58.00,1.30
58.58,1.30
59.16,1.32
59.76,1.32
60.35,1.33
60.96,1.33
61.57,1.34
62.18,1.35
62.80,1.35
63.43,1.35
64.07,1.34
64.71,1.34
65.35,1.34
66.01,1.33
66.67,1.34
67.33,1.34
68.01,1.33
68.69,1.35
69.37,1.35
70.07,1.35
70.77,1.35
71.48,1.36
72.19,1.37
72.91,1.38
73.64,1.38
74.38,1.39
75.12,1.39
75.87,1.40
76.63,1.40
77.40,1.41
78.17,1.42
78.95,1.43
79.74,1.44
80.54,1.46
81.35,1.48
82.16,1.49
82.98,1.50
83.81,1.52
84.65,1.52
85.50,1.54
86.35,1.55
87.22,1.55
88.09,1.57
88.97,1.57
89.86,1.58
90.76,1.59
91.66,1.59
92.58,1.60
93.51,1.61
94.44,1.62
95.39,1.62
96.34,1.62
97.30,1.63
98.28,1.65
99.26,1.66
100.25,1.67
101.25,1.68
102.27,1.69
103.29,1.70
104.32,1.71
105.37,1.72
106.42,1.72
107.48,1.75
108.56,1.76
109.64,1.77
110.74,1.78
111.85,1.80
112.97,1.81
114.10,1.81
115.24,1.83
116.39,1.84
117.55,1.84
118.73,1.85
119.92,1.86
121.12,1.85
122.33,1.86
123.55,1.87
124.79,1.87
126.03,1.87
127.29,1.87
128.57,1.88
