frequency,raw
20.00,-16.13
20.20,-16.00
20.40,-15.88
20.61,-15.75
20.81,-15.62
21.02,-15.48
21.23,-15.35
21.44,-15.22
21.66,-15.08
21.87,-14.95
22.09,-14.81
22.31,-14.68
22.54,-14.53
22.76,-14.39
22.99,-14.26
23.22,-14.12
23.45,-13.98
23.69,-13.84
23.92,-13.71
24.16,-13.57
24.40,-13.44
24.65,-13.30
24.89,-13.16
25.14,-13.02
25.39,-12.88
25.65,-12.74
25.91,-12.60
26.16,-12.45
26.43,-12.31
26.69,-12.17
26.96,-12.03
27.23,-11.89
27.50,-11.76
27.77,-11.61
28.05,-11.47
28.33,-11.33
28.62,-11.19
28.90,-11.06
29.19,-10.92
29.48,-10.78
29.78,-10.64
30.08,-10.50
30.38,-10.38
30.68,-10.23
30.99,-10.08
31.30,-9.95
31.61,-9.82
31.93,-9.69
32.24,-9.57
32.57,-9.43
32.89,-9.29
33.22,-9.15
33.55,-9.02
33.89,-8.89
34.23,-8.77
34.57,-8.63
34.92,-8.50
35.27,-8.37
35.62,-8.23
35.97,-8.11
36.33,-7.98
36.70,-7.85
37.06,-7.72
37.43,-7.59
37.81,-7.47
38.19,-7.34
38.57,-7.22
38.95,-7.09
39.34,-6.97
39.74,-6.85
40.14,-6.72
40.54,-6.61
40.94,-6.47
41.35,-6.35
41.76,-6.22
42.18,-6.09
42.60,-5.97
43.03,-5.85
43.46,-5.72
43.90,-5.60
44.33,-5.47
44.78,-5.36
45.23,-5.23
45.68,-5.12
46.13,-4.99
46.60,-4.88
47.06,-4.75
47.53,-4.64
48.01,-4.52
48.49,-4.41
48.97,-4.30
49.46,-4.18
49.96,-4.07
50.46,-3.95
50.96,-3.83
51.47,-3.72
51.99,-3.60
52.51,-3.49
53.03,-3.38
53.56,-3.25
54.10,-3.14
54.64,-3.03
55.18,-2.92
55.74,-2.81
56.29,-2.70
56.86,-2.59
57.42,-2.48
58.00,-2.37
58.58,-2.27
59.16,-2.16
59.76,-2.06
60.35,-1.96
60.96,-1.86
61.57,-1.75
62.18,-1.65
62.80,-1.54
63.43,-1.44
64.07,-1.35
64.71,-1.24
65.35,-1.15
66.01,-1.05
66.67,-0.95
67.33,-0.85
68.01,-0.76
68.69,-0.65
69.37,-0.56
70.07,-0.47
70.77,-0.38
71.48,-0.29
72.19,-0.19
72.91,-0.10
73.64,-0.02
74.38,0.07
75.12,0.16
75.87,0.24
76.63,0.32
77.40,0.40
78.17,0.48
78.95,0.57
79.74,0.64
80.54,0.73
81.35,0.81
82.16,0.88
82.98,0.95
83.81,1.03
84.65,1.09
85.50,1.16
86.35,1.22
87.22,1.27
88.09,1.34
88.97,1.39
89.86,1.45
90.76,1.50
91.66,1.54
92.58,1.59
93.51,1.63
94.44,1.68
95.39,1.72
96.34,1.75
97.30,1.79
98.28,1.84
99.26,1.88
100.25,1.92
101.25,1.95
102.27,1.99
103.29,2.02
104.32,2.05
105.37,2.08
106.42,2.10
107.48,2.14
108.56,2.17
109.64,2.20
110.74,2.23
111.85,2.26
112.97,2.28
114.10,2.30
115.24,2.32
116.39,2.34
117.55,2.35
118.73,2.37
119.92,2.38
121.12,2.39
122.33,2.40
123.55,2.41
124.79,2.41
126.03,2.42
127.29,2.42
128.57,2.42
129.85,2.43
131.15,2.42
132.46,2.43
133.79,2.42
135.12,2.42
136.48,2.41
137.84,2.39
139.22,2.39
140.61,2.38
142.02,2.38
143.44,2.36
144.87,2.35
146.32,2.33
147.78,2.31
149.26,2.30
150.75,2.26
152.26,2.23
153.78,2.21
155.32,2.17
156.88,2.12
158.44,2.07
160.03,2.02
161.63,1.95
163.24,1.90
164.88,1.84
166.53,1.78
168.19,1.71
169.87,1.64
171.57,1.60
173.29,1.54
175.02,1.51
176.77,1.46
178.54,1.43
180.32,1.40
182.13,1.37
183.95,1.34
185.79,1.33
187.65,1.31
189.52,1.28
191.42,1.27
193.33,1.26
195.27,1.24
197.22,1.23
199.19,1.22
201.18,1.21
203.19,1.20
205.23,1.18
207.28,1.18
209.35,1.16
211.44,1.16
213.56,1.14
215.69,1.12
217.85,1.10
220.03,1.08
222.23,1.07
224.45,1.05
226.70,1.02
228.96,1.00
231.25,0.97
233.57,0.94
235.90,0.91
238.26,0.89
240.64,0.85
243.05,0.84
245.48,0.80
247.93,0.77
250.41,0.75
252.92,0.72
255.45,0.70
258.00,0.67
260.58,0.66
263.19,0.64
265.82,0.62
268.48,0.59
271.16,0.58
273.87,0.56
276.61,0.55
279.38,0.53
282.17,0.51
284.99,0.50
287.84,0.47
290.72,0.46
293.63,0.45
296.57,0.42
299.53,0.39
302.53,0.37
305.55,0.34
308.61,0.32
311.69,0.30
314.81,0.28
317.96,0.25
321.14,0.22
324.35,0.19
327.59,0.17
330.87,0.15
334.18,0.12
337.52,0.10
340.90,0.08
344.30,0.06
347.75,0.04
351.23,0.03
354.74,0.02
358.28,-0.00
361.87,-0.02
365.49,-0.04
369.14,-0.06
372.83,-0.06
376.56,-0.07
380.33,-0.10
384.13,-0.11
387.97,-0.13
391.85,-0.16
395.77,-0.17
399.73,-0.19
