frequency,raw
20.00,15.90
20.20,15.91
20.40,15.90
20.61,15.91
20.81,15.91
21.02,15.91
21.23,15.91
21.44,15.90
21.66,15.91
21.87,15.90
22.09,15.90
22.31,15.89
22.54,15.89
22.76,15.89
22.99,15.89
23.22,15.88
23.45,15.88
23.69,15.88
23.92,15.87
24.16,15.88
24.40,15.86
24.65,15.86
24.89,15.85
25.14,15.86
25.39,15.85
25.65,15.84
25.91,15.84
26.16,15.84
26.43,15.83
26.69,15.82
26.96,15.81
27.23,15.80
27.50,15.79
27.77,15.78
28.05,15.78
28.33,15.77
28.62,15.76
28.90,15.74
29.19,15.72
29.48,15.71
29.78,15.69
30.08,15.68
30.38,15.65
30.68,15.63
30.99,15.62
31.30,15.60
31.61,15.58
31.93,15.56
32.24,15.52
32.57,15.50
32.89,15.48
33.22,15.46
33.55,15.44
33.89,15.41
34.23,15.37
34.57,15.34
34.92,15.31
35.27,15.27
35.62,15.23
35.97,15.18
36.33,15.15
36.70,15.12
37.06,15.09
37.43,15.07
37.81,15.05
38.19,15.04
38.57,15.02
38.95,15.01
39.34,14.99
39.74,14.98
40.14,14.97
40.54,14.95
40.94,14.95
41.35,14.94
41.76,14.93
42.18,14.92
42.60,14.91
43.03,14.89
43.46,14.88
43.90,14.86
44.33,14.84
44.78,14.80
45.23,14.78
45.68,14.74
46.13,14.71
46.60,14.67
47.06,14.64
47.53,14.60
48.01,14.56
48.49,14.51
48.97,14.47
49.46,14.43
49.96,14.39
50.46,14.37
50.96,14.34
51.47,14.30
51.99,14.26
52.51,14.22
53.03,14.18
53.56,14.15
54.10,14.11
54.64,14.04
55.18,13.99
55.74,13.93
56.29,13.86
56.86,13.81
57.42,13.75
58.00,13.70
58.58,13.63
59.16,13.58
59.76,13.52
60.35,13.47
60.96,13.41
61.57,13.36
62.18,13.31
62.80,13.26
63.43,13.21
64.07,13.17
64.71,13.14
65.35,13.10
66.01,13.05
66.67,13.02
67.33,12.98
68.01,12.94
68.69,12.91
69.37,12.87
70.07,12.83
70.77,12.79
71.48,12.75
72.19,12.70
72.91,12.66
73.64,12.60
74.38,12.55
75.12,12.50
75.87,12.46
76.63,12.40
77.40,12.36
78.17,12.32
78.95,12.28
79.74,12.23
80.54,12.20
81.35,12.16
82.16,12.12
82.98,12.08
83.81,12.06
84.65,12.02
85.50,11.99
86.35,11.96
87.22,11.92
88.09,11.88
88.97,11.84
89.86,11.80
90.76,11.77
91.66,11.72
92.58,11.69
93.51,11.67
94.44,11.65
95.39,11.62
96.34,11.58
97.30,11.56
98.28,11.54
99.26,11.52
100.25,11.52
101.25,11.51
102.27,11.50
103.29,11.50
104.32,11.49
105.37,11.48
106.42,11.47
107.48,11.47
108.56,11.46
109.64,11.45
110.74,11.44
111.85,11.43
112.97,11.42
114.10,11.40
115.24,11.39
116.39,11.36
117.55,11.33
118.73,11.30
119.92,11.26
121.12,11.20
122.33,11.15
123.55,11.11
124.79,11.05
126.03,11.00
127.29,10.94
128.57,10.88
129.85,10.83
