frequency,raw
20.00,3.27
20.20,3.29
20.40,3.29
20.61,3.31
20.81,3.33
21.02,3.35
21.23,3.37
21.44,3.37
21.66,3.39
21.87,3.40
22.09,3.42
22.31,3.43
22.54,3.45
22.76,3.47
22.99,3.47
23.22,3.48
23.45,3.50
23.69,3.51
23.92,3.51
24.16,3.52
24.40,3.51
24.65,3.52
24.89,3.52
25.14,3.53
25.39,3.54
25.65,3.54
25.91,3.55
26.16,3.57
26.43,3.58
26.69,3.59
26.96,3.60
27.23,3.61
27.50,3.62
27.77,3.63
28.05,3.65
28.33,3.65
28.62,3.67
28.90,3.67
29.19,3.68
29.48,3.69
29.78,3.70
30.08,3.72
30.38,3.71
30.68,3.73
30.99,3.74
31.30,3.74
31.61,3.75
31.93,3.75
32.24,3.74
32.57,3.75
32.89,3.76
33.22,3.77
33.55,3.77
33.89,3.78
34.23,3.77
34.57,3.79
34.92,3.79
35.27,3.80
35.62,3.80
35.97,3.80
36.33,3.81
36.70,3.81
37.06,3.81
37.43,3.82
37.81,3.83
38.19,3.83
38.57,3.84
38.95,3.85
39.34,3.86
39.74,3.88
40.14,3.89
40.54,3.90
40.94,3.94
41.35,3.96
41.76,3.99
42.18,4.02
42.60,4.05
43.03,4.07
43.46,4.11
43.90,4.15
44.33,4.19
44.78,4.21
45.23,4.26
45.68,4.29
46.13,4.33
46.60,4.37
47.06,4.41
47.53,4.45
48.01,4.48
48.49,4.51
48.97,4.54
49.46,4.58
49.96,4.61
50.46,4.65
50.96,4.69
51.47,4.73
51.99,4.76
52.51,4.80
53.03,4.84
53.56,4.88
54.10,4.92
54.64,4.95
55.18,4.98
55.74,5.02
56.29,5.04
56.86,5.08
57.42,5.11
58.00,5.14
58.58,5.15
59.16,5.18
59.76,5.20
60.35,5.23
60.96,5.25
61.57,5.28
62.18,5.31
62.80,5.33
63.43,5.35
64.07,5.37
64.71,5.39
65.35,5.41
66.01,5.42
66.67,5.45
67.33,5.47
68.01,5.48
68.69,5.51
