frequency,raw
20.00,2.98
20.20,3.02
20.40,3.03
20.61,3.07
20.81,3.09
21.02,3.12
21.23,3.14
21.44,3.16
21.66,3.18
21.87,3.19
22.09,3.21
22.31,3.22
22.54,3.24
22.76,3.26
22.99,3.27
23.22,3.27
23.45,3.29
23.69,3.29
23.92,3.29
24.16,3.29
24.40,3.28
24.65,3.28
24.89,3.27
25.14,3.28
25.39,3.27
25.65,3.26
25.91,3.26
26.16,3.26
26.43,3.25
26.69,3.25
26.96,3.24
27.23,3.23
27.50,3.22
27.77,3.21
28.05,3.21
28.33,3.19
28.62,3.19
28.90,3.17
29.19,3.15
29.48,3.14
29.78,3.13
30.08,3.13
30.38,3.10
30.68,3.10
30.99,3.10
31.30,3.09
31.61,3.09
31.93,3.07
32.24,3.05
32.57,3.05
32.89,3.05
33.22,3.05
33.55,3.04
33.89,3.03
34.23,3.02
34.57,3.02
34.92,3.02
35.27,3.01
35.62,3.01
35.97,2.99
36.33,3.00
36.70,2.98
37.06,2.98
37.43,2.97
37.81,2.97
38.19,2.96
38.57,2.95
38.95,2.95
39.34,2.93
39.74,2.93
40.14,2.92
40.54,2.91
40.94,2.91
41.35,2.90
41.76,2.89
42.18,2.88
42.60,2.88
43.03,2.86
43.46,2.86
43.90,2.85
44.33,2.84
44.78,2.82
45.23,2.82
45.68,2.80
46.13,2.80
46.60,2.78
47.06,2.78
47.53,2.77
48.01,2.75
48.49,2.74
48.97,2.73
49.46,2.71
49.96,2.70
50.46,2.70
50.96,2.69
51.47,2.68
51.99,2.67
52.51,2.65
53.03,2.64
53.56,2.65
54.10,2.64
54.64,2.62
55.18,2.62
55.74,2.61
56.29,2.60
56.86,2.60
57.42,2.59
58.00,2.58
58.58,2.56
59.16,2.56
59.76,2.55
60.35,2.55
60.96,2.53
61.57,2.53
62.18,2.52
62.80,2.52
63.43,2.51
64.07,2.49
64.71,2.49
65.35,2.48
66.01,2.46
66.67,2.46
67.33,2.45
68.01,2.43
68.69,2.43
69.37,2.41
70.07,2.40
70.77,2.38
71.48,2.36
72.19,2.34
72.91,2.33
73.64,2.30
74.38,2.28
75.12,2.26
75.87,2.24
76.63,2.21
77.40,2.18
78.17,2.16
78.95,2.14
79.74,2.11
80.54,2.08
81.35,2.06
82.16,2.03
82.98,1.99
83.81,1.97
84.65,1.93
85.50,1.89
86.35,1.86
87.22,1.81
88.09,1.78
88.97,1.74
89.86,1.70
90.76,1.66
91.66,1.60
92.58,1.56
93.51,1.52
94.44,1.48
95.39,1.43
96.34,1.38
97.30,1.34
98.28,1.30
99.26,1.26
100.25,1.22
101.25,1.18
102.27,1.14
103.29,1.11
104.32,1.07
105.37,1.03
106.42,0.99
107.48,0.97
108.56,0.93
109.64,0.90
110.74,0.87
111.85,0.84
112.97,0.80
114.10,0.77
115.24,0.74
116.39,0.71
117.55,0.67
118.73,0.64
119.92,0.61
121.12,0.56
122.33,0.53
123.55,0.50
124.79,0.46
126.03,0.43
127.29,0.39
128.57,0.36
129.85,0.33
131.15,0.29
132.46,0.27
133.79,0.23
135.12,0.19
136.48,0.15
137.84,0.11
139.22,0.08
140.61,0.04
142.02,0.02
143.44,-0.03
144.87,-0.06
146.32,-0.09
147.78,-0.13
149.26,-0.16
150.75,-0.20
152.26,-0.24
153.78,-0.26
155.32,-0.30
156.88,-0.34
158.44,-0.37
160.03,-0.40
161.63,-0.44
163.24,-0.46
164.88,-0.49
166.53,-0.53
168.19,-0.56
169.87,-0.60
171.57,-0.61
173.29,-0.65
175.02,-0.67
176.77,-0.70
178.54,-0.72
180.32,-0.75
182.13,-0.77
183.95,-0.79
185.79,-0.81
187.65,-0.83
189.52,-0.85
191.42,-0.86
193.33,-0.87
195.27,-0.89
197.22,-0.90
199.19,-0.92
201.18,-0.92
203.19,-0.93
205.23,-0.94
207.28,-0.93
209.35,-0.93
211.44,-0.92
213.56,-0.92
215.69,-0.92
217.85,-0.92
220.03,-0.92
222.23,-0.91
224.45,-0.92
226.70,-0.93
228.96,-0.92
231.25,-0.93
233.57,-0.92
235.90,-0.93
238.26,-0.92
240.64,-0.92
243.05,-0.90
245.48,-0.90
247.93,-0.89
250.41,-0.86
252.92,-0.84
255.45,-0.82
258.00,-0.80
260.58,-0.76
263.19,-0.72
265.82,-0.68
268.48,-0.66
271.16,-0.61
273.87,-0.58
276.61,-0.53
279.38,-0.49
282.17,-0.45
284.99,-0.41
287.84,-0.38
290.72,-0.33
293.63,-0.29
296.57,-0.26
299.53,-0.23
302.53,-0.19
305.55,-0.17
308.61,-0.13
311.69,-0.10
314.81,-0.06
317.96,-0.04
321.14,-0.01
324.35,0.01
327.59,0.05
330.87,0.07
334.18,0.10
337.52,0.13
340.90,0.16
344.30,0.19
347.75,0.22
351.23,0.26
354.74,0.28
358.28,0.26
361.87,0.24
365.49,0.22
369.14,0.20
372.83,0.18
376.56,0.16
380.33,0.12
384.13,0.09
387.97,0.06
391.85,0.01
395.77,-0.02
399.73,-0.06
403.72,-0.11
407.76,-0.16
411.84,-0.22
415.96,-0.25
420.12,-0.31
424.32,-0.37
428.56,-0.41
432.85,-0.47
437.18,-0.52
441.55,-0.56
445.96,-0.62
450.42,-0.63
454.93,-0.64
459.48,-0.65
464.07,-0.66
468.71,-0.67
473.40,-0.68
478.13,-0.70
482.91,-0.72
487.74,-0.74
492.62,-0.76
497.55,-0.79
502.52,-0.82
507.55,-0.86
512.62,-0.88
517.75,-0.91
522.93,-0.94
528.16,-0.97
533.44,-0.99
538.77,-1.02
544.16,-1.05
549.60,-1.07
555.10,-1.10
560.65,-1.12
566.25,-1.14
571.92,-1.15
577.64,-1.18
583.41,-1.19
589.25,-1.19
595.14,-1.22
601.09,-1.23
607.10,-1.23
613.17,-1.24
619.30,-1.24
625.50,-1.23
631.75,-1.24
638.07,-1.23
644.45,-1.22
650.89,-1.20
657.40,-1.18
663.98,-1.16
670.62,-1.12
677.32,-1.10
684.10,-1.07
690.94,-1.03
697.85,-1.00
704.83,-0.96
711.87,-0.93
718.99,-0.89
726.18,-0.87
733.44,-0.82
740.78,-0.78
748.19,-0.74
755.67,-0.69
763.23,-0.64
770.86,-0.60
778.57,-0.54
786.35,-0.49
794.22,-0.43
802.16,-0.37
810.18,-0.32
818.28,-0.25
826.46,-0.19
834.73,-0.12
843.08,-0.06
851.51,-0.01
860.02,0.04
868.62,0.10
877.31,0.14
886.08,0.17
894.94,0.20
903.89,0.20
912.93,0.19
922.06,0.16
931.28,0.12
940.59,0.09
950.00,0.05
959.50,0.01
969.09,-0.01
978.78,-0.02
988.57,-0.02
998.46,-0.01
1008.44,0.01
1018.53,0.03
1028.71,0.04
1039.00,0.06
1049.39,0.06
1059.88,0.06
1070.48,0.05
1081.19,0.04
1092.00,0.05
1102.92,0.04
1113.95,0.04
1125.09,0.02
1136.34,0.00
1147.70,-0.01
1159.18,-0.04
1170.77,-0.05
1182.48,-0.06
1194.30,-0.06
1206.25,-0.07
1218.31,-0.09
1230.49,-0.11
1242.80,-0.15
1255.22,-0.19
1267.78,-0.26
1280.45,-0.35
1293.26,-0.46
1306.19,-0.59
1319.25,-0.74
1332.45,-0.91
1345.77,-1.12
1359.23,-1.33
1372.82,-1.56
1386.55,-1.83
1400.41,-2.09
1414.42,-2.39
1428.56,-2.67
1442.85,-2.93
1457.28,-3.18
1471.85,-3.37
1486.57,-3.54
1501.43,-3.68
1516.45,-3.80
1531.61,-3.90
1546.93,-3.97
1562.40,-4.04
1578.02,-4.11
1593.80,-4.16
1609.74,-4.22
1625.84,-4.26
1642.10,-4.30
1658.52,-4.33
1675.10,-4.32
1691.85,-4.28
1708.77,-4.22
1725.86,-4.14
1743.12,-4.06
1760.55,-3.96
1778.15,-3.88
1795.94,-3.82
1813.90,-3.76
1832.03,-3.77
1850.36,-3.81
1868.86,-3.88
1887.55,-3.99
1906.42,-4.11
1925.49,-4.24
1944.74,-4.36
1964.19,-4.47
1983.83,-4.56
2003.67,-4.64
2023.71,-4.70
2043.94,-4.73
2064.38,-4.78
2085.03,-4.82
2105.88,-4.85
2126.94,-4.87
2148.20,-4.88
2169.69,-4.87
2191.38,-4.84
2213.30,-4.80
2235.43,-4.72
2257.78,-4.61
2280.36,-4.49
2303.17,-4.35
2326.20,-4.20
2349.46,-4.05
2372.95,-3.90
2396.68,-3.76
2420.65,-3.62
2444.86,-3.47
2469.31,-3.34
2494.00,-3.20
2518.94,-3.07
2544.13,-2.91
2569.57,-2.77
2595.27,-2.63
2621.22,-2.48
2647.43,-2.34
2673.90,-2.19
2700.64,-2.05
2727.65,-1.90
2754.93,-1.75
2782.48,-1.60
2810.30,-1.46
2838.40,-1.30
2866.79,-1.14
2895.46,-1.00
2924.41,-0.84
2953.65,-0.69
2983.19,-0.57
3013.02,-0.44
3043.15,-0.30
3073.58,-0.17
3104.32,-0.01
3135.36,0.14
3166.72,0.35
3198.38,0.60
3230.37,0.86
3262.67,1.17
3295.30,1.50
3328.25,1.85
3361.53,2.21
3395.15,2.58
3429.10,2.95
3463.39,3.34
3498.03,3.74
3533.01,4.16
3568.34,4.63
3604.02,5.13
3640.06,5.67
3676.46,6.25
3713.22,6.86
3750.36,7.49
3787.86,8.11
3825.74,8.71
3864.00,9.26
3902.64,9.74
3941.66,10.12
3981.08,10.39
4020.89,10.55
4061.10,10.61
4101.71,10.52
4142.73,10.36
4184.15,10.12
4226.00,9.78
4268.26,9.40
4310.94,9.01
4354.05,8.59
4397.59,8.18
4441.56,7.78
4485.98,7.40
4530.84,7.02
4576.15,6.65
4621.91,6.30
4668.13,5.93
4714.81,5.58
4761.96,5.21
4809.58,4.87
4857.67,4.55
4906.25,4.23
4955.31,3.99
5004.87,3.79
5054.91,3.62
5105.46,3.52
5156.52,3.45
5208.08,3.41
5260.16,3.40
5312.77,3.42
5365.89,3.49
5419.55,3.59
5473.75,3.76
5528.49,3.96
5583.77,4.17
5639.61,4.44
5696.00,4.71
5752.96,4.96
5810.49,5.21
5868.60,5.43
5927.28,5.62
5986.56,5.76
6046.42,5.83
6106.89,5.86
6167.96,5.82
6229.64,5.66
6291.93,5.42
6354.85,5.08
6418.40,4.57
6482.58,4.01
6547.41,3.36
6612.88,2.66
6679.01,1.95
6745.80,1.25
6813.26,0.59
6881.39,-0.03
6950.21,-0.60
7019.71,-1.11
7089.91,-1.55
7160.81,-1.94
7232.41,-2.27
7304.74,-2.53
7377.79,-2.76
7451.56,-2.93
7526.08,-3.05
7601.34,-3.14
7677.35,-3.23
7754.13,-3.27
7831.67,-3.32
7909.98,-3.38
7989.08,-3.46
8068.98,-3.53
8149.67,-3.65
8231.16,-3.75
8313.47,-3.83
8396.61,-3.89
8480.57,-3.91
8565.38,-3.98
8651.03,-4.06
8737.54,-4.19
8824.92,-4.54
8913.17,-5.03
9002.30,-5.62
9092.32,-6.47
9183.25,-7.46
9275.08,-8.50
9367.83,-9.60
9461.51,-10.62
9556.12,-11.51
9651.68,-12.21
9748.20,-12.60
9845.68,-12.75
9944.14,-12.68
