frequency,raw
20.00,7.66
20.20,7.71
20.40,7.75
20.61,7.81
20.81,7.86
21.02,7.91
21.23,7.95
21.44,7.99
21.66,8.04
21.87,8.08
22.09,8.13
22.31,8.17
22.54,8.22
22.76,8.27
22.99,8.31
23.22,8.35
23.45,8.40
23.69,8.44
23.92,8.48
24.16,8.53
24.40,8.55
24.65,8.60
24.89,8.64
25.14,8.69
25.39,8.72
25.65,8.76
25.91,8.80
26.16,8.84
26.43,8.88
26.69,8.91
26.96,8.95
27.23,8.98
27.50,9.01
27.77,9.04
28.05,9.08
28.33,9.10
28.62,9.14
28.90,9.15
29.19,9.17
29.48,9.19
29.78,9.21
30.08,9.23
30.38,9.23
30.68,9.25
30.99,9.27
31.30,9.27
31.61,9.27
31.93,9.27
32.24,9.25
32.57,9.25
32.89,9.25
33.22,9.25
33.55,9.24
33.89,9.23
34.23,9.21
34.57,9.19
34.92,9.17
35.27,9.14
35.62,9.12
35.97,9.08
36.33,9.06
36.70,9.04
37.06,9.02
37.43,9.00
37.81,8.99
38.19,8.98
38.57,8.97
38.95,8.97
39.34,8.96
39.74,8.97
40.14,8.97
40.54,8.97
40.94,8.99
41.35,8.99
41.76,9.00
42.18,9.01
42.60,9.02
43.03,9.02
43.46,9.03
43.90,9.03
44.33,9.03
44.78,9.01
45.23,9.01
45.68,8.99
46.13,8.99
46.60,8.97
47.06,8.97
47.53,8.96
48.01,8.95
48.49,8.94
48.97,8.93
49.46,8.92
49.96,8.91
50.46,8.91
50.96,8.92
51.47,8.91
51.99,8.91
52.51,8.90
53.03,8.90
53.56,8.90
54.10,8.90
54.64,8.88
55.18,8.87
55.74,8.85
56.29,8.83
56.86,8.82
57.42,8.81
58.00,8.80
58.58,8.78
59.16,8.78
59.76,8.77
60.35,8.77
60.96,8.76
61.57,8.76
62.18,8.77
62.80,8.77
63.43,8.78
64.07,8.78
64.71,8.80
65.35,8.81
66.01,8.81
66.67,8.83
67.33,8.85
68.01,8.85
68.69,8.88
69.37,8.89
70.07,8.90
70.77,8.90
71.48,8.91
72.19,8.92
72.91,8.94
73.64,8.94
74.38,8.95
75.12,8.96
75.87,8.98
76.63,8.99
77.40,9.00
78.17,9.02
78.95,9.04
79.74,9.05
80.54,9.08
81.35,9.10
82.16,9.11
82.98,9.13
83.81,9.16
84.65,9.16
85.50,9.18
86.35,9.19
87.22,9.20
88.09,9.20
88.97,9.19
89.86,9.18
90.76,9.17
91.66,9.16
92.58,9.15
93.51,9.14
94.44,9.13
95.39,9.12
96.34,9.11
97.30,9.10
98.28,9.10
99.26,9.10
100.25,9.11
101.25,9.13
102.27,9.14
103.29,9.15
104.32,9.16
105.37,9.17
106.42,9.17
107.48,9.19
108.56,9.19
109.64,9.20
110.74,9.21
111.85,9.23
112.97,9.24
114.10,9.25
115.24,9.26
116.39,9.27
117.55,9.27
118.73,9.26
119.92,9.26
121.12,9.23
122.33,9.21
123.55,9.19
124.79,9.16
126.03,9.14
127.29,9.11
128.57,9.09
129.85,9.06
131.15,9.03
132.46,9.01
133.79,8.98
135.12,8.95
136.48,8.92
137.84,8.88
139.22,8.87
140.61,8.86
142.02,8.86
143.44,8.84
144.87,8.83
146.32,8.82
147.78,8.80
149.26,8.80
150.75,8.78
152.26,8.77
153.78,8.77
155.32,8.75
156.88,8.74
158.44,8.72
160.03,8.72
161.63,8.69
163.24,8.69
164.88,8.67
166.53,8.65
168.19,8.63
169.87,8.60
171.57,8.59
173.29,8.56
175.02,8.55
176.77,8.52
178.54,8.51
180.32,8.49
182.13,8.48
183.95,8.46
185.79,8.46
187.65,8.44
189.52,8.42
191.42,8.41
193.33,8.40
195.27,8.38
197.22,8.36
199.19,8.34
201.18,8.33
203.19,8.31
205.23,8.28
207.28,8.27
209.35,8.25
211.44,8.23
213.56,8.21
215.69,8.18
217.85,8.16
220.03,8.13
222.23,8.12
224.45,8.09
226.70,8.06
228.96,8.04
231.25,8.01
233.57,7.99
235.90,7.95
238.26,7.94
240.64,7.90
243.05,7.88
245.48,7.82
247.93,7.78
250.41,7.74
252.92,7.68
255.45,7.62
258.00,7.56
260.58,7.50
263.19,7.43
265.82,7.37
268.48,7.29
271.16,7.24
273.87,7.16
276.61,7.10
279.38,7.03
282.17,6.96
284.99,6.89
287.84,6.81
290.72,6.77
293.63,6.72
296.57,6.68
299.53,6.65
302.53,6.62
305.55,6.58
308.61,6.55
311.69,6.51
314.81,6.47
317.96,6.41
321.14,6.35
324.35,6.28
327.59,6.21
330.87,6.12
334.18,6.03
337.52,5.91
340.90,5.79
344.30,5.66
347.75,5.51
351.23,5.37
354.74,5.19
358.28,4.90
361.87,4.63
365.49,4.38
369.14,4.16
372.83,3.96
376.56,3.78
380.33,3.59
384.13,3.44
387.97,3.27
391.85,3.11
395.77,2.97
399.73,2.82
403.72,2.67
407.76,2.51
411.84,2.35
415.96,2.21
420.12,2.04
424.32,1.88
428.56,1.72
432.85,1.55
437.18,1.40
441.55,1.25
445.96,1.09
450.42,1.07
454.93,1.03
459.48,1.01
464.07,0.98
468.71,0.94
473.40,0.90
478.13,0.85
482.91,0.79
487.74,0.73
492.62,0.67
497.55,0.60
502.52,0.52
507.55,0.44
512.62,0.37
517.75,0.29
522.93,0.22
528.16,0.14
533.44,0.07
538.77,-0.02
544.16,-0.10
549.60,-0.18
555.10,-0.26
560.65,-0.35
566.25,-0.42
571.92,-0.50
577.64,-0.58
583.41,-0.66
589.25,-0.73
595.14,-0.82
601.09,-0.90
607.10,-0.97
613.17,-1.08
619.30,-1.19
625.50,-1.30
631.75,-1.43
638.07,-1.53
644.45,-1.62
650.89,-1.72
657.40,-1.81
663.98,-1.91
670.62,-2.00
677.32,-2.09
684.10,-2.18
690.94,-2.26
697.85,-2.35
704.83,-2.43
711.87,-2.51
718.99,-2.58
726.18,-2.65
733.44,-2.69
740.78,-2.72
748.19,-2.73
755.67,-2.71
763.23,-2.68
770.86,-2.63
778.57,-2.56
786.35,-2.48
794.22,-2.39
802.16,-2.28
810.18,-2.18
818.28,-2.06
826.46,-1.94
834.73,-1.82
843.08,-1.69
851.51,-1.58
860.02,-1.48
868.62,-1.36
877.31,-1.26
886.08,-1.17
894.94,-1.08
903.89,-1.00
912.93,-0.92
922.06,-0.84
931.28,-0.78
940.59,-0.68
950.00,-0.60
959.50,-0.51
969.09,-0.40
978.78,-0.28
988.57,-0.15
998.46,-0.03
1008.44,0.11
1018.53,0.24
1028.71,0.36
1039.00,0.49
1049.39,0.61
1059.88,0.72
1070.48,0.84
1081.19,0.94
1092.00,1.06
1102.92,1.18
1113.95,1.29
1125.09,1.41
1136.34,1.51
1147.70,1.62
1159.18,1.72
1170.77,1.82
1182.48,1.94
1194.30,2.06
1206.25,2.17
1218.31,2.27
1230.49,2.36
1242.80,2.45
1255.22,2.55
1267.78,2.65
1280.45,2.75
1293.26,2.85
1306.19,2.97
1319.25,3.08
1332.45,3.19
1345.77,3.28
1359.23,3.37
1372.82,3.46
1386.55,3.56
1400.41,3.66
1414.42,3.75
1428.56,3.84
1442.85,3.94
1457.28,4.01
1471.85,4.08
1486.57,4.12
1501.43,4.17
1516.45,4.20
1531.61,4.22
1546.93,4.25
1562.40,4.28
1578.02,4.31
1593.80,4.34
1609.74,4.37
1625.84,4.43
1642.10,4.48
1658.52,4.55
1675.10,4.65
1691.85,4.75
1708.77,4.87
1725.86,4.99
1743.12,5.12
1760.55,5.28
1778.15,5.45
1795.94,5.63
1813.90,5.82
1832.03,5.98
1850.36,6.15
1868.86,6.31
1887.55,6.46
1906.42,6.62
1925.49,6.78
1944.74,6.94
1964.19,7.08
1983.83,7.22
2003.67,7.35
2023.71,7.46
2043.94,7.57
2064.38,7.65
2085.03,7.74
2105.88,7.81
2126.94,7.90
2148.20,7.98
2169.69,8.01
2191.38,8.03
2213.30,8.03
