frequency,raw
20.00,-41.10
20.20,-40.95
20.40,-40.82
20.61,-40.67
20.81,-40.53
21.02,-40.39
21.23,-40.24
21.44,-40.11
21.66,-39.96
21.87,-39.81
22.09,-39.65
22.31,-39.50
22.54,-39.34
22.76,-39.18
22.99,-39.03
23.22,-38.88
23.45,-38.72
23.69,-38.57
23.92,-38.43
24.16,-38.27
24.40,-38.14
24.65,-37.99
24.89,-37.84
25.14,-37.69
25.39,-37.55
25.65,-37.41
25.91,-37.27
26.16,-37.12
26.43,-36.98
26.69,-36.83
26.96,-36.69
27.23,-36.53
27.50,-36.39
27.77,-36.24
28.05,-36.08
28.33,-35.93
28.62,-35.78
28.90,-35.64
29.19,-35.50
29.48,-35.35
29.78,-35.21
30.08,-35.06
30.38,-34.92
30.68,-34.77
30.99,-34.61
31.30,-34.46
31.61,-34.31
31.93,-34.16
32.24,-34.01
32.57,-33.85
32.89,-33.68
33.22,-33.52
33.55,-33.36
33.89,-33.19
34.23,-33.03
34.57,-32.86
34.92,-32.70
35.27,-32.53
35.62,-32.36
35.97,-32.20
36.33,-32.03
36.70,-31.86
37.06,-31.70
37.43,-31.53
37.81,-31.36
38.19,-31.19
38.57,-31.02
38.95,-30.85
39.34,-30.69
39.74,-30.51
40.14,-30.34
40.54,-30.18
40.94,-30.00
41.35,-29.83
41.76,-29.66
42.18,-29.49
42.60,-29.33
43.03,-29.17
43.46,-28.99
43.90,-28.83
44.33,-28.66
44.78,-28.51
45.23,-28.34
45.68,-28.19
46.13,-28.02
46.60,-27.87
47.06,-27.70
47.53,-27.54
48.01,-27.38
48.49,-27.23
48.97,-27.07
49.46,-26.91
49.96,-26.75
50.46,-26.59
50.96,-26.42
51.47,-26.26
51.99,-26.11
52.51,-25.95
53.03,-25.79
53.56,-25.62
54.10,-25.46
54.64,-25.31
55.18,-25.15
55.74,-24.99
56.29,-24.84
56.86,-24.67
57.42,-24.51
58.00,-24.35
58.58,-24.21
59.16,-24.04
59.76,-23.89
60.35,-23.73
60.96,-23.58
61.57,-23.42
62.18,-23.26
62.80,-23.10
63.43,-22.94
64.07,-22.79
64.71,-22.63
65.35,-22.48
66.01,-22.33
66.67,-22.17
67.33,-22.01
68.01,-21.86
68.69,-21.69
69.37,-21.54
70.07,-21.38
70.77,-21.22
71.48,-21.06
72.19,-20.90
72.91,-20.74
73.64,-20.59
74.38,-20.42
75.12,-20.26
75.87,-20.10
76.63,-19.94
77.40,-19.78
78.17,-19.62
78.95,-19.45
79.74,-19.29
80.54,-19.12
81.35,-18.95
82.16,-18.78
82.98,-18.62
83.81,-18.45
84.65,-18.30
85.50,-18.14
86.35,-17.98
87.22,-17.83
88.09,-17.66
88.97,-17.51
89.86,-17.36
90.76,-17.20
91.66,-17.06
92.58,-16.91
93.51,-16.76
94.44,-16.61
95.39,-16.46
96.34,-16.32
97.30,-16.18
98.28,-16.03
99.26,-15.88
100.25,-15.73
101.25,-15.59
102.27,-15.45
103.29,-15.30
104.32,-15.16
105.37,-15.02
106.42,-14.89
107.48,-14.74
108.56,-14.61
109.64,-14.47
110.74,-14.34
111.85,-14.20
112.97,-14.08
114.10,-13.95
115.24,-13.82
116.39,-13.70
117.55,-13.58
118.73,-13.46
119.92,-13.35
121.12,-13.24
122.33,-13.13
123.55,-13.02
124.79,-12.92
126.03,-12.81
127.29,-12.72
128.57,-12.61
129.85,-12.52
131.15,-12.43
132.46,-12.33
133.79,-12.24
135.12,-12.16
136.48,-12.08
137.84,-12.01
139.22,-11.93
140.61,-11.85
142.02,-11.77
143.44,-11.71
144.87,-11.64
146.32,-11.57
147.78,-11.52
149.26,-11.45
150.75,-11.40
152.26,-11.35
153.78,-11.29
155.32,-11.24
156.88,-11.20
158.44,-11.16
160.03,-11.12
161.63,-11.09
163.24,-11.04
164.88,-11.00
166.53,-10.97
168.19,-10.94
169.87,-10.92
171.57,-10.88
173.29,-10.86
175.02,-10.82
176.77,-10.81
178.54,-10.78
180.32,-10.75
182.13,-10.73
183.95,-10.72
185.79,-10.69
187.65,-10.67
189.52,-10.67
191.42,-10.65
193.33,-10.62
195.27,-10.61
197.22,-10.60
199.19,-10.59
201.18,-10.57
203.19,-10.56
205.23,-10.55
207.28,-10.53
209.35,-10.52
211.44,-10.50
213.56,-10.49
215.69,-10.48
217.85,-10.47
220.03,-10.46
222.23,-10.45
224.45,-10.44
226.70,-10.44
228.96,-10.43
231.25,-10.43
233.57,-10.42
235.90,-10.42
238.26,-10.41
240.64,-10.42
243.05,-10.40
245.48,-10.41
247.93,-10.40
250.41,-10.39
252.92,-10.39
255.45,-10.38
258.00,-10.37
260.58,-10.36
263.19,-10.35
265.82,-10.33
268.48,-10.33
271.16,-10.31
273.87,-10.30
276.61,-10.29
279.38,-10.27
282.17,-10.26
284.99,-10.25
287.84,-10.25
290.72,-10.23
293.63,-10.21
296.57,-10.21
299.53,-10.21
302.53,-10.20
305.55,-10.20
308.61,-10.19
311.69,-10.19
314.81,-10.18
317.96,-10.18
321.14,-10.18
324.35,-10.19
327.59,-10.18
330.87,-10.18
334.18,-10.18
337.52,-10.18
340.90,-10.17
344.30,-10.17
347.75,-10.17
351.23,-10.16
354.74,-10.15
358.28,-10.15
361.87,-10.14
365.49,-10.14
369.14,-10.13
372.83,-10.11
376.56,-10.09
380.33,-10.09
384.13,-10.06
387.97,-10.05
391.85,-10.04
395.77,-10.02
399.73,-10.00
403.72,-9.97
407.76,-9.96
411.84,-9.94
415.96,-9.90
420.12,-9.88
424.32,-9.86
428.56,-9.83
432.85,-9.80
437.18,-9.78
441.55,-9.74
445.96,-9.72
450.42,-9.69
454.93,-9.67
459.48,-9.64
464.07,-9.62
468.71,-9.59
473.40,-9.57
478.13,-9.54
482.91,-9.51
487.74,-9.49
492.62,-9.47
497.55,-9.45
502.52,-9.44
507.55,-9.43
512.62,-9.42
517.75,-9.40
522.93,-9.40
528.16,-9.39
533.44,-9.36
538.77,-9.34
544.16,-9.32
549.60,-9.27
555.10,-9.22
560.65,-9.16
566.25,-9.08
571.92,-8.98
577.64,-8.88
583.41,-8.75
589.25,-8.61
595.14,-8.47
601.09,-8.31
607.10,-8.13
613.17,-7.96
619.30,-7.76
625.50,-7.56
631.75,-7.37
638.07,-7.15
644.45,-6.94
650.89,-6.72
657.40,-6.51
663.98,-6.30
670.62,-6.08
677.32,-5.87
684.10,-5.66
690.94,-5.45
697.85,-5.23
