frequency,raw
20.00,7.10
20.20,7.15
20.40,7.18
20.61,7.23
20.81,7.27
21.02,7.32
21.23,7.37
21.44,7.41
21.66,7.46
21.87,7.50
22.09,7.55
22.31,7.59
22.54,7.64
22.76,7.69
22.99,7.73
23.22,7.77
23.45,7.82
23.69,7.86
23.92,7.90
24.16,7.94
24.40,7.96
24.65,8.01
24.89,8.04
25.14,8.08
25.39,8.11
25.65,8.14
25.91,8.17
26.16,8.21
26.43,8.24
26.69,8.27
26.96,8.30
27.23,8.34
27.50,8.36
27.77,8.39
28.05,8.42
28.33,8.44
28.62,8.48
28.90,8.49
29.19,8.52
29.48,8.54
29.78,8.57
30.08,8.60
30.38,8.61
30.68,8.64
30.99,8.67
31.30,8.69
31.61,8.71
31.93,8.72
32.24,8.72
32.57,8.74
32.89,8.76
33.22,8.78
33.55,8.79
33.89,8.81
34.23,8.81
34.57,8.83
34.92,8.84
35.27,8.86
35.62,8.87
35.97,8.87
36.33,8.89
36.70,8.90
37.06,8.91
37.43,8.92
37.81,8.93
38.19,8.94
38.57,8.94
38.95,8.96
39.34,8.96
39.74,8.97
40.14,8.98
40.54,8.98
40.94,8.99
41.35,9.00
41.76,9.01
42.18,9.02
42.60,9.03
43.03,9.03
43.46,9.04
43.90,9.05
44.33,9.06
44.78,9.06
45.23,9.08
45.68,9.08
46.13,9.09
46.60,9.09
47.06,9.11
47.53,9.12
48.01,9.12
48.49,9.13
48.97,9.13
49.46,9.14
49.96,9.15
50.46,9.17
50.96,9.18
51.47,9.19
51.99,9.20
52.51,9.22
53.03,9.23
53.56,9.25
54.10,9.27
54.64,9.28
55.18,9.29
55.74,9.31
56.29,9.32
56.86,9.34
57.42,9.35
58.00,9.37
58.58,9.37
59.16,9.39
59.76,9.39
60.35,9.41
60.96,9.42
61.57,9.43
62.18,9.45
62.80,9.46
63.43,9.47
64.07,9.48
64.71,9.50
65.35,9.50
66.01,9.51
66.67,9.52
67.33,9.54
68.01,9.54
68.69,9.56
69.37,9.56
70.07,9.56
70.77,9.57
71.48,9.57
72.19,9.58
72.91,9.59
73.64,9.58
74.38,9.59
75.12,9.60
75.87,9.60
76.63,9.59
77.40,9.60
78.17,9.60
78.95,9.61
79.74,9.61
80.54,9.62
81.35,9.62
82.16,9.62
82.98,9.62
83.81,9.63
84.65,9.61
85.50,9.61
86.35,9.60
87.22,9.59
88.09,9.59
88.97,9.57
89.86,9.56
90.76,9.55
91.66,9.52
92.58,9.51
93.51,9.49
94.44,9.47
95.39,9.45
96.34,9.42
97.30,9.40
98.28,9.38
99.26,9.36
100.25,9.34
101.25,9.31
102.27,9.29
103.29,9.26
104.32,9.24
105.37,9.21
106.42,9.17
107.48,9.16
108.56,9.13
109.64,9.10
110.74,9.07
111.85,9.05
112.97,9.02
114.10,8.98
115.24,8.96
116.39,8.92
117.55,8.89
118.73,8.85
119.92,8.82
121.12,8.77
122.33,8.73
123.55,8.70
124.79,8.65
126.03,8.61
127.29,8.57
128.57,8.53
129.85,8.49
131.15,8.43
132.46,8.40
133.79,8.35
135.12,8.30
136.48,8.24
137.84,8.18
139.22,8.13
140.61,8.08
142.02,8.03
143.44,7.97
144.87,7.92
146.32,7.86
147.78,7.80
149.26,7.75
150.75,7.68
152.26,7.62
153.78,7.57
155.32,7.50
156.88,7.44
