frequency,raw
20.00,-5.93
20.20,-5.83
20.40,-5.74
20.61,-5.63
20.81,-5.54
21.02,-5.44
21.23,-5.35
21.44,-5.28
21.66,-5.20
21.87,-5.14
22.09,-5.07
22.31,-5.00
22.54,-4.92
22.76,-4.83
22.99,-4.73
23.22,-4.63
23.45,-4.50
23.69,-4.38
23.92,-4.25
24.16,-4.11
24.40,-3.99
24.65,-3.86
24.89,-3.75
25.14,-3.64
25.39,-3.55
25.65,-3.46
25.91,-3.37
26.16,-3.28
26.43,-3.20
26.69,-3.13
26.96,-3.04
27.23,-2.96
27.50,-2.88
27.77,-2.79
28.05,-2.70
28.33,-2.62
28.62,-2.54
28.90,-2.48
29.19,-2.43
29.48,-2.38
29.78,-2.33
30.08,-2.28
30.38,-2.25
30.68,-2.19
30.99,-2.13
31.30,-2.08
31.61,-2.03
31.93,-1.98
32.24,-1.95
32.57,-1.90
32.89,-1.85
33.22,-1.80
33.55,-1.76
33.89,-1.73
34.23,-1.71
34.57,-1.68
34.92,-1.67
35.27,-1.66
35.62,-1.64
35.97,-1.64
36.33,-1.62
36.70,-1.60
37.06,-1.57
37.43,-1.51
37.81,-1.43
38.19,-1.33
38.57,-1.22
38.95,-1.09
39.34,-0.97
39.74,-0.85
40.14,-0.73
40.54,-0.63
40.94,-0.51
41.35,-0.41
41.76,-0.32
42.18,-0.25
42.60,-0.18
43.03,-0.12
43.46,-0.05
43.90,0.01
44.33,0.07
44.78,0.10
45.23,0.14
45.68,0.16
46.13,0.17
46.60,0.18
47.06,0.20
47.53,0.20
48.01,0.19
48.49,0.17
48.97,0.16
49.46,0.18
49.96,0.22
50.46,0.26
50.96,0.31
51.47,0.34
51.99,0.34
52.51,0.34
53.03,0.35
53.56,0.42
54.10,0.51
54.64,0.54
55.18,0.54
55.74,0.58
56.29,0.67
56.86,0.76
57.42,0.82
58.00,0.87
58.58,0.98
59.16,1.12
59.76,1.16
60.35,1.12
60.96,1.07
61.57,1.09
62.18,1.13
62.80,1.15
63.43,1.17
64.07,1.19
64.71,1.22
65.35,1.25
66.01,1.30
66.67,1.37
67.33,1.43
68.01,1.48
68.69,1.55
69.37,1.61
70.07,1.66
70.77,1.70
71.48,1.74
72.19,1.78
72.91,1.83
73.64,1.86
74.38,1.90
75.12,1.94
75.87,1.98
76.63,2.00
77.40,2.03
78.17,2.06
78.95,2.10
79.74,2.12
80.54,2.17
81.35,2.22
82.16,2.26
82.98,2.31
83.81,2.36
84.65,2.40
85.50,2.45
86.35,2.49
87.22,2.52
88.09,2.53
88.97,2.53
89.86,2.53
90.76,2.55
91.66,2.54
92.58,2.55
93.51,2.56
94.44,2.58
95.39,2.59
96.34,2.58
97.30,2.59
98.28,2.61
99.26,2.63
100.25,2.67
101.25,2.70
102.27,2.74
103.29,2.77
104.32,2.81
105.37,2.84
106.42,2.86
107.48,2.91
108.56,2.94
109.64,2.97
110.74,3.00
111.85,3.03
112.97,3.04
114.10,3.06
115.24,3.09
116.39,3.11
117.55,3.11
118.73,3.12
119.92,3.11
121.12,3.07
122.33,3.05
123.55,3.03
124.79,2.99
126.03,2.95
127.29,2.91
128.57,2.87
129.85,2.83
131.15,2.77
132.46,2.73
133.79,2.69
135.12,2.65
136.48,2.63
137.84,2.58
139.22,2.51
140.61,2.40
142.02,2.32
143.44,2.26
144.87,2.23
146.32,2.20
147.78,2.16
149.26,2.16
150.75,2.13
152.26,2.13
153.78,2.15
155.32,2.16
156.88,2.19
158.44,2.23
160.03,2.29
161.63,2.35
163.24,2.43
164.88,2.51
166.53,2.56
168.19,2.54
169.87,2.43
171.57,2.36
173.29,2.37
175.02,2.48
176.77,2.59
178.54,2.72
180.32,2.85
182.13,2.93
183.95,2.90
185.79,2.92
187.65,3.00
189.52,3.07
191.42,3.14
193.33,3.21
195.27,3.26
197.22,3.31
199.19,3.36
201.18,3.41
203.19,3.45
205.23,3.49
207.28,3.54
209.35,3.58
211.44,3.61
213.56,3.62
215.69,3.63
217.85,3.67
220.03,3.70
222.23,3.75
224.45,3.78
226.70,3.81
228.96,3.84
231.25,3.87
233.57,3.90
235.90,3.91
238.26,3.93
240.64,3.94
243.05,3.96
245.48,3.95
247.93,3.94
250.41,3.94
252.92,3.92
255.45,3.88
258.00,3.85
260.58,3.82
263.19,3.77
265.82,3.73
268.48,3.69
271.16,3.66
273.87,3.63
276.61,3.61
279.38,3.60
282.17,3.59
284.99,3.58
287.84,3.56
290.72,3.56
293.63,3.54
296.57,3.53
299.53,3.52
302.53,3.53
305.55,3.53
308.61,3.56
311.69,3.57
314.81,3.60
317.96,3.60
321.14,3.61
324.35,3.62
327.59,3.63
330.87,3.64
334.18,3.65
337.52,3.67
340.90,3.68
344.30,3.69
347.75,3.71
351.23,3.73
354.74,3.76
358.28,3.78
361.87,3.81
365.49,3.83
369.14,3.85
372.83,3.87
376.56,3.88
380.33,3.86
384.13,3.86
387.97,3.85
391.85,3.83
395.77,3.81
399.73,3.79
403.72,3.76
407.76,3.69
411.84,3.58
415.96,3.42
420.12,3.18
424.32,2.92
428.56,2.71
432.85,2.54
437.18,2.39
441.55,2.24
445.96,2.05
450.42,1.92
454.93,1.84
459.48,1.81
464.07,1.79
468.71,1.76
473.40,1.74
478.13,1.70
482.91,1.65
487.74,1.59
492.62,1.53
497.55,1.46
502.52,1.39
507.55,1.32
512.62,1.27
517.75,1.24
522.93,1.21
528.16,1.20
533.44,1.20
538.77,1.20
544.16,1.20
549.60,1.21
555.10,1.22
560.65,1.22
566.25,1.22
571.92,1.21
577.64,1.16
583.41,1.09
589.25,0.98
595.14,0.83
601.09,0.67
607.10,0.54
613.17,0.42
619.30,0.36
625.50,0.35
631.75,0.35
638.07,0.39
644.45,0.45
650.89,0.50
657.40,0.56
663.98,0.62
670.62,0.70
677.32,0.78
684.10,0.87
690.94,0.98
697.85,1.08
704.83,1.16
711.87,1.23
718.99,1.28
726.18,1.30
733.44,1.31
740.78,1.31
748.19,1.28
755.67,1.24
763.23,1.14
770.86,1.00
778.57,0.82
786.35,0.64
794.22,0.49
802.16,0.42
810.18,0.42
818.28,0.50
826.46,0.59
834.73,0.68
843.08,0.74
851.51,0.77
860.02,0.78
868.62,0.78
877.31,0.76
886.08,0.73
894.94,0.71
903.89,0.66
912.93,0.63
922.06,0.59
931.28,0.55
940.59,0.52
950.00,0.46
959.50,0.37
969.09,0.27
978.78,0.17
988.57,0.08
998.46,0.00
1008.44,-0.05
1018.53,-0.09
1028.71,-0.13
1039.00,-0.17
1049.39,-0.22
1059.88,-0.28
1070.48,-0.33
1081.19,-0.39
1092.00,-0.44
1102.92,-0.50
1113.95,-0.57
1125.09,-0.63
1136.34,-0.70
1147.70,-0.75
1159.18,-0.79
1170.77,-0.81
1182.48,-0.80
1194.30,-0.76
1206.25,-0.71
1218.31,-0.66
1230.49,-0.60
1242.80,-0.53
1255.22,-0.45
1267.78,-0.41
1280.45,-0.38
1293.26,-0.37
1306.19,-0.35
1319.25,-0.33
1332.45,-0.30
1345.77,-0.29
1359.23,-0.27
1372.82,-0.25
1386.55,-0.22
1400.41,-0.16
1414.42,-0.13
1428.56,-0.09
1442.85,-0.04
1457.28,-0.00
1471.85,0.04
1486.57,0.06
1501.43,0.08
1516.45,0.07
1531.61,0.03
1546.93,-0.02
1562.40,-0.09
1578.02,-0.15
1593.80,-0.20
1609.74,-0.24
1625.84,-0.25
1642.10,-0.25
1658.52,-0.23
1675.10,-0.17
1691.85,-0.11
1708.77,-0.05
1725.86,-0.01
1743.12,0.02
1760.55,0.07
1778.15,0.16
1795.94,0.27
1813.90,0.42
1832.03,0.59
1850.36,0.77
1868.86,0.94
1887.55,1.08
1906.42,1.22
1925.49,1.36
1944.74,1.50
1964.19,1.67
1983.83,1.84
2003.67,2.01
2023.71,2.17
2043.94,2.33
2064.38,2.46
2085.03,2.59
2105.88,2.70
2126.94,2.82
2148.20,2.96
2169.69,3.05
2191.38,3.16
2213.30,3.27
2235.43,3.44
2257.78,3.65
2280.36,3.87
2303.17,4.10
2326.20,4.32
2349.46,4.52
2372.95,4.70
2396.68,4.87
2420.65,5.01
2444.86,5.15
2469.31,5.25
2494.00,5.35
2518.94,5.43
2544.13,5.56
2569.57,5.70
2595.27,5.84
2621.22,6.02
2647.43,6.19
2673.90,6.36
2700.64,6.53
2727.65,6.69
2754.93,6.82
2782.48,6.93
2810.30,7.00
2838.40,7.06
2866.79,7.11
2895.46,7.14
2924.41,7.18
2953.65,7.18
2983.19,7.16
3013.02,7.16
3043.15,7.20
3073.58,7.29
3104.32,7.44
3135.36,7.63
3166.72,7.90
3198.38,8.22
3230.37,8.55
3262.67,8.90
3295.30,9.24
3328.25,9.61
3361.53,10.01
3395.15,10.44
3429.10,10.92
3463.39,11.43
3498.03,11.98
3533.01,12.58
3568.34,13.21
3604.02,13.75
3640.06,14.12
3676.46,14.21
3713.22,14.04
3750.36,13.72
3787.86,13.33
3825.74,12.90
3864.00,12.45
3902.64,11.98
3941.66,11.44
3981.08,10.80
4020.89,10.01
4061.10,9.19
4101.71,8.47
4142.73,7.99
4184.15,7.73
4226.00,7.60
4268.26,7.52
4310.94,7.53
4354.05,7.74
4397.59,8.16
4441.56,8.72
4485.98,9.34
4530.84,9.93
4576.15,10.48
4621.91,10.98
4668.13,11.38
4714.81,11.70
4761.96,11.95
4809.58,12.13
4857.67,12.25
4906.25,12.33
4955.31,12.42
5004.87,12.50
5054.91,12.55
5105.46,12.59
5156.52,12.58
5208.08,12.56
5260.16,12.54
5312.77,12.52
5365.89,12.54
5419.55,12.57
5473.75,12.65
5528.49,12.77
5583.77,12.90
5639.61,13.02
5696.00,13.12
5752.96,13.12
5810.49,13.01
5868.60,12.78
5927.28,12.43
5986.56,11.94
6046.42,11.33
6106.89,10.63
6167.96,9.83
6229.64,9.00
6291.93,8.15
6354.85,7.32
6418.40,6.55
6482.58,5.90
6547.41,5.36
6612.88,5.01
6679.01,4.81
6745.80,4.76
