frequency,raw
20.00,-14.35
20.20,-14.18
20.40,-14.02
20.61,-13.83
20.81,-13.65
21.02,-13.47
21.23,-13.29
21.44,-13.11
21.66,-12.93
21.87,-12.76
22.09,-12.59
22.31,-12.42
22.54,-12.25
22.76,-12.07
22.99,-11.91
23.22,-11.74
23.45,-11.57
23.69,-11.39
23.92,-11.22
24.16,-11.04
24.40,-10.88
24.65,-10.69
24.89,-10.52
25.14,-10.33
25.39,-10.16
25.65,-9.98
25.91,-9.81
26.16,-9.62
26.43,-9.44
26.69,-9.26
26.96,-9.08
27.23,-8.90
27.50,-8.72
27.77,-8.54
28.05,-8.36
28.33,-8.19
28.62,-8.02
28.90,-7.86
29.19,-7.69
29.48,-7.51
29.78,-7.34
30.08,-7.16
30.38,-7.00
30.68,-6.81
30.99,-6.63
31.30,-6.47
31.61,-6.29
31.93,-6.13
32.24,-5.98
32.57,-5.81
32.89,-5.63
33.22,-5.46
33.55,-5.30
33.89,-5.14
34.23,-4.98
34.57,-4.81
34.92,-4.64
35.27,-4.47
35.62,-4.31
35.97,-4.15
36.33,-3.98
36.70,-3.83
37.06,-3.67
37.43,-3.51
37.81,-3.35
38.19,-3.20
38.57,-3.05
38.95,-2.89
39.34,-2.75
39.74,-2.60
40.14,-2.45
40.54,-2.31
40.94,-2.15
41.35,-2.01
41.76,-1.87
42.18,-1.73
42.60,-1.59
43.03,-1.46
43.46,-1.32
43.90,-1.18
44.33,-1.04
44.78,-0.92
45.23,-0.79
45.68,-0.67
46.13,-0.54
46.60,-0.42
47.06,-0.29
47.53,-0.17
48.01,-0.06
48.49,0.05
48.97,0.16
49.46,0.27
49.96,0.38
50.46,0.49
50.96,0.60
51.47,0.69
51.99,0.79
52.51,0.88
53.03,0.97
53.56,1.07
54.10,1.17
54.64,1.24
55.18,1.33
55.74,1.41
56.29,1.48
56.86,1.56
57.42,1.64
58.00,1.71
58.58,1.76
59.16,1.83
59.76,1.89
60.35,1.96
60.96,2.01
61.57,2.07
62.18,2.13
62.80,2.18
63.43,2.23
64.07,2.27
64.71,2.31
65.35,2.35
66.01,2.39
66.67,2.43
67.33,2.47
68.01,2.49
68.69,2.54
69.37,2.56
70.07,2.59
70.77,2.62
71.48,2.65
72.19,2.67
72.91,2.70
73.64,2.72
74.38,2.74
75.12,2.76
75.87,2.79
76.63,2.80
77.40,2.82
78.17,2.84
78.95,2.86
79.74,2.88
80.54,2.90
81.35,2.93
82.16,2.95
82.98,2.96
83.81,2.99
84.65,2.99
85.50,3.01
86.35,3.02
87.22,3.02
88.09,3.04
88.97,3.05
89.86,3.06
90.76,3.06
91.66,3.06
92.58,3.07
93.51,3.07
94.44,3.08
95.39,3.08
96.34,3.08
97.30,3.08
98.28,3.09
