frequency,raw
20.00,18.61
20.20,18.74
20.40,18.86
20.61,19.02
20.81,19.18
21.02,19.35
21.23,19.54
21.44,19.72
21.66,19.91
21.87,20.09
22.09,20.26
22.31,20.39
22.54,20.51
22.76,20.61
22.99,20.64
23.22,20.64
23.45,20.62
23.69,20.54
23.92,20.41
24.16,20.27
24.40,20.04
24.65,19.80
24.89,19.50
25.14,19.18
25.39,18.79
25.65,18.39
25.91,17.95
26.16,17.45
26.43,16.97
26.69,16.44
26.96,15.92
27.23,15.40
27.50,14.87
27.77,14.37
28.05,13.91
28.33,13.46
28.62,13.08
28.90,12.69
29.19,12.37
29.48,12.09
29.78,11.87
30.08,11.69
30.38,11.54
30.68,11.46
30.99,11.42
31.30,11.38
31.61,11.39
31.93,11.40
32.24,11.42
32.57,11.46
32.89,11.51
33.22,11.55
33.55,11.59
33.89,11.61
34.23,11.62
34.57,11.64
34.92,11.65
35.27,11.65
35.62,11.65
35.97,11.63
36.33,11.62
36.70,11.59
37.06,11.57
37.43,11.56
37.81,11.54
38.19,11.52
38.57,11.51
38.95,11.50
39.34,11.48
39.74,11.47
40.14,11.46
40.54,11.44
40.94,11.43
41.35,11.40
41.76,11.37
42.18,11.34
42.60,11.30
43.03,11.25
43.46,11.21
43.90,11.15
44.33,11.10
44.78,11.03
45.23,10.97
45.68,10.90
46.13,10.83
46.60,10.76
47.06,10.70
47.53,10.63
48.01,10.56
48.49,10.49
48.97,10.42
49.46,10.35
49.96,10.28
50.46,10.22
50.96,10.16
51.47,10.08
51.99,10.00
52.51,9.91
53.03,9.83
53.56,9.75
54.10,9.67
54.64,9.56
55.18,9.47
55.74,9.38
56.29,9.28
56.86,9.19
57.42,9.09
58.00,8.99
58.58,8.87
59.16,8.77
59.76,8.66
60.35,8.55
60.96,8.43
61.57,8.33
62.18,8.21
62.80,8.10
63.43,7.98
64.07,7.85
64.71,7.73
65.35,7.61
66.01,7.48
66.67,7.36
67.33,7.24
68.01,7.10
68.69,6.99
69.37,6.85
70.07,6.71
70.77,6.56
71.48,6.42
72.19,6.26
72.91,6.11
73.64,5.94
74.38,5.77
75.12,5.60
75.87,5.42
76.63,5.23
77.40,5.04
78.17,4.84
78.95,4.64
79.74,4.42
80.54,4.21
81.35,3.99
82.16,3.75
82.98,3.50
83.81,3.25
84.65,2.98
85.50,2.72
86.35,2.45
87.22,2.17
88.09,1.89
88.97,1.61
89.86,1.32
90.76,1.04
91.66,0.75
92.58,0.48
93.51,0.22
94.44,-0.03
95.39,-0.26
96.34,-0.48
97.30,-0.66
98.28,-0.81
99.26,-0.94
100.25,-1.03
101.25,-1.10
102.27,-1.14
103.29,-1.13
104.32,-1.11
105.37,-1.07
106.42,-1.01
107.48,-0.92
108.56,-0.83
109.64,-0.73
110.74,-0.63
111.85,-0.52
112.97,-0.42
114.10,-0.32
115.24,-0.21
116.39,-0.12
117.55,-0.04
118.73,0.03
119.92,0.10
121.12,0.15
122.33,0.19
123.55,0.23
124.79,0.25
126.03,0.27
127.29,0.27
128.57,0.27
129.85,0.26
131.15,0.22
132.46,0.20
133.79,0.14
135.12,0.08
136.48,0.01
137.84,-0.08
139.22,-0.16
140.61,-0.25
142.02,-0.34
143.44,-0.46
144.87,-0.57
146.32,-0.69
147.78,-0.83
149.26,-0.96
150.75,-1.12
152.26,-1.27
153.78,-1.43
155.32,-1.59
156.88,-1.77
158.44,-1.95
160.03,-2.13
161.63,-2.32
163.24,-2.49
164.88,-2.68
166.53,-2.87
168.19,-3.06
169.87,-3.25
171.57,-3.42
173.29,-3.60
175.02,-3.76
176.77,-3.93
178.54,-4.08
180.32,-4.21
182.13,-4.35
183.95,-4.46
185.79,-4.55
187.65,-4.63
189.52,-4.71
191.42,-4.75
193.33,-4.78
195.27,-4.80
197.22,-4.80
199.19,-4.79
201.18,-4.76
203.19,-4.72
205.23,-4.68
207.28,-4.62
209.35,-4.55
211.44,-4.47
213.56,-4.39
215.69,-4.32
217.85,-4.23
220.03,-4.15
222.23,-4.05
224.45,-3.97
226.70,-3.89
228.96,-3.80
231.25,-3.73
233.57,-3.65
235.90,-3.58
238.26,-3.50
240.64,-3.44
243.05,-3.36
245.48,-3.31
247.93,-3.26
250.41,-3.19
252.92,-3.14
255.45,-3.09
258.00,-3.04
260.58,-2.98
263.19,-2.94
265.82,-2.89
268.48,-2.85
271.16,-2.80
273.87,-2.77
276.61,-2.72
279.38,-2.68
282.17,-2.65
284.99,-2.62
287.84,-2.61
290.72,-2.58
293.63,-2.56
296.57,-2.56
299.53,-2.57
302.53,-2.57
305.55,-2.59
308.61,-2.61
311.69,-2.64
314.81,-2.66
317.96,-2.70
321.14,-2.73
324.35,-2.77
327.59,-2.80
330.87,-2.84
334.18,-2.87
337.52,-2.89
340.90,-2.92
344.30,-2.94
347.75,-2.96
351.23,-2.98
354.74,-2.98
358.28,-2.99
361.87,-2.98
365.49,-2.98
369.14,-2.98
372.83,-2.96
376.56,-2.95
380.33,-2.96
384.13,-2.95
387.97,-2.95
391.85,-2.96
395.77,-2.96
399.73,-2.97
403.72,-2.98
407.76,-3.02
411.84,-3.05
415.96,-3.06
420.12,-3.09
424.32,-3.12
428.56,-3.12
432.85,-3.14
437.18,-3.14
441.55,-3.12
445.96,-3.12
450.42,-3.14
454.93,-3.16
459.48,-3.16
464.07,-3.16
468.71,-3.14
473.40,-3.11
478.13,-3.07
482.91,-3.02
487.74,-2.96
492.62,-2.89
497.55,-2.83
502.52,-2.78
507.55,-2.72
512.62,-2.66
517.75,-2.61
522.93,-2.56
528.16,-2.52
533.44,-2.47
538.77,-2.43
544.16,-2.40
549.60,-2.36
555.10,-2.32
560.65,-2.28
566.25,-2.25
571.92,-2.21
577.64,-2.18
583.41,-2.14
589.25,-2.10
595.14,-2.09
601.09,-2.05
607.10,-2.01
613.17,-1.99
619.30,-1.95
625.50,-1.90
631.75,-1.88
638.07,-1.83
644.45,-1.79
650.89,-1.74
657.40,-1.69
663.98,-1.64
670.62,-1.58
677.32,-1.52
684.10,-1.47
690.94,-1.41
697.85,-1.35
704.83,-1.30
711.87,-1.25
718.99,-1.20
