frequency,raw
20.00,-1.74
20.20,-1.60
20.40,-1.47
20.61,-1.32
20.81,-1.18
21.02,-1.04
21.23,-0.90
21.44,-0.76
21.66,-0.62
21.87,-0.49
22.09,-0.35
22.31,-0.21
22.54,-0.07
22.76,0.07
22.99,0.20
23.22,0.33
23.45,0.47
23.69,0.60
23.92,0.73
24.16,0.86
24.40,0.98
24.65,1.11
24.89,1.23
25.14,1.35
25.39,1.47
25.65,1.58
25.91,1.70
26.16,1.82
26.43,1.93
26.69,2.04
26.96,2.14
27.23,2.25
27.50,2.34
27.77,2.44
28.05,2.54
28.33,2.63
28.62,2.72
28.90,2.79
29.19,2.87
29.48,2.95
29.78,3.03
30.08,3.11
30.38,3.16
30.68,3.24
30.99,3.31
31.30,3.36
31.61,3.43
31.93,3.48
32.24,3.52
32.57,3.57
32.89,3.63
33.22,3.68
33.55,3.73
33.89,3.77
34.23,3.80
34.57,3.85
34.92,3.88
35.27,3.92
35.62,3.95
35.97,3.97
36.33,4.00
36.70,4.02
37.06,4.04
37.43,4.06
37.81,4.08
38.19,4.09
38.57,4.10
38.95,4.11
39.34,4.11
39.74,4.12
40.14,4.12
40.54,4.12
40.94,4.12
41.35,4.12
41.76,4.11
42.18,4.10
42.60,4.09
43.03,4.07
43.46,4.06
43.90,4.05
44.33,4.03
44.78,4.00
45.23,3.99
45.68,3.95
46.13,3.93
46.60,3.89
47.06,3.87
47.53,3.83
48.01,3.79
48.49,3.75
48.97,3.70
49.46,3.66
49.96,3.61
50.46,3.57
50.96,3.53
51.47,3.48
51.99,3.43
52.51,3.38
53.03,3.33
53.56,3.29
54.10,3.25
54.64,3.19
55.18,3.13
55.74,3.08
56.29,3.03
56.86,2.98
57.42,2.92
58.00,2.87
58.58,2.80
59.16,2.76
59.76,2.70
60.35,2.65
60.96,2.59
61.57,2.54
62.18,2.50
62.80,2.45
63.43,2.40
64.07,2.35
64.71,2.31
65.35,2.26
66.01,2.21
66.67,2.18
67.33,2.14
68.01,2.09
68.69,2.06
69.37,2.02
70.07,1.98
70.77,1.94
71.48,1.91
72.19,1.87
72.91,1.84
73.64,1.80
74.38,1.77
75.12,1.74
75.87,1.72
76.63,1.68
77.40,1.65
78.17,1.62
78.95,1.60
79.74,1.57
80.54,1.55
81.35,1.53
82.16,1.50
82.98,1.48
83.81,1.46
84.65,1.42
85.50,1.40
86.35,1.38
87.22,1.35
88.09,1.33
88.97,1.30
89.86,1.27
90.76,1.25
91.66,1.21
92.58,1.18
93.51,1.15
94.44,1.13
95.39,1.10
96.34,1.06
97.30,1.03
98.28,1.01
99.26,0.98
100.25,0.96
101.25,0.94
102.27,0.91
103.29,0.88
104.32,0.86
105.37,0.83
106.42,0.80
107.48,0.78
108.56,0.76
109.64,0.73
110.74,0.71
111.85,0.69
112.97,0.66
114.10,0.64
115.24,0.62
116.39,0.60
117.55,0.57
118.73,0.55
119.92,0.52
121.12,0.49
122.33,0.47
123.55,0.45
124.79,0.41
126.03,0.39
127.29,0.36
128.57,0.34
129.85,0.31
131.15,0.28
132.46,0.26
133.79,0.23
135.12,0.19
136.48,0.16
137.84,0.11
139.22,0.08
140.61,0.05
142.02,0.01
143.44,-0.03
144.87,-0.07
146.32,-0.11
147.78,-0.16
149.26,-0.20
150.75,-0.26
152.26,-0.30
153.78,-0.35
155.32,-0.40
156.88,-0.45
158.44,-0.51
160.03,-0.57
161.63,-0.63
163.24,-0.68
164.88,-0.73
166.53,-0.80
168.19,-0.86
169.87,-0.93
171.57,-0.98
173.29,-1.05
175.02,-1.10
176.77,-1.18
178.54,-1.23
180.32,-1.29
182.13,-1.35
183.95,-1.41
185.79,-1.47
187.65,-1.52
189.52,-1.60
191.42,-1.65
193.33,-1.70
195.27,-1.77
197.22,-1.82
199.19,-1.88
201.18,-1.93
203.19,-2.00
205.23,-2.06
207.28,-2.11
209.35,-2.16
211.44,-2.20
213.56,-2.26
215.69,-2.32
217.85,-2.37
220.03,-2.42
222.23,-2.46
224.45,-2.51
226.70,-2.56
