frequency,raw
20.00,4.22
20.20,4.31
20.40,4.39
20.61,4.48
20.81,4.56
21.02,4.65
21.23,4.73
21.44,4.79
21.66,4.87
21.87,4.93
22.09,5.00
22.31,5.06
22.54,5.13
22.76,5.19
22.99,5.25
23.22,5.30
23.45,5.36
23.69,5.41
23.92,5.46
24.16,5.52
24.40,5.55
24.65,5.61
24.89,5.65
25.14,5.70
25.39,5.74
25.65,5.78
25.91,5.82
26.16,5.86
26.43,5.88
26.69,5.91
26.96,5.93
27.23,5.95
27.50,5.95
27.77,5.97
28.05,5.98
28.33,5.98
28.62,5.99
28.90,5.98
29.19,5.98
29.48,5.97
29.78,5.97
30.08,5.96
30.38,5.94
30.68,5.94
30.99,5.93
31.30,5.92
31.61,5.91
31.93,5.90
32.24,5.88
32.57,5.87
32.89,5.87
33.22,5.87
33.55,5.85
33.89,5.84
34.23,5.82
34.57,5.82
34.92,5.81
35.27,5.80
35.62,5.80
35.97,5.79
36.33,5.80
36.70,5.80
37.06,5.82
37.43,5.83
37.81,5.85
38.19,5.87
38.57,5.89
38.95,5.93
39.34,5.95
39.74,5.99
40.14,6.03
40.54,6.06
40.94,6.11
41.35,6.15
41.76,6.18
42.18,6.23
42.60,6.27
43.03,6.30
43.46,6.34
43.90,6.38
44.33,6.42
44.78,6.44
45.23,6.48
45.68,6.50
46.13,6.53
46.60,6.55
47.06,6.57
47.53,6.59
48.01,6.60
48.49,6.61
48.97,6.62
49.46,6.63
49.96,6.63
50.46,6.64
50.96,6.65
51.47,6.65
51.99,6.64
52.51,6.64
53.03,6.64
53.56,6.65
54.10,6.65
54.64,6.63
55.18,6.63
55.74,6.63
56.29,6.62
56.86,6.61
57.42,6.61
58.00,6.60
58.58,6.58
59.16,6.58
59.76,6.56
60.35,6.56
60.96,6.54
61.57,6.54
62.18,6.53
62.80,6.52
63.43,6.51
64.07,6.49
64.71,6.48
65.35,6.47
66.01,6.45
66.67,6.45
67.33,6.44
68.01,6.42
