frequency,raw
20.00,-6.31
20.20,-6.23
20.40,-6.15
20.61,-6.05
20.81,-5.95
21.02,-5.85
21.23,-5.75
21.44,-5.67
21.66,-5.57
21.87,-5.49
22.09,-5.41
22.31,-5.33
22.54,-5.24
22.76,-5.15
22.99,-5.07
23.22,-4.98
23.45,-4.88
23.69,-4.80
23.92,-4.71
24.16,-4.62
24.40,-4.55
24.65,-4.46
24.89,-4.38
25.14,-4.28
25.39,-4.18
25.65,-4.08
25.91,-3.98
26.16,-3.86
26.43,-3.76
26.69,-3.65
26.96,-3.55
27.23,-3.46
27.50,-3.37
27.77,-3.27
28.05,-3.17
28.33,-3.08
28.62,-2.97
28.90,-2.88
29.19,-2.77
29.48,-2.66
29.78,-2.55
30.08,-2.44
30.38,-2.35
30.68,-2.24
30.99,-2.14
31.30,-2.05
31.61,-1.95
31.93,-1.87
32.24,-1.79
32.57,-1.70
32.89,-1.60
33.22,-1.50
33.55,-1.41
33.89,-1.32
34.23,-1.23
34.57,-1.14
34.92,-1.05
35.27,-0.96
35.62,-0.87
35.97,-0.79
36.33,-0.70
36.70,-0.61
37.06,-0.52
37.43,-0.43
37.81,-0.34
38.19,-0.24
38.57,-0.15
38.95,-0.05
39.34,0.03
39.74,0.13
40.14,0.23
40.54,0.31
40.94,0.43
41.35,0.53
41.76,0.63
42.18,0.74
42.60,0.84
43.03,0.94
43.46,1.05
43.90,1.15
44.33,1.26
44.78,1.35
45.23,1.47
45.68,1.56
46.13,1.67
46.60,1.77
47.06,1.87
47.53,1.97
48.01,2.07
48.49,2.17
48.97,2.26
49.46,2.36
49.96,2.45
50.46,2.55
50.96,2.65
51.47,2.74
51.99,2.83
52.51,2.91
53.03,3.00
53.56,3.10
54.10,3.20
54.64,3.27
55.18,3.36
55.74,3.45
56.29,3.53
56.86,3.61
57.42,3.69
58.00,3.77
58.58,3.83
59.16,3.91
59.76,3.98
60.35,4.05
60.96,4.12
61.57,4.19
62.18,4.26
62.80,4.33
63.43,4.39
64.07,4.44
64.71,4.51
65.35,4.56
66.01,4.62
66.67,4.68
67.33,4.73
68.01,4.77
68.69,4.84
69.37,4.88
70.07,4.92
70.77,4.97
71.48,5.01
72.19,5.05
72.91,5.09
73.64,5.12
74.38,5.16
75.12,5.20
75.87,5.24
76.63,5.27
77.40,5.30
78.17,5.34
78.95,5.38
79.74,5.41
80.54,5.44
81.35,5.48
82.16,5.51
82.98,5.53
83.81,5.56
84.65,5.58
85.50,5.60
86.35,5.62
87.22,5.63
88.09,5.65
88.97,5.66
89.86,5.68
90.76,5.69
91.66,5.69
92.58,5.70
93.51,5.70
94.44,5.71
95.39,5.71
96.34,5.71
97.30,5.71
98.28,5.72
99.26,5.72
100.25,5.72
101.25,5.73
102.27,5.73
103.29,5.73
104.32,5.72
105.37,5.72
106.42,5.71
107.48,5.72
108.56,5.72
109.64,5.72
110.74,5.72
111.85,5.72
112.97,5.71
114.10,5.71
115.24,5.71
116.39,5.70
117.55,5.69
118.73,5.69
119.92,5.68
121.12,5.66
122.33,5.65
123.55,5.64
124.79,5.62
126.03,5.61
127.29,5.59
128.57,5.58
129.85,5.56
131.15,5.54
132.46,5.53
133.79,5.51
135.12,5.48
136.48,5.46
137.84,5.42
139.22,5.40
140.61,5.38
142.02,5.36
143.44,5.32
144.87,5.30
146.32,5.27
147.78,5.23
149.26,5.21
150.75,5.17
152.26,5.14
153.78,5.12
155.32,5.08
156.88,5.04
158.44,5.00
160.03,4.97
161.63,4.93
163.24,4.90
164.88,4.87
166.53,4.83
168.19,4.79
169.87,4.75
171.57,4.72
173.29,4.67
175.02,4.65
176.77,4.60
178.54,4.57
180.32,4.53
182.13,4.49
183.95,4.45
185.79,4.42
187.65,4.38
189.52,4.33
191.42,4.30
193.33,4.27
195.27,4.22
197.22,4.18
199.19,4.14
201.18,4.10
203.19,4.05
205.23,4.00
207.28,3.97
209.35,3.92
211.44,3.88
213.56,3.83
215.69,3.77
217.85,3.72
220.03,3.66
222.23,3.61
224.45,3.55
226.70,3.48
228.96,3.41
231.25,3.33
233.57,3.25
235.90,3.16
238.26,3.08
240.64,2.97
243.05,2.88
245.48,2.76
247.93,2.65
250.41,2.54
252.92,2.41
255.45,2.28
258.00,2.15
260.58,2.04
263.19,1.93
265.82,1.85
268.48,1.79
271.16,1.81
273.87,1.86
276.61,1.99
279.38,2.20
282.17,2.45
284.99,2.74
287.84,3.08
290.72,3.43
293.63,3.77
296.57,4.06
299.53,4.31
302.53,4.53
305.55,4.66
308.61,4.74
311.69,4.78
314.81,4.78
317.96,4.72
321.14,4.65
324.35,4.55
327.59,4.46
330.87,4.35
334.18,4.24
337.52,4.14
340.90,4.03
344.30,3.93
347.75,3.82
351.23,3.73
354.74,3.65
358.28,3.55
361.87,3.47
365.49,3.38
369.14,3.29
372.83,3.22
376.56,3.15
380.33,3.05
384.13,2.97
387.97,2.89
391.85,2.80
395.77,2.73
399.73,2.65
403.72,2.58
407.76,2.50
411.84,2.42
415.96,2.37
420.12,2.30
424.32,2.24
428.56,2.18
432.85,2.12
437.18,2.07
441.55,2.03
445.96,1.98
450.42,1.95
454.93,1.92
459.48,1.89
464.07,1.87
468.71,1.85
473.40,1.84
478.13,1.83
482.91,1.81
