frequency,raw
20.00,2.62
20.20,2.64
20.40,2.65
20.61,2.67
20.81,2.68
21.02,2.70
21.23,2.72
21.44,2.72
21.66,2.74
21.87,2.74
22.09,2.76
22.31,2.77
22.54,2.78
22.76,2.80
22.99,2.81
23.22,2.82
23.45,2.84
23.69,2.85
23.92,2.85
24.16,2.87
24.40,2.86
24.65,2.88
24.89,2.90
25.14,2.92
25.39,2.93
25.65,2.95
25.91,2.96
26.16,2.99
26.43,3.00
26.69,3.01
26.96,3.01
27.23,3.01
27.50,3.01
27.77,3.01
28.05,3.01
28.33,2.99
28.62,2.99
28.90,2.96
29.19,2.93
29.48,2.91
29.78,2.89
30.08,2.86
30.38,2.82
30.68,2.79
30.99,2.77
31.30,2.73
31.61,2.70
31.93,2.66
32.24,2.61
32.57,2.58
32.89,2.54
33.22,2.51
33.55,2.47
33.89,2.43
34.23,2.39
34.57,2.36
34.92,2.33
35.27,2.30
35.62,2.28
35.97,2.25
36.33,2.24
36.70,2.22
37.06,2.21
37.43,2.20
37.81,2.20
38.19,2.19
38.57,2.18
38.95,2.19
39.34,2.18
39.74,2.19
40.14,2.19
40.54,2.19
40.94,2.21
41.35,2.22
41.76,2.22
42.18,2.24
42.60,2.25
43.03,2.25
43.46,2.27
43.90,2.28
44.33,2.29
44.78,2.29
45.23,2.32
45.68,2.33
46.13,2.35
46.60,2.37
47.06,2.41
47.53,2.43
48.01,2.46
48.49,2.50
48.97,2.54
49.46,2.59
49.96,2.64
50.46,2.70
50.96,2.78
51.47,2.84
51.99,2.91
52.51,2.99
53.03,3.06
53.56,3.14
54.10,3.21
54.64,3.27
55.18,3.32
55.74,3.38
56.29,3.42
56.86,3.47
57.42,3.51
58.00,3.55
58.58,3.57
59.16,3.61
59.76,3.64
60.35,3.69
60.96,3.72
61.57,3.76
62.18,3.79
62.80,3.83
63.43,3.85
64.07,3.86
64.71,3.88
65.35,3.88
66.01,3.88
66.67,3.89
67.33,3.89
68.01,3.89
68.69,3.91
69.37,3.91
70.07,3.92
70.77,3.94
71.48,3.95
72.19,3.97
72.91,4.00
73.64,4.01
74.38,4.03
75.12,4.06
75.87,4.08
76.63,4.08
77.40,4.10
78.17,4.12
78.95,4.15
79.74,4.17
80.54,4.20
81.35,4.24
82.16,4.28
82.98,4.32
83.81,4.38
84.65,4.43
85.50,4.50
86.35,4.58
87.22,4.65
88.09,4.75
88.97,4.84
89.86,4.93
90.76,5.03
91.66,5.11
92.58,5.21
93.51,5.29
94.44,5.37
95.39,5.45
96.34,5.51
97.30,5.57
98.28,5.63
99.26,5.68
100.25,5.73
101.25,5.77
102.27,5.80
103.29,5.83
104.32,5.85
105.37,5.87
106.42,5.87
107.48,5.89
108.56,5.90
109.64,5.90
110.74,5.89
111.85,5.90
112.97,5.89
114.10,5.89
115.24,5.89
116.39,5.89
117.55,5.88
118.73,5.88
119.92,5.87
121.12,5.86
122.33,5.85
123.55,5.84
124.79,5.82
126.03,5.81
127.29,5.79
128.57,5.78
129.85,5.77
131.15,5.75
132.46,5.75
133.79,5.74
135.12,5.73
136.48,5.71
137.84,5.69
139.22,5.69
140.61,5.68
142.02,5.68
143.44,5.66
144.87,5.66
146.32,5.65
147.78,5.64
149.26,5.65
150.75,5.63
152.26,5.62
153.78,5.61
155.32,5.60
156.88,5.57
158.44,5.55
160.03,5.53
161.63,5.49
163.24,5.47
164.88,5.44
166.53,5.41
168.19,5.37
169.87,5.32
171.57,5.29
173.29,5.24
175.02,5.21
176.77,5.15
178.54,5.11
180.32,5.07
182.13,5.02
183.95,4.97
185.79,4.93
187.65,4.89
189.52,4.83
191.42,4.79
193.33,4.75
195.27,4.69
197.22,4.64
199.19,4.58
201.18,4.54
203.19,4.48
205.23,4.41
207.28,4.37
209.35,4.31
211.44,4.26
213.56,4.19
215.69,4.12
217.85,4.06
220.03,3.99
222.23,3.92
224.45,3.84
226.70,3.75
228.96,3.67
231.25,3.58
233.57,3.50
235.90,3.40
238.26,3.33
240.64,3.23
243.05,3.15
245.48,3.06
247.93,2.97
250.41,2.90
252.92,2.81
255.45,2.72
258.00,2.64
260.58,2.56
263.19,2.47
265.82,2.40
268.48,2.30
271.16,2.22
273.87,2.13
276.61,2.05
279.38,1.97
282.17,1.88
284.99,1.80
287.84,1.71
290.72,1.64
293.63,1.55
296.57,1.47
299.53,1.38
302.53,1.30
305.55,1.21
308.61,1.14
311.69,1.05
314.81,0.98
317.96,0.90
321.14,0.82
324.35,0.74
327.59,0.67
330.87,0.59
334.18,0.53
337.52,0.46
340.90,0.40
344.30,0.34
347.75,0.28
351.23,0.23
354.74,0.18
358.28,0.13
361.87,0.09
365.49,0.04
369.14,-0.00
372.83,-0.02
376.56,-0.05
380.33,-0.10
384.13,-0.12
387.97,-0.16
391.85,-0.19
395.77,-0.21
399.73,-0.24
403.72,-0.26
407.76,-0.29
411.84,-0.32
415.96,-0.32
420.12,-0.34
424.32,-0.36
428.56,-0.37
432.85,-0.39
437.18,-0.40
441.55,-0.40
445.96,-0.41
450.42,-0.42
454.93,-0.44
459.48,-0.44
464.07,-0.46
468.71,-0.47
473.40,-0.47
478.13,-0.48
482.91,-0.50
487.74,-0.51
492.62,-0.51
497.55,-0.53
502.52,-0.55
507.55,-0.56
512.62,-0.58
517.75,-0.59
522.93,-0.61
528.16,-0.62
533.44,-0.63
538.77,-0.65
544.16,-0.67
549.60,-0.68
555.10,-0.69
560.65,-0.70
566.25,-0.71
571.92,-0.71
577.64,-0.73
583.41,-0.75
589.25,-0.75
595.14,-0.79
601.09,-0.80
607.10,-0.82
613.17,-0.84
619.30,-0.85
625.50,-0.85
631.75,-0.88
638.07,-0.87
644.45,-0.87
650.89,-0.86
657.40,-0.86
663.98,-0.85
670.62,-0.82
677.32,-0.81
684.10,-0.80
690.94,-0.77
697.85,-0.75
704.83,-0.74
711.87,-0.72
718.99,-0.71
726.18,-0.70
733.44,-0.69
740.78,-0.68
748.19,-0.66
755.67,-0.64
763.23,-0.62
770.86,-0.61
778.57,-0.59
786.35,-0.56
794.22,-0.52
802.16,-0.48
810.18,-0.45
818.28,-0.39
826.46,-0.35
834.73,-0.30
843.08,-0.24
851.51,-0.21
860.02,-0.17
868.62,-0.12
877.31,-0.10
886.08,-0.08
894.94,-0.04
903.89,-0.03
912.93,0.00
922.06,0.02
931.28,0.03
940.59,0.06
950.00,0.06
959.50,0.06
969.09,0.05
978.78,0.05
988.57,0.03
998.46,0.00
1008.44,-0.03
1018.53,-0.05
1028.71,-0.08
1039.00,-0.08
1049.39,-0.08
1059.88,-0.07
1070.48,-0.05
