frequency,raw
20.00,-16.73
20.20,-16.38
20.40,-16.06
20.61,-15.73
20.81,-15.39
21.02,-15.06
21.23,-14.72
21.44,-14.38
21.66,-14.02
21.87,-13.65
22.09,-13.29
22.31,-12.93
22.54,-12.58
22.76,-12.22
22.99,-11.88
23.22,-11.55
23.45,-11.21
23.69,-10.88
23.92,-10.54
24.16,-10.19
24.40,-9.84
24.65,-9.50
24.89,-9.15
25.14,-8.81
25.39,-8.46
25.65,-8.14
25.91,-7.81
26.16,-7.44
26.43,-7.11
26.69,-6.75
26.96,-6.40
27.23,-6.04
27.50,-5.69
27.77,-5.34
28.05,-4.99
28.33,-4.65
28.62,-4.32
28.90,-3.98
29.19,-3.64
29.48,-3.30
29.78,-2.95
30.08,-2.61
30.38,-2.27
30.68,-1.92
30.99,-1.57
31.30,-1.23
31.61,-0.88
31.93,-0.54
32.24,-0.19
32.57,0.17
32.89,0.53
33.22,0.88
33.55,1.23
33.89,1.57
34.23,1.91
34.57,2.26
34.92,2.61
35.27,2.96
35.62,3.30
35.97,3.62
36.33,3.95
36.70,4.28
37.06,4.62
37.43,4.98
37.81,5.34
38.19,5.70
38.57,6.04
38.95,6.38
39.34,6.70
39.74,7.03
40.14,7.34
40.54,7.65
40.94,7.96
41.35,8.26
41.76,8.54
42.18,8.80
42.60,9.05
43.03,9.27
43.46,9.48
43.90,9.66
44.33,9.82
44.78,9.94
45.23,10.06
45.68,10.15
46.13,10.24
46.60,10.30
47.06,10.35
47.53,10.38
48.01,10.40
48.49,10.40
48.97,10.39
49.46,10.36
49.96,10.32
50.46,10.27
50.96,10.21
51.47,10.14
51.99,10.05
52.51,9.94
53.03,9.84
53.56,9.75
54.10,9.64
54.64,9.50
55.18,9.37
55.74,9.26
56.29,9.13
56.86,8.97
57.42,8.79
58.00,8.67
58.58,8.63
59.16,8.60
59.76,8.42
60.35,8.16
60.96,7.92
61.57,7.77
62.18,7.62
62.80,7.45
63.43,7.28
64.07,7.15
64.71,7.03
65.35,6.89
66.01,6.76
66.67,6.65
67.33,6.54
68.01,6.41
68.69,6.32
69.37,6.19
70.07,6.07
70.77,5.95
71.48,5.82
72.19,5.69
72.91,5.56
73.64,5.43
74.38,5.32
75.12,5.21
75.87,5.11
76.63,4.99
77.40,4.89
78.17,4.79
78.95,4.68
79.74,4.56
80.54,4.45
81.35,4.34
82.16,4.23
82.98,4.12
83.81,4.02
84.65,3.92
85.50,3.82
86.35,3.72
87.22,3.62
88.09,3.52
88.97,3.42
89.86,3.31
90.76,3.21
91.66,3.11
92.58,3.01
93.51,2.92
94.44,2.83
95.39,2.74
96.34,2.64
97.30,2.55
98.28,2.47
99.26,2.39
100.25,2.32
101.25,2.26
102.27,2.19
103.29,2.12
104.32,2.06
105.37,1.99
106.42,1.91
107.48,1.85
108.56,1.78
109.64,1.71
110.74,1.64
111.85,1.57
112.97,1.49
114.10,1.41
115.24,1.35
116.39,1.27
117.55,1.19
118.73,1.09
119.92,1.00
121.12,0.89
122.33,0.78
123.55,0.68
124.79,0.57
126.03,0.46
127.29,0.36
128.57,0.26
129.85,0.15
131.15,0.04
132.46,-0.05
133.79,-0.15
135.12,-0.25
136.48,-0.35
137.84,-0.45
139.22,-0.53
140.61,-0.61
142.02,-0.68
143.44,-0.77
144.87,-0.85
146.32,-0.94
147.78,-1.04
149.26,-1.12
150.75,-1.21
152.26,-1.30
153.78,-1.38
155.32,-1.47
156.88,-1.55
158.44,-1.64
160.03,-1.72
161.63,-1.80
163.24,-1.87
164.88,-1.94
166.53,-2.01
168.19,-2.09
169.87,-2.16
171.57,-2.21
173.29,-2.28
175.02,-2.34
176.77,-2.41
178.54,-2.46
180.32,-2.52
182.13,-2.57
183.95,-2.63
185.79,-2.68
187.65,-2.73
189.52,-2.80
191.42,-2.85
193.33,-2.89
195.27,-2.95
197.22,-2.99
199.19,-3.04
201.18,-3.07
203.19,-3.12
205.23,-3.16
207.28,-3.18
209.35,-3.22
211.44,-3.26
213.56,-3.31
215.69,-3.36
217.85,-3.41
220.03,-3.46
222.23,-3.49
224.45,-3.53
226.70,-3.55
228.96,-3.57
231.25,-3.59
233.57,-3.59
235.90,-3.61
238.26,-3.61
240.64,-3.63
243.05,-3.63
245.48,-3.67
247.93,-3.69
250.41,-3.70
252.92,-3.73
255.45,-3.77
258.00,-3.79
260.58,-3.81
263.19,-3.84
265.82,-3.86
268.48,-3.89
271.16,-3.89
273.87,-3.91
276.61,-3.92
279.38,-3.92
282.17,-3.93
284.99,-3.94
287.84,-3.96
290.72,-3.97
293.63,-3.98
296.57,-4.01
299.53,-4.04
302.53,-4.06
305.55,-4.08
308.61,-4.09
311.69,-4.12
314.81,-4.13
317.96,-4.16
