frequency,raw
20.00,-4.79
20.20,-4.70
20.40,-4.64
20.61,-4.55
20.81,-4.47
21.02,-4.39
21.23,-4.31
21.44,-4.25
21.66,-4.17
21.87,-4.10
22.09,-4.02
22.31,-3.96
22.54,-3.89
22.76,-3.81
22.99,-3.75
23.22,-3.69
23.45,-3.62
23.69,-3.55
23.92,-3.50
24.16,-3.43
24.40,-3.39
24.65,-3.33
24.89,-3.27
25.14,-3.21
25.39,-3.16
25.65,-3.10
25.91,-3.05
26.16,-2.99
26.43,-2.94
26.69,-2.89
26.96,-2.84
27.23,-2.79
27.50,-2.75
27.77,-2.70
28.05,-2.65
28.33,-2.60
28.62,-2.55
28.90,-2.52
29.19,-2.47
29.48,-2.43
29.78,-2.38
30.08,-2.33
30.38,-2.31
30.68,-2.26
30.99,-2.21
31.30,-2.17
31.61,-2.12
31.93,-2.08
32.24,-2.05
32.57,-2.00
32.89,-1.95
33.22,-1.90
33.55,-1.87
33.89,-1.83
34.23,-1.80
34.57,-1.75
34.92,-1.72
35.27,-1.68
35.62,-1.65
35.97,-1.62
36.33,-1.59
36.70,-1.56
37.06,-1.53
37.43,-1.50
37.81,-1.47
38.19,-1.45
38.57,-1.43
38.95,-1.39
39.34,-1.38
39.74,-1.35
40.14,-1.33
40.54,-1.31
40.94,-1.28
41.35,-1.26
41.76,-1.24
42.18,-1.22
42.60,-1.20
43.03,-1.19
43.46,-1.16
43.90,-1.14
44.33,-1.11
44.78,-1.10
45.23,-1.07
45.68,-1.06
46.13,-1.03
46.60,-1.01
47.06,-0.98
47.53,-0.96
48.01,-0.94
48.49,-0.92
48.97,-0.90
49.46,-0.88
49.96,-0.86
50.46,-0.83
50.96,-0.80
51.47,-0.78
51.99,-0.76
52.51,-0.74
53.03,-0.73
53.56,-0.70
54.10,-0.67
54.64,-0.67
55.18,-0.65
55.74,-0.63
56.29,-0.62
56.86,-0.61
57.42,-0.59
58.00,-0.59
58.58,-0.59
59.16,-0.58
59.76,-0.57
60.35,-0.56
60.96,-0.56
61.57,-0.55
62.18,-0.54
62.80,-0.54
63.43,-0.53
64.07,-0.53
64.71,-0.52
65.35,-0.52
66.01,-0.52
66.67,-0.51
67.33,-0.50
68.01,-0.51
68.69,-0.49
69.37,-0.49
70.07,-0.49
70.77,-0.49
71.48,-0.48
72.19,-0.48
72.91,-0.48
73.64,-0.48
74.38,-0.48
75.12,-0.47
75.87,-0.47
76.63,-0.48
77.40,-0.47
78.17,-0.47
78.95,-0.46
79.74,-0.46
80.54,-0.45
81.35,-0.44
82.16,-0.44
82.98,-0.44
83.81,-0.42
84.65,-0.43
85.50,-0.43
86.35,-0.43
87.22,-0.44
88.09,-0.43
88.97,-0.44
89.86,-0.44
90.76,-0.44
91.66,-0.46
92.58,-0.46
93.51,-0.47
94.44,-0.47
95.39,-0.48
96.34,-0.50
97.30,-0.51
98.28,-0.51
99.26,-0.52
100.25,-0.52
101.25,-0.53
102.27,-0.54
103.29,-0.55
104.32,-0.55
105.37,-0.56
106.42,-0.58
107.48,-0.58
108.56,-0.58
109.64,-0.59
110.74,-0.60
111.85,-0.60
112.97,-0.61
114.10,-0.63
115.24,-0.63
116.39,-0.65
117.55,-0.66
118.73,-0.68
119.92,-0.69
121.12,-0.71
122.33,-0.73
123.55,-0.74
124.79,-0.77
126.03,-0.78
127.29,-0.80
128.57,-0.82
129.85,-0.84
131.15,-0.86
132.46,-0.88
133.79,-0.90
135.12,-0.92
136.48,-0.95
137.84,-0.98
139.22,-1.00
140.61,-1.03
142.02,-1.04
143.44,-1.08
144.87,-1.10
146.32,-1.12
147.78,-1.16
149.26,-1.18
150.75,-1.21
152.26,-1.24
153.78,-1.26
155.32,-1.29
156.88,-1.33
158.44,-1.36
160.03,-1.39
161.63,-1.43
163.24,-1.45
164.88,-1.48
166.53,-1.51
168.19,-1.55
169.87,-1.59
171.57,-1.60
173.29,-1.64
175.02,-1.66
176.77,-1.69
178.54,-1.71
