frequency,raw
20.00,-3.68
20.20,-3.63
20.40,-3.60
20.61,-3.54
20.81,-3.50
21.02,-3.46
21.23,-3.41
21.44,-3.37
21.66,-3.32
21.87,-3.29
22.09,-3.24
22.31,-3.20
22.54,-3.15
22.76,-3.11
22.99,-3.07
23.22,-3.03
23.45,-2.99
23.69,-2.95
23.92,-2.91
24.16,-2.87
24.40,-2.85
24.65,-2.80
24.89,-2.77
25.14,-2.73
25.39,-2.70
25.65,-2.67
25.91,-2.65
26.16,-2.61
26.43,-2.58
26.69,-2.55
26.96,-2.52
27.23,-2.49
27.50,-2.47
27.77,-2.44
28.05,-2.41
28.33,-2.39
28.62,-2.36
28.90,-2.35
29.19,-2.33
29.48,-2.31
29.78,-2.29
30.08,-2.26
30.38,-2.26
30.68,-2.23
30.99,-2.20
31.30,-2.19
31.61,-2.17
31.93,-2.16
32.24,-2.16
32.57,-2.14
32.89,-2.12
33.22,-2.10
33.55,-2.10
33.89,-2.09
34.23,-2.09
34.57,-2.08
34.92,-2.07
35.27,-2.06
35.62,-2.06
35.97,-2.07
36.33,-2.06
36.70,-2.06
37.06,-2.06
37.43,-2.06
37.81,-2.06
38.19,-2.06
38.57,-2.06
38.95,-2.05
39.34,-2.05
39.74,-2.05
40.14,-2.05
40.54,-2.05
40.94,-2.04
41.35,-2.04
41.76,-2.03
42.18,-2.03
42.60,-2.02
43.03,-2.02
43.46,-2.01
43.90,-2.00
44.33,-1.99
44.78,-2.00
45.23,-1.98
45.68,-1.99
46.13,-1.98
46.60,-1.97
47.06,-1.96
47.53,-1.96
48.01,-1.95
48.49,-1.95
48.97,-1.94
49.46,-1.93
49.96,-1.92
50.46,-1.91
50.96,-1.89
51.47,-1.88
51.99,-1.87
52.51,-1.86
53.03,-1.85
53.56,-1.83
54.10,-1.81
54.64,-1.81
55.18,-1.79
55.74,-1.77
56.29,-1.76
56.86,-1.74
57.42,-1.73
58.00,-1.71
58.58,-1.71
59.16,-1.69
59.76,-1.68
60.35,-1.67
60.96,-1.66
61.57,-1.64
62.18,-1.63
62.80,-1.62
63.43,-1.61
64.07,-1.61
64.71,-1.59
65.35,-1.59
66.01,-1.58
66.67,-1.57
67.33,-1.56
68.01,-1.56
68.69,-1.54
69.37,-1.54
70.07,-1.53
70.77,-1.53
71.48,-1.52
72.19,-1.52
72.91,-1.51
73.64,-1.52
74.38,-1.51
75.12,-1.50
75.87,-1.49
76.63,-1.50
77.40,-1.49
78.17,-1.47
78.95,-1.46
79.74,-1.45
80.54,-1.42
81.35,-1.40
82.16,-1.38
82.98,-1.36
83.81,-1.33
84.65,-1.32
85.50,-1.30
86.35,-1.27
87.22,-1.26
88.09,-1.23
88.97,-1.21
89.86,-1.19
90.76,-1.17
91.66,-1.16
92.58,-1.14
93.51,-1.12
94.44,-1.11
95.39,-1.09
96.34,-1.09
97.30,-1.07
98.28,-1.05
99.26,-1.03
100.25,-1.01
101.25,-1.00
102.27,-0.98
103.29,-0.96
104.32,-0.95
105.37,-0.93
106.42,-0.92
107.48,-0.89
108.56,-0.87
109.64,-0.85
110.74,-0.83
111.85,-0.81
112.97,-0.79
114.10,-0.78
115.24,-0.76
116.39,-0.75
117.55,-0.75
118.73,-0.74
119.92,-0.73
121.12,-0.74
122.33,-0.74
123.55,-0.74
124.79,-0.76
126.03,-0.77
127.29,-0.79
128.57,-0.80
129.85,-0.81
131.15,-0.84
132.46,-0.85
133.79,-0.88
135.12,-0.90
136.48,-0.92
137.84,-0.96
139.22,-0.97
140.61,-0.99
142.02,-1.00
143.44,-1.03
144.87,-1.05
146.32,-1.07
147.78,-1.10
149.26,-1.12
150.75,-1.15
152.26,-1.18
153.78,-1.21
155.32,-1.24
156.88,-1.28
158.44,-1.33
160.03,-1.36
161.63,-1.42
163.24,-1.45
164.88,-1.50
166.53,-1.56
168.19,-1.62
169.87,-1.68
171.57,-1.73
173.29,-1.80
175.02,-1.86
176.77,-1.94
178.54,-2.00
180.32,-2.07
182.13,-2.15
183.95,-2.23
185.79,-2.30
187.65,-2.38
189.52,-2.47
191.42,-2.55
193.33,-2.63
195.27,-2.72
197.22,-2.81
199.19,-2.90
201.18,-2.98
203.19,-3.08
205.23,-3.17
207.28,-3.26
209.35,-3.35
211.44,-3.43
213.56,-3.52
215.69,-3.62
217.85,-3.71
220.03,-3.79
222.23,-3.87
224.45,-3.96
226.70,-4.05
228.96,-4.13
231.25,-4.21
233.57,-4.29
235.90,-4.38
238.26,-4.45
240.64,-4.53
243.05,-4.60
245.48,-4.70
