frequency,raw
20.00,-5.30
20.20,-5.23
20.40,-5.17
20.61,-5.10
20.81,-5.03
21.02,-4.96
21.23,-4.88
21.44,-4.82
21.66,-4.74
21.87,-4.68
22.09,-4.60
22.31,-4.53
22.54,-4.46
22.76,-4.38
22.99,-4.31
23.22,-4.24
23.45,-4.16
23.69,-4.09
23.92,-4.02
24.16,-3.95
24.40,-3.89
24.65,-3.82
24.89,-3.75
25.14,-3.67
25.39,-3.61
25.65,-3.54
25.91,-3.48
26.16,-3.40
26.43,-3.34
26.69,-3.27
26.96,-3.20
27.23,-3.14
27.50,-3.08
27.77,-3.01
28.05,-2.94
28.33,-2.88
28.62,-2.82
28.90,-2.77
29.19,-2.71
29.48,-2.65
29.78,-2.59
30.08,-2.53
30.38,-2.48
30.68,-2.42
30.99,-2.36
31.30,-2.31
31.61,-2.26
31.93,-2.21
32.24,-2.17
32.57,-2.12
32.89,-2.07
33.22,-2.01
33.55,-1.97
33.89,-1.92
34.23,-1.89
34.57,-1.84
34.92,-1.80
35.27,-1.76
35.62,-1.71
35.97,-1.68
36.33,-1.63
36.70,-1.60
37.06,-1.56
37.43,-1.52
37.81,-1.48
38.19,-1.45
38.57,-1.41
38.95,-1.37
39.34,-1.33
39.74,-1.29
40.14,-1.25
40.54,-1.22
40.94,-1.17
41.35,-1.14
41.76,-1.10
42.18,-1.06
42.60,-1.01
43.03,-0.98
43.46,-0.93
43.90,-0.89
44.33,-0.84
44.78,-0.81
45.23,-0.76
45.68,-0.72
46.13,-0.68
46.60,-0.64
47.06,-0.59
47.53,-0.55
48.01,-0.51
48.49,-0.48
48.97,-0.44
49.46,-0.40
49.96,-0.37
50.46,-0.32
50.96,-0.27
51.47,-0.24
51.99,-0.20
52.51,-0.17
53.03,-0.13
53.56,-0.08
54.10,-0.04
54.64,-0.01
55.18,0.03
55.74,0.07
56.29,0.10
56.86,0.14
57.42,0.17
58.00,0.21
58.58,0.23
59.16,0.27
59.76,0.30
60.35,0.34
