frequency,raw
20.00,3.98
20.20,4.03
20.40,4.07
20.61,4.12
20.81,4.17
21.02,4.22
21.23,4.28
21.44,4.32
21.66,4.38
21.87,4.42
22.09,4.48
22.31,4.52
22.54,4.57
22.76,4.63
22.99,4.67
23.22,4.71
23.45,4.76
23.69,4.81
23.92,4.85
24.16,4.89
24.40,4.92
24.65,4.97
24.89,5.01
25.14,5.05
25.39,5.09
25.65,5.13
25.91,5.16
26.16,5.21
26.43,5.24
26.69,5.28
26.96,5.31
27.23,5.34
27.50,5.37
27.77,5.41
28.05,5.44
28.33,5.47
28.62,5.51
28.90,5.53
29.19,5.55
29.48,5.58
29.78,5.61
30.08,5.64
30.38,5.65
30.68,5.69
30.99,5.71
31.30,5.73
31.61,5.75
31.93,5.76
32.24,5.77
32.57,5.79
32.89,5.81
33.22,5.83
33.55,5.84
33.89,5.85
34.23,5.85
34.57,5.87
34.92,5.88
35.27,5.89
35.62,5.90
35.97,5.90
36.33,5.91
36.70,5.91
37.06,5.92
37.43,5.93
37.81,5.93
38.19,5.93
38.57,5.94
38.95,5.94
39.34,5.94
39.74,5.94
40.14,5.95
40.54,5.94
40.94,5.95
41.35,5.95
41.76,5.95
42.18,5.95
42.60,5.95
43.03,5.94
43.46,5.95
43.90,5.95
44.33,5.95
44.78,5.94
45.23,5.95
45.68,5.94
46.13,5.94
46.60,5.93
47.06,5.94
47.53,5.93
48.01,5.92
48.49,5.92
48.97,5.91
49.46,5.90
49.96,5.90
50.46,5.90
50.96,5.90
51.47,5.90
51.99,5.89
52.51,5.89
53.03,5.88
53.56,5.89
54.10,5.89
54.64,5.88
55.18,5.88
55.74,5.88
56.29,5.87
56.86,5.88
57.42,5.87
58.00,5.87
58.58,5.86
59.16,5.86
59.76,5.85
60.35,5.85
60.96,5.84
61.57,5.85
62.18,5.85
62.80,5.84
63.43,5.84
64.07,5.83
64.71,5.83
65.35,5.82
66.01,5.81
66.67,5.81
67.33,5.81
68.01,5.79
68.69,5.80
69.37,5.79
70.07,5.78
70.77,5.77
71.48,5.77
72.19,5.76
72.91,5.76
73.64,5.75
74.38,5.74
75.12,5.74
75.87,5.74
76.63,5.73
77.40,5.72
78.17,5.72
78.95,5.73
79.74,5.72
80.54,5.73
81.35,5.73
82.16,5.73
82.98,5.73
83.81,5.73
84.65,5.72
85.50,5.72
86.35,5.72
87.22,5.70
88.09,5.70
88.97,5.69
89.86,5.68
90.76,5.68
91.66,5.66
92.58,5.64
93.51,5.63
94.44,5.62
95.39,5.61
96.34,5.58
97.30,5.57
98.28,5.56
99.26,5.55
100.25,5.53
101.25,5.52
102.27,5.50
103.29,5.49
104.32,5.47
105.37,5.46
106.42,5.43
107.48,5.43
108.56,5.41
109.64,5.39
110.74,5.38
111.85,5.37
112.97,5.34
114.10,5.32
115.24,5.31
116.39,5.29
117.55,5.26
118.73,5.24
119.92,5.21
121.12,5.18
122.33,5.15
123.55,5.13
124.79,5.09
126.03,5.07
127.29,5.03
128.57,5.00
129.85,4.97
131.15,4.93
132.46,4.91
133.79,4.87
135.12,4.83
136.48,4.79
137.84,4.74
139.22,4.70
140.61,4.66
142.02,4.62
143.44,4.57
144.87,4.53
146.32,4.49
147.78,4.43
149.26,4.39
150.75,4.33
152.26,4.28
153.78,4.24
155.32,4.19
156.88,4.14
158.44,4.08
160.03,4.04
161.63,3.98
163.24,3.95
164.88,3.90
166.53,3.85
168.19,3.79
169.87,3.74
171.57,3.70
173.29,3.64
175.02,3.60
176.77,3.53
178.54,3.49
180.32,3.43
182.13,3.38
183.95,3.32
185.79,3.27
187.65,3.21
189.52,3.14
191.42,3.08
193.33,3.03
195.27,2.96
197.22,2.90
199.19,2.83
201.18,2.78
