frequency,raw
20.00,-6.54
20.20,-6.46
20.40,-6.40
20.61,-6.32
20.81,-6.26
21.02,-6.19
21.23,-6.12
21.44,-6.06
21.66,-5.98
21.87,-5.92
22.09,-5.85
22.31,-5.79
22.54,-5.71
22.76,-5.63
22.99,-5.56
23.22,-5.49
23.45,-5.41
23.69,-5.33
23.92,-5.26
24.16,-5.17
24.40,-5.11
24.65,-5.02
24.89,-4.95
25.14,-4.86
25.39,-4.79
25.65,-4.71
25.91,-4.63
26.16,-4.55
26.43,-4.47
26.69,-4.39
26.96,-4.31
27.23,-4.24
27.50,-4.17
27.77,-4.09
28.05,-4.02
28.33,-3.96
28.62,-3.88
28.90,-3.83
29.19,-3.76
29.48,-3.69
29.78,-3.62
30.08,-3.55
30.38,-3.50
30.68,-3.43
30.99,-3.36
31.30,-3.31
31.61,-3.25
31.93,-3.20
32.24,-3.16
32.57,-3.10
32.89,-3.05
33.22,-2.99
33.55,-2.93
33.89,-2.88
34.23,-2.83
34.57,-2.77
34.92,-2.72
35.27,-2.66
35.62,-2.60
35.97,-2.56
36.33,-2.50
36.70,-2.46
37.06,-2.41
37.43,-2.36
37.81,-2.31
38.19,-2.26
38.57,-2.22
38.95,-2.17
39.34,-2.13
39.74,-2.09
40.14,-2.05
40.54,-2.01
40.94,-1.96
41.35,-1.92
41.76,-1.88
42.18,-1.83
42.60,-1.79
43.03,-1.75
43.46,-1.71
43.90,-1.67
44.33,-1.63
44.78,-1.60
45.23,-1.55
45.68,-1.53
46.13,-1.49
46.60,-1.46
47.06,-1.41
47.53,-1.38
48.01,-1.35
48.49,-1.32
48.97,-1.30
49.46,-1.27
49.96,-1.24
50.46,-1.21
50.96,-1.17
51.47,-1.15
51.99,-1.13
52.51,-1.10
53.03,-1.08
53.56,-1.05
54.10,-1.03
54.64,-1.02
55.18,-1.00
55.74,-0.98
56.29,-0.96
56.86,-0.94
57.42,-0.92
58.00,-0.91
58.58,-0.90
59.16,-0.88
59.76,-0.86
60.35,-0.84
60.96,-0.82
61.57,-0.80
62.18,-0.77
62.80,-0.75
63.43,-0.73
64.07,-0.71
64.71,-0.68
65.35,-0.66
66.01,-0.63
66.67,-0.59
67.33,-0.56
68.01,-0.52
68.69,-0.47
69.37,-0.43
70.07,-0.38
70.77,-0.32
71.48,-0.27
72.19,-0.21
72.91,-0.14
73.64,-0.09
74.38,-0.02
75.12,0.05
75.87,0.13
76.63,0.19
77.40,0.26
78.17,0.34
78.95,0.42
79.74,0.49
80.54,0.57
81.35,0.65
82.16,0.72
82.98,0.78
83.81,0.86
84.65,0.91
85.50,0.98
86.35,1.04
87.22,1.08
88.09,1.14
88.97,1.18
89.86,1.23
90.76,1.26
91.66,1.29
92.58,1.32
93.51,1.34
94.44,1.36
95.39,1.38
96.34,1.38
97.30,1.39
98.28,1.40
99.26,1.40
100.25,1.40
101.25,1.39
102.27,1.38
103.29,1.36
104.32,1.34
105.37,1.31
106.42,1.27
107.48,1.24
108.56,1.20
109.64,1.14
110.74,1.07
111.85,1.01
112.97,0.93
114.10,0.83
115.24,0.74
116.39,0.63
117.55,0.52
118.73,0.40
119.92,0.29
121.12,0.16
122.33,0.05
123.55,-0.06
124.79,-0.17
126.03,-0.26
127.29,-0.35
128.57,-0.42
129.85,-0.48
131.15,-0.55
132.46,-0.59
133.79,-0.64
135.12,-0.69
136.48,-0.73
137.84,-0.79
139.22,-0.83
140.61,-0.88
142.02,-0.93
143.44,-1.00
144.87,-1.05
146.32,-1.12
147.78,-1.20
149.26,-1.26
150.75,-1.35
152.26,-1.44
