frequency,raw
20.00,-1.83
20.20,-1.74
20.40,-1.67
20.61,-1.59
20.81,-1.52
21.02,-1.44
21.23,-1.37
21.44,-1.31
21.66,-1.24
21.87,-1.18
22.09,-1.11
22.31,-1.05
22.54,-0.98
22.76,-0.91
22.99,-0.85
23.22,-0.78
23.45,-0.70
23.69,-0.63
23.92,-0.57
24.16,-0.50
24.40,-0.45
24.65,-0.40
24.89,-0.35
25.14,-0.30
25.39,-0.26
25.65,-0.23
25.91,-0.19
26.16,-0.14
26.43,-0.10
26.69,-0.06
26.96,-0.02
27.23,0.02
27.50,0.05
27.77,0.10
28.05,0.15
28.33,0.20
28.62,0.26
28.90,0.30
29.19,0.36
29.48,0.42
29.78,0.48
30.08,0.54
30.38,0.57
30.68,0.63
30.99,0.68
31.30,0.73
31.61,0.78
31.93,0.83
32.24,0.87
32.57,0.92
32.89,0.99
33.22,1.05
33.55,1.10
33.89,1.16
34.23,1.21
34.57,1.27
34.92,1.33
35.27,1.39
35.62,1.45
35.97,1.50
36.33,1.56
36.70,1.61
37.06,1.66
37.43,1.72
37.81,1.77
38.19,1.82
38.57,1.86
38.95,1.92
39.34,1.96
39.74,2.01
40.14,2.06
40.54,2.10
40.94,2.16
41.35,2.20
41.76,2.25
42.18,2.30
42.60,2.34
43.03,2.38
43.46,2.43
43.90,2.48
44.33,2.53
44.78,2.56
45.23,2.62
45.68,2.65
46.13,2.70
46.60,2.73
47.06,2.77
47.53,2.80
48.01,2.83
48.49,2.86
48.97,2.88
49.46,2.91
49.96,2.93
50.46,2.97
50.96,3.00
51.47,3.03
51.99,3.05
52.51,3.08
53.03,3.11
53.56,3.14
54.10,3.17
54.64,3.19
55.18,3.21
55.74,3.24
56.29,3.26
56.86,3.29
57.42,3.32
58.00,3.34
58.58,3.36
59.16,3.39
59.76,3.41
60.35,3.45
60.96,3.47
61.57,3.51
62.18,3.55
62.80,3.58
63.43,3.62
64.07,3.65
64.71,3.69
65.35,3.73
66.01,3.77
66.67,3.81
67.33,3.86
68.01,3.89
68.69,3.95
69.37,3.99
70.07,4.03
70.77,4.08
71.48,4.13
72.19,4.18
72.91,4.24
73.64,4.29
74.38,4.35
75.12,4.41
75.87,4.47
76.63,4.53
77.40,4.59
78.17,4.66
78.95,4.73
79.74,4.80
80.54,4.87
81.35,4.95
82.16,5.02
82.98,5.09
83.81,5.17
84.65,5.23
85.50,5.30
86.35,5.37
87.22,5.43
88.09,5.50
88.97,5.57
89.86,5.63
90.76,5.69
91.66,5.74
92.58,5.80
93.51,5.86
94.44,5.92
95.39,5.97
96.34,6.01
97.30,6.07
98.28,6.12
99.26,6.17
100.25,6.22
101.25,6.27
102.27,6.31
103.29,6.36
104.32,6.40
105.37,6.44
106.42,6.47
107.48,6.51
108.56,6.54
109.64,6.57
110.74,6.59
111.85,6.61
112.97,6.63
114.10,6.63
115.24,6.65
116.39,6.65
117.55,6.65
118.73,6.63
119.92,6.61
121.12,6.58
122.33,6.55
123.55,6.52
124.79,6.48
126.03,6.47
127.29,6.46
128.57,6.47
129.85,6.50
131.15,6.53
132.46,6.58
133.79,6.63
135.12,6.67
136.48,6.71
137.84,6.74
139.22,6.76
140.61,6.78
142.02,6.80
143.44,6.79
144.87,6.79
146.32,6.79
147.78,6.77
149.26,6.77
150.75,6.75
152.26,6.74
153.78,6.75
155.32,6.74
156.88,6.74
158.44,6.73
160.03,6.73
161.63,6.72
163.24,6.72
164.88,6.71
166.53,6.70
168.19,6.68
169.87,6.65
171.57,6.64
173.29,6.60
175.02,6.59
176.77,6.55
178.54,6.53
180.32,6.50
182.13,6.46
183.95,6.43
185.79,6.40
187.65,6.36
189.52,6.31
191.42,6.28
193.33,6.24
195.27,6.19
197.22,6.15
199.19,6.10
201.18,6.06
203.19,6.01
205.23,5.95
207.28,5.91
209.35,5.86
211.44,5.82
213.56,5.76
215.69,5.70
217.85,5.64
220.03,5.58
222.23,5.53
224.45,5.48
226.70,5.42
228.96,5.39
231.25,5.35
233.57,5.32
235.90,5.28
238.26,5.26
240.64,5.22
243.05,5.18
245.48,5.11
247.93,5.05
250.41,4.98
252.92,4.89
255.45,4.79
258.00,4.69
260.58,4.61
263.19,4.52
265.82,4.45
268.48,4.37
271.16,4.32
273.87,4.26
276.61,4.21
279.38,4.16
282.17,4.11
284.99,4.05
287.84,3.99
290.72,3.94
293.63,3.88
296.57,3.82
299.53,3.75
302.53,3.71
305.55,3.65
308.61,3.60
311.69,3.55
314.81,3.51
317.96,3.45
321.14,3.39
324.35,3.32
327.59,3.26
330.87,3.19
334.18,3.13
337.52,3.06
340.90,3.00
344.30,2.93
347.75,2.87
351.23,2.81
354.74,2.75
358.28,2.69
361.87,2.63
365.49,2.57
369.14,2.51
372.83,2.46
376.56,2.41
380.33,2.33
384.13,2.28
387.97,2.22
391.85,2.16
395.77,2.11
399.73,2.05
403.72,2.00
407.76,1.94
411.84,1.87
415.96,1.83
420.12,1.77
424.32,1.70
428.56,1.65
432.85,1.58
437.18,1.52
441.55,1.47
445.96,1.40
450.42,1.34
454.93,1.27
459.48,1.21
464.07,1.15
468.71,1.09
473.40,1.04
478.13,0.98
482.91,0.93
487.74,0.87
492.62,0.82
497.55,0.76
502.52,0.70
507.55,0.64
512.62,0.59
517.75,0.54
522.93,0.48
528.16,0.43
533.44,0.39
538.77,0.34
544.16,0.28
549.60,0.24
555.10,0.19
560.65,0.15
566.25,0.10
571.92,0.06
577.64,0.00
583.41,-0.05
589.25,-0.09
595.14,-0.16
601.09,-0.22
607.10,-0.27
613.17,-0.34
619.30,-0.39
625.50,-0.43
631.75,-0.49
638.07,-0.52
644.45,-0.54
650.89,-0.55
657.40,-0.54
663.98,-0.52
670.62,-0.48
677.32,-0.45
684.10,-0.41
690.94,-0.37
697.85,-0.33
704.83,-0.31
711.87,-0.29
718.99,-0.28
726.18,-0.29
733.44,-0.28
740.78,-0.28
748.19,-0.28
755.67,-0.27
763.23,-0.27
770.86,-0.28
778.57,-0.28
786.35,-0.27
794.22,-0.27
802.16,-0.27
810.18,-0.28
818.28,-0.26
826.46,-0.27
834.73,-0.25
843.08,-0.24
851.51,-0.24
860.02,-0.23
868.62,-0.20
877.31,-0.20
886.08,-0.19
894.94,-0.17
903.89,-0.16
912.93,-0.14
922.06,-0.13
931.28,-0.12
940.59,-0.10
950.00,-0.09
959.50,-0.08
969.09,-0.07
978.78,-0.05
988.57,-0.03
998.46,-0.01
1008.44,0.02
1018.53,0.05
1028.71,0.07
1039.00,0.11
1049.39,0.15
1059.88,0.18
1070.48,0.21
1081.19,0.24
1092.00,0.28
1102.92,0.31
1113.95,0.35
1125.09,0.39
1136.34,0.42
1147.70,0.46
1159.18,0.48
1170.77,0.52
1182.48,0.55
1194.30,0.59
1206.25,0.62
1218.31,0.66
1230.49,0.70
1242.80,0.75
1255.22,0.83
1267.78,0.90
1280.45,0.99
1293.26,1.09
1306.19,1.21
1319.25,1.34
1332.45,1.47
1345.77,1.61
1359.23,1.76
1372.82,1.91
1386.55,2.07
1400.41,2.23
1414.42,2.39
1428.56,2.54
1442.85,2.70
1457.28,2.83
1471.85,2.94
1486.57,3.06
1501.43,3.19
1516.45,3.35
1531.61,3.54
1546.93,3.77
1562.40,4.03
1578.02,4.31
1593.80,4.61
1609.74,4.89
