frequency,raw
20.00,7.17
20.20,7.23
20.40,7.26
20.61,7.32
20.81,7.36
21.02,7.41
21.23,7.46
21.44,7.50
21.66,7.55
21.87,7.59
22.09,7.64
22.31,7.67
22.54,7.72
22.76,7.77
22.99,7.80
23.22,7.84
23.45,7.89
23.69,7.93
23.92,7.96
24.16,8.00
24.40,8.03
24.65,8.07
24.89,8.10
25.14,8.14
25.39,8.17
25.65,8.20
25.91,8.22
26.16,8.26
26.43,8.28
26.69,8.31
26.96,8.33
27.23,8.36
27.50,8.37
27.77,8.40
28.05,8.43
28.33,8.44
28.62,8.47
28.90,8.47
29.19,8.49
29.48,8.51
29.78,8.52
30.08,8.54
30.38,8.54
30.68,8.56
30.99,8.58
31.30,8.58
31.61,8.58
31.93,8.58
32.24,8.57
32.57,8.58
32.89,8.58
33.22,8.59
33.55,8.59
33.89,8.59
34.23,8.58
34.57,8.58
34.92,8.58
35.27,8.57
35.62,8.57
35.97,8.56
36.33,8.56
36.70,8.55
37.06,8.54
37.43,8.54
37.81,8.53
38.19,8.52
38.57,8.52
38.95,8.51
39.34,8.50
39.74,8.50
40.14,8.49
40.54,8.47
40.94,8.48
41.35,8.47
41.76,8.46
42.18,8.46
42.60,8.45
43.03,8.44
43.46,8.44
43.90,8.43
44.33,8.43
44.78,8.41
45.23,8.41
45.68,8.40
46.13,8.39
46.60,8.38
47.06,8.38
47.53,8.37
48.01,8.36
48.49,8.34
48.97,8.33
49.46,8.32
49.96,8.31
50.46,8.31
50.96,8.31
51.47,8.30
51.99,8.29
52.51,8.29
53.03,8.28
53.56,8.29
54.10,8.29
54.64,8.27
55.18,8.27
55.74,8.27
56.29,8.26
56.86,8.26
57.42,8.26
58.00,8.26
58.58,8.24
59.16,8.24
59.76,8.23
60.35,8.23
60.96,8.22
61.57,8.22
62.18,8.22
62.80,8.22
63.43,8.21
64.07,8.20
64.71,8.20
65.35,8.20
66.01,8.20
66.67,8.20
67.33,8.20
68.01,8.19
68.69,8.21
69.37,8.20
70.07,8.21
70.77,8.21
71.48,8.21
72.19,8.22
72.91,8.23
73.64,8.23
74.38,8.23
75.12,8.25
75.87,8.26
76.63,8.26
77.40,8.27
78.17,8.28
78.95,8.30
79.74,8.31
80.54,8.33
81.35,8.36
82.16,8.37
82.98,8.38
83.81,8.41
84.65,8.41
85.50,8.43
86.35,8.44
87.22,8.44
88.09,8.46
88.97,8.47
89.86,8.47
90.76,8.48
91.66,8.48
92.58,8.48
93.51,8.49
94.44,8.49
95.39,8.49
96.34,8.48
97.30,8.48
98.28,8.48
99.26,8.48
100.25,8.48
101.25,8.47
102.27,8.47
103.29,8.46
104.32,8.45
105.37,8.44
106.42,8.43
107.48,8.43
108.56,8.41
109.64,8.40
110.74,8.39
111.85,8.38
112.97,8.36
114.10,8.34
115.24,8.32
116.39,8.30
117.55,8.27
118.73,8.25
119.92,8.22
121.12,8.18
122.33,8.15
123.55,8.12
124.79,8.08
126.03,8.05
127.29,8.01
128.57,7.97
129.85,7.94
131.15,7.89
132.46,7.85
133.79,7.80
135.12,7.75
136.48,7.69
137.84,7.62
139.22,7.56
140.61,7.50
142.02,7.44
143.44,7.35
144.87,7.28
146.32,7.20
147.78,7.11
149.26,7.03
150.75,6.92
152.26,6.81
153.78,6.71
155.32,6.58
156.88,6.44
158.44,6.28
160.03,6.14
161.63,5.98
163.24,5.86
164.88,5.75
166.53,5.66
168.19,5.60
169.87,5.56
171.57,5.56
173.29,5.56
175.02,5.58
176.77,5.58
178.54,5.58
180.32,5.57
182.13,5.53
183.95,5.48
185.79,5.42
187.65,5.35
189.52,5.25
191.42,5.18
193.33,5.09
195.27,4.99
197.22,4.89
199.19,4.79
201.18,4.69
203.19,4.58
205.23,4.46
207.28,4.36
209.35,4.24
211.44,4.12
213.56,4.00
215.69,3.86
217.85,3.73
220.03,3.60
222.23,3.47
224.45,3.32
226.70,3.16
228.96,3.01
231.25,2.85
233.57,2.69
235.90,2.51
238.26,2.35
240.64,2.17
243.05,2.01
245.48,1.82
247.93,1.64
250.41,1.48
252.92,1.29
255.45,1.10
258.00,0.90
260.58,0.72
263.19,0.51
265.82,0.31
268.48,0.09
271.16,-0.12
273.87,-0.34
276.61,-0.57
279.38,-0.79
282.17,-1.03
284.99,-1.28
287.84,-1.54
290.72,-1.78
293.63,-2.04
296.57,-2.32
299.53,-2.60
302.53,-2.87
305.55,-3.16
308.61,-3.44
311.69,-3.73
314.81,-4.01
317.96,-4.31
321.14,-4.59
324.35,-4.88
327.59,-5.14
330.87,-5.40
334.18,-5.65
337.52,-5.87
340.90,-6.08
344.30,-6.27
347.75,-6.43
351.23,-6.56
354.74,-6.66
358.28,-6.76
361.87,-6.81
365.49,-6.84
369.14,-6.82
372.83,-6.76
376.56,-6.67
380.33,-6.57
384.13,-6.42
387.97,-6.26
391.85,-6.09
395.77,-5.89
399.73,-5.68
403.72,-5.46
407.76,-5.25
411.84,-5.02
415.96,-4.78
420.12,-4.55
424.32,-4.32
428.56,-4.08
432.85,-3.86
437.18,-3.63
