frequency,raw
20.00,8.02
20.20,8.06
20.40,8.09
20.61,8.14
20.81,8.18
21.02,8.22
21.23,8.26
21.44,8.29
21.66,8.34
21.87,8.37
22.09,8.42
22.31,8.45
22.54,8.49
22.76,8.53
22.99,8.56
23.22,8.60
23.45,8.64
23.69,8.67
23.92,8.70
24.16,8.73
24.40,8.75
24.65,8.78
24.89,8.81
25.14,8.84
25.39,8.86
25.65,8.89
25.91,8.91
26.16,8.94
26.43,8.96
26.69,8.98
26.96,9.00
27.23,9.03
27.50,9.04
27.77,9.06
28.05,9.08
28.33,9.10
28.62,9.12
28.90,9.12
29.19,9.13
29.48,9.14
29.78,9.16
30.08,9.17
30.38,9.17
30.68,9.18
30.99,9.20
31.30,9.19
31.61,9.20
31.93,9.20
32.24,9.18
32.57,9.19
32.89,9.19
33.22,9.20
33.55,9.19
33.89,9.19
34.23,9.18
34.57,9.18
34.92,9.17
35.27,9.17
35.62,9.17
35.97,9.15
36.33,9.15
36.70,9.14
37.06,9.13
37.43,9.12
37.81,9.11
38.19,9.09
38.57,9.08
38.95,9.07
39.34,9.05
39.74,9.04
40.14,9.03
40.54,9.01
40.94,9.00
41.35,8.99
41.76,8.97
42.18,8.96
42.60,8.94
43.03,8.92
43.46,8.90
43.90,8.89
44.33,8.87
44.78,8.84
45.23,8.83
45.68,8.81
46.13,8.79
46.60,8.76
47.06,8.75
47.53,8.72
48.01,8.69
48.49,8.66
48.97,8.63
49.46,8.60
49.96,8.57
50.46,8.55
50.96,8.53
51.47,8.50
51.99,8.48
52.51,8.45
53.03,8.42
53.56,8.41
54.10,8.38
54.64,8.35
55.18,8.32
55.74,8.30
56.29,8.26
56.86,8.24
57.42,8.22
58.00,8.19
58.58,8.15
59.16,8.13
59.76,8.10
60.35,8.08
60.96,8.05
61.57,8.03
62.18,8.01
62.80,7.99
63.43,7.96
64.07,7.93
64.71,7.92
65.35,7.90
66.01,7.88
66.67,7.86
67.33,7.85
68.01,7.83
68.69,7.83
69.37,7.81
70.07,7.81
70.77,7.80
71.48,7.79
72.19,7.79
72.91,7.79
73.64,7.78
74.38,7.79
75.12,7.80
75.87,7.80
76.63,7.80
77.40,7.81
78.17,7.82
78.95,7.84
79.74,7.85
80.54,7.88
81.35,7.90
82.16,7.92
82.98,7.94
83.81,7.97
84.65,7.98
85.50,8.00
86.35,8.02
87.22,8.03
88.09,8.06
88.97,8.08
89.86,8.09
90.76,8.11
91.66,8.12
92.58,8.13
93.51,8.15
94.44,8.16
95.39,8.17
96.34,8.16
97.30,8.16
98.28,8.17
99.26,8.17
100.25,8.16
101.25,8.15
102.27,8.14
103.29,8.12
104.32,8.10
105.37,8.08
106.42,8.04
107.48,8.02
108.56,7.99
109.64,7.95
110.74,7.91
111.85,7.88
112.97,7.83
114.10,7.78
115.24,7.74
116.39,7.69
117.55,7.64
118.73,7.59
119.92,7.53
121.12,7.46
122.33,7.41
123.55,7.34
124.79,7.27
126.03,7.20
127.29,7.13
128.57,7.05
129.85,6.98
131.15,6.89
132.46,6.82
133.79,6.73
135.12,6.64
136.48,6.56
137.84,6.47
139.22,6.39
140.61,6.31
142.02,6.23
143.44,6.14
144.87,6.06
146.32,5.97
147.78,5.88
149.26,5.80
150.75,5.70
152.26,5.61
153.78,5.53
155.32,5.43
156.88,5.33
158.44,5.23
160.03,5.14
161.63,5.03
163.24,4.94
164.88,4.84
166.53,4.73
168.19,4.63
169.87,4.52
171.57,4.42
173.29,4.31
175.02,4.22
176.77,4.12
178.54,4.02
180.32,3.93
182.13,3.83
183.95,3.72
185.79,3.63
187.65,3.53
189.52,3.41
191.42,3.30
193.33,3.19
195.27,3.07
197.22,2.95
199.19,2.82
201.18,2.70
203.19,2.57
205.23,2.44
207.28,2.32
209.35,2.19
211.44,2.07
213.56,1.95
215.69,1.81
217.85,1.68
220.03,1.55
222.23,1.42
224.45,1.28
226.70,1.14
228.96,1.01
231.25,0.86
233.57,0.72
235.90,0.57
238.26,0.43
240.64,0.28
243.05,0.14
245.48,-0.02
247.93,-0.17
250.41,-0.31
252.92,-0.46
255.45,-0.61
258.00,-0.75
260.58,-0.89
263.19,-1.04
265.82,-1.17
268.48,-1.32
271.16,-1.45
273.87,-1.60
276.61,-1.73
279.38,-1.85
282.17,-1.98
284.99,-2.11
287.84,-2.23
290.72,-2.34
293.63,-2.45
296.57,-2.57
299.53,-2.68
302.53,-2.78
305.55,-2.88
