frequency,raw
20.00,4.74
20.20,4.84
20.40,4.92
20.61,5.02
20.81,5.12
21.02,5.21
21.23,5.31
21.44,5.40
21.66,5.50
21.87,5.59
22.09,5.68
22.31,5.77
22.54,5.87
22.76,5.97
22.99,6.06
23.22,6.15
23.45,6.25
23.69,6.34
23.92,6.43
24.16,6.52
24.40,6.59
24.65,6.69
24.89,6.77
25.14,6.86
25.39,6.94
25.65,7.03
25.91,7.11
26.16,7.20
26.43,7.29
26.69,7.37
26.96,7.45
27.23,7.54
27.50,7.61
27.77,7.70
28.05,7.78
28.33,7.85
28.62,7.93
28.90,8.00
29.19,8.07
29.48,8.14
29.78,8.21
30.08,8.28
30.38,8.32
30.68,8.39
30.99,8.45
31.30,8.50
31.61,8.56
31.93,8.60
32.24,8.63
32.57,8.68
32.89,8.73
33.22,8.78
33.55,8.81
33.89,8.85
34.23,8.88
34.57,8.92
34.92,8.95
35.27,8.98
35.62,9.01
35.97,9.02
36.33,9.05
36.70,9.06
37.06,9.08
37.43,9.10
37.81,9.12
38.19,9.14
38.57,9.15
38.95,9.17
39.34,9.18
39.74,9.19
40.14,9.20
40.54,9.20
40.94,9.22
41.35,9.23
41.76,9.24
42.18,9.25
42.60,9.26
43.03,9.26
43.46,9.27
43.90,9.28
44.33,9.28
44.78,9.27
45.23,9.28
45.68,9.27
46.13,9.27
46.60,9.26
47.06,9.26
47.53,9.25
48.01,9.24
48.49,9.23
48.97,9.21
49.46,9.19
49.96,9.17
50.46,9.16
50.96,9.15
51.47,9.13
51.99,9.11
52.51,9.09
53.03,9.06
53.56,9.05
54.10,9.03
54.64,9.00
55.18,8.97
55.74,8.95
56.29,8.92
56.86,8.89
57.42,8.87
58.00,8.84
58.58,8.79
59.16,8.77
59.76,8.73
60.35,8.70
60.96,8.66
61.57,8.63
62.18,8.60
62.80,8.56
63.43,8.52
64.07,8.48
64.71,8.44
65.35,8.39
66.01,8.35
66.67,8.31
67.33,8.27
68.01,8.22
68.69,8.19
69.37,8.13
70.07,8.09
70.77,8.04
71.48,7.99
72.19,7.94
72.91,7.89
73.64,7.83
74.38,7.79
75.12,7.74
75.87,7.69
76.63,7.62
77.40,7.57
78.17,7.52
78.95,7.47
79.74,7.42
80.54,7.37
81.35,7.33
82.16,7.28
82.98,7.23
83.81,7.19
84.65,7.13
85.50,7.08
86.35,7.03
87.22,6.97
88.09,6.93
88.97,6.88
89.86,6.83
90.76,6.79
91.66,6.73
92.58,6.69
93.51,6.64
94.44,6.60
95.39,6.56
96.34,6.51
97.30,6.47
98.28,6.44
99.26,6.40
100.25,6.37
101.25,6.34
102.27,6.31
103.29,6.28
104.32,6.25
105.37,6.23
106.42,6.19
107.48,6.18
108.56,6.16
109.64,6.14
110.74,6.12
111.85,6.11
