frequency,raw
20.00,-5.82
20.20,-5.71
20.40,-5.60
20.61,-5.48
20.81,-5.35
21.02,-5.23
21.23,-5.10
21.44,-4.98
21.66,-4.85
21.87,-4.72
22.09,-4.59
22.31,-4.47
22.54,-4.34
22.76,-4.20
22.99,-4.08
23.22,-3.95
23.45,-3.82
23.69,-3.69
23.92,-3.57
24.16,-3.44
24.40,-3.32
24.65,-3.19
24.89,-3.07
25.14,-2.94
25.39,-2.82
25.65,-2.70
25.91,-2.58
26.16,-2.44
26.43,-2.32
26.69,-2.20
26.96,-2.08
27.23,-1.95
27.50,-1.84
27.77,-1.71
28.05,-1.58
28.33,-1.46
28.62,-1.33
28.90,-1.22
29.19,-1.10
29.48,-0.97
29.78,-0.85
30.08,-0.72
30.38,-0.62
30.68,-0.49
30.99,-0.37
31.30,-0.27
31.61,-0.15
31.93,-0.05
32.24,0.04
32.57,0.15
32.89,0.26
33.22,0.37
33.55,0.47
33.89,0.57
34.23,0.66
34.57,0.76
34.92,0.86
35.27,0.95
35.62,1.05
35.97,1.13
36.33,1.23
36.70,1.32
37.06,1.41
37.43,1.51
37.81,1.60
38.19,1.68
38.57,1.77
38.95,1.86
39.34,1.94
39.74,2.02
40.14,2.10
40.54,2.17
40.94,2.26
41.35,2.34
41.76,2.42
42.18,2.49
42.60,2.57
43.03,2.63
43.46,2.70
43.90,2.77
44.33,2.84
44.78,2.89
45.23,2.96
45.68,3.01
46.13,3.07
46.60,3.12
47.06,3.18
47.53,3.23
48.01,3.27
48.49,3.32
48.97,3.36
49.46,3.40
49.96,3.44
50.46,3.48
50.96,3.53
51.47,3.56
51.99,3.60
52.51,3.63
53.03,3.66
53.56,3.70
54.10,3.73
54.64,3.75
55.18,3.77
55.74,3.80
56.29,3.81
56.86,3.84
57.42,3.86
58.00,3.87
58.58,3.88
59.16,3.90
59.76,3.91
60.35,3.93
60.96,3.94
61.57,3.96
62.18,3.98
62.80,3.99
63.43,4.00
64.07,4.00
64.71,4.01
65.35,4.01
66.01,4.01
66.67,4.02
67.33,4.03
68.01,4.02
68.69,4.03
69.37,4.02
70.07,4.02
70.77,4.01
71.48,4.01
