frequency,raw
20.00,9.63
20.20,9.80
20.40,9.94
20.61,10.10
20.81,10.25
21.02,10.40
21.23,10.54
21.44,10.67
21.66,10.81
21.87,10.94
22.09,11.07
22.31,11.19
22.54,11.31
22.76,11.43
22.99,11.54
23.22,11.65
23.45,11.76
23.69,11.85
23.92,11.94
24.16,12.04
24.40,12.11
24.65,12.20
24.89,12.27
25.14,12.36
25.39,12.43
25.65,12.50
25.91,12.57
26.16,12.64
26.43,12.70
26.69,12.76
26.96,12.82
27.23,12.87
27.50,12.91
27.77,12.96
28.05,13.00
28.33,13.04
28.62,13.08
28.90,13.10
29.19,13.13
29.48,13.16
29.78,13.18
30.08,13.21
30.38,13.21
30.68,13.23
30.99,13.25
31.30,13.26
31.61,13.27
31.93,13.28
32.24,13.28
32.57,13.29
32.89,13.30
33.22,13.31
33.55,13.32
33.89,13.32
34.23,13.31
34.57,13.32
34.92,13.32
35.27,13.32
35.62,13.32
35.97,13.31
36.33,13.32
36.70,13.31
37.06,13.31
37.43,13.31
37.81,13.31
38.19,13.31
38.57,13.31
38.95,13.32
39.34,13.32
39.74,13.33
40.14,13.34
40.54,13.34
40.94,13.36
41.35,13.37
41.76,13.39
42.18,13.40
42.60,13.42
43.03,13.43
43.46,13.46
43.90,13.48
44.33,13.51
44.78,13.52
45.23,13.55
45.68,13.57
46.13,13.60
46.60,13.62
47.06,13.66
47.53,13.68
48.01,13.71
48.49,13.73
48.97,13.75
49.46,13.78
49.96,13.79
50.46,13.82
50.96,13.85
51.47,13.87
51.99,13.88
52.51,13.89
53.03,13.90
53.56,13.92
54.10,13.93
54.64,13.93
55.18,13.93
55.74,13.93
56.29,13.92
56.86,13.92
57.42,13.91
58.00,13.90
58.58,13.87
59.16,13.86
59.76,13.84
60.35,13.82
60.96,13.79
61.57,13.77
62.18,13.74
62.80,13.71
63.43,13.67
64.07,13.62
64.71,13.58
65.35,13.53
66.01,13.47
66.67,13.41
67.33,13.35
68.01,13.28
68.69,13.22
69.37,13.15
70.07,13.08
70.77,13.00
71.48,12.93
72.19,12.85
72.91,12.78
73.64,12.69
74.38,12.62
75.12,12.54
75.87,12.47
76.63,12.38
77.40,12.30
78.17,12.23
78.95,12.15
79.74,12.06
80.54,11.98
81.35,11.89
82.16,11.80
82.98,11.70
83.81,11.61
84.65,11.50
85.50,11.40
86.35,11.31
87.22,11.21
88.09,11.13
88.97,11.05
89.86,10.97
90.76,10.90
91.66,10.83
92.58,10.76
93.51,10.70
94.44,10.64
95.39,10.58
96.34,10.50
97.30,10.44
98.28,10.39
99.26,10.33
100.25,10.28
101.25,10.23
102.27,10.17
103.29,10.12
104.32,10.07
105.37,10.02
106.42,9.96
107.48,9.92
108.56,9.87
109.64,9.82
110.74,9.77
111.85,9.72
112.97,9.66
114.10,9.60
115.24,9.55
116.39,9.49
117.55,9.43
118.73,9.36
119.92,9.30
121.12,9.22
122.33,9.15
123.55,9.08
124.79,8.99
126.03,8.91
127.29,8.82
128.57,8.73
129.85,8.64
131.15,8.53
132.46,8.44
133.79,8.32
135.12,8.21
136.48,8.09
137.84,7.95
139.22,7.82
140.61,7.69
142.02,7.56
143.44,7.40
144.87,7.25
146.32,7.09
147.78,6.92
149.26,6.76
150.75,6.58
152.26,6.40
153.78,6.23
155.32,6.04
156.88,5.85
158.44,5.66
160.03,5.48
161.63,5.29
163.24,5.12
164.88,4.95
166.53,4.77
168.19,4.61
169.87,4.45
171.57,4.31
173.29,4.17
175.02,4.06
176.77,3.93
178.54,3.84
180.32,3.75
182.13,3.67
183.95,3.60
185.79,3.54
187.65,3.48
189.52,3.42
191.42,3.38
193.33,3.34
195.27,3.29
197.22,3.24
199.19,3.19
201.18,3.15
203.19,3.09
205.23,3.03
207.28,2.98
209.35,2.92
211.44,2.85
213.56,2.78
215.69,2.69
217.85,2.61
220.03,2.52
222.23,2.44
224.45,2.34
226.70,2.24
228.96,2.15
231.25,2.05
233.57,1.95
235.90,1.84
238.26,1.74
240.64,1.62
243.05,1.52
245.48,1.38
247.93,1.26
250.41,1.15
252.92,1.01
255.45,0.88
258.00,0.75
260.58,0.64
263.19,0.50
265.82,0.38
