frequency,raw
20.00,1.44
20.20,1.51
20.40,1.57
20.61,1.65
20.81,1.72
21.02,1.79
21.23,1.86
21.44,1.91
21.66,1.98
21.87,2.03
22.09,2.09
22.31,2.14
22.54,2.20
22.76,2.26
22.99,2.31
23.22,2.36
23.45,2.42
23.69,2.47
23.92,2.52
24.16,2.57
24.40,2.60
24.65,2.65
24.89,2.69
25.14,2.75
25.39,2.78
25.65,2.82
25.91,2.86
26.16,2.91
26.43,2.95
26.69,2.99
26.96,3.02
27.23,3.06
27.50,3.08
27.77,3.12
28.05,3.15
28.33,3.18
28.62,3.21
28.90,3.22
29.19,3.25
29.48,3.28
29.78,3.30
30.08,3.34
30.38,3.35
30.68,3.38
30.99,3.42
31.30,3.44
31.61,3.47
31.93,3.50
32.24,3.51
32.57,3.54
32.89,3.57
33.22,3.60
33.55,3.62
33.89,3.64
34.23,3.65
34.57,3.67
34.92,3.69
35.27,3.70
35.62,3.72
35.97,3.72
36.33,3.74
36.70,3.75
37.06,3.76
37.43,3.77
37.81,3.78
38.19,3.78
38.57,3.78
38.95,3.79
39.34,3.79
39.74,3.80
40.14,3.80
40.54,3.79
40.94,3.80
41.35,3.79
41.76,3.78
42.18,3.77
42.60,3.76
43.03,3.74
43.46,3.73
43.90,3.71
44.33,3.69
44.78,3.66
45.23,3.65
45.68,3.62
46.13,3.60
46.60,3.56
47.06,3.54
47.53,3.51
48.01,3.47
48.49,3.44
48.97,3.40
49.46,3.36
49.96,3.32
50.46,3.29
50.96,3.26
51.47,3.22
51.99,3.18
52.51,3.14
53.03,3.10
53.56,3.07
54.10,3.04
54.64,2.99
55.18,2.96
55.74,2.92
56.29,2.88
56.86,2.85
57.42,2.82
58.00,2.79
58.58,2.74
59.16,2.72
59.76,2.69
60.35,2.67
60.96,2.63
61.57,2.61
62.18,2.60
62.80,2.58
63.43,2.56
64.07,2.54
64.71,2.53
65.35,2.51
66.01,2.50
66.67,2.50
67.33,2.50
68.01,2.49
68.69,2.51
69.37,2.51
70.07,2.52
70.77,2.53
71.48,2.55
72.19,2.57
72.91,2.59
73.64,2.61
74.38,2.63
75.12,2.66
75.87,2.69
76.63,2.71
77.40,2.74
78.17,2.78
78.95,2.82
79.74,2.86
80.54,2.90
81.35,2.95
82.16,2.99
82.98,3.03
83.81,3.08
84.65,3.12
85.50,3.16
86.35,3.20
87.22,3.23
88.09,3.28
88.97,3.31
89.86,3.35
90.76,3.39
91.66,3.41
92.58,3.45
93.51,3.49
94.44,3.52
