frequency,raw
20.00,-0.79
20.20,-0.77
20.40,-0.75
20.61,-0.73
20.81,-0.71
21.02,-0.70
21.23,-0.68
21.44,-0.67
21.66,-0.66
21.87,-0.64
22.09,-0.63
22.31,-0.62
22.54,-0.62
22.76,-0.61
22.99,-0.61
23.22,-0.60
23.45,-0.60
23.69,-0.60
23.92,-0.60
24.16,-0.60
24.40,-0.59
24.65,-0.59
24.89,-0.58
25.14,-0.56
25.39,-0.55
25.65,-0.54
25.91,-0.52
26.16,-0.50
26.43,-0.49
26.69,-0.47
26.96,-0.46
27.23,-0.44
27.50,-0.43
27.77,-0.41
28.05,-0.40
28.33,-0.40
28.62,-0.39
28.90,-0.39
29.19,-0.39
29.48,-0.39
29.78,-0.39
30.08,-0.39
30.38,-0.40
30.68,-0.40
30.99,-0.39
31.30,-0.39
31.61,-0.39
31.93,-0.39
32.24,-0.39
32.57,-0.38
32.89,-0.38
33.22,-0.37
33.55,-0.36
33.89,-0.35
34.23,-0.34
34.57,-0.33
34.92,-0.32
35.27,-0.31
35.62,-0.30
35.97,-0.29
36.33,-0.28
36.70,-0.28
37.06,-0.27
37.43,-0.26
37.81,-0.26
38.19,-0.26
38.57,-0.25
38.95,-0.25
39.34,-0.24
39.74,-0.24
40.14,-0.24
40.54,-0.24
40.94,-0.24
41.35,-0.23
41.76,-0.23
42.18,-0.23
42.60,-0.23
43.03,-0.23
43.46,-0.23
43.90,-0.22
44.33,-0.22
44.78,-0.22
45.23,-0.22
45.68,-0.22
46.13,-0.21
46.60,-0.21
47.06,-0.20
47.53,-0.20
48.01,-0.19
48.49,-0.19
48.97,-0.19
49.46,-0.19
49.96,-0.19
50.46,-0.19
50.96,-0.19
51.47,-0.19
51.99,-0.19
52.51,-0.19
53.03,-0.18
53.56,-0.18
54.10,-0.17
54.64,-0.17
55.18,-0.17
55.74,-0.17
56.29,-0.17
56.86,-0.17
57.42,-0.17
58.00,-0.17
58.58,-0.17
59.16,-0.17
59.76,-0.17
60.35,-0.17
60.96,-0.17
61.57,-0.17
62.18,-0.17
62.80,-0.17
63.43,-0.17
64.07,-0.16
64.71,-0.16
65.35,-0.15
66.01,-0.15
66.67,-0.14
67.33,-0.14
68.01,-0.13
68.69,-0.13
69.37,-0.13
70.07,-0.13
70.77,-0.12
71.48,-0.12
72.19,-0.12
72.91,-0.12
73.64,-0.12
74.38,-0.12
75.12,-0.11
75.87,-0.11
76.63,-0.11
77.40,-0.11
78.17,-0.11
78.95,-0.11
79.74,-0.11
80.54,-0.10
81.35,-0.10
82.16,-0.10
82.98,-0.09
83.81,-0.09
84.65,-0.08
85.50,-0.07
86.35,-0.07
87.22,-0.06
88.09,-0.05
88.97,-0.05
89.86,-0.04
90.76,-0.03
91.66,-0.03
92.58,-0.02
93.51,-0.01
94.44,-0.01
95.39,-0.00
96.34,0.00
97.30,0.00
98.28,0.01
99.26,0.01
100.25,0.01
101.25,0.02
102.27,0.02
103.29,0.02
104.32,0.02
105.37,0.02
106.42,0.02
107.48,0.02
108.56,0.02
109.64,0.02
110.74,0.02
111.85,0.03
112.97,0.03
114.10,0.03
115.24,0.03
116.39,0.04
117.55,0.04
118.73,0.04
119.92,0.04
121.12,0.05
122.33,0.05
123.55,0.05
124.79,0.06
126.03,0.06
127.29,0.07
128.57,0.07
129.85,0.08
131.15,0.08
132.46,0.09
133.79,0.10
135.12,0.11
136.48,0.11
137.84,0.12
139.22,0.13
140.61,0.13
142.02,0.14
143.44,0.14
144.87,0.14
146.32,0.15
147.78,0.15
149.26,0.15
150.75,0.15
152.26,0.15
153.78,0.15
155.32,0.15
156.88,0.14
158.44,0.14
160.03,0.14
161.63,0.14
163.24,0.14
164.88,0.14
166.53,0.14
168.19,0.14
169.87,0.14
171.57,0.14
173.29,0.15
175.02,0.15
176.77,0.15
178.54,0.16
180.32,0.16
182.13,0.17
183.95,0.18
185.79,0.19
187.65,0.19
189.52,0.20
191.42,0.21
193.33,0.21
195.27,0.22
197.22,0.22
199.19,0.22
201.18,0.23
203.19,0.23
205.23,0.23
207.28,0.23
209.35,0.23
211.44,0.23
213.56,0.23
215.69,0.24
217.85,0.24
220.03,0.24
222.23,0.24
224.45,0.24
226.70,0.24
228.96,0.25
231.25,0.25
233.57,0.25
235.90,0.25
238.26,0.25
240.64,0.25
243.05,0.25
245.48,0.25
247.93,0.25
250.41,0.25
252.92,0.25
255.45,0.25
258.00,0.25
260.58,0.25
263.19,0.24
265.82,0.24
268.48,0.24
271.16,0.24
273.87,0.24
276.61,0.24
279.38,0.24
282.17,0.24
284.99,0.24
287.84,0.24
290.72,0.25
293.63,0.25
296.57,0.26
299.53,0.26
302.53,0.26
305.55,0.27
308.61,0.27
311.69,0.27
314.81,0.27
317.96,0.27
321.14,0.28
324.35,0.28
327.59,0.29
330.87,0.29
334.18,0.29
337.52,0.29
340.90,0.29
344.30,0.29
347.75,0.29
351.23,0.30
354.74,0.30
358.28,0.30
361.87,0.31
365.49,0.31
369.14,0.32
372.83,0.32
376.56,0.32
380.33,0.33
384.13,0.33
387.97,0.33
391.85,0.33
395.77,0.33
399.73,0.33
403.72,0.33
407.76,0.33
411.84,0.33
415.96,0.33
420.12,0.33
424.32,0.32
428.56,0.32
432.85,0.32
437.18,0.32
441.55,0.32
445.96,0.32
450.42,0.32
454.93,0.32
459.48,0.32
464.07,0.32
468.71,0.32
473.40,0.32
478.13,0.31
482.91,0.31
487.74,0.31
492.62,0.31
497.55,0.31
502.52,0.31
507.55,0.31
512.62,0.30
517.75,0.30
522.93,0.30
528.16,0.29
533.44,0.29
538.77,0.29
544.16,0.28
549.60,0.28
555.10,0.27
560.65,0.27
566.25,0.27
571.92,0.26
577.64,0.25
583.41,0.25
589.25,0.24
595.14,0.24
601.09,0.23
607.10,0.23
613.17,0.22
619.30,0.22
625.50,0.21
