frequency,raw
20.00,1.13
20.20,1.12
20.40,1.10
20.61,1.09
20.81,1.07
21.02,1.06
21.23,1.05
21.44,1.04
21.66,1.02
21.87,1.02
22.09,1.01
22.31,1.00
22.54,0.99
22.76,0.98
22.99,0.98
23.22,0.97
23.45,0.97
23.69,0.97
23.92,0.97
24.16,0.97
24.40,0.97
24.65,0.97
24.89,0.97
25.14,0.97
25.39,0.97
25.65,0.96
25.91,0.96
26.16,0.95
26.43,0.95
26.69,0.94
26.96,0.93
27.23,0.93
27.50,0.92
27.77,0.91
28.05,0.90
28.33,0.90
28.62,0.90
28.90,0.89
29.19,0.90
29.48,0.90
29.78,0.90
30.08,0.90
30.38,0.90
30.68,0.90
30.99,0.90
31.30,0.90
31.61,0.90
31.93,0.90
32.24,0.89
32.57,0.89
32.89,0.89
33.22,0.89
33.55,0.89
33.89,0.88
34.23,0.88
34.57,0.88
34.92,0.88
35.27,0.88
35.62,0.88
35.97,0.87
36.33,0.87
36.70,0.87
37.06,0.87
37.43,0.86
37.81,0.86
38.19,0.85
38.57,0.84
38.95,0.83
39.34,0.83
39.74,0.82
40.14,0.81
40.54,0.80
40.94,0.80
41.35,0.80
41.76,0.80
42.18,0.80
42.60,0.80
43.03,0.80
43.46,0.80
43.90,0.81
44.33,0.81
44.78,0.81
45.23,0.81
45.68,0.81
46.13,0.81
46.60,0.81
47.06,0.81
47.53,0.81
48.01,0.80
48.49,0.80
48.97,0.79
49.46,0.79
49.96,0.79
50.46,0.79
50.96,0.80
51.47,0.80
51.99,0.80
52.51,0.79
53.03,0.79
53.56,0.79
54.10,0.79
54.64,0.79
55.18,0.79
55.74,0.79
56.29,0.79
56.86,0.79
57.42,0.79
58.00,0.79
58.58,0.79
59.16,0.79
59.76,0.79
60.35,0.79
60.96,0.80
61.57,0.80
62.18,0.80
62.80,0.79
63.43,0.79
64.07,0.78
64.71,0.78
65.35,0.77
66.01,0.77
66.67,0.76
67.33,0.76
68.01,0.75
68.69,0.75
69.37,0.74
70.07,0.74
70.77,0.73
71.48,0.73
72.19,0.72
72.91,0.72
73.64,0.72
74.38,0.72
75.12,0.72
75.87,0.71
76.63,0.71
77.40,0.71
78.17,0.71
78.95,0.71
79.74,0.71
80.54,0.71
81.35,0.71
82.16,0.71
82.98,0.70
83.81,0.70
84.65,0.70
85.50,0.69
86.35,0.69
87.22,0.68
88.09,0.68
88.97,0.67
89.86,0.66
90.76,0.66
91.66,0.65
92.58,0.64
93.51,0.63
94.44,0.62
95.39,0.61
96.34,0.60
97.30,0.58
98.28,0.57
99.26,0.55
100.25,0.53
101.25,0.51
102.27,0.49
103.29,0.47
104.32,0.45
105.37,0.42
106.42,0.40
107.48,0.38
108.56,0.36
109.64,0.34
110.74,0.33
111.85,0.31
112.97,0.30
114.10,0.29
115.24,0.28
116.39,0.27
117.55,0.27
118.73,0.26
119.92,0.26
121.12,0.25
122.33,0.25
123.55,0.26
124.79,0.26
126.03,0.25
127.29,0.26
128.57,0.26
129.85,0.26
131.15,0.26
132.46,0.26
133.79,0.25
135.12,0.25
136.48,0.25
137.84,0.24
139.22,0.24
140.61,0.23
142.02,0.22
143.44,0.21
144.87,0.21
146.32,0.20
147.78,0.18
149.26,0.17
150.75,0.16
152.26,0.15
153.78,0.15
155.32,0.14
156.88,0.13
158.44,0.13
160.03,0.12
161.63,0.11
163.24,0.10
164.88,0.09
166.53,0.08
168.19,0.07
169.87,0.06
171.57,0.05
173.29,0.04
175.02,0.03
176.77,0.03
178.54,0.02
180.32,0.02
182.13,0.02
183.95,0.02
185.79,0.01
187.65,0.02
189.52,0.02
191.42,0.02
193.33,0.02
195.27,0.03
197.22,0.03
199.19,0.03
201.18,0.03
203.19,0.03
205.23,0.03
207.28,0.03
209.35,0.02
211.44,0.02
213.56,0.02
215.69,0.01
217.85,0.01
220.03,0.00
222.23,-0.00
224.45,-0.00
226.70,0.00
228.96,0.00
231.25,0.01
233.57,0.01
235.90,0.02
238.26,0.02
240.64,0.04
243.05,0.05
245.48,0.06
247.93,0.07
250.41,0.08
252.92,0.09
255.45,0.10
258.00,0.10
260.58,0.10
263.19,0.10
265.82,0.09
268.48,0.09
271.16,0.08
273.87,0.07
276.61,0.07
279.38,0.07
282.17,0.06
284.99,0.06
287.84,0.06
290.72,0.05
293.63,0.05
296.57,0.05
299.53,0.06
302.53,0.06
305.55,0.05
308.61,0.05
311.69,0.05
314.81,0.04
317.96,0.04
321.14,0.04
324.35,0.03
327.59,0.02
330.87,0.02
334.18,0.02
337.52,0.02
340.90,0.01
344.30,0.01
347.75,0.01
351.23,0.00
354.74,0.00
358.28,0.00
361.87,0.00
365.49,0.00
369.14,0.00
372.83,0.00
376.56,-0.00
380.33,-0.01
384.13,-0.01
387.97,-0.02
391.85,-0.03
395.77,-0.04
399.73,-0.05
403.72,-0.06
407.76,-0.08
411.84,-0.09
415.96,-0.10
420.12,-0.11
424.32,-0.11
428.56,-0.11
432.85,-0.10
437.18,-0.08
441.55,-0.06
445.96,-0.03
450.42,0.01
454.93,0.05
459.48,0.10
464.07,0.14
468.71,0.19
473.40,0.24
478.13,0.29
482.91,0.33
487.74,0.37
492.62,0.40
497.55,0.42
502.52,0.44
507.55,0.45
512.62,0.44
517.75,0.44
522.93,0.42
528.16,0.40
533.44,0.37
538.77,0.33
544.16,0.29
549.60,0.25
555.10,0.21
560.65,0.16
566.25,0.12
571.92,0.08
577.64,0.05
583.41,0.02
589.25,-0.01
595.14,-0.03
601.09,-0.04
607.10,-0.04
613.17,-0.03
619.30,-0.01
625.50,0.01
631.75,0.04
638.07,0.08
644.45,0.13
650.89,0.17
657.40,0.22
663.98,0.27
670.62,0.32
677.32,0.36
684.10,0.40
690.94,0.44
697.85,0.48
704.83,0.51
711.87,0.53
718.99,0.54
726.18,0.55
