frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.95,-6.09,-2.96,-6.09,5.99,5.82,2.38,3.04,3.04,3.13
20.20,-2.90,-6.02,-2.90,-6.02,5.97,5.81,2.45,3.07,3.07,3.12
20.40,-2.86,-5.97,-2.85,-5.96,5.95,5.80,2.52,3.09,3.10,3.11
20.61,-2.81,-5.92,-2.81,-5.91,5.92,5.78,2.59,3.11,3.12,3.11
20.81,-2.76,-5.85,-2.76,-5.86,5.90,5.77,2.67,3.14,3.13,3.09
21.02,-2.72,-5.81,-2.73,-5.83,5.87,5.75,2.74,3.15,3.14,3.09
21.23,-2.72,-5.81,-2.72,-5.81,5.84,5.73,2.82,3.12,3.13,3.09
21.44,-2.72,-5.81,-2.72,-5.81,5.82,5.71,2.90,3.10,3.10,3.09
21.66,-2.72,-5.80,-2.73,-5.81,5.79,5.69,2.98,3.07,3.07,3.08
21.87,-2.72,-5.80,-2.72,-5.80,5.77,5.67,3.07,3.05,3.06,3.08
22.09,-2.70,-5.78,-2.69,-5.77,5.75,5.65,3.16,3.05,3.05,3.08
22.31,-2.65,-5.73,-2.65,-5.73,5.72,5.63,3.25,3.07,3.06,3.08
22.54,-2.60,-5.67,-2.60,-5.68,5.68,5.61,3.34,3.07,3.07,3.07
22.76,-2.55,-5.63,-2.55,-5.63,5.63,5.58,3.43,3.08,3.07,3.08
22.99,-2.50,-5.58,-2.50,-5.58,5.57,5.56,3.53,3.07,3.07,3.08
23.22,-2.45,-5.53,-2.45,-5.53,5.52,5.53,3.63,3.07,3.08,3.08
23.45,-2.39,-5.47,-2.39,-5.47,5.48,5.51,3.73,3.09,3.09,3.08
23.69,-2.34,-5.43,-2.34,-5.42,5.44,5.48,3.83,3.10,3.11,3.09
23.92,-2.29,-5.38,-2.30,-5.39,5.42,5.46,3.94,3.13,3.12,3.09
24.16,-2.27,-5.38,-2.28,-5.38,5.40,5.43,4.04,3.12,3.12,3.10
24.40,-2.27,-5.39,-2.27,-5.38,5.38,5.40,4.15,3.11,3.11,3.11
24.65,-2.27,-5.38,-2.27,-5.39,5.37,5.38,4.26,3.10,3.10,3.11
24.89,-2.27,-5.38,-2.27,-5.38,5.36,5.35,4.37,3.09,3.09,3.11
25.14,-2.26,-5.36,-2.26,-5.36,5.35,5.32,4.49,3.09,3.10,3.10
25.39,-2.23,-5.33,-2.24,-5.34,5.34,5.29,4.60,3.11,3.10,3.10
25.65,-2.21,-5.32,-2.21,-5.32,5.31,5.26,4.71,3.10,3.10,3.11
25.91,-2.19,-5.30,-2.19,-5.30,5.29,5.23,4.83,3.10,3.10,3.11
26.16,-2.16,-5.27,-2.16,-5.27,5.26,5.20,4.94,3.10,3.10,3.11
26.43,-2.12,-5.23,-2.12,-5.23,5.23,5.17,5.05,3.11,3.11,3.11
26.69,-2.08,-5.19,-2.08,-5.19,5.21,5.14,5.16,3.13,3.13,3.11
26.96,-2.05,-5.16,-2.06,-5.16,5.19,5.11,5.27,3.14,3.13,3.11
27.23,-2.04,-5.14,-2.04,-5.14,5.16,5.08,5.38,3.12,3.12,3.09
27.50,-2.04,-5.13,-2.05,-5.14,5.13,5.04,5.48,3.09,3.09,3.09
27.77,-2.04,-5.13,-2.04,-5.13,5.10,5.01,5.58,3.06,3.06,3.09
28.05,-2.03,-5.12,-2.02,-5.11,5.06,4.98,5.67,3.03,3.05,3.09
28.33,-1.96,-5.05,-1.96,-5.05,5.03,4.95,5.76,3.07,3.07,3.09
28.62,-1.90,-4.98,-1.90,-4.98,5.00,4.91,5.85,3.10,3.10,3.08
28.90,-1.83,-4.91,-1.84,-4.92,4.97,4.88,5.92,3.13,3.12,3.08
29.19,-1.81,-4.88,-1.82,-4.88,4.92,4.85,5.99,3.11,3.11,3.07
29.48,-1.81,-4.88,-1.81,-4.87,4.87,4.82,6.05,3.06,3.06,3.06
29.78,-1.81,-4.86,-1.81,-4.86,4.82,4.78,6.10,3.01,3.02,3.05
30.08,-1.79,-4.85,-1.78,-4.83,4.78,4.75,6.15,2.99,3.00,3.06
30.38,-1.72,-4.76,-1.72,-4.76,4.74,4.72,6.18,3.01,3.02,3.04
30.68,-1.65,-4.68,-1.65,-4.68,4.70,4.68,6.20,3.05,3.05,3.03
30.99,-1.58,-4.60,-1.60,-4.62,4.67,4.65,6.22,3.08,3.06,3.02
31.30,-1.58,-4.60,-1.58,-4.59,4.63,4.62,6.22,3.05,3.06,3.01
31.61,-1.58,-4.59,-1.57,-4.58,4.60,4.58,6.21,3.02,3.03,3.01
31.93,-1.58,-4.57,-1.58,-4.58,4.58,4.55,6.19,3.00,3.00,2.99
32.24,-1.58,-4.57,-1.59,-4.57,4.55,4.51,6.16,2.97,2.97,2.99
32.57,-1.58,-4.56,-1.59,-4.56,4.53,4.48,6.12,2.95,2.94,2.98
32.89,-1.58,-4.55,-1.57,-4.54,4.50,4.45,6.07,2.92,2.93,2.97
33.22,-1.53,-4.50,-1.52,-4.50,4.47,4.41,6.02,2.94,2.95,2.97
33.55,-1.46,-4.44,-1.46,-4.44,4.44,4.38,5.95,2.98,2.98,2.98
33.89,-1.38,-4.37,-1.40,-4.38,4.41,4.34,5.88,3.03,3.01,2.99
34.23,-1.36,-4.33,-1.37,-4.34,4.38,4.31,5.80,3.02,3.01,2.97
34.57,-1.36,-4.33,-1.36,-4.33,4.36,4.27,5.71,2.99,3.00,2.97
34.92,-1.36,-4.33,-1.36,-4.33,4.34,4.24,5.62,2.98,2.98,2.97
35.27,-1.36,-4.34,-1.36,-4.33,4.33,4.20,5.52,2.97,2.97,2.97
35.62,-1.36,-4.31,-1.36,-4.32,4.32,4.17,5.42,2.95,2.95,2.95
35.97,-1.36,-4.32,-1.36,-4.31,4.30,4.13,5.32,2.94,2.94,2.96
36.33,-1.35,-4.30,-1.36,-4.30,4.27,4.09,5.21,2.92,2.91,2.94
36.70,-1.34,-4.27,-1.34,-4.27,4.24,4.06,5.10,2.89,2.89,2.93
37.06,-1.32,-4.24,-1.30,-4.22,4.19,4.02,4.99,2.87,2.89,2.92
37.43,-1.24,-4.13,-1.24,-4.14,4.14,3.98,4.88,2.90,2.90,2.89
37.81,-1.17,-4.05,-1.18,-4.06,4.08,3.95,4.77,2.91,2.90,2.88
38.19,-1.13,-3.99,-1.14,-3.99,4.03,3.91,4.66,2.90,2.89,2.86
38.57,-1.13,-3.95,-1.13,-3.95,3.98,3.87,4.55,2.85,2.86,2.82
38.95,-1.13,-3.93,-1.13,-3.92,3.94,3.83,4.44,2.81,2.81,2.80
39.34,-1.13,-3.89,-1.13,-3.90,3.90,3.79,4.33,2.77,2.77,2.76
39.74,-1.13,-3.87,-1.13,-3.87,3.86,3.75,4.22,2.73,2.73,2.74
40.14,-1.13,-3.83,-1.14,-3.84,3.82,3.71,4.11,2.69,2.68,2.70
40.54,-1.13,-3.81,-1.14,-3.82,3.77,3.67,4.01,2.64,2.63,2.68
40.94,-1.13,-3.78,-1.10,-3.76,3.72,3.63,3.91,2.59,2.61,2.65
41.35,-1.05,-3.69,-1.04,-3.67,3.66,3.59,3.81,2.61,2.62,2.64
41.76,-0.95,-3.56,-0.97,-3.58,3.60,3.55,3.71,2.65,2.63,2.61
42.18,-0.90,-3.50,-0.92,-3.51,3.55,3.51,3.61,2.65,2.63,2.59
42.60,-0.90,-3.47,-0.89,-3.46,3.50,3.46,3.52,2.60,2.61,2.57
43.03,-0.90,-3.44,-0.90,-3.44,3.46,3.42,3.43,2.56,2.56,2.54
43.46,-0.90,-3.42,-0.90,-3.42,3.42,3.38,3.34,2.52,2.52,2.51
43.90,-0.90,-3.39,-0.90,-3.39,3.39,3.33,3.25,2.49,2.49,2.49
44.33,-0.90,-3.37,-0.90,-3.37,3.36,3.29,3.17,2.46,2.45,2.47
44.78,-0.90,-3.34,-0.90,-3.35,3.32,3.24,3.09,2.42,2.42,2.44
45.23,-0.89,-3.32,-0.89,-3.31,3.27,3.20,3.01,2.38,2.38,2.42
45.68,-0.86,-3.25,-0.86,-3.25,3.22,3.15,2.94,2.36,2.36,2.39
46.13,-0.82,-3.18,-0.81,-3.16,3.16,3.10,2.86,2.34,2.35,2.36
46.60,-0.74,-3.07,-0.74,-3.07,3.09,3.05,2.79,2.35,2.35,2.33
47.06,-0.67,-2.97,-0.69,-2.99,3.03,3.01,2.72,2.35,2.33,2.30
47.53,-0.67,-2.94,-0.67,-2.93,2.96,2.96,2.66,2.29,2.29,2.27
48.01,-0.67,-2.89,-0.66,-2.89,2.90,2.91,2.59,2.23,2.24,2.22
48.49,-0.67,-2.86,-0.67,-2.86,2.85,2.86,2.53,2.18,2.18,2.19
48.97,-0.67,-2.81,-0.67,-2.81,2.82,2.81,2.47,2.14,2.14,2.14
49.46,-0.67,-2.78,-0.67,-2.77,2.79,2.76,2.41,2.11,2.11,2.11
49.96,-0.67,-2.73,-0.67,-2.74,2.75,2.71,2.35,2.08,2.08,2.06
50.46,-0.67,-2.71,-0.67,-2.70,2.71,2.66,2.30,2.04,2.04,2.04
50.96,-0.67,-2.67,-0.68,-2.68,2.65,2.61,2.25,1.98,1.97,2.00
