frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.77,-2.89,-1.77,-2.89,2.89,1.16,0.69,1.12,1.12,1.12
20.20,-1.72,-2.88,-1.72,-2.88,2.88,1.16,0.71,1.16,1.16,1.16
20.40,-1.68,-2.87,-1.68,-2.86,2.87,1.16,0.73,1.19,1.19,1.19
20.61,-1.63,-2.85,-1.63,-2.85,2.85,1.16,0.76,1.22,1.22,1.22
20.81,-1.58,-2.83,-1.58,-2.83,2.83,1.16,0.78,1.25,1.24,1.25
21.02,-1.54,-2.82,-1.54,-2.81,2.80,1.15,0.80,1.26,1.27,1.28
21.23,-1.49,-2.78,-1.49,-2.78,2.77,1.15,0.83,1.29,1.29,1.30
21.44,-1.44,-2.74,-1.44,-2.75,2.74,1.15,0.85,1.30,1.30,1.31
21.66,-1.39,-2.70,-1.39,-2.70,2.71,1.15,0.88,1.32,1.32,1.31
21.87,-1.34,-2.66,-1.34,-2.66,2.67,1.15,0.91,1.33,1.33,1.32
22.09,-1.29,-2.62,-1.29,-2.62,2.62,1.15,0.93,1.34,1.34,1.33
22.31,-1.24,-2.58,-1.24,-2.58,2.58,1.14,0.96,1.34,1.34,1.34
22.54,-1.19,-2.53,-1.19,-2.53,2.53,1.14,0.99,1.34,1.34,1.34
22.76,-1.14,-2.48,-1.14,-2.48,2.48,1.14,1.02,1.34,1.34,1.34
22.99,-1.09,-2.43,-1.09,-2.43,2.44,1.14,1.05,1.35,1.35,1.34
23.22,-1.04,-2.39,-1.04,-2.38,2.39,1.14,1.08,1.35,1.35,1.35
23.45,-0.98,-2.33,-0.98,-2.34,2.34,1.14,1.11,1.36,1.35,1.35
23.69,-0.93,-2.29,-0.93,-2.29,2.29,1.13,1.15,1.36,1.36,1.36
23.92,-0.88,-2.24,-0.88,-2.24,2.24,1.13,1.18,1.36,1.36,1.36
24.16,-0.83,-2.20,-0.83,-2.20,2.19,1.13,1.21,1.36,1.36,1.37
24.40,-0.78,-2.15,-0.78,-2.15,2.15,1.13,1.25,1.37,1.37,1.37
24.65,-0.74,-2.10,-0.73,-2.10,2.11,1.12,1.28,1.37,1.37,1.36
24.89,-0.69,-2.05,-0.69,-2.05,2.07,1.12,1.32,1.38,1.38,1.36
25.14,-0.66,-2.02,-0.66,-2.02,2.04,1.12,1.35,1.38,1.37,1.36
25.39,-0.65,-2.00,-0.65,-2.00,2.00,1.12,1.38,1.35,1.35,1.35
25.65,-0.64,-1.99,-0.64,-1.98,1.96,1.11,1.42,1.32,1.32,1.35
25.91,-0.63,-1.97,-0.62,-1.96,1.92,1.11,1.45,1.29,1.30,1.34
26.16,-0.59,-1.91,-0.58,-1.91,1.88,1.11,1.49,1.30,1.30,1.32
26.43,-0.53,-1.85,-0.53,-1.85,1.85,1.11,1.52,1.32,1.32,1.32
26.69,-0.47,-1.78,-0.47,-1.78,1.81,1.10,1.56,1.34,1.34,1.31
26.96,-0.41,-1.72,-0.42,-1.74,1.77,1.10,1.59,1.36,1.35,1.31
27.23,-0.40,-1.70,-0.40,-1.70,1.73,1.10,1.62,1.33,1.33,1.30
27.50,-0.40,-1.70,-0.40,-1.69,1.69,1.09,1.65,1.29,1.29,1.30
27.77,-0.40,-1.68,-0.40,-1.68,1.65,1.09,1.68,1.25,1.25,1.28
28.05,-0.39,-1.67,-0.37,-1.65,1.61,1.09,1.71,1.22,1.23,1.28
28.33,-0.33,-1.60,-0.33,-1.59,1.58,1.08,1.73,1.25,1.25,1.27
28.62,-0.26,-1.52,-0.26,-1.52,1.55,1.08,1.76,1.29,1.28,1.26
28.90,-0.20,-1.46,-0.21,-1.46,1.51,1.08,1.78,1.31,1.30,1.26
