frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.51,-1.21,-2.51,-1.22,1.23,-0.66,-0.57,-1.28,-1.28,-1.30
20.20,-2.42,-1.16,-2.42,-1.16,1.16,-0.68,-0.59,-1.26,-1.25,-1.26
20.40,-2.32,-1.09,-2.32,-1.10,1.09,-0.69,-0.60,-1.23,-1.23,-1.23
20.61,-2.23,-1.03,-2.23,-1.03,1.02,-0.70,-0.62,-1.21,-1.21,-1.20
20.81,-2.13,-0.96,-2.13,-0.97,0.95,-0.72,-0.64,-1.18,-1.18,-1.17
21.02,-2.04,-0.90,-2.04,-0.90,0.88,-0.73,-0.66,-1.16,-1.16,-1.14
21.23,-1.94,-0.82,-1.94,-0.82,0.81,-0.74,-0.68,-1.13,-1.13,-1.12
21.44,-1.85,-0.74,-1.85,-0.74,0.74,-0.76,-0.70,-1.11,-1.11,-1.11
21.66,-1.75,-0.65,-1.75,-0.65,0.66,-0.77,-0.73,-1.09,-1.09,-1.10
21.87,-1.66,-0.57,-1.66,-0.57,0.59,-0.79,-0.75,-1.07,-1.07,-1.09
22.09,-1.57,-0.49,-1.58,-0.50,0.52,-0.80,-0.77,-1.05,-1.06,-1.08
22.31,-1.51,-0.44,-1.51,-0.44,0.45,-0.82,-0.79,-1.06,-1.06,-1.07
22.54,-1.45,-0.38,-1.45,-0.38,0.38,-0.83,-0.82,-1.07,-1.07,-1.07
22.76,-1.39,-0.32,-1.39,-0.32,0.31,-0.85,-0.84,-1.08,-1.08,-1.07
22.99,-1.32,-0.25,-1.31,-0.25,0.23,-0.87,-0.87,-1.09,-1.08,-1.07
23.22,-1.23,-0.17,-1.23,-0.17,0.16,-0.88,-0.90,-1.07,-1.07,-1.06
23.45,-1.13,-0.07,-1.14,-0.08,0.07,-0.90,-0.92,-1.06,-1.06,-1.06
23.69,-1.04,0.01,-1.04,0.02,-0.02,-0.92,-0.95,-1.06,-1.05,-1.05
23.92,-0.94,0.11,-0.94,0.11,-0.11,-0.94,-0.98,-1.05,-1.05,-1.05
24.16,-0.84,0.20,-0.84,0.20,-0.21,-0.95,-1.01,-1.05,-1.05,-1.04
24.40,-0.74,0.30,-0.74,0.31,-0.31,-0.97,-1.04,-1.05,-1.05,-1.04
24.65,-0.64,0.41,-0.63,0.41,-0.41,-0.99,-1.07,-1.05,-1.04,-1.05
24.89,-0.53,0.53,-0.54,0.52,-0.50,-1.01,-1.10,-1.03,-1.04,-1.05
25.14,-0.45,0.61,-0.45,0.60,-0.59,-1.03,-1.13,-1.04,-1.05,-1.05
25.39,-0.39,0.68,-0.38,0.68,-0.67,-1.05,-1.16,-1.06,-1.05,-1.06
25.65,-0.32,0.74,-0.32,0.75,-0.74,-1.07,-1.19,-1.06,-1.06,-1.07
25.91,-0.25,0.82,-0.26,0.82,-0.81,-1.09,-1.22,-1.06,-1.07,-1.08
26.16,-0.20,0.89,-0.20,0.88,-0.87,-1.11,-1.26,-1.07,-1.08,-1.09
26.43,-0.16,0.93,-0.16,0.93,-0.94,-1.13,-1.29,-1.10,-1.10,-1.09
26.69,-0.11,0.99,-0.11,0.98,-1.00,-1.15,-1.32,-1.11,-1.12,-1.10
26.96,-0.07,1.03,-0.06,1.04,-1.07,-1.18,-1.35,-1.14,-1.13,-1.10
27.23,-0.00,1.11,0.00,1.11,-1.13,-1.20,-1.39,-1.13,-1.13,-1.11
27.50,0.08,1.19,0.08,1.19,-1.19,-1.22,-1.42,-1.11,-1.11,-1.11
27.77,0.15,1.28,0.15,1.27,-1.24,-1.24,-1.45,-1.09,-1.09,-1.13
28.05,0.21,1.34,0.20,1.33,-1.29,-1.27,-1.49,-1.08,-1.09,-1.13
28.33,0.22,1.36,0.22,1.36,-1.33,-1.29,-1.52,-1.11,-1.12,-1.14
28.62,0.22,1.37,0.22,1.37,-1.38,-1.32,-1.55,-1.16,-1.16,-1.15
28.90,0.23,1.38,0.24,1.39,-1.43,-1.34,-1.58,-1.19,-1.19,-1.15
29.19,0.27,1.43,0.28,1.43,-1.47,-1.37,-1.61,-1.20,-1.19,-1.16
29.48,0.34,1.50,0.34,1.50,-1.52,-1.39,-1.64,-1.18,-1.18,-1.16
29.78,0.41,1.58,0.41,1.57,-1.58,-1.42,-1.67,-1.17,-1.17,-1.17
30.08,0.48,1.66,0.48,1.65,-1.65,-1.44,-1.70,-1.17,-1.17,-1.18
30.38,0.54,1.73,0.54,1.73,-1.72,-1.47,-1.72,-1.19,-1.18,-1.19
30.68,0.61,1.80,0.61,1.80,-1.81,-1.50,-1.75,-1.20,-1.20,-1.19
30.99,0.68,1.88,0.68,1.88,-1.88,-1.53,-1.77,-1.20,-1.20,-1.20
31.30,0.75,1.95,0.75,1.95,-1.95,-1.55,-1.80,-1.20,-1.19,-1.20
31.61,0.82,2.02,0.82,2.03,-2.01,-1.58,-1.82,-1.19,-1.18,-1.20
31.93,0.89,2.10,0.88,2.10,-2.06,-1.61,-1.84,-1.17,-1.18,-1.21
32.24,0.91,2.15,0.90,2.13,-2.11,-1.64,-1.86,-1.20,-1.21,-1.24
32.57,0.91,2.15,0.91,2.15,-2.16,-1.67,-1.88,-1.25,-1.25,-1.24
32.89,0.91,2.14,0.93,2.16,-2.21,-1.70,-1.90,-1.30,-1.28,-1.23
33.22,0.96,2.20,0.97,2.21,-2.25,-1.73,-1.92,-1.29,-1.28,-1.24
33.55,1.04,2.28,1.04,2.28,-2.29,-1.76,-1.93,-1.25,-1.25,-1.24
33.89,1.11,2.36,1.10,2.35,-2.32,-1.79,-1.95,-1.21,-1.22,-1.25
34.23,1.14,2.40,1.13,2.39,-2.35,-1.83,-1.97,-1.21,-1.22,-1.26
34.57,1.14,2.41,1.15,2.41,-2.38,-1.86,-1.98,-1.24,-1.23,-1.27
34.92,1.14,2.41,1.14,2.41,-2.40,-1.89,-2.00,-1.26,-1.26,-1.27
35.27,1.14,2.41,1.14,2.41,-2.41,-1.92,-2.01,-1.27,-1.28,-1.27
35.62,1.14,2.42,1.14,2.42,-2.43,-1.96,-2.02,-1.29,-1.29,-1.28
35.97,1.14,2.43,1.14,2.43,-2.44,-1.99,-2.04,-1.30,-1.30,-1.29
36.33,1.15,2.44,1.14,2.44,-2.46,-2.03,-2.05,-1.31,-1.32,-1.29
36.70,1.16,2.46,1.16,2.46,-2.50,-2.06,-2.07,-1.34,-1.34,-1.30
37.06,1.18,2.49,1.20,2.51,-2.53,-2.10,-2.09,-1.35,-1.33,-1.31
37.43,1.26,2.58,1.26,2.58,-2.58,-2.13,-2.10,-1.32,-1.32,-1.31
37.81,1.33,2.66,1.32,2.65,-2.62,-2.17,-2.12,-1.29,-1.30,-1.33
38.19,1.37,2.71,1.36,2.70,-2.66,-2.20,-2.14,-1.29,-1.30,-1.34
38.57,1.37,2.71,1.37,2.72,-2.69,-2.24,-2.16,-1.32,-1.32,-1.34
38.95,1.37,2.73,1.37,2.73,-2.72,-2.28,-2.18,-1.35,-1.35,-1.36
39.34,1.37,2.74,1.37,2.74,-2.74,-2.31,-2.20,-1.37,-1.37,-1.37
39.74,1.37,2.75,1.37,2.75,-2.75,-2.35,-2.22,-1.38,-1.38,-1.38
40.14,1.37,2.74,1.37,2.75,-2.75,-2.39,-2.25,-1.38,-1.38,-1.37
40.54,1.37,2.76,1.37,2.76,-2.75,-2.43,-2.27,-1.38,-1.38,-1.39
40.94,1.37,2.76,1.37,2.76,-2.75,-2.47,-2.30,-1.38,-1.38,-1.39
41.35,1.37,2.77,1.37,2.77,-2.76,-2.51,-2.33,-1.39,-1.39,-1.40
41.76,1.37,2.78,1.37,2.78,-2.78,-2.55,-2.36,-1.41,-1.41,-1.41
42.18,1.37,2.79,1.36,2.78,-2.81,-2.58,-2.39,-1.44,-1.45,-1.42
42.60,1.37,2.81,1.37,2.80,-2.86,-2.62,-2.42,-1.49,-1.49,-1.44
43.03,1.38,2.83,1.41,2.87,-2.91,-2.66,-2.46,-1.53,-1.50,-1.45
43.46,1.48,2.96,1.48,2.96,-2.97,-2.70,-2.49,-1.49,-1.49,-1.48
43.90,1.58,3.09,1.55,3.05,-3.02,-2.74,-2.53,-1.44,-1.47,-1.51
44.33,1.60,3.13,1.60,3.13,-3.08,-2.78,-2.57,-1.48,-1.48,-1.53
44.78,1.60,3.16,1.61,3.17,-3.13,-2.82,-2.62,-1.53,-1.53,-1.56
45.23,1.60,3.18,1.60,3.19,-3.18,-2.86,-2.66,-1.58,-1.58,-1.58
45.68,1.60,3.21,1.60,3.21,-3.21,-2.91,-2.71,-1.61,-1.61,-1.61
46.13,1.60,3.23,1.60,3.22,-3.23,-2.95,-2.75,-1.63,-1.63,-1.63
46.60,1.60,3.23,1.60,3.24,-3.25,-2.99,-2.80,-1.65,-1.65,-1.63
47.06,1.60,3.25,1.60,3.25,-3.25,-3.03,-2.86,-1.65,-1.65,-1.65
47.53,1.60,3.26,1.60,3.25,-3.26,-3.07,-2.91,-1.66,-1.66,-1.66
48.01,1.60,3.26,1.60,3.26,-3.27,-3.11,-2.96,-1.67,-1.67,-1.66
48.49,1.60,3.27,1.60,3.27,-3.27,-3.15,-3.02,-1.67,-1.67,-1.67
48.97,1.60,3.28,1.60,3.28,-3.28,-3.19,-3.08,-1.68,-1.68,-1.68
49.46,1.60,3.29,1.60,3.29,-3.28,-3.23,-3.14,-1.68,-1.68,-1.69
49.96,1.60,3.29,1.60,3.28,-3.28,-3.26,-3.20,-1.68,-1.68,-1.69
50.46,1.60,3.27,1.60,3.28,-3.28,-3.30,-3.26,-1.68,-1.68,-1.67
50.96,1.60,3.27,1.60,3.28,-3.28,-3.34,-3.32,-1.68,-1.68,-1.67
51.47,1.60,3.28,1.60,3.28,-3.28,-3.38,-3.38,-1.68,-1.68,-1.68
51.99,1.60,3.29,1.60,3.28,-3.29,-3.42,-3.45,-1.69,-1.69,-1.69
52.51,1.60,3.29,1.60,3.29,-3.30,-3.46,-3.51,-1.70,-1.70,-1.69
53.03,1.60,3.31,1.60,3.31,-3.31,-3.49,-3.57,-1.71,-1.71,-1.71
53.56,1.60,3.33,1.60,3.32,-3.33,-3.53,-3.63,-1.73,-1.73,-1.73
54.10,1.60,3.35,1.60,3.35,-3.35,-3.56,-3.70,-1.75,-1.75,-1.75
54.64,1.60,3.38,1.60,3.38,-3.37,-3.60,-3.76,-1.77,-1.77,-1.78
55.18,1.60,3.41,1.60,3.41,-3.40,-3.63,-3.82,-1.80,-1.80,-1.81
55.74,1.60,3.44,1.60,3.43,-3.43,-3.67,-3.88,-1.83,-1.83,-1.84
56.29,1.60,3.46,1.60,3.46,-3.46,-3.70,-3.93,-1.86,-1.86,-1.86
56.86,1.60,3.49,1.60,3.49,-3.49,-3.73,-3.99,-1.89,-1.89,-1.89
57.42,1.60,3.53,1.60,3.53,-3.53,-3.76,-4.04,-1.93,-1.93,-1.93
58.00,1.60,3.56,1.60,3.56,-3.56,-3.79,-4.09,-1.96,-1.96,-1.96
58.58,1.60,3.60,1.60,3.59,-3.59,-3.82,-4.13,-1.99,-1.99,-2.00
59.16,1.60,3.62,1.60,3.62,-3.63,-3.85,-4.17,-2.03,-2.03,-2.02
59.76,1.60,3.65,1.60,3.66,-3.66,-3.88,-4.21,-2.06,-2.06,-2.05
60.35,1.60,3.70,1.60,3.70,-3.70,-3.91,-4.24,-2.10,-2.10,-2.10
60.96,1.60,3.73,1.60,3.74,-3.74,-3.93,-4.27,-2.14,-2.14,-2.13
61.57,1.60,3.79,1.60,3.78,-3.78,-3.96,-4.30,-2.18,-2.18,-2.19
62.18,1.60,3.82,1.60,3.82,-3.82,-3.98,-4.32,-2.22,-2.22,-2.22
62.80,1.60,3.86,1.60,3.86,-3.86,-4.01,-4.34,-2.26,-2.26,-2.26
63.43,1.60,3.91,1.60,3.90,-3.90,-4.03,-4.35,-2.30,-2.30,-2.31
64.07,1.60,3.93,1.60,3.94,-3.94,-4.05,-4.36,-2.34,-2.34,-2.33
64.71,1.60,3.97,1.60,3.97,-3.97,-4.07,-4.36,-2.37,-2.37,-2.37
65.35,1.60,4.00,1.60,4.00,-4.00,-4.09,-4.36,-2.40,-2.40,-2.40
66.01,1.60,4.04,1.60,4.03,-4.03,-4.10,-4.36,-2.43,-2.43,-2.44
66.67,1.60,4.06,1.60,4.06,-4.07,-4.12,-4.35,-2.47,-2.47,-2.46
67.33,1.60,4.09,1.60,4.08,-4.10,-4.14,-4.34,-2.50,-2.50,-2.49
68.01,1.60,4.11,1.60,4.11,-4.12,-4.15,-4.33,-2.52,-2.52,-2.51
68.69,1.60,4.13,1.60,4.13,-4.13,-4.16,-4.31,-2.53,-2.53,-2.53
69.37,1.60,4.15,1.61,4.16,-4.12,-4.18,-4.30,-2.52,-2.51,-2.55
70.07,1.60,4.17,1.61,4.17,-4.11,-4.19,-4.28,-2.51,-2.50,-2.57
70.77,1.60,4.18,1.56,4.14,-4.09,-4.20,-4.26,-2.49,-2.53,-2.58
71.48,1.49,4.09,1.49,4.09,-4.08,-4.21,-4.23,-2.59,-2.60,-2.60
72.19,1.37,3.99,1.41,4.03,-4.08,-4.22,-4.21,-2.71,-2.68,-2.62
72.91,1.37,4.01,1.36,4.00,-4.10,-4.22,-4.19,-2.73,-2.74,-2.64
73.64,1.37,4.04,1.38,4.04,-4.12,-4.23,-4.16,-2.75,-2.74,-2.67
74.38,1.43,4.11,1.45,4.14,-4.16,-4.24,-4.14,-2.73,-2.70,-2.68
75.12,1.55,4.26,1.52,4.23,-4.20,-4.24,-4.12,-2.65,-2.68,-2.71
75.87,1.59,4.33,1.58,4.31,-4.25,-4.25,-4.10,-2.66,-2.67,-2.74
76.63,1.60,4.35,1.61,4.36,-4.31,-4.25,-4.08,-2.71,-2.70,-2.75
77.40,1.60,4.37,1.60,4.37,-4.35,-4.26,-4.06,-2.75,-2.75,-2.77
78.17,1.60,4.39,1.60,4.38,-4.39,-4.26,-4.04,-2.79,-2.79,-2.79
78.95,1.60,4.39,1.60,4.39,-4.41,-4.26,-4.03,-2.81,-2.81,-2.79
79.74,1.60,4.40,1.60,4.40,-4.42,-4.26,-4.01,-2.82,-2.82,-2.80
80.54,1.60,4.41,1.60,4.40,-4.42,-4.26,-4.00,-2.82,-2.82,-2.81
81.35,1.60,4.41,1.60,4.41,-4.42,-4.26,-3.99,-2.82,-2.82,-2.81
82.16,1.60,4.41,1.60,4.41,-4.41,-4.26,-3.98,-2.81,-2.81,-2.81
82.98,1.60,4.40,1.61,4.41,-4.39,-4.26,-3.98,-2.79,-2.79,-2.80
83.81,1.60,4.40,1.61,4.41,-4.36,-4.26,-3.98,-2.76,-2.76,-2.80
84.65,1.60,4.40,1.58,4.37,-4.33,-4.26,-3.98,-2.73,-2.75,-2.80
85.50,1.54,4.32,1.52,4.30,-4.28,-4.26,-3.99,-2.74,-2.76,-2.78
86.35,1.43,4.20,1.45,4.22,-4.24,-4.26,-3.99,-2.81,-2.79,-2.77
87.22,1.37,4.13,1.39,4.15,-4.20,-4.26,-4.00,-2.83,-2.81,-2.76
88.09,1.37,4.12,1.36,4.11,-4.16,-4.26,-4.02,-2.79,-2.79,-2.75
88.97,1.37,4.11,1.36,4.10,-4.12,-4.26,-4.03,-2.75,-2.76,-2.74
89.86,1.37,4.09,1.37,4.10,-4.10,-4.26,-4.05,-2.73,-2.73,-2.72
90.76,1.37,4.10,1.37,4.09,-4.09,-4.26,-4.08,-2.72,-2.72,-2.73
91.66,1.37,4.09,1.37,4.09,-4.09,-4.26,-4.10,-2.72,-2.72,-2.72
92.58,1.37,4.09,1.37,4.09,-4.09,-4.27,-4.13,-2.72,-2.72,-2.72
93.51,1.37,4.08,1.37,4.09,-4.08,-4.27,-4.16,-2.71,-2.70,-2.71
94.44,1.37,4.08,1.38,4.09,-4.06,-4.27,-4.20,-2.69,-2.68,-2.71
95.39,1.37,4.09,1.36,4.07,-4.03,-4.27,-4.23,-2.66,-2.67,-2.72
96.34,1.33,4.05,1.30,4.02,-4.00,-4.27,-4.27,-2.67,-2.69,-2.72
97.30,1.22,3.94,1.23,3.96,-3.97,-4.28,-4.32,-2.75,-2.74,-2.72
98.28,1.14,3.87,1.17,3.90,-3.94,-4.28,-4.36,-2.80,-2.77,-2.73
99.26,1.14,3.88,1.13,3.87,-3.92,-4.29,-4.41,-2.78,-2.78,-2.74
100.25,1.14,3.89,1.13,3.88,-3.90,-4.29,-4.46,-2.76,-2.77,-2.75
101.25,1.14,3.90,1.14,3.90,-3.89,-4.30,-4.51,-2.75,-2.75,-2.76
102.27,1.14,3.91,1.14,3.91,-3.90,-4.31,-4.56,-2.76,-2.76,-2.77
103.29,1.14,3.94,1.14,3.93,-3.92,-4.31,-4.62,-2.78,-2.78,-2.80
104.32,1.14,3.96,1.14,3.96,-3.95,-4.32,-4.67,-2.81,-2.81,-2.82
105.37,1.14,3.99,1.14,3.99,-3.98,-4.33,-4.73,-2.84,-2.84,-2.85
106.42,1.14,4.02,1.14,4.02,-4.01,-4.34,-4.78,-2.87,-2.87,-2.88
107.48,1.14,4.07,1.14,4.06,-4.05,-4.36,-4.84,-2.91,-2.91,-2.93
108.56,1.14,4.11,1.14,4.11,-4.10,-4.37,-4.90,-2.96,-2.96,-2.97
109.64,1.14,4.15,1.14,4.15,-4.16,-4.38,-4.96,-3.02,-3.03,-3.01
110.74,1.14,4.20,1.12,4.18,-4.24,-4.40,-5.01,-3.10,-3.12,-3.06
111.85,1.14,4.24,1.16,4.27,-4.32,-4.42,-5.07,-3.18,-3.16,-3.10
112.97,1.16,4.33,1.22,4.38,-4.41,-4.43,-5.12,-3.25,-3.18,-3.17
114.10,1.37,4.58,1.30,4.51,-4.49,-4.45,-5.17,-3.12,-3.19,-3.21
115.24,1.37,4.64,1.36,4.63,-4.56,-4.47,-5.22,-3.19,-3.20,-3.27
116.39,1.37,4.69,1.39,4.71,-4.64,-4.49,-5.26,-3.27,-3.25,-3.32
117.55,1.37,4.73,1.37,4.73,-4.70,-4.52,-5.31,-3.33,-3.33,-3.36
118.73,1.37,4.77,1.37,4.77,-4.77,-4.54,-5.35,-3.40,-3.40,-3.40
119.92,1.37,4.80,1.36,4.79,-4.83,-4.57,-5.38,-3.46,-3.47,-3.43
121.12,1.37,4.83,1.36,4.82,-4.89,-4.59,-5.41,-3.52,-3.52,-3.46
122.33,1.37,4.86,1.41,4.89,-4.94,-4.62,-5.44,-3.57,-3.53,-3.49
123.55,1.47,4.98,1.48,4.99,-4.99,-4.65,-5.47,-3.52,-3.52,-3.51
124.79,1.59,5.12,1.55,5.08,-5.05,-4.68,-5.49,-3.46,-3.50,-3.53
126.03,1.60,5.16,1.60,5.15,-5.10,-4.72,-5.50,-3.50,-3.50,-3.56
127.29,1.60,5.17,1.61,5.19,-5.15,-4.75,-5.51,-3.55,-3.54,-3.57
128.57,1.60,5.21,1.60,5.20,-5.19,-4.79,-5.52,-3.59,-3.59,-3.61
129.85,1.60,5.23,1.60,5.23,-5.22,-4.83,-5.52,-3.62,-3.62,-3.63
131.15,1.60,5.25,1.60,5.25,-5.26,-4.86,-5.52,-3.66,-3.66,-3.65
132.46,1.60,5.27,1.60,5.27,-5.29,-4.90,-5.51,-3.69,-3.70,-3.67
133.79,1.60,5.29,1.59,5.28,-5.33,-4.95,-5.50,-3.73,-3.75,-3.69
135.12,1.60,5.32,1.62,5.33,-5.38,-4.99,-5.49,-3.78,-3.76,-3.72
136.48,1.65,5.38,1.68,5.42,-5.44,-5.03,-5.48,-3.79,-3.75,-3.73
137.84,1.80,5.56,1.75,5.52,-5.49,-5.08,-5.46,-3.69,-3.74,-3.76
