frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-15.50,-20.03,-15.50,-20.03,6.00,5.48,2.89,-9.50,-9.50,4.53
20.20,-15.36,-19.93,-15.36,-19.93,6.00,5.49,2.97,-9.36,-9.36,4.57
20.40,-15.22,-19.82,-15.22,-19.82,6.00,5.51,3.05,-9.22,-9.22,4.60
20.61,-15.08,-19.71,-15.08,-19.71,6.00,5.53,3.14,-9.08,-9.08,4.63
20.81,-14.94,-19.60,-14.94,-19.60,6.00,5.55,3.23,-8.94,-8.94,4.66
21.02,-14.80,-19.49,-14.80,-19.49,6.00,5.57,3.32,-8.80,-8.80,4.69
21.23,-14.65,-19.36,-14.65,-19.36,6.00,5.59,3.42,-8.65,-8.65,4.71
21.44,-14.50,-19.22,-14.50,-19.22,6.00,5.61,3.51,-8.50,-8.50,4.72
21.66,-14.35,-19.08,-14.35,-19.08,6.00,5.63,3.61,-8.35,-8.35,4.73
21.87,-14.20,-18.94,-14.19,-18.94,6.00,5.66,3.72,-8.20,-8.19,4.74
22.09,-14.04,-18.79,-14.04,-18.79,6.00,5.68,3.82,-8.04,-8.04,4.75
22.31,-13.88,-18.64,-13.88,-18.64,6.00,5.71,3.93,-7.88,-7.88,4.76
22.54,-13.73,-18.49,-13.72,-18.48,6.00,5.73,4.04,-7.73,-7.72,4.76
22.76,-13.57,-18.33,-13.57,-18.33,6.00,5.76,4.16,-7.57,-7.57,4.76
22.99,-13.41,-18.17,-13.43,-18.19,6.00,5.79,4.27,-7.41,-7.43,4.76
23.22,-13.31,-18.08,-13.31,-18.07,6.00,5.82,4.39,-7.31,-7.31,4.77
23.45,-13.21,-17.98,-13.21,-17.98,6.00,5.86,4.51,-7.21,-7.21,4.77
23.69,-13.12,-17.90,-13.12,-17.90,6.00,5.89,4.64,-7.12,-7.12,4.78
23.92,-13.02,-17.79,-13.01,-17.79,6.00,5.92,4.77,-7.02,-7.01,4.78
24.16,-12.88,-17.66,-12.87,-17.66,6.00,5.96,4.90,-6.88,-6.87,4.79
24.40,-12.71,-17.49,-12.72,-17.50,6.00,5.99,5.03,-6.71,-6.72,4.78
24.65,-12.55,-17.33,-12.55,-17.33,6.00,6.03,5.16,-6.55,-6.55,4.77
24.89,-12.38,-17.15,-12.38,-17.16,6.00,6.06,5.30,-6.38,-6.38,4.77
25.14,-12.23,-17.00,-12.23,-17.00,6.00,6.10,5.44,-6.23,-6.23,4.77
25.39,-12.09,-16.85,-12.09,-16.86,6.00,6.13,5.58,-6.09,-6.09,4.76
25.65,-11.96,-16.72,-11.96,-16.71,6.00,6.16,5.72,-5.96,-5.96,4.76
25.91,-11.82,-16.57,-11.82,-16.57,6.00,6.19,5.86,-5.82,-5.82,4.75
26.16,-11.68,-16.42,-11.68,-16.43,6.00,6.22,6.00,-5.68,-5.68,4.74
26.43,-11.54,-16.28,-11.54,-16.28,6.00,6.25,6.14,-5.54,-5.54,4.74
26.69,-11.40,-16.13,-11.40,-16.13,6.00,6.27,6.28,-5.40,-5.40,4.73
26.96,-11.25,-15.98,-11.26,-15.98,6.00,6.29,6.42,-5.25,-5.26,4.73
27.23,-11.11,-15.83,-11.11,-15.83,6.00,6.31,6.55,-5.11,-5.11,4.72
27.50,-10.97,-15.69,-10.97,-15.68,6.00,6.33,6.68,-4.97,-4.97,4.72
27.77,-10.83,-15.52,-10.83,-15.53,6.00,6.33,6.81,-4.83,-4.83,4.70
28.05,-10.69,-15.38,-10.69,-15.38,6.00,6.34,6.93,-4.69,-4.69,4.69
28.33,-10.56,-15.24,-10.56,-15.25,6.00,6.34,7.05,-4.56,-4.56,4.68
28.62,-10.43,-15.10,-10.43,-15.11,6.00,6.33,7.16,-4.43,-4.43,4.67
28.90,-10.30,-14.97,-10.29,-14.96,6.00,6.32,7.26,-4.30,-4.29,4.67
29.19,-10.13,-14.79,-10.12,-14.79,6.00,6.31,7.36,-4.13,-4.12,4.66
29.48,-9.93,-14.60,-9.93,-14.60,6.00,6.29,7.44,-3.93,-3.93,4.67
29.78,-9.74,-14.40,-9.74,-14.40,6.00,6.27,7.52,-3.74,-3.74,4.66
30.08,-9.56,-14.21,-9.58,-14.23,6.00,6.24,7.58,-3.56,-3.58,4.65
30.38,-9.44,-14.08,-9.44,-14.08,6.00,6.22,7.64,-3.44,-3.44,4.64
30.68,-9.32,-13.95,-9.32,-13.95,6.00,6.19,7.68,-3.32,-3.32,4.63
30.99,-9.20,-13.82,-9.19,-13.81,6.00,6.16,7.71,-3.20,-3.19,4.62
31.30,-9.03,-13.65,-9.04,-13.66,6.00,6.12,7.73,-3.03,-3.04,4.62
31.61,-8.87,-13.49,-8.87,-13.49,6.00,6.09,7.74,-2.87,-2.87,4.62
31.93,-8.70,-13.31,-8.71,-13.31,6.00,6.05,7.73,-2.70,-2.71,4.61
32.24,-8.55,-13.14,-8.55,-13.15,6.00,6.02,7.71,-2.55,-2.55,4.59
32.57,-8.41,-13.00,-8.41,-13.00,6.00,5.99,7.68,-2.41,-2.41,4.59
32.89,-8.27,-12.86,-8.26,-12.85,6.00,5.95,7.64,-2.27,-2.26,4.59
33.22,-8.11,-12.69,-8.11,-12.70,6.00,5.92,7.59,-2.11,-2.11,4.58
33.55,-7.96,-12.54,-7.96,-12.54,6.00,5.89,7.53,-1.96,-1.96,4.58
33.89,-7.80,-12.37,-7.81,-12.38,6.00,5.86,7.46,-1.80,-1.81,4.57
34.23,-7.66,-12.23,-7.66,-12.22,6.00,5.83,7.38,-1.66,-1.66,4.57
34.57,-7.53,-12.08,-7.52,-12.08,6.00,5.80,7.30,-1.53,-1.52,4.55
34.92,-7.39,-11.94,-7.40,-11.95,6.00,5.77,7.21,-1.39,-1.40,4.55
35.27,-7.28,-11.83,-7.28,-11.83,6.00,5.75,7.11,-1.28,-1.28,4.55
35.62,-7.18,-11.72,-7.18,-11.72,6.00,5.72,7.01,-1.18,-1.18,4.54
35.97,-7.08,-11.61,-7.08,-11.62,6.00,5.70,6.91,-1.08,-1.08,4.54
36.33,-6.98,-11.51,-6.99,-11.52,6.00,5.68,6.81,-0.98,-0.99,4.53
36.70,-6.89,-11.41,-6.89,-11.41,6.00,5.66,6.70,-0.89,-0.89,4.52
37.06,-6.78,-11.29,-6.76,-11.27,6.00,5.65,6.59,-0.78,-0.76,4.51
37.43,-6.60,-11.10,-6.60,-11.10,6.00,5.63,6.48,-0.60,-0.60,4.51
37.81,-6.42,-10.91,-6.43,-10.92,6.00,5.62,6.38,-0.42,-0.43,4.49
38.19,-6.25,-10.73,-6.25,-10.73,6.00,5.61,6.27,-0.25,-0.25,4.48
38.57,-6.10,-10.58,-6.09,-10.57,6.00,5.60,6.16,-0.10,-0.09,4.48
38.95,-5.95,-10.41,-5.96,-10.42,6.00,5.60,6.06,0.05,0.04,4.46
39.34,-5.85,-10.30,-5.85,-10.30,6.00,5.60,5.96,0.15,0.15,4.45
39.74,-5.76,-10.20,-5.76,-10.20,6.00,5.60,5.86,0.24,0.24,4.44
40.14,-5.67,-10.11,-5.67,-10.11,6.00,5.60,5.76,0.33,0.33,4.44
40.54,-5.58,-10.01,-5.58,-10.01,6.00,5.60,5.67,0.42,0.42,4.43
40.94,-5.48,-9.91,-5.46,-9.89,6.00,5.61,5.58,0.52,0.54,4.43
41.35,-5.33,-9.74,-5.32,-9.74,6.00,5.62,5.49,0.67,0.68,4.41
41.76,-5.16,-9.57,-5.17,-9.58,6.00,5.64,5.40,0.84,0.83,4.41
42.18,-5.02,-9.41,-5.03,-9.43,6.00,5.65,5.32,0.98,0.97,4.39
42.60,-4.90,-9.28,-4.90,-9.28,6.00,5.67,5.25,1.10,1.10,4.38
43.03,-4.78,-9.15,-4.75,-9.11,6.00,5.70,5.17,1.22,1.25,4.37
43.46,-4.58,-8.92,-4.58,-8.92,6.00,5.73,5.10,1.42,1.42,4.34
43.90,-4.38,-8.69,-4.40,-8.71,6.00,5.76,5.04,1.62,1.60,4.31
44.33,-4.25,-8.53,-4.25,-8.53,6.00,5.80,4.98,1.75,1.75,4.28
44.78,-4.15,-8.41,-4.16,-8.41,6.00,5.84,4.92,1.85,1.84,4.26
45.23,-4.09,-8.32,-4.11,-8.33,6.00,5.88,4.87,1.91,1.89,4.23
45.68,-4.06,-8.26,-4.05,-8.26,6.00,5.93,4.82,1.94,1.95,4.20
46.13,-3.99,-8.18,-3.95,-8.14,6.00,5.98,4.77,2.01,2.05,4.19
46.60,-3.81,-7.99,-3.82,-8.00,6.00,6.03,4.73,2.19,2.18,4.18
47.06,-3.64,-7.81,-3.66,-7.83,6.00,6.09,4.69,2.36,2.34,4.17
47.53,-3.53,-7.68,-3.53,-7.68,6.00,6.14,4.65,2.47,2.47,4.15
48.01,-3.42,-7.57,-3.43,-7.58,6.00,6.20,4.62,2.58,2.57,4.15
48.49,-3.36,-7.51,-3.35,-7.49,6.00,6.25,4.59,2.64,2.65,4.15
48.97,-3.29,-7.42,-3.30,-7.43,6.00,6.30,4.56,2.71,2.70,4.13
49.46,-3.24,-7.36,-3.25,-7.37,6.00,6.34,4.53,2.76,2.75,4.12
49.96,-3.19,-7.31,-3.17,-7.30,6.00,6.37,4.51,2.81,2.83,4.12
50.46,-3.07,-7.21,-3.07,-7.20,6.00,6.39,4.49,2.93,2.93,4.14
50.96,-2.93,-7.07,-2.93,-7.06,6.00,6.40,4.48,3.07,3.07,4.14
51.47,-2.78,-6.91,-2.78,-6.91,6.00,6.38,4.46,3.22,3.22,4.13
