frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.42,0.26,9.42,0.26,-0.26,-0.53,-0.82,9.16,9.16,9.16
20.20,9.46,0.31,9.46,0.30,-0.30,-0.55,-0.85,9.16,9.15,9.15
20.40,9.50,0.35,9.50,0.35,-0.35,-0.58,-0.87,9.15,9.15,9.15
20.61,9.54,0.40,9.54,0.40,-0.40,-0.61,-0.89,9.14,9.14,9.14
20.81,9.58,0.45,9.58,0.45,-0.45,-0.64,-0.92,9.13,9.13,9.13
21.02,9.62,0.50,9.62,0.50,-0.49,-0.67,-0.94,9.12,9.13,9.12
21.23,9.67,0.55,9.67,0.54,-0.54,-0.70,-0.97,9.13,9.12,9.12
21.44,9.71,0.58,9.71,0.59,-0.59,-0.73,-1.00,9.12,9.12,9.13
21.66,9.76,0.64,9.76,0.64,-0.64,-0.76,-1.02,9.12,9.12,9.12
21.87,9.80,0.68,9.80,0.68,-0.68,-0.79,-1.05,9.11,9.12,9.12
22.09,9.85,0.74,9.85,0.74,-0.73,-0.82,-1.08,9.12,9.11,9.11
22.31,9.89,0.78,9.89,0.79,-0.78,-0.85,-1.11,9.11,9.11,9.11
22.54,9.94,0.84,9.93,0.83,-0.83,-0.88,-1.14,9.11,9.10,9.10
22.76,9.98,0.87,9.98,0.88,-0.88,-0.91,-1.17,9.09,9.10,9.11
22.99,10.03,0.92,10.03,0.93,-0.94,-0.94,-1.20,9.09,9.09,9.11
23.22,10.09,0.99,10.08,0.98,-0.99,-0.97,-1.24,9.10,9.09,9.09
23.45,10.14,1.05,10.14,1.05,-1.05,-1.00,-1.27,9.09,9.09,9.09
23.69,10.20,1.10,10.20,1.11,-1.11,-1.03,-1.30,9.09,9.09,9.09
23.92,10.26,1.17,10.25,1.16,-1.16,-1.07,-1.34,9.09,9.09,9.09
24.16,10.31,1.21,10.31,1.21,-1.22,-1.10,-1.38,9.09,9.09,9.10
24.40,10.36,1.25,10.36,1.26,-1.26,-1.13,-1.41,9.10,9.11,9.11
24.65,10.41,1.30,10.41,1.30,-1.28,-1.17,-1.45,9.13,9.13,9.11
24.89,10.46,1.35,10.45,1.34,-1.30,-1.20,-1.49,9.16,9.15,9.11
25.14,10.46,1.36,10.46,1.35,-1.31,-1.23,-1.52,9.15,9.14,9.10
25.39,10.44,1.34,10.44,1.34,-1.32,-1.27,-1.56,9.11,9.11,9.10
25.65,10.41,1.31,10.40,1.31,-1.34,-1.30,-1.60,9.07,9.06,9.10
25.91,10.38,1.28,10.39,1.30,-1.36,-1.33,-1.64,9.02,9.03,9.09
26.16,10.41,1.32,10.42,1.33,-1.39,-1.37,-1.68,9.02,9.03,9.09
26.43,10.48,1.39,10.48,1.39,-1.41,-1.40,-1.72,9.06,9.06,9.08
26.69,10.55,1.47,10.55,1.47,-1.45,-1.44,-1.76,9.10,9.10,9.08
26.96,10.62,1.55,10.60,1.54,-1.48,-1.47,-1.79,9.13,9.12,9.07
27.23,10.64,1.58,10.64,1.57,-1.53,-1.51,-1.83,9.11,9.11,9.06
27.50,10.65,1.59,10.65,1.59,-1.57,-1.54,-1.87,9.08,9.08,9.06
27.77,10.65,1.59,10.65,1.60,-1.61,-1.58,-1.91,9.04,9.04,9.06
28.05,10.67,1.61,10.68,1.63,-1.65,-1.62,-1.95,9.02,9.03,9.05
28.33,10.72,1.67,10.71,1.66,-1.69,-1.65,-1.98,9.03,9.02,9.05
28.62,10.77,1.73,10.76,1.71,-1.74,-1.69,-2.02,9.03,9.02,9.04
28.90,10.81,1.76,10.82,1.77,-1.79,-1.72,-2.05,9.02,9.03,9.05
29.19,10.88,1.83,10.88,1.83,-1.84,-1.76,-2.09,9.04,9.05,9.05
29.48,10.96,1.90,10.96,1.90,-1.88,-1.80,-2.12,9.08,9.08,9.06
29.78,11.03,1.97,11.03,1.97,-1.92,-1.83,-2.15,9.11,9.10,9.05
30.08,11.08,2.02,11.06,2.00,-1.96,-1.87,-2.18,9.12,9.11,9.06
30.38,11.06,2.01,11.06,2.00,-1.99,-1.91,-2.21,9.07,9.07,9.05
30.68,11.04,1.99,11.04,1.99,-2.01,-1.95,-2.23,9.02,9.02,9.05
