frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.78,-8.84,-6.77,-8.83,6.00,6.00,2.76,-0.78,-0.77,2.06
20.20,-6.71,-8.76,-6.72,-8.78,6.00,6.01,2.84,-0.71,-0.72,2.05
20.40,-6.65,-8.70,-6.66,-8.71,6.00,6.01,2.92,-0.65,-0.66,2.05
20.61,-6.59,-8.63,-6.59,-8.63,6.00,6.02,3.00,-0.59,-0.59,2.04
20.81,-6.51,-8.54,-6.52,-8.55,6.00,6.03,3.09,-0.51,-0.52,2.03
21.02,-6.43,-8.45,-6.41,-8.43,6.00,6.04,3.17,-0.43,-0.41,2.02
21.23,-6.27,-8.29,-6.27,-8.30,6.00,6.05,3.27,-0.27,-0.27,2.02
21.44,-6.10,-8.13,-6.11,-8.13,6.00,6.05,3.36,-0.10,-0.11,2.03
21.66,-5.95,-7.96,-5.93,-7.95,6.00,6.06,3.46,0.05,0.07,2.02
21.87,-5.78,-7.80,-5.80,-7.81,6.00,6.06,3.56,0.22,0.20,2.02
22.09,-5.69,-7.70,-5.73,-7.73,6.00,6.07,3.66,0.31,0.27,2.01
22.31,-5.72,-7.73,-5.71,-7.71,6.00,6.07,3.76,0.28,0.29,2.01
22.54,-5.75,-7.75,-5.75,-7.75,6.00,6.08,3.87,0.25,0.25,2.00
22.76,-5.77,-7.78,-5.78,-7.78,6.00,6.08,3.98,0.23,0.22,2.01
22.99,-5.80,-7.81,-5.78,-7.78,6.00,6.09,4.09,0.20,0.22,2.01
23.22,-5.75,-7.75,-5.76,-7.75,6.00,6.09,4.21,0.25,0.24,1.99
23.45,-5.70,-7.70,-5.71,-7.70,6.00,6.09,4.33,0.30,0.29,1.99
23.69,-5.65,-7.65,-5.66,-7.65,6.00,6.09,4.45,0.35,0.34,1.99
23.92,-5.61,-7.61,-5.61,-7.61,6.00,6.10,4.57,0.39,0.39,1.99
24.16,-5.57,-7.58,-5.57,-7.58,6.00,6.10,4.69,0.43,0.43,2.00
24.40,-5.53,-7.54,-5.55,-7.56,6.00,6.10,4.82,0.47,0.45,2.01
24.65,-5.50,-7.51,-5.52,-7.53,6.00,6.10,4.95,0.50,0.48,2.01
24.89,-5.46,-7.47,-5.42,-7.43,6.00,6.10,5.08,0.54,0.58,2.01
25.14,-5.28,-7.28,-5.25,-7.25,6.00,6.10,5.21,0.72,0.75,2.00
25.39,-4.98,-6.98,-4.99,-6.99,6.00,6.10,5.35,1.02,1.01,2.00
25.65,-4.71,-6.70,-4.69,-6.69,6.00,6.09,5.48,1.29,1.31,2.00
25.91,-4.43,-6.43,-4.48,-6.47,6.00,6.09,5.61,1.57,1.52,2.00
26.16,-4.36,-6.35,-4.39,-6.38,6.00,6.09,5.75,1.64,1.61,2.00
26.43,-4.43,-6.42,-4.41,-6.40,6.00,6.09,5.88,1.57,1.59,1.98
26.69,-4.52,-6.51,-4.50,-6.48,6.00,6.08,6.01,1.48,1.50,1.98
26.96,-4.60,-6.58,-4.61,-6.58,6.00,6.08,6.14,1.40,1.39,1.97
27.23,-4.70,-6.66,-4.71,-6.68,6.00,6.07,6.27,1.30,1.29,1.96
27.50,-4.81,-6.77,-4.84,-6.80,6.00,6.07,6.39,1.19,1.16,1.96
27.77,-4.91,-6.87,-4.91,-6.87,6.00,6.06,6.51,1.09,1.09,1.96
28.05,-4.95,-6.91,-4.88,-6.84,6.00,6.05,6.63,1.05,1.12,1.96
28.33,-4.71,-6.67,-4.71,-6.66,6.00,6.05,6.74,1.29,1.29,1.96
28.62,-4.48,-6.42,-4.47,-6.42,6.00,6.04,6.84,1.52,1.53,1.95
28.90,-4.22,-6.18,-4.30,-6.25,6.00,6.03,6.93,1.78,1.70,1.95
29.19,-4.25,-6.21,-4.29,-6.24,6.00,6.02,7.02,1.75,1.71,1.95
