frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.72,6.20,13.72,6.20,-6.23,-5.95,-2.60,7.49,7.49,7.52
20.20,13.69,6.18,13.69,6.18,-6.19,-5.95,-2.67,7.51,7.50,7.51
20.40,13.65,6.14,13.66,6.15,-6.15,-5.94,-2.75,7.50,7.51,7.51
20.61,13.62,6.13,13.62,6.13,-6.11,-5.94,-2.83,7.51,7.51,7.50
20.81,13.59,6.11,13.59,6.10,-6.08,-5.93,-2.90,7.51,7.51,7.49
21.02,13.56,6.09,13.56,6.08,-6.05,-5.93,-2.99,7.51,7.51,7.48
21.23,13.52,6.05,13.52,6.05,-6.03,-5.92,-3.07,7.49,7.50,7.48
21.44,13.49,6.01,13.49,6.01,-6.01,-5.92,-3.16,7.48,7.48,7.49
21.66,13.45,5.98,13.45,5.97,-5.99,-5.91,-3.25,7.46,7.46,7.48
21.87,13.42,5.95,13.43,5.95,-5.98,-5.91,-3.34,7.45,7.45,7.47
22.09,13.41,5.95,13.42,5.95,-5.97,-5.90,-3.43,7.44,7.45,7.46
22.31,13.42,5.96,13.42,5.96,-5.97,-5.89,-3.53,7.46,7.45,7.46
22.54,13.43,5.98,13.43,5.97,-5.97,-5.89,-3.63,7.46,7.46,7.45
22.76,13.45,5.99,13.45,5.99,-5.98,-5.88,-3.73,7.47,7.47,7.46
22.99,13.46,6.00,13.46,6.00,-5.99,-5.87,-3.83,7.47,7.46,7.46
23.22,13.46,6.01,13.46,6.01,-6.00,-5.86,-3.94,7.46,7.46,7.45
23.45,13.46,6.01,13.47,6.01,-6.00,-5.85,-4.05,7.46,7.46,7.45
23.69,13.46,6.01,13.46,6.01,-6.00,-5.85,-4.16,7.46,7.46,7.45
23.92,13.46,6.01,13.46,6.00,-5.99,-5.84,-4.27,7.47,7.47,7.45
24.16,13.44,5.98,13.44,5.98,-5.97,-5.83,-4.39,7.47,7.47,7.46
24.40,13.42,5.95,13.42,5.95,-5.96,-5.82,-4.50,7.46,7.46,7.47
24.65,13.39,5.92,13.39,5.93,-5.95,-5.81,-4.62,7.45,7.45,7.47
24.89,13.37,5.90,13.38,5.91,-5.93,-5.80,-4.74,7.44,7.44,7.47
