frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.47,-6.86,-5.47,-6.87,6.00,6.01,2.17,0.53,0.53,1.40
20.20,-5.39,-6.82,-5.38,-6.82,6.00,5.99,2.24,0.61,0.62,1.44
20.40,-5.30,-6.78,-5.30,-6.77,6.00,5.96,2.30,0.70,0.70,1.48
20.61,-5.23,-6.72,-5.22,-6.72,6.00,5.93,2.37,0.77,0.78,1.49
20.81,-5.13,-6.67,-5.14,-6.67,6.00,5.90,2.44,0.87,0.86,1.53
21.02,-5.06,-6.63,-5.07,-6.63,6.00,5.88,2.51,0.94,0.93,1.57
21.23,-5.01,-6.59,-5.00,-6.59,6.00,5.85,2.59,0.99,1.00,1.58
21.44,-4.95,-6.56,-4.95,-6.55,6.00,5.82,2.66,1.05,1.05,1.60
21.66,-4.90,-6.51,-4.90,-6.51,6.00,5.79,2.74,1.10,1.10,1.61
21.87,-4.84,-6.46,-4.85,-6.46,6.00,5.76,2.82,1.16,1.15,1.61
22.09,-4.79,-6.42,-4.79,-6.41,6.00,5.73,2.90,1.21,1.21,1.62
22.31,-4.73,-6.36,-4.74,-6.36,6.00,5.70,2.99,1.27,1.27,1.62
22.54,-4.68,-6.30,-4.68,-6.30,6.01,5.67,3.08,1.33,1.33,1.62
22.76,-4.62,-6.24,-4.62,-6.23,6.01,5.64,3.17,1.39,1.39,1.61
22.99,-4.57,-6.17,-4.57,-6.17,6.01,5.61,3.26,1.45,1.44,1.60
23.22,-4.52,-6.12,-4.51,-6.11,6.00,5.57,3.35,1.49,1.49,1.60
23.45,-4.46,-6.04,-4.46,-6.05,5.99,5.54,3.45,1.53,1.53,1.59
23.69,-4.41,-6.00,-4.41,-6.00,5.96,5.51,3.54,1.55,1.55,1.59
23.92,-4.35,-5.94,-4.35,-5.94,5.92,5.47,3.64,1.57,1.57,1.59
24.16,-4.28,-5.88,-4.29,-5.88,5.87,5.44,3.75,1.59,1.59,1.60
24.40,-4.21,-5.81,-4.22,-5.81,5.81,5.41,3.85,1.60,1.60,1.60
24.65,-4.15,-5.73,-4.14,-5.74,5.74,5.37,3.95,1.60,1.60,1.59
24.89,-4.07,-5.66,-4.07,-5.66,5.67,5.34,4.06,1.59,1.59,1.59
25.14,-4.00,-5.59,-4.00,-5.59,5.59,5.30,4.16,1.58,1.58,1.59
25.39,-3.93,-5.52,-3.93,-5.51,5.52,5.26,4.27,1.58,1.58,1.58
25.65,-3.87,-5.44,-3.86,-5.44,5.45,5.23,4.38,1.59,1.59,1.57
25.91,-3.80,-5.36,-3.80,-5.37,5.39,5.19,4.49,1.59,1.59,1.56
26.16,-3.74,-5.31,-3.75,-5.31,5.34,5.15,4.59,1.59,1.59,1.56
26.43,-3.72,-5.28,-3.72,-5.28,5.28,5.12,4.70,1.57,1.57,1.56
