frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.75,-18.18,-19.75,-18.18,6.00,5.47,2.69,-13.75,-13.75,-1.57
20.20,-19.61,-18.08,-19.60,-18.08,6.00,5.50,2.77,-13.61,-13.60,-1.53
20.40,-19.46,-17.98,-19.46,-17.97,6.00,5.53,2.85,-13.46,-13.46,-1.49
20.61,-19.33,-17.86,-19.32,-17.87,6.00,5.56,2.93,-13.33,-13.32,-1.47
20.81,-19.18,-17.76,-19.18,-17.76,6.00,5.59,3.01,-13.18,-13.18,-1.43
21.02,-19.05,-17.66,-19.05,-17.65,6.00,5.61,3.10,-13.05,-13.05,-1.39
21.23,-18.92,-17.54,-18.92,-17.54,6.00,5.64,3.19,-12.92,-12.92,-1.38
21.44,-18.79,-17.44,-18.79,-17.43,6.00,5.67,3.28,-12.79,-12.79,-1.36
21.66,-18.67,-17.32,-18.66,-17.31,6.00,5.70,3.38,-12.67,-12.66,-1.35
21.87,-18.53,-17.18,-18.54,-17.19,6.00,5.72,3.47,-12.53,-12.54,-1.35
22.09,-18.40,-17.06,-18.40,-17.06,6.00,5.75,3.57,-12.40,-12.40,-1.34
22.31,-18.27,-16.93,-18.27,-16.93,6.00,5.77,3.68,-12.27,-12.27,-1.34
22.54,-18.14,-16.80,-18.14,-16.80,6.00,5.80,3.78,-12.14,-12.14,-1.34
22.76,-18.00,-16.65,-18.01,-16.66,6.00,5.82,3.89,-12.00,-12.01,-1.35
22.99,-17.88,-16.51,-17.87,-16.51,6.00,5.85,4.00,-11.88,-11.87,-1.36
23.22,-17.73,-16.36,-17.72,-16.36,6.00,5.87,4.11,-11.73,-11.72,-1.36
23.45,-17.56,-16.19,-17.57,-16.20,6.00,5.89,4.23,-11.56,-11.57,-1.37
23.69,-17.42,-16.05,-17.42,-16.05,6.00,5.92,4.35,-11.42,-11.42,-1.37
23.92,-17.26,-15.89,-17.26,-15.89,6.00,5.94,4.47,-11.26,-11.26,-1.37
24.16,-17.10,-15.74,-17.10,-15.74,6.00,5.96,4.59,-11.10,-11.10,-1.36
24.40,-16.94,-15.58,-16.94,-15.57,6.00,5.98,4.72,-10.94,-10.94,-1.36
24.65,-16.78,-15.40,-16.78,-15.41,6.00,6.00,4.84,-10.78,-10.78,-1.37
24.89,-16.61,-15.24,-16.62,-15.25,6.00,6.02,4.97,-10.61,-10.62,-1.37
25.14,-16.47,-15.10,-16.47,-15.10,6.00,6.04,5.10,-10.47,-10.47,-1.37
25.39,-16.34,-14.97,-16.35,-14.97,6.00,6.06,5.23,-10.34,-10.35,-1.38
25.65,-16.23,-14.84,-16.22,-14.84,6.00,6.08,5.36,-10.23,-10.22,-1.39
25.91,-16.11,-14.71,-16.10,-14.71,6.00,6.09,5.50,-10.11,-10.10,-1.40
26.16,-15.97,-14.58,-15.98,-14.58,6.00,6.11,5.63,-9.97,-9.98,-1.40
26.43,-15.85,-14.45,-15.85,-14.45,6.00,6.13,5.76,-9.85,-9.85,-1.40
26.69,-15.73,-14.33,-15.72,-14.32,6.00,6.14,5.89,-9.73,-9.72,-1.40
26.96,-15.60,-14.19,-15.60,-14.19,6.00,6.16,6.02,-9.60,-9.60,-1.41
27.23,-15.47,-14.06,-15.46,-14.06,6.00,6.17,6.15,-9.47,-9.46,-1.41
27.50,-15.33,-13.92,-15.33,-13.92,6.00,6.18,6.27,-9.33,-9.33,-1.41
27.77,-15.19,-13.77,-15.19,-13.77,6.00,6.20,6.39,-9.19,-9.19,-1.42
28.05,-15.05,-13.63,-15.06,-13.63,6.00,6.21,6.51,-9.05,-9.06,-1.42
28.33,-14.92,-13.49,-14.93,-13.49,6.00,6.22,6.62,-8.92,-8.93,-1.43
28.62,-14.79,-13.35,-14.79,-13.36,6.00,6.23,6.72,-8.79,-8.79,-1.43
28.90,-14.65,-13.22,-14.65,-13.21,6.00,6.24,6.82,-8.65,-8.65,-1.43
29.19,-14.50,-13.06,-14.49,-13.06,6.00,6.25,6.91,-8.50,-8.49,-1.44
29.48,-14.33,-12.91,-14.34,-12.91,6.00,6.26,6.99,-8.33,-8.34,-1.43
29.78,-14.18,-12.74,-14.18,-12.75,6.00,6.26,7.07,-8.18,-8.18,-1.44
30.08,-14.03,-12.60,-14.03,-12.60,6.00,6.27,7.13,-8.03,-8.03,-1.43
30.38,-13.90,-12.45,-13.90,-12.45,6.00,6.28,7.19,-7.90,-7.90,-1.45
30.68,-13.77,-12.32,-13.77,-12.31,6.00,6.28,7.24,-7.77,-7.77,-1.45
30.99,-13.64,-12.18,-13.63,-12.17,6.00,6.29,7.27,-7.64,-7.63,-1.46
31.30,-13.48,-12.01,-13.47,-12.01,6.00,6.29,7.29,-7.48,-7.47,-1.46
31.61,-13.32,-11.85,-13.32,-11.84,6.00,6.30,7.31,-7.32,-7.32,-1.46
31.93,-13.16,-11.67,-13.17,-11.69,6.00,6.30,7.31,-7.16,-7.17,-1.48
32.24,-13.04,-11.55,-13.05,-11.56,6.00,6.30,7.30,-7.04,-7.05,-1.50
32.57,-12.95,-11.45,-12.95,-11.44,6.00,6.30,7.29,-6.95,-6.95,-1.50
