frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-15.36,-16.06,-15.36,-16.06,6.00,5.21,3.01,-9.36,-9.36,0.70
20.20,-15.22,-15.96,-15.22,-15.96,6.00,5.25,3.09,-9.22,-9.22,0.74
20.40,-15.08,-15.86,-15.08,-15.85,6.00,5.29,3.18,-9.08,-9.08,0.78
20.61,-14.94,-15.74,-14.94,-15.75,6.00,5.33,3.27,-8.94,-8.94,0.80
20.81,-14.80,-15.64,-14.80,-15.64,6.00,5.37,3.36,-8.80,-8.80,0.84
21.02,-14.66,-15.54,-14.66,-15.53,6.00,5.41,3.46,-8.66,-8.66,0.88
21.23,-14.53,-15.42,-14.53,-15.43,6.00,5.45,3.55,-8.53,-8.53,0.89
21.44,-14.41,-15.32,-14.41,-15.31,6.00,5.49,3.65,-8.41,-8.41,0.91
21.66,-14.28,-15.20,-14.28,-15.20,6.00,5.52,3.76,-8.28,-8.28,0.92
21.87,-14.15,-15.07,-14.15,-15.07,6.00,5.56,3.86,-8.15,-8.15,0.92
22.09,-14.02,-14.95,-14.02,-14.94,6.00,5.60,3.97,-8.02,-8.02,0.93
22.31,-13.88,-14.81,-13.88,-14.81,6.00,5.63,4.08,-7.88,-7.88,0.93
22.54,-13.74,-14.67,-13.74,-14.67,6.00,5.67,4.20,-7.74,-7.74,0.93
22.76,-13.61,-14.53,-13.61,-14.52,6.00,5.70,4.32,-7.61,-7.61,0.92
22.99,-13.47,-14.38,-13.48,-14.39,6.00,5.74,4.44,-7.47,-7.48,0.91
23.22,-13.35,-14.26,-13.35,-14.25,6.00,5.77,4.56,-7.35,-7.35,0.91
23.45,-13.23,-14.13,-13.23,-14.13,6.00,5.80,4.69,-7.23,-7.23,0.90
23.69,-13.11,-14.01,-13.12,-14.01,6.00,5.83,4.82,-7.11,-7.12,0.90
23.92,-13.00,-13.89,-12.99,-13.89,6.00,5.86,4.95,-7.00,-6.99,0.90
24.16,-12.86,-13.76,-12.86,-13.76,6.00,5.89,5.09,-6.86,-6.86,0.91
24.40,-12.71,-13.61,-12.71,-13.61,6.00,5.92,5.22,-6.71,-6.71,0.90
24.65,-12.56,-13.46,-12.56,-13.45,6.00,5.95,5.36,-6.56,-6.56,0.89
24.89,-12.41,-13.30,-12.42,-13.31,6.00,5.97,5.50,-6.41,-6.42,0.89
25.14,-12.30,-13.19,-12.31,-13.20,6.00,6.00,5.65,-6.30,-6.31,0.89
25.39,-12.22,-13.11,-12.21,-13.10,6.00,6.02,5.79,-6.22,-6.21,0.89
25.65,-12.13,-13.01,-12.13,-13.02,6.00,6.04,5.94,-6.13,-6.13,0.88
25.91,-12.05,-12.92,-12.04,-12.92,6.00,6.07,6.08,-6.05,-6.04,0.87
26.16,-11.93,-12.80,-11.93,-12.80,6.00,6.09,6.23,-5.93,-5.93,0.87
26.43,-11.79,-12.66,-11.79,-12.66,6.00,6.11,6.38,-5.79,-5.79,0.87
26.69,-11.65,-12.52,-11.65,-12.52,6.00,6.12,6.52,-5.65,-5.65,0.87
26.96,-11.51,-12.37,-11.52,-12.38,6.00,6.14,6.66,-5.51,-5.52,0.86
27.23,-11.38,-12.24,-11.38,-12.23,6.00,6.15,6.80,-5.38,-5.38,0.86
27.50,-11.24,-12.10,-11.24,-12.09,6.00,6.17,6.94,-5.24,-5.24,0.86
27.77,-11.10,-11.95,-11.10,-11.95,6.00,6.18,7.07,-5.10,-5.10,0.85
28.05,-10.97,-11.82,-10.97,-11.81,6.00,6.19,7.20,-4.97,-4.97,0.85
28.33,-10.83,-11.66,-10.83,-11.67,6.00,6.20,7.32,-4.83,-4.83,0.84
28.62,-10.70,-11.54,-10.70,-11.53,6.00,6.21,7.43,-4.70,-4.70,0.83
28.90,-10.57,-11.40,-10.57,-11.40,6.00,6.21,7.53,-4.57,-4.57,0.83
29.19,-10.43,-11.26,-10.43,-11.27,6.00,6.22,7.63,-4.43,-4.43,0.83
29.48,-10.30,-11.14,-10.30,-11.14,6.00,6.22,7.71,-4.30,-4.30,0.84
29.78,-10.17,-11.00,-10.17,-11.01,6.00,6.22,7.78,-4.17,-4.17,0.83
30.08,-10.04,-10.88,-10.04,-10.87,6.00,6.22,7.84,-4.04,-4.04,0.84
