frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.69,-4.76,-2.69,-4.76,4.79,3.57,1.72,2.10,2.10,2.07
20.20,-2.65,-4.76,-2.65,-4.76,4.77,3.57,1.78,2.12,2.12,2.11
20.40,-2.61,-4.76,-2.61,-4.76,4.75,3.57,1.83,2.14,2.14,2.15
20.61,-2.57,-4.74,-2.57,-4.75,4.73,3.57,1.88,2.16,2.16,2.17
20.81,-2.53,-4.74,-2.53,-4.74,4.71,3.57,1.94,2.18,2.18,2.21
21.02,-2.48,-4.73,-2.48,-4.72,4.69,3.57,1.99,2.21,2.21,2.25
21.23,-2.43,-4.69,-2.43,-4.69,4.66,3.57,2.05,2.23,2.24,2.26
21.44,-2.37,-4.65,-2.37,-4.64,4.64,3.57,2.11,2.27,2.27,2.28
21.66,-2.31,-4.60,-2.31,-4.59,4.61,3.57,2.17,2.30,2.30,2.29
21.87,-2.25,-4.54,-2.26,-4.55,4.58,3.57,2.24,2.33,2.32,2.29
22.09,-2.22,-4.52,-2.22,-4.52,4.55,3.57,2.30,2.33,2.32,2.30
22.31,-2.21,-4.51,-2.21,-4.50,4.52,3.57,2.37,2.31,2.31,2.30
22.54,-2.20,-4.50,-2.20,-4.50,4.49,3.57,2.44,2.29,2.29,2.30
22.76,-2.20,-4.49,-2.20,-4.48,4.46,3.57,2.51,2.26,2.27,2.29
22.99,-2.19,-4.46,-2.18,-4.46,4.44,3.56,2.58,2.25,2.26,2.28
23.22,-2.15,-4.42,-2.15,-4.42,4.41,3.56,2.66,2.26,2.26,2.28
23.45,-2.11,-4.37,-2.11,-4.38,4.38,3.56,2.73,2.27,2.27,2.26
23.69,-2.07,-4.33,-2.06,-4.33,4.34,3.56,2.81,2.27,2.28,2.26
23.92,-2.02,-4.28,-2.03,-4.29,4.31,3.56,2.89,2.29,2.28,2.26
24.16,-1.99,-4.26,-1.99,-4.26,4.27,3.56,2.97,2.28,2.28,2.27
24.40,-1.97,-4.24,-1.96,-4.23,4.23,3.56,3.05,2.27,2.27,2.27
24.65,-1.94,-4.20,-1.94,-4.21,4.20,3.56,3.13,2.26,2.26,2.26
24.89,-1.91,-4.17,-1.91,-4.18,4.17,3.56,3.22,2.26,2.26,2.26
25.14,-1.89,-4.15,-1.88,-4.14,4.14,3.56,3.30,2.25,2.26,2.26
25.39,-1.86,-4.12,-1.86,-4.12,4.11,3.56,3.39,2.25,2.25,2.26
25.65,-1.83,-4.08,-1.83,-4.08,4.08,3.56,3.47,2.25,2.25,2.25
25.91,-1.81,-4.05,-1.81,-4.05,4.05,3.56,3.56,2.24,2.24,2.24
26.16,-1.78,-4.02,-1.78,-4.02,4.02,3.55,3.64,2.24,2.24,2.24
26.43,-1.76,-4.00,-1.75,-3.99,3.99,3.55,3.73,2.23,2.24,2.24
26.69,-1.73,-3.97,-1.73,-3.96,3.97,3.55,3.81,2.24,2.24,2.24
26.96,-1.70,-3.93,-1.71,-3.94,3.95,3.55,3.89,2.25,2.24,2.23
27.23,-1.70,-3.92,-1.70,-3.92,3.93,3.55,3.97,2.23,2.23,2.22
27.50,-1.70,-3.92,-1.70,-3.92,3.91,3.55,4.05,2.21,2.22,2.22
27.77,-1.70,-3.91,-1.70,-3.91,3.90,3.55,4.12,2.20,2.20,2.21
28.05,-1.69,-3.90,-1.69,-3.90,3.88,3.55,4.20,2.19,2.19,2.21
28.33,-1.67,-3.87,-1.67,-3.87,3.86,3.55,4.26,2.20,2.20,2.20
28.62,-1.64,-3.84,-1.64,-3.84,3.85,3.54,4.33,2.21,2.21,2.20
28.90,-1.61,-3.81,-1.62,-3.82,3.84,3.54,4.39,2.23,2.22,2.20
29.19,-1.60,-3.80,-1.60,-3.80,3.82,3.54,4.45,2.22,2.22,2.20
29.48,-1.60,-3.81,-1.60,-3.80,3.80,3.54,4.49,2.20,2.20,2.21
29.78,-1.60,-3.80,-1.60,-3.80,3.78,3.54,4.54,2.18,2.18,2.20
30.08,-1.59,-3.79,-1.58,-3.78,3.76,3.54,4.58,2.17,2.17,2.20
30.38,-1.56,-3.74,-1.56,-3.75,3.74,3.53,4.61,2.18,2.18,2.18
30.68,-1.53,-3.71,-1.53,-3.71,3.73,3.53,4.63,2.20,2.20,2.18
