frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.61,3.64,7.61,3.64,-3.62,-3.87,-2.41,3.99,3.99,3.97
20.20,7.67,3.66,7.67,3.66,-3.65,-3.90,-2.48,4.02,4.02,4.01
20.40,7.73,3.68,7.73,3.68,-3.68,-3.93,-2.55,4.05,4.05,4.05
20.61,7.79,3.72,7.79,3.71,-3.72,-3.96,-2.62,4.07,4.07,4.07
20.81,7.85,3.74,7.85,3.74,-3.75,-3.99,-2.70,4.10,4.10,4.11
21.02,7.92,3.77,7.91,3.77,-3.79,-4.02,-2.78,4.13,4.12,4.15
21.23,7.98,3.82,7.98,3.82,-3.83,-4.06,-2.85,4.15,4.15,4.16
21.44,8.05,3.87,8.05,3.87,-3.87,-4.09,-2.93,4.18,4.18,4.18
21.66,8.12,3.93,8.12,3.93,-3.92,-4.12,-3.02,4.20,4.20,4.19
21.87,8.18,3.99,8.18,3.98,-3.97,-4.15,-3.10,4.21,4.21,4.19
22.09,8.24,4.04,8.23,4.03,-4.02,-4.18,-3.19,4.22,4.21,4.20
22.31,8.27,4.07,8.27,4.07,-4.07,-4.21,-3.28,4.20,4.20,4.20
22.54,8.31,4.11,8.31,4.11,-4.12,-4.24,-3.37,4.19,4.19,4.20
22.76,8.35,4.16,8.35,4.16,-4.17,-4.28,-3.47,4.18,4.18,4.19
22.99,8.39,4.21,8.39,4.21,-4.22,-4.31,-3.56,4.17,4.17,4.18
23.22,8.45,4.27,8.44,4.27,-4.27,-4.34,-3.67,4.17,4.17,4.18
23.45,8.50,4.33,8.50,4.33,-4.33,-4.37,-3.77,4.17,4.17,4.17
23.69,8.56,4.39,8.56,4.39,-4.38,-4.40,-3.87,4.17,4.18,4.17
23.92,8.62,4.45,8.61,4.45,-4.44,-4.44,-3.98,4.18,4.18,4.17
24.16,8.67,4.49,8.67,4.50,-4.50,-4.47,-4.08,4.17,4.17,4.18
24.40,8.72,4.54,8.72,4.55,-4.55,-4.50,-4.19,4.17,4.17,4.17
24.65,8.77,4.60,8.77,4.60,-4.60,-4.54,-4.31,4.16,4.17,4.16
24.89,8.82,4.66,8.82,4.65,-4.66,-4.57,-4.42,4.16,4.16,4.16
25.14,8.87,4.71,8.87,4.70,-4.71,-4.60,-4.53,4.16,4.16,4.16
25.39,8.91,4.75,8.91,4.75,-4.76,-4.63,-4.65,4.15,4.15,4.16
25.65,8.96,4.81,8.96,4.81,-4.81,-4.67,-4.76,4.15,4.15,4.15
25.91,9.00,4.86,9.00,4.85,-4.86,-4.70,-4.88,4.14,4.14,4.14
26.16,9.04,4.90,9.04,4.90,-4.89,-4.73,-5.00,4.15,4.14,4.14
26.43,9.07,4.93,9.07,4.94,-4.92,-4.77,-5.11,4.15,4.16,4.14
26.69,9.10,4.96,9.10,4.97,-4.93,-4.80,-5.23,4.17,4.17,4.14
26.96,9.13,5.00,9.11,4.98,-4.94,-4.83,-5.34,4.19,4.17,4.13
27.23,9.11,4.98,9.11,4.98,-4.95,-4.87,-5.46,4.16,4.15,4.13
27.50,9.08,4.95,9.07,4.95,-4.97,-4.90,-5.57,4.11,4.11,4.13
27.77,9.05,4.93,9.05,4.94,-4.99,-4.93,-5.67,4.06,4.06,4.12
28.05,9.05,4.93,9.07,4.96,-5.03,-4.97,-5.78,4.02,4.05,4.11
28.33,9.14,5.04,9.13,5.03,-5.07,-5.00,-5.88,4.07,4.06,4.10
28.62,9.23,5.12,9.22,5.12,-5.13,-5.03,-5.98,4.10,4.10,4.10
28.90,9.33,5.23,9.32,5.22,-5.19,-5.07,-6.07,4.14,4.13,4.10
29.19,9.40,5.30,9.40,5.30,-5.26,-5.10,-6.15,4.14,4.14,4.10
29.48,9.46,5.35,9.47,5.36,-5.32,-5.13,-6.23,4.14,4.15,4.11
29.78,9.52,5.42,9.51,5.41,-5.38,-5.17,-6.31,4.14,4.14,4.10
30.08,9.56,5.45,9.55,5.45,-5.43,-5.20,-6.37,4.13,4.12,4.11
30.38,9.56,5.47,9.56,5.47,-5.47,-5.23,-6.43,4.08,4.08,4.09
30.68,9.57,5.48,9.56,5.48,-5.52,-5.27,-6.48,4.05,4.05,4.08
30.99,9.57,5.50,9.59,5.51,-5.57,-5.30,-6.53,4.00,4.02,4.07
31.30,9.64,5.57,9.64,5.57,-5.62,-5.33,-6.56,4.02,4.03,4.07
31.61,9.72,5.65,9.71,5.65,-5.66,-5.37,-6.59,4.06,4.06,4.07
31.93,9.80,5.75,9.78,5.73,-5.69,-5.40,-6.61,4.11,4.09,4.05
32.24,9.82,5.78,9.82,5.78,-5.71,-5.43,-6.62,4.11,4.12,4.04
32.57,9.83,5.79,9.84,5.81,-5.72,-5.47,-6.63,4.11,4.12,4.04
32.89,9.83,5.80,9.82,5.79,-5.74,-5.50,-6.63,4.09,4.08,4.02
33.22,9.78,5.78,9.76,5.75,-5.77,-5.53,-6.62,4.01,3.99,4.00
33.55,9.71,5.71,9.70,5.70,-5.81,-5.56,-6.60,3.90,3.89,4.00
33.89,9.64,5.66,9.69,5.71,-5.85,-5.60,-6.58,3.79,3.84,3.98
34.23,9.75,5.77,9.78,5.81,-5.90,-5.63,-6.56,3.85,3.88,3.98
34.57,9.94,5.98,9.93,5.97,-5.95,-5.66,-6.53,3.99,3.97,3.95
34.92,10.12,6.17,10.06,6.12,-6.01,-5.69,-6.50,4.10,4.05,3.94
35.27,10.13,6.19,10.12,6.18,-6.07,-5.73,-6.46,4.06,4.04,3.94
35.62,10.08,6.16,10.09,6.17,-6.11,-5.76,-6.43,3.97,3.98,3.92
35.97,10.03,6.12,10.05,6.14,-6.13,-5.79,-6.39,3.90,3.92,3.91
36.33,10.03,6.13,10.03,6.13,-6.13,-5.82,-6.35,3.90,3.90,3.90
36.70,10.03,6.14,10.02,6.13,-6.13,-5.85,-6.31,3.90,3.90,3.89
