frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-31.82,-34.24,-31.82,-34.24,6.00,5.75,2.70,-25.82,-25.82,2.42
20.20,-31.72,-34.18,-31.72,-34.17,6.00,5.76,2.77,-25.72,-25.72,2.46
20.40,-31.61,-34.11,-31.62,-34.11,6.00,5.77,2.85,-25.61,-25.62,2.50
20.61,-31.51,-34.03,-31.51,-34.04,6.00,5.78,2.94,-25.51,-25.51,2.51
20.81,-31.40,-33.96,-31.41,-33.96,6.00,5.79,3.02,-25.40,-25.41,2.56
21.02,-31.30,-33.90,-31.29,-33.88,6.00,5.80,3.11,-25.30,-25.29,2.59
21.23,-31.17,-33.78,-31.17,-33.78,6.00,5.81,3.19,-25.17,-25.17,2.60
21.44,-31.04,-33.66,-31.04,-33.67,6.00,5.82,3.29,-25.04,-25.04,2.62
21.66,-30.91,-33.55,-30.91,-33.54,6.00,5.83,3.38,-24.91,-24.91,2.63
21.87,-30.78,-33.41,-30.79,-33.42,6.00,5.84,3.48,-24.78,-24.79,2.63
22.09,-30.67,-33.31,-30.68,-33.32,6.00,5.85,3.58,-24.67,-24.68,2.64
22.31,-30.59,-33.23,-30.58,-33.23,6.00,5.86,3.68,-24.59,-24.58,2.64
22.54,-30.50,-33.15,-30.51,-33.15,6.00,5.86,3.78,-24.50,-24.51,2.64
22.76,-30.42,-33.05,-30.42,-33.06,6.00,5.87,3.89,-24.42,-24.42,2.63
22.99,-30.34,-32.96,-30.33,-32.95,6.00,5.88,4.00,-24.34,-24.33,2.62
23.22,-30.21,-32.83,-30.21,-32.83,6.00,5.88,4.12,-24.21,-24.21,2.62
23.45,-30.08,-32.69,-30.08,-32.69,6.00,5.89,4.23,-24.08,-24.08,2.61
23.69,-29.94,-32.55,-29.94,-32.55,6.00,5.89,4.35,-23.94,-23.94,2.61
23.92,-29.80,-32.41,-29.82,-32.43,6.00,5.90,4.47,-23.80,-23.82,2.61
24.16,-29.71,-32.33,-29.71,-32.33,6.00,5.90,4.59,-23.71,-23.71,2.62
24.40,-29.63,-32.25,-29.63,-32.25,6.00,5.91,4.72,-23.63,-23.63,2.62
24.65,-29.55,-32.16,-29.56,-32.17,6.00,5.91,4.85,-23.55,-23.56,2.61
24.89,-29.47,-32.08,-29.46,-32.07,6.00,5.92,4.98,-23.47,-23.46,2.61
25.14,-29.34,-31.95,-29.33,-31.94,6.00,5.92,5.11,-23.34,-23.33,2.61
25.39,-29.16,-31.77,-29.17,-31.77,6.00,5.92,5.24,-23.16,-23.17,2.61
25.65,-28.99,-31.59,-28.99,-31.59,6.00,5.93,5.37,-22.99,-22.99,2.60
