frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.27,-2.60,-1.26,-2.60,2.60,2.01,-0.67,1.33,1.33,1.33
20.20,-1.18,-2.55,-1.18,-2.56,2.56,1.92,-0.68,1.38,1.38,1.37
20.40,-1.10,-2.51,-1.10,-2.51,2.51,1.84,-0.70,1.41,1.41,1.41
20.61,-1.01,-2.44,-1.01,-2.45,2.46,1.75,-0.72,1.45,1.45,1.43
20.81,-0.93,-2.40,-0.93,-2.40,2.40,1.67,-0.74,1.47,1.47,1.47
21.02,-0.84,-2.35,-0.83,-2.34,2.33,1.59,-0.76,1.49,1.50,1.51
21.23,-0.74,-2.26,-0.74,-2.27,2.26,1.50,-0.78,1.52,1.52,1.52
21.44,-0.64,-2.18,-0.64,-2.18,2.18,1.42,-0.80,1.54,1.54,1.54
21.66,-0.54,-2.09,-0.54,-2.09,2.09,1.33,-0.82,1.55,1.55,1.55
21.87,-0.44,-1.99,-0.43,-1.99,1.99,1.25,-0.84,1.56,1.56,1.55
22.09,-0.33,-1.89,-0.33,-1.89,1.89,1.17,-0.86,1.56,1.56,1.56
22.31,-0.22,-1.78,-0.22,-1.78,1.78,1.08,-0.89,1.56,1.56,1.56
22.54,-0.11,-1.67,-0.11,-1.67,1.67,1.00,-0.91,1.56,1.56,1.56
22.76,0.00,-1.55,0.00,-1.55,1.55,0.92,-0.93,1.55,1.55,1.55
22.99,0.11,-1.43,0.12,-1.42,1.43,0.83,-0.96,1.54,1.55,1.54
23.22,0.24,-1.30,0.24,-1.29,1.30,0.75,-0.98,1.54,1.54,1.54
23.45,0.37,-1.16,0.37,-1.16,1.16,0.66,-1.01,1.53,1.53,1.53
23.69,0.50,-1.03,0.50,-1.03,1.01,0.58,-1.03,1.51,1.51,1.53
23.92,0.63,-0.89,0.64,-0.89,0.86,0.50,-1.06,1.49,1.50,1.53
24.16,0.79,-0.74,0.79,-0.74,0.70,0.41,-1.09,1.50,1.50,1.54
24.40,0.96,-0.57,0.97,-0.57,0.56,0.33,-1.12,1.52,1.53,1.54
24.65,1.13,-0.39,1.14,-0.39,0.43,0.25,-1.15,1.56,1.57,1.53
24.89,1.30,-0.22,1.29,-0.24,0.30,0.17,-1.17,1.61,1.59,1.52
25.14,1.40,-0.12,1.39,-0.13,0.19,0.08,-1.20,1.60,1.58,1.52
25.39,1.45,-0.07,1.45,-0.07,0.09,0.00,-1.23,1.55,1.55,1.52
25.65,1.49,-0.02,1.50,-0.02,0.00,-0.08,-1.26,1.49,1.50,1.51
25.91,1.54,0.04,1.55,0.05,-0.09,-0.16,-1.29,1.45,1.47,1.50
26.16,1.63,0.13,1.64,0.14,-0.18,-0.25,-1.33,1.46,1.46,1.50
26.43,1.75,0.25,1.74,0.25,-0.28,-0.33,-1.36,1.47,1.47,1.50
26.69,1.87,0.37,1.86,0.37,-0.39,-0.41,-1.39,1.48,1.47,1.50
26.96,1.98,0.49,1.99,0.50,-0.52,-0.49,-1.42,1.46,1.47,1.49
27.23,2.12,0.63,2.13,0.64,-0.64,-0.57,-1.45,1.48,1.48,1.49
27.50,2.27,0.78,2.28,0.79,-0.77,-0.65,-1.48,1.51,1.51,1.49
27.77,2.41,0.94,2.41,0.93,-0.88,-0.73,-1.51,1.54,1.54,1.48
28.05,2.54,1.07,2.52,1.04,-0.97,-0.82,-1.55,1.57,1.54,1.48
28.33,2.57,1.11,2.57,1.11,-1.07,-0.90,-1.58,1.51,1.51,1.46
28.62,2.60,1.14,2.61,1.14,-1.15,-0.98,-1.61,1.45,1.45,1.46
28.90,2.63,1.17,2.65,1.18,-1.24,-1.05,-1.64,1.40,1.41,1.46
29.19,2.72,1.26,2.73,1.27,-1.32,-1.13,-1.67,1.40,1.41,1.46
29.48,2.84,1.37,2.84,1.37,-1.41,-1.21,-1.70,1.43,1.43,1.47
29.78,2.97,1.51,2.96,1.50,-1.51,-1.29,-1.73,1.46,1.45,1.46
30.08,3.09,1.62,3.09,1.63,-1.62,-1.37,-1.76,1.47,1.47,1.47
30.38,3.20,1.75,3.21,1.76,-1.74,-1.45,-1.79,1.46,1.47,1.45
30.68,3.32,1.88,3.32,1.88,-1.86,-1.53,-1.81,1.46,1.46,1.45
30.99,3.43,2.00,3.43,1.99,-1.97,-1.60,-1.84,1.46,1.45,1.43
31.30,3.52,2.09,3.52,2.09,-2.08,-1.68,-1.87,1.45,1.45,1.43
31.61,3.60,2.17,3.61,2.18,-2.17,-1.76,-1.89,1.44,1.44,1.43
31.93,3.68,2.27,3.68,2.26,-2.25,-1.83,-1.92,1.43,1.43,1.41
32.24,3.74,2.34,3.74,2.33,-2.33,-1.91,-1.95,1.41,1.41,1.40
32.57,3.79,2.39,3.79,2.40,-2.41,-1.98,-1.97,1.38,1.38,1.40
32.89,3.83,2.45,3.84,2.46,-2.49,-2.06,-2.00,1.35,1.36,1.39
33.22,3.91,2.55,3.91,2.54,-2.56,-2.13,-2.02,1.35,1.35,1.36
33.55,3.99,2.63,3.99,2.64,-2.65,-2.20,-2.04,1.35,1.35,1.36
33.89,4.08,2.74,4.08,2.73,-2.73,-2.28,-2.07,1.35,1.35,1.34
34.23,4.16,2.82,4.16,2.82,-2.82,-2.35,-2.09,1.35,1.34,1.34
34.57,4.22,2.91,4.23,2.91,-2.90,-2.42,-2.12,1.32,1.32,1.32
34.92,4.29,2.99,4.29,2.98,-2.99,-2.49,-2.14,1.30,1.31,1.30
35.27,4.36,3.06,4.36,3.07,-3.07,-2.56,-2.17,1.30,1.30,1.30
35.62,4.43,3.15,4.43,3.15,-3.14,-2.63,-2.19,1.29,1.29,1.28
35.97,4.50,3.24,4.49,3.22,-3.21,-2.70,-2.22,1.29,1.28,1.27
36.33,4.53,3.27,4.53,3.28,-3.27,-2.77,-2.25,1.26,1.26,1.26
36.70,4.57,3.32,4.57,3.32,-3.34,-2.83,-2.28,1.24,1.24,1.25
37.06,4.61,3.37,4.62,3.38,-3.39,-2.90,-2.31,1.22,1.23,1.24
37.43,4.68,3.44,4.69,3.45,-3.44,-2.96,-2.34,1.24,1.24,1.25
37.81,4.75,3.52,4.75,3.51,-3.49,-3.03,-2.37,1.26,1.25,1.23
38.19,4.80,3.58,4.79,3.56,-3.54,-3.09,-2.40,1.26,1.24,1.22
38.57,4.81,3.58,4.81,3.59,-3.59,-3.16,-2.44,1.22,1.22,1.23
38.95,4.82,3.61,4.84,3.63,-3.64,-3.22,-2.47,1.18,1.20,1.22
39.34,4.88,3.67,4.88,3.68,-3.69,-3.28,-2.51,1.19,1.19,1.21
39.74,4.95,3.75,4.94,3.74,-3.74,-3.34,-2.55,1.21,1.20,1.20
40.14,5.00,3.81,5.00,3.80,-3.79,-3.40,-2.59,1.21,1.21,1.19
40.54,5.04,3.85,5.04,3.85,-3.84,-3.46,-2.64,1.20,1.20,1.19
40.94,5.07,3.88,5.08,3.90,-3.89,-3.52,-2.68,1.18,1.19,1.19
41.35,5.12,3.95,5.12,3.95,-3.94,-3.58,-2.73,1.18,1.18,1.17
41.76,5.16,4.00,5.16,4.00,-4.00,-3.63,-2.78,1.17,1.16,1.16
42.18,5.20,4.05,5.20,4.05,-4.05,-3.69,-2.83,1.15,1.15,1.16
42.60,5.23,4.09,5.24,4.09,-4.10,-3.74,-2.88,1.13,1.13,1.14
43.03,5.27,4.14,5.28,4.15,-4.16,-3.79,-2.94,1.11,1.12,1.14
43.46,5.32,4.21,5.32,4.20,-4.22,-3.85,-3.00,1.10,1.10,1.11
43.90,5.36,4.27,5.36,4.27,-4.27,-3.90,-3.06,1.09,1.09,1.09
44.33,5.40,4.33,5.41,4.34,-4.33,-3.95,-3.12,1.08,1.08,1.07
44.78,5.45,4.40,5.44,4.39,-4.38,-4.00,-3.18,1.08,1.07,1.05
45.23,5.47,4.44,5.46,4.43,-4.42,-4.05,-3.25,1.05,1.04,1.03
45.68,5.47,4.46,5.48,4.46,-4.46,-4.09,-3.32,1.01,1.02,1.02
46.13,5.48,4.48,5.49,4.49,-4.49,-4.14,-3.39,0.99,1.00,1.00
46.60,5.51,4.52,5.51,4.52,-4.52,-4.18,-3.47,0.99,0.99,0.99
47.06,5.54,4.55,5.54,4.55,-4.54,-4.23,-3.54,1.00,0.99,0.99
47.53,5.55,4.57,5.55,4.57,-4.57,-4.27,-3.62,0.98,0.99,0.98
48.01,5.56,4.59,5.56,4.59,-4.59,-4.32,-3.70,0.97,0.96,0.97
48.49,5.56,4.60,5.56,4.60,-4.62,-4.36,-3.78,0.94,0.94,0.96
48.97,5.56,4.62,5.58,4.64,-4.65,-4.40,-3.87,0.92,0.94,0.94
