frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.59,4.26,10.60,4.27,-4.28,-3.81,-1.78,6.31,6.32,6.33
20.20,10.62,4.28,10.61,4.27,-4.28,-3.81,-1.83,6.35,6.34,6.34
20.40,10.62,4.28,10.62,4.27,-4.27,-3.81,-1.89,6.35,6.35,6.35
20.61,10.62,4.27,10.63,4.27,-4.26,-3.81,-1.94,6.36,6.36,6.36
20.81,10.62,4.27,10.62,4.26,-4.26,-3.81,-2.00,6.37,6.37,6.36
21.02,10.62,4.26,10.62,4.25,-4.25,-3.81,-2.06,6.37,6.37,6.37
21.23,10.62,4.25,10.62,4.25,-4.24,-3.81,-2.11,6.38,6.38,6.38
21.44,10.62,4.23,10.62,4.23,-4.24,-3.81,-2.18,6.38,6.38,6.40
21.66,10.62,4.23,10.62,4.23,-4.23,-3.81,-2.24,6.39,6.39,6.39
21.87,10.62,4.22,10.62,4.22,-4.22,-3.82,-2.31,6.40,6.40,6.40
22.09,10.62,4.22,10.62,4.22,-4.22,-3.82,-2.37,6.40,6.40,6.40
22.31,10.62,4.21,10.62,4.21,-4.21,-3.82,-2.44,6.41,6.41,6.41
22.54,10.62,4.21,10.62,4.21,-4.21,-3.82,-2.51,6.41,6.41,6.41
22.76,10.62,4.20,10.62,4.20,-4.21,-3.82,-2.58,6.42,6.42,6.42
22.99,10.62,4.20,10.62,4.20,-4.20,-3.82,-2.66,6.42,6.42,6.42
23.22,10.62,4.20,10.63,4.20,-4.19,-3.82,-2.73,6.43,6.43,6.42
23.45,10.62,4.19,10.62,4.19,-4.18,-3.82,-2.81,6.44,6.43,6.43
23.69,10.61,4.18,10.60,4.18,-4.17,-3.82,-2.89,6.44,6.43,6.43
23.92,10.57,4.15,10.59,4.16,-4.16,-3.82,-2.97,6.42,6.44,6.43
24.16,10.57,4.14,10.57,4.14,-4.14,-3.82,-3.05,6.43,6.43,6.44
24.40,10.57,4.13,10.56,4.11,-4.12,-3.82,-3.13,6.45,6.44,6.45
24.65,10.53,4.09,10.55,4.10,-4.10,-3.82,-3.22,6.43,6.44,6.45
24.89,10.52,4.08,10.53,4.08,-4.08,-3.82,-3.30,6.44,6.44,6.44
25.14,10.52,4.08,10.51,4.07,-4.07,-3.82,-3.39,6.45,6.44,6.44
25.39,10.49,4.05,10.50,4.06,-4.06,-3.82,-3.48,6.43,6.44,6.44
25.65,10.48,4.04,10.49,4.05,-4.05,-3.82,-3.57,6.43,6.44,6.44
25.91,10.48,4.04,10.48,4.04,-4.04,-3.82,-3.65,6.44,6.44,6.44
26.16,10.48,4.03,10.48,4.04,-4.03,-3.82,-3.74,6.45,6.45,6.45
