frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.99,4.00,11.00,4.01,-4.00,-3.93,-1.78,6.99,7.00,6.99
20.20,11.00,4.00,11.00,4.00,-4.00,-3.93,-1.84,7.00,7.00,7.00
20.40,11.02,4.01,11.01,4.00,-4.01,-3.93,-1.89,7.02,7.00,7.01
20.61,11.02,4.00,11.02,4.00,-4.01,-3.94,-1.94,7.01,7.01,7.02
20.81,11.02,4.00,11.03,4.01,-4.01,-3.94,-2.00,7.01,7.02,7.02
21.02,11.03,4.00,11.04,4.01,-4.02,-3.95,-2.06,7.02,7.02,7.03
21.23,11.06,4.03,11.05,4.02,-4.02,-3.95,-2.11,7.04,7.03,7.04
21.44,11.06,4.01,11.08,4.02,-4.02,-3.95,-2.18,7.04,7.05,7.06
21.66,11.10,4.05,11.09,4.03,-4.03,-3.96,-2.24,7.08,7.07,7.06
21.87,11.10,4.04,11.10,4.04,-4.03,-3.96,-2.30,7.07,7.07,7.07
22.09,11.10,4.04,11.10,4.04,-4.03,-3.97,-2.37,7.07,7.07,7.06
22.31,11.10,4.03,11.10,4.03,-4.03,-3.97,-2.44,7.07,7.07,7.07
22.54,11.10,4.03,11.11,4.03,-4.04,-3.97,-2.51,7.07,7.07,7.07
22.76,11.12,4.04,11.12,4.04,-4.04,-3.98,-2.58,7.08,7.08,7.08
22.99,11.12,4.04,11.12,4.04,-4.04,-3.98,-2.65,7.08,7.08,7.08
23.22,11.12,4.04,11.13,4.04,-4.04,-3.99,-2.73,7.08,7.08,7.08
23.45,11.12,4.03,11.13,4.05,-4.04,-3.99,-2.80,7.08,7.09,7.09
23.69,11.15,4.06,11.14,4.05,-4.05,-4.00,-2.88,7.11,7.10,7.09
23.92,11.15,4.06,11.15,4.06,-4.05,-4.00,-2.96,7.10,7.10,7.09
24.16,11.15,4.05,11.15,4.06,-4.05,-4.01,-3.04,7.10,7.10,7.10
24.40,11.15,4.05,11.15,4.05,-4.06,-4.01,-3.13,7.09,7.09,7.11
24.65,11.15,4.05,11.16,4.05,-4.07,-4.02,-3.21,7.09,7.09,7.11
24.89,11.17,4.07,11.17,4.07,-4.07,-4.02,-3.29,7.10,7.10,7.11
25.14,11.19,4.09,11.18,4.08,-4.07,-4.03,-3.38,7.12,7.11,7.10
25.39,11.19,4.09,11.19,4.09,-4.08,-4.03,-3.47,7.11,7.11,7.10
25.65,11.19,4.09,11.19,4.09,-4.08,-4.04,-3.55,7.11,7.11,7.10
25.91,11.19,4.09,11.19,4.09,-4.09,-4.04,-3.64,7.11,7.11,7.10
26.16,11.19,4.08,11.19,4.09,-4.09,-4.05,-3.73,7.11,7.11,7.11
26.43,11.19,4.08,11.19,4.08,-4.09,-4.05,-3.81,7.11,7.11,7.11
26.69,11.19,4.08,11.19,4.08,-4.09,-4.06,-3.90,7.11,7.11,7.11
26.96,11.19,4.09,11.19,4.09,-4.09,-4.06,-3.98,7.10,7.10,7.11
27.23,11.19,4.09,11.19,4.08,-4.09,-4.07,-4.06,7.10,7.10,7.11
27.50,11.19,4.09,11.20,4.09,-4.10,-4.08,-4.15,7.10,7.10,7.10
27.77,11.20,4.09,11.21,4.10,-4.10,-4.08,-4.23,7.10,7.11,7.11
28.05,11.23,4.12,11.22,4.11,-4.11,-4.09,-4.30,7.13,7.11,7.11
28.33,11.23,4.12,11.23,4.12,-4.11,-4.09,-4.37,7.12,7.12,7.11
28.62,11.23,4.12,11.24,4.12,-4.12,-4.10,-4.45,7.12,7.12,7.11
28.90,11.23,4.12,11.23,4.12,-4.12,-4.11,-4.51,7.11,7.11,7.12
29.19,11.23,4.12,11.23,4.12,-4.12,-4.11,-4.57,7.11,7.11,7.11
29.48,11.23,4.12,11.23,4.12,-4.12,-4.12,-4.63,7.11,7.11,7.11
29.78,11.23,4.12,11.23,4.12,-4.12,-4.13,-4.68,7.11,7.11,7.11
30.08,11.23,4.11,11.23,4.12,-4.12,-4.13,-4.73,7.11,7.11,7.12
30.38,11.23,4.12,11.23,4.12,-4.12,-4.14,-4.77,7.11,7.11,7.11
30.68,11.23,4.13,11.23,4.13,-4.12,-4.15,-4.80,7.11,7.11,7.11
30.99,11.23,4.13,11.24,4.13,-4.12,-4.15,-4.84,7.11,7.11,7.10
31.30,11.23,4.13,11.23,4.13,-4.12,-4.16,-4.86,7.11,7.11,7.10
31.61,11.23,4.13,11.22,4.12,-4.12,-4.17,-4.88,7.11,7.10,7.10
31.93,11.19,4.11,11.21,4.11,-4.12,-4.18,-4.89,7.08,7.09,7.09
32.24,11.19,4.10,11.19,4.11,-4.11,-4.18,-4.90,7.08,7.08,7.09
32.57,11.19,4.11,11.19,4.10,-4.11,-4.19,-4.89,7.08,7.08,7.08
32.89,11.19,4.11,11.19,4.11,-4.11,-4.20,-4.89,7.08,7.08,7.08
33.22,11.19,4.12,11.19,4.12,-4.12,-4.21,-4.88,7.08,7.08,7.08
33.55,11.19,4.12,11.19,4.12,-4.12,-4.21,-4.87,7.07,7.07,7.07
33.89,11.19,4.12,11.19,4.12,-4.12,-4.22,-4.85,7.07,7.07,7.07
34.23,11.19,4.13,11.19,4.13,-4.13,-4.23,-4.83,7.06,7.07,7.06
34.57,11.19,4.14,11.19,4.14,-4.13,-4.24,-4.80,7.06,7.06,7.05
34.92,11.19,4.15,11.19,4.14,-4.14,-4.25,-4.77,7.06,7.05,7.04
35.27,11.18,4.13,11.18,4.14,-4.14,-4.25,-4.74,7.04,7.04,7.05
35.62,11.15,4.13,11.16,4.13,-4.14,-4.26,-4.71,7.01,7.02,7.02
35.97,11.15,4.13,11.15,4.13,-4.14,-4.27,-4.67,7.01,7.01,7.02
36.33,11.15,4.15,11.15,4.15,-4.15,-4.28,-4.64,7.01,7.01,7.01
36.70,11.15,4.16,11.15,4.16,-4.15,-4.29,-4.60,7.00,7.00,6.99
37.06,11.15,4.17,11.14,4.16,-4.15,-4.30,-4.57,7.00,6.99,6.98
37.43,11.12,4.16,11.13,4.16,-4.16,-4.31,-4.53,6.96,6.97,6.96
37.81,11.10,4.15,11.11,4.16,-4.17,-4.32,-4.50,6.93,6.94,6.95
38.19,11.10,4.17,11.10,4.16,-4.17,-4.33,-4.46,6.93,6.93,6.94
38.57,11.10,4.18,11.10,4.18,-4.18,-4.33,-4.43,6.92,6.92,6.92
38.95,11.10,4.20,11.10,4.20,-4.19,-4.34,-4.39,6.91,6.91,6.91
39.34,11.10,4.22,11.09,4.20,-4.20,-4.35,-4.36,6.90,6.89,6.88
39.74,11.06,4.20,11.08,4.21,-4.21,-4.36,-4.34,6.85,6.86,6.87
40.14,11.06,4.21,11.06,4.21,-4.23,-4.37,-4.31,6.84,6.84,6.85
40.54,11.06,4.23,11.06,4.23,-4.24,-4.38,-4.29,6.82,6.82,6.84
40.94,11.06,4.25,11.07,4.25,-4.25,-4.39,-4.26,6.81,6.82,6.81
41.35,11.06,4.27,11.06,4.27,-4.25,-4.40,-4.25,6.81,6.81,6.79
41.76,11.06,4.29,11.05,4.28,-4.26,-4.41,-4.23,6.80,6.79,6.77
42.18,11.02,4.27,11.03,4.28,-4.27,-4.42,-4.22,6.76,6.76,6.75
42.60,10.98,4.26,10.99,4.27,-4.27,-4.43,-4.21,6.71,6.72,6.72
43.03,10.97,4.28,10.96,4.26,-4.28,-4.44,-4.20,6.69,6.68,6.70
43.46,10.93,4.26,10.94,4.27,-4.29,-4.45,-4.20,6.64,6.65,6.67
43.90,10.93,4.29,10.93,4.29,-4.30,-4.46,-4.20,6.63,6.63,6.64
44.33,10.93,4.32,10.93,4.31,-4.31,-4.47,-4.20,6.62,6.61,6.61
44.78,10.93,4.35,10.93,4.34,-4.33,-4.49,-4.20,6.60,6.60,6.59
45.23,10.93,4.36,10.93,4.37,-4.36,-4.50,-4.21,6.57,6.57,6.57
45.68,10.92,4.39,10.92,4.39,-4.39,-4.51,-4.23,6.54,6.53,6.53
46.13,10.89,4.40,10.90,4.41,-4.41,-4.52,-4.24,6.48,6.49,6.49
46.60,10.89,4.43,10.89,4.43,-4.44,-4.53,-4.26,6.45,6.46,6.46
47.06,10.89,4.46,10.89,4.46,-4.46,-4.54,-4.28,6.43,6.43,6.43
47.53,10.89,4.49,10.89,4.49,-4.48,-4.55,-4.30,6.41,6.40,6.40
48.01,10.88,4.53,10.87,4.52,-4.51,-4.56,-4.33,6.38,6.37,6.35
48.49,10.84,4.52,10.85,4.53,-4.53,-4.57,-4.36,6.32,6.32,6.32
48.97,10.82,4.54,10.82,4.54,-4.55,-4.58,-4.39,6.28,6.28,6.28
49.46,10.80,4.55,10.80,4.56,-4.56,-4.59,-4.43,6.24,6.23,6.25
49.96,10.78,4.59,10.79,4.58,-4.58,-4.61,-4.47,6.20,6.20,6.20
50.46,10.76,4.60,10.77,4.60,-4.60,-4.62,-4.50,6.16,6.17,6.16
50.96,10.76,4.63,10.74,4.62,-4.62,-4.63,-4.55,6.14,6.13,6.13
51.47,10.71,4.61,10.73,4.63,-4.64,-4.64,-4.59,6.07,6.09,6.10
51.99,10.71,4.66,10.72,4.66,-4.66,-4.65,-4.63,6.05,6.06,6.06
52.51,10.71,4.69,10.71,4.68,-4.68,-4.66,-4.68,6.03,6.02,6.02
53.03,10.71,4.72,10.70,4.71,-4.71,-4.67,-4.72,6.01,6.00,6.00
53.56,10.67,4.72,10.69,4.73,-4.73,-4.68,-4.77,5.94,5.96,5.95
54.10,10.67,4.77,10.66,4.75,-4.75,-4.69,-4.81,5.92,5.91,5.91
54.64,10.63,4.76,10.63,4.77,-4.77,-4.71,-4.86,5.86,5.86,5.87
55.18,10.61,4.79,10.61,4.79,-4.79,-4.72,-4.90,5.82,5.83,5.82
55.74,10.58,4.80,10.59,4.80,-4.80,-4.73,-4.95,5.78,5.78,5.79
56.29,10.58,4.82,10.57,4.82,-4.81,-4.74,-4.99,5.77,5.76,5.76
56.86,10.54,4.81,10.55,4.83,-4.82,-4.75,-5.03,5.72,5.73,5.73
57.42,10.54,4.86,10.53,4.84,-4.83,-4.76,-5.07,5.71,5.70,5.68
58.00,10.50,4.85,10.51,4.85,-4.84,-4.77,-5.10,5.66,5.66,5.65
58.58,10.48,4.85,10.48,4.85,-4.85,-4.78,-5.13,5.63,5.63,5.63
59.16,10.45,4.85,10.45,4.85,-4.86,-4.79,-5.16,5.59,5.59,5.60
59.76,10.43,4.86,10.43,4.86,-4.88,-4.80,-5.19,5.55,5.55,5.57
60.35,10.41,4.89,10.41,4.89,-4.90,-4.81,-5.21,5.52,5.52,5.52
60.96,10.38,4.90,10.39,4.91,-4.92,-4.82,-5.22,5.47,5.47,5.48
61.57,10.37,4.95,10.36,4.94,-4.94,-4.83,-5.24,5.43,5.42,5.42
62.18,10.32,4.95,10.34,4.96,-4.96,-4.84,-5.24,5.36,5.38,5.37
62.80,10.32,5.00,10.32,4.99,-4.98,-4.85,-5.25,5.34,5.34,5.33
63.43,10.30,5.02,10.30,5.01,-5.00,-4.86,-5.24,5.30,5.29,5.28
64.07,10.28,5.04,10.28,5.03,-5.02,-4.87,-5.24,5.26,5.26,5.25
64.71,10.24,5.03,10.25,5.04,-5.04,-4.88,-5.23,5.20,5.21,5.21
65.35,10.22,5.05,10.22,5.05,-5.05,-4.89,-5.21,5.17,5.17,5.17
66.01,10.19,5.06,10.19,5.06,-5.07,-4.90,-5.19,5.13,5.13,5.13
66.67,10.16,5.06,10.17,5.07,-5.08,-4.91,-5.17,5.08,5.09,5.10
67.33,10.15,5.10,10.15,5.09,-5.09,-4.92,-5.14,5.06,5.06,5.05
68.01,10.11,5.10,10.12,5.11,-5.10,-4.93,-5.12,5.01,5.02,5.01
68.69,10.11,5.14,10.10,5.12,-5.12,-4.94,-5.08,4.99,4.98,4.97
69.37,10.06,5.12,10.07,5.14,-5.13,-4.94,-5.05,4.93,4.94,4.94
70.07,10.05,5.15,10.05,5.15,-5.15,-4.95,-5.01,4.90,4.90,4.90
70.77,10.02,5.17,10.02,5.16,-5.17,-4.96,-4.98,4.85,4.85,4.85
71.48,9.98,5.17,9.99,5.18,-5.18,-4.97,-4.94,4.80,4.81,4.81
72.19,9.96,5.20,9.96,5.19,-5.20,-4.97,-4.90,4.77,4.76,4.76
72.91,9.93,5.21,9.93,5.21,-5.21,-4.98,-4.86,4.72,4.72,4.72
73.64,9.89,5.22,9.90,5.23,-5.22,-4.99,-4.82,4.67,4.68,4.67
74.38,9.87,5.24,9.87,5.24,-5.23,-4.99,-4.78,4.64,4.63,4.63
75.12,9.84,5.25,9.84,5.24,-5.24,-5.00,-4.74,4.60,4.60,4.60
75.87,9.81,5.25,9.81,5.25,-5.25,-5.01,-4.70,4.56,4.56,4.57
76.63,9.78,5.26,9.78,5.26,-5.25,-5.01,-4.67,4.53,4.53,4.53
77.40,9.75,5.26,9.75,5.26,-5.26,-5.02,-4.63,4.50,4.50,4.49
78.17,9.72,5.27,9.72,5.26,-5.25,-5.02,-4.60,4.47,4.46,4.45
78.95,9.67,5.24,9.68,5.25,-5.25,-5.03,-4.57,4.42,4.43,4.43
79.74,9.64,5.24,9.64,5.25,-5.25,-5.03,-4.54,4.39,4.39,4.40
80.54,9.61,5.25,9.61,5.24,-5.25,-5.04,-4.51,4.37,4.36,4.36
81.35,9.57,5.24,9.57,5.24,-5.24,-5.04,-4.49,4.33,4.33,4.33
82.16,9.53,5.23,9.54,5.24,-5.24,-5.04,-4.47,4.29,4.30,4.30
82.98,9.50,5.24,9.50,5.23,-5.24,-5.05,-4.45,4.26,4.26,4.27
83.81,9.46,5.23,9.46,5.23,-5.24,-5.05,-4.44,4.22,4.22,4.23
84.65,9.42,5.23,9.43,5.24,-5.24,-5.05,-4.43,4.19,4.19,4.19
85.50,9.39,5.24,9.39,5.24,-5.23,-5.06,-4.42,4.16,4.16,4.15
86.35,9.36,5.24,9.36,5.24,-5.23,-5.06,-4.42,4.13,4.13,4.12
87.22,9.33,5.24,9.32,5.23,-5.23,-5.06,-4.41,4.10,4.10,4.09
88.09,9.27,5.22,9.28,5.22,-5.22,-5.06,-4.42,4.05,4.06,4.05
88.97,9.23,5.21,9.23,5.21,-5.22,-5.07,-4.42,4.02,4.02,4.02
89.86,9.19,5.21,9.19,5.20,-5.21,-5.07,-4.43,3.99,3.98,3.98
90.76,9.14,5.19,9.14,5.20,-5.20,-5.07,-4.44,3.94,3.94,3.95
91.66,9.09,5.19,9.10,5.19,-5.19,-5.07,-4.46,3.90,3.91,3.91
92.58,9.05,5.18,9.05,5.18,-5.18,-5.07,-4.48,3.87,3.87,3.87
93.51,9.01,5.17,9.01,5.17,-5.17,-5.07,-4.50,3.84,3.84,3.84
94.44,8.96,5.16,8.97,5.16,-5.17,-5.07,-4.52,3.80,3.80,3.81
95.39,8.92,5.16,8.92,5.16,-5.16,-5.07,-4.55,3.76,3.76,3.76
96.34,8.87,5.16,8.87,5.15,-5.15,-5.07,-4.58,3.72,3.72,3.72
97.30,8.82,5.14,8.82,5.14,-5.14,-5.07,-4.61,3.68,3.68,3.68
98.28,8.76,5.13,8.76,5.13,-5.12,-5.07,-4.65,3.64,3.64,3.64
99.26,8.70,5.11,8.71,5.11,-5.11,-5.07,-4.69,3.59,3.60,3.59
100.25,8.65,5.10,8.65,5.09,-5.09,-5.07,-4.73,3.56,3.56,3.55
101.25,8.60,5.07,8.60,5.08,-5.08,-5.07,-4.77,3.52,3.52,3.53
102.27,8.54,5.05,8.54,5.05,-5.06,-5.07,-4.82,3.48,3.48,3.49
103.29,8.49,5.04,8.49,5.04,-5.04,-5.07,-4.86,3.45,3.45,3.46
104.32,8.44,5.01,8.44,5.02,-5.02,-5.07,-4.91,3.42,3.42,3.43
105.37,8.40,5.01,8.40,5.01,-5.00,-5.07,-4.96,3.41,3.41,3.39
106.42,8.34,4.98,8.34,4.98,-4.96,-5.07,-5.01,3.38,3.38,3.37
107.48,8.29,4.97,8.28,4.95,-4.93,-5.07,-5.06,3.36,3.35,3.32
108.56,8.18,4.89,8.19,4.90,-4.89,-5.07,-5.10,3.29,3.30,3.29
109.64,8.11,4.85,8.11,4.85,-4.86,-5.07,-5.15,3.26,3.25,3.26
110.74,8.02,4.80,8.02,4.80,-4.82,-5.07,-5.20,3.20,3.21,3.22
111.85,7.95,4.77,7.95,4.77,-4.78,-5.07,-5.24,3.17,3.17,3.19
112.97,7.88,4.73,7.88,4.73,-4.75,-5.07,-5.28,3.14,3.14,3.15
114.10,7.82,4.71,7.82,4.71,-4.71,-5.07,-5.32,3.11,3.11,3.12
115.24,7.76,4.69,7.76,4.69,-4.69,-5.07,-5.36,3.08,3.07,3.07
116.39,7.70,4.68,7.70,4.67,-4.66,-5.07,-5.40,3.04,3.04,3.03
117.55,7.64,4.65,7.64,4.65,-4.64,-5.07,-5.42,3.00,3.00,2.99
118.73,7.58,4.63,7.58,4.63,-4.62,-5.06,-5.45,2.97,2.96,2.95
119.92,7.52,4.61,7.52,4.60,-4.60,-5.06,-5.47,2.93,2.93,2.92
121.12,7.46,4.57,7.47,4.58,-4.58,-5.06,-5.49,2.88,2.89,2.89
122.33,7.42,4.57,7.42,4.56,-4.57,-5.06,-5.50,2.85,2.85,2.85
123.55,7.38,4.56,7.38,4.56,-4.57,-5.06,-5.51,2.81,2.80,2.82
124.79,7.34,4.56,7.35,4.57,-4.59,-5.06,-5.51,2.75,2.76,2.79
126.03,7.33,4.59,7.34,4.59,-4.61,-5.06,-5.50,2.72,2.73,2.75
127.29,7.35,4.65,7.35,4.64,-4.65,-5.06,-5.49,2.70,2.70,2.71
128.57,7.38,4.71,7.37,4.70,-4.70,-5.06,-5.48,2.68,2.67,2.67
129.85,7.38,4.75,7.39,4.76,-4.75,-5.06,-5.46,2.63,2.64,2.63
131.15,7.41,4.82,7.41,4.82,-4.81,-5.06,-5.43,2.60,2.60,2.59
132.46,7.42,4.87,7.42,4.87,-4.87,-5.06,-5.40,2.56,2.56,2.55
133.79,7.43,4.92,7.44,4.92,-4.92,-5.06,-5.37,2.51,2.52,2.52
135.12,7.46,4.98,7.45,4.97,-4.97,-5.06,-5.33,2.49,2.48,2.48
