frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.58,5.58,11.58,5.58,-5.59,-4.84,-2.24,6.00,5.99,6.00
20.20,11.58,5.57,11.58,5.58,-5.58,-4.84,-2.31,6.00,6.00,6.01
20.40,11.58,5.56,11.58,5.57,-5.57,-4.84,-2.37,6.01,6.01,6.02
20.61,11.58,5.56,11.58,5.56,-5.56,-4.84,-2.44,6.02,6.02,6.03
20.81,11.58,5.56,11.58,5.55,-5.55,-4.84,-2.51,6.03,6.03,6.03
21.02,11.58,5.55,11.57,5.54,-5.53,-4.84,-2.58,6.05,6.04,6.03
21.23,11.56,5.52,11.57,5.53,-5.52,-4.84,-2.66,6.04,6.05,6.04
21.44,11.56,5.50,11.56,5.50,-5.50,-4.84,-2.73,6.06,6.06,6.06
21.66,11.56,5.50,11.54,5.48,-5.48,-4.84,-2.81,6.08,6.06,6.06
21.87,11.51,5.44,11.53,5.46,-5.46,-4.84,-2.89,6.05,6.07,6.07
22.09,11.51,5.44,11.51,5.44,-5.44,-4.84,-2.98,6.07,6.07,6.07
22.31,11.51,5.43,11.50,5.42,-5.42,-4.84,-3.06,6.09,6.08,6.08
22.54,11.47,5.39,11.48,5.40,-5.40,-4.84,-3.15,6.07,6.08,6.08
22.76,11.47,5.38,11.46,5.37,-5.38,-4.84,-3.24,6.09,6.08,6.09
22.99,11.43,5.34,11.44,5.35,-5.36,-4.84,-3.33,6.07,6.08,6.09
23.22,11.43,5.34,11.44,5.34,-5.34,-4.84,-3.43,6.09,6.09,6.09
23.45,11.43,5.33,11.43,5.33,-5.33,-4.84,-3.52,6.10,6.10,6.10
23.69,11.43,5.33,11.42,5.32,-5.31,-4.84,-3.62,6.12,6.10,6.10
23.92,11.39,5.29,11.40,5.30,-5.30,-4.84,-3.72,6.09,6.10,6.10
24.16,11.38,5.28,11.39,5.28,-5.29,-4.84,-3.82,6.09,6.10,6.11
24.40,11.38,5.27,11.38,5.27,-5.28,-4.84,-3.93,6.10,6.10,6.11
24.65,11.38,5.27,11.38,5.26,-5.26,-4.84,-4.03,6.12,6.11,6.11
24.89,11.38,5.27,11.37,5.26,-5.25,-4.84,-4.14,6.13,6.12,6.11
25.14,11.34,5.23,11.35,5.24,-5.23,-4.84,-4.25,6.11,6.12,6.11
25.39,11.34,5.23,11.33,5.22,-5.21,-4.84,-4.36,6.13,6.12,6.11
25.65,11.30,5.19,11.31,5.20,-5.20,-4.84,-4.47,6.10,6.11,6.11
25.91,11.30,5.19,11.29,5.17,-5.18,-4.84,-4.58,6.12,6.11,6.11
26.16,11.25,5.13,11.27,5.15,-5.16,-4.84,-4.68,6.09,6.11,6.12
26.43,11.25,5.13,11.25,5.14,-5.14,-4.84,-4.79,6.11,6.11,6.12
26.69,11.25,5.14,11.23,5.12,-5.12,-4.84,-4.90,6.13,6.11,6.11
26.96,11.21,5.10,11.23,5.12,-5.11,-4.84,-5.01,6.10,6.12,6.11
27.23,11.21,5.10,11.21,5.10,-5.09,-4.84,-5.11,6.12,6.12,6.11
27.50,11.21,5.10,11.19,5.08,-5.08,-4.84,-5.21,6.13,6.11,6.11
27.77,11.17,5.05,11.18,5.07,-5.07,-4.83,-5.31,6.10,6.11,6.12
28.05,11.17,5.05,11.18,5.06,-5.06,-4.83,-5.41,6.11,6.12,6.12
28.33,11.17,5.05,11.16,5.05,-5.05,-4.83,-5.50,6.13,6.12,6.12
28.62,11.17,5.06,11.15,5.04,-5.03,-4.83,-5.58,6.14,6.12,6.12
28.90,11.12,5.00,11.14,5.02,-5.02,-4.83,-5.66,6.10,6.12,6.12
29.19,11.12,5.00,11.12,5.00,-5.00,-4.83,-5.74,6.12,6.12,6.12
29.48,11.12,5.00,11.11,4.98,-4.99,-4.83,-5.81,6.13,6.12,6.12
29.78,11.08,4.96,11.09,4.97,-4.97,-4.83,-5.87,6.11,6.12,6.12
30.08,11.08,4.95,11.07,4.95,-4.96,-4.82,-5.92,6.12,6.12,6.13
30.38,11.05,4.94,11.06,4.94,-4.94,-4.82,-5.97,6.11,6.12,6.11
30.68,11.04,4.93,11.04,4.93,-4.92,-4.82,-6.00,6.12,6.12,6.11
30.99,11.03,4.92,11.02,4.91,-4.91,-4.82,-6.03,6.12,6.11,6.11
31.30,10.99,4.88,11.00,4.89,-4.90,-4.82,-6.05,6.10,6.11,6.11
31.61,10.99,4.88,10.98,4.88,-4.88,-4.81,-6.07,6.11,6.10,6.11
31.93,10.95,4.86,10.96,4.86,-4.86,-4.81,-6.07,6.09,6.10,6.09
32.24,10.95,4.85,10.94,4.85,-4.84,-4.81,-6.07,6.11,6.10,6.10
32.57,10.91,4.82,10.92,4.83,-4.82,-4.81,-6.05,6.09,6.09,6.09
32.89,10.91,4.82,10.90,4.81,-4.81,-4.80,-6.03,6.10,6.09,6.09
33.22,10.86,4.78,10.87,4.79,-4.79,-4.80,-6.00,6.07,6.09,6.08
33.55,10.85,4.77,10.85,4.77,-4.77,-4.80,-5.97,6.08,6.08,6.08
33.89,10.82,4.74,10.82,4.74,-4.75,-4.79,-5.93,6.07,6.07,6.08
34.23,10.79,4.73,10.80,4.73,-4.73,-4.79,-5.89,6.06,6.07,6.06
34.57,10.78,4.72,10.78,4.72,-4.72,-4.79,-5.83,6.06,6.06,6.06
34.92,10.77,4.72,10.76,4.71,-4.71,-4.78,-5.78,6.07,6.06,6.05
35.27,10.73,4.68,10.74,4.70,-4.69,-4.78,-5.72,6.04,6.05,6.06
35.62,10.73,4.70,10.72,4.68,-4.68,-4.77,-5.66,6.05,6.04,6.03
35.97,10.69,4.66,10.70,4.67,-4.68,-4.77,-5.59,6.01,6.02,6.03
36.33,10.69,4.68,10.68,4.67,-4.67,-4.76,-5.53,6.02,6.01,6.01
36.70,10.65,4.65,10.66,4.66,-4.66,-4.76,-5.46,5.99,6.00,6.00
37.06,10.65,4.66,10.65,4.66,-4.66,-4.75,-5.39,5.99,5.99,5.99
37.43,10.63,4.66,10.62,4.65,-4.65,-4.75,-5.33,5.98,5.97,5.97
37.81,10.60,4.64,10.60,4.65,-4.64,-4.74,-5.26,5.96,5.96,5.96
38.19,10.57,4.63,10.58,4.63,-4.63,-4.73,-5.19,5.94,5.94,5.94
38.57,10.56,4.63,10.55,4.62,-4.63,-4.73,-5.13,5.94,5.93,5.93
38.95,10.52,4.61,10.53,4.62,-4.61,-4.72,-5.06,5.91,5.91,5.91
39.34,10.50,4.61,10.50,4.61,-4.60,-4.72,-5.00,5.90,5.90,5.89
39.74,10.47,4.60,10.47,4.59,-4.59,-4.71,-4.94,5.88,5.88,5.87
40.14,10.43,4.57,10.44,4.58,-4.58,-4.70,-4.88,5.85,5.86,5.86
40.54,10.41,4.57,10.41,4.57,-4.57,-4.69,-4.82,5.84,5.84,5.84
40.94,10.38,4.56,10.38,4.56,-4.56,-4.69,-4.77,5.82,5.82,5.82
