frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.52,-1.28,3.51,-1.29,1.30,0.92,0.00,4.82,4.81,4.80
20.20,3.52,-1.28,3.54,-1.27,1.27,0.90,0.01,4.79,4.81,4.81
20.40,3.58,-1.23,3.57,-1.24,1.23,0.88,0.01,4.81,4.81,4.81
20.61,3.61,-1.21,3.61,-1.21,1.20,0.87,0.01,4.81,4.81,4.82
20.81,3.66,-1.16,3.66,-1.17,1.16,0.85,0.01,4.83,4.82,4.82
21.02,3.70,-1.13,3.70,-1.13,1.13,0.83,0.01,4.83,4.83,4.83
21.23,3.75,-1.09,3.75,-1.09,1.09,0.81,0.01,4.85,4.85,4.84
21.44,3.81,-1.05,3.80,-1.05,1.06,0.79,0.01,4.87,4.86,4.86
21.66,3.84,-1.02,3.85,-1.02,1.02,0.77,0.01,4.86,4.87,4.86
21.87,3.89,-0.98,3.89,-0.98,0.99,0.75,0.02,4.88,4.87,4.87
22.09,3.92,-0.95,3.93,-0.95,0.95,0.73,0.02,4.87,4.88,4.87
22.31,3.97,-0.91,3.97,-0.91,0.91,0.70,0.02,4.88,4.88,4.88
22.54,4.01,-0.87,4.01,-0.88,0.87,0.68,0.02,4.88,4.88,4.88
22.76,4.04,-0.85,4.05,-0.84,0.83,0.66,0.02,4.87,4.88,4.89
22.99,4.09,-0.80,4.09,-0.80,0.79,0.64,0.02,4.88,4.88,4.89
23.22,4.14,-0.75,4.14,-0.75,0.74,0.62,0.03,4.89,4.89,4.89
23.45,4.20,-0.70,4.20,-0.70,0.70,0.59,0.03,4.90,4.90,4.90
23.69,4.25,-0.65,4.25,-0.65,0.66,0.57,0.03,4.91,4.91,4.90
23.92,4.29,-0.60,4.29,-0.61,0.61,0.55,0.03,4.91,4.91,4.90
24.16,4.34,-0.56,4.34,-0.57,0.57,0.52,0.03,4.91,4.91,4.90
24.40,4.37,-0.54,4.38,-0.53,0.53,0.50,0.04,4.90,4.91,4.91
24.65,4.43,-0.48,4.42,-0.49,0.49,0.48,0.04,4.92,4.91,4.91
24.89,4.46,-0.45,4.46,-0.45,0.44,0.45,0.04,4.90,4.91,4.91
25.14,4.51,-0.40,4.51,-0.40,0.40,0.43,0.04,4.91,4.91,4.91
25.39,4.54,-0.37,4.55,-0.36,0.36,0.40,0.04,4.90,4.91,4.91
25.65,4.60,-0.31,4.60,-0.31,0.31,0.37,0.04,4.91,4.91,4.91
25.91,4.65,-0.26,4.65,-0.26,0.26,0.35,0.04,4.91,4.91,4.91
26.16,4.70,-0.21,4.70,-0.21,0.22,0.32,0.04,4.92,4.92,4.92
26.43,4.74,-0.18,4.74,-0.17,0.17,0.29,0.04,4.91,4.91,4.92
26.69,4.79,-0.12,4.79,-0.13,0.13,0.27,0.04,4.92,4.91,4.91
26.96,4.82,-0.09,4.83,-0.08,0.08,0.24,0.04,4.90,4.91,4.91
27.23,4.88,-0.03,4.87,-0.04,0.04,0.21,0.04,4.92,4.92,4.91
27.50,4.91,0.00,4.91,-0.00,0.01,0.18,0.04,4.92,4.92,4.91
27.77,4.94,0.02,4.94,0.03,-0.02,0.16,0.04,4.92,4.92,4.92
28.05,4.97,0.05,4.97,0.05,-0.05,0.13,0.04,4.92,4.92,4.92
28.33,5.00,0.09,5.00,0.08,-0.08,0.10,0.04,4.92,4.92,4.92
28.62,5.02,0.11,5.03,0.11,-0.11,0.07,0.03,4.91,4.92,4.91
28.90,5.06,0.14,5.05,0.13,-0.14,0.04,0.03,4.93,4.92,4.92
29.19,5.07,0.15,5.08,0.16,-0.16,0.01,0.02,4.91,4.92,4.92
29.48,5.11,0.19,5.11,0.19,-0.19,-0.02,0.02,4.92,4.92,4.92
29.78,5.14,0.22,5.14,0.22,-0.22,-0.05,0.01,4.92,4.92,4.92
30.08,5.17,0.24,5.17,0.25,-0.25,-0.08,0.00,4.92,4.92,4.93
30.38,5.20,0.29,5.20,0.28,-0.29,-0.11,-0.00,4.91,4.91,4.91
30.68,5.23,0.32,5.23,0.32,-0.32,-0.15,-0.01,4.91,4.91,4.91
30.99,5.26,0.35,5.27,0.36,-0.36,-0.18,-0.02,4.90,4.91,4.91
31.30,5.30,0.39,5.30,0.39,-0.39,-0.21,-0.03,4.91,4.91,4.91
31.61,5.34,0.44,5.33,0.43,-0.43,-0.24,-0.04,4.91,4.90,4.91
31.93,5.35,0.46,5.36,0.46,-0.46,-0.27,-0.06,4.89,4.90,4.89
32.24,5.39,0.49,5.39,0.49,-0.49,-0.31,-0.07,4.90,4.89,4.90
32.57,5.42,0.53,5.42,0.53,-0.53,-0.34,-0.09,4.89,4.89,4.89
32.89,5.44,0.56,5.45,0.56,-0.56,-0.37,-0.10,4.88,4.89,4.89
33.22,5.48,0.60,5.47,0.59,-0.59,-0.41,-0.12,4.90,4.89,4.88
