frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.93,2.20,5.93,2.20,-2.20,-2.27,-1.23,3.73,3.73,3.73
20.20,5.96,2.22,5.95,2.22,-2.22,-2.28,-1.26,3.74,3.74,3.74
20.40,5.97,2.22,5.98,2.24,-2.24,-2.29,-1.30,3.73,3.74,3.75
20.61,6.01,2.25,6.01,2.26,-2.26,-2.30,-1.34,3.75,3.75,3.76
20.81,6.05,2.29,6.04,2.28,-2.28,-2.32,-1.37,3.77,3.76,3.76
21.02,6.06,2.29,6.07,2.30,-2.30,-2.33,-1.41,3.76,3.77,3.77
21.23,6.10,2.32,6.09,2.32,-2.32,-2.34,-1.45,3.78,3.78,3.78
21.44,6.12,2.33,6.12,2.34,-2.34,-2.35,-1.49,3.78,3.79,3.79
21.66,6.15,2.36,6.15,2.36,-2.36,-2.37,-1.54,3.79,3.79,3.79
21.87,6.19,2.39,6.18,2.38,-2.38,-2.38,-1.58,3.81,3.80,3.80
22.09,6.19,2.39,6.21,2.40,-2.40,-2.39,-1.63,3.79,3.81,3.80
22.31,6.24,2.43,6.23,2.42,-2.42,-2.41,-1.67,3.82,3.81,3.81
22.54,6.25,2.44,6.26,2.44,-2.44,-2.42,-1.72,3.81,3.81,3.81
22.76,6.28,2.46,6.28,2.47,-2.47,-2.43,-1.77,3.81,3.81,3.82
22.99,6.32,2.50,6.31,2.49,-2.49,-2.45,-1.82,3.83,3.82,3.82
23.22,6.33,2.51,6.34,2.52,-2.51,-2.46,-1.87,3.82,3.83,3.82
23.45,6.38,2.55,6.37,2.54,-2.54,-2.48,-1.92,3.84,3.83,3.83
23.69,6.38,2.55,6.39,2.56,-2.56,-2.49,-1.98,3.82,3.83,3.83
23.92,6.42,2.59,6.41,2.58,-2.58,-2.50,-2.03,3.84,3.83,3.83
24.16,6.42,2.58,6.43,2.59,-2.60,-2.52,-2.09,3.82,3.83,3.84
24.40,6.46,2.61,6.45,2.61,-2.62,-2.53,-2.14,3.84,3.84,3.85
24.65,6.47,2.63,6.47,2.63,-2.63,-2.55,-2.20,3.84,3.84,3.84
24.89,6.50,2.66,6.50,2.65,-2.65,-2.56,-2.26,3.85,3.84,3.84
25.14,6.52,2.68,6.52,2.68,-2.67,-2.58,-2.32,3.85,3.85,3.84
25.39,6.53,2.69,6.53,2.69,-2.69,-2.60,-2.37,3.84,3.84,3.84
25.65,6.56,2.72,6.55,2.71,-2.71,-2.61,-2.43,3.85,3.84,3.84
25.91,6.56,2.72,6.57,2.73,-2.73,-2.63,-2.49,3.83,3.84,3.84
26.16,6.61,2.76,6.60,2.75,-2.75,-2.64,-2.55,3.86,3.84,3.85
26.43,6.61,2.76,6.62,2.77,-2.77,-2.66,-2.61,3.84,3.85,3.85
26.69,6.64,2.79,6.64,2.79,-2.79,-2.68,-2.67,3.85,3.85,3.85
26.96,6.66,2.81,6.65,2.81,-2.81,-2.69,-2.73,3.85,3.85,3.84
27.23,6.66,2.82,6.67,2.83,-2.82,-2.71,-2.79,3.84,3.85,3.84
27.50,6.70,2.86,6.69,2.84,-2.84,-2.73,-2.84,3.86,3.84,3.84
27.77,6.70,2.85,6.70,2.86,-2.86,-2.75,-2.90,3.84,3.84,3.85
28.05,6.71,2.86,6.72,2.87,-2.88,-2.76,-2.95,3.83,3.84,3.85
28.33,6.75,2.90,6.74,2.89,-2.89,-2.78,-3.00,3.86,3.84,3.85
28.62,6.75,2.90,6.77,2.92,-2.91,-2.80,-3.05,3.84,3.86,3.85
28.90,6.80,2.95,6.79,2.94,-2.92,-2.82,-3.10,3.88,3.86,3.85
29.19,6.80,2.95,6.79,2.94,-2.94,-2.83,-3.14,3.86,3.86,3.85
29.48,6.80,2.95,6.81,2.95,-2.95,-2.85,-3.18,3.85,3.85,3.85
29.78,6.80,2.95,6.81,2.96,-2.97,-2.87,-3.22,3.83,3.85,3.85
30.08,6.84,2.98,6.82,2.97,-2.98,-2.89,-3.26,3.86,3.84,3.86
30.38,6.84,2.99,6.84,2.99,-2.99,-2.91,-3.29,3.85,3.84,3.85
30.68,6.84,3.00,6.86,3.01,-3.01,-2.93,-3.32,3.83,3.85,3.84
30.99,6.88,3.04,6.87,3.03,-3.02,-2.95,-3.35,3.86,3.85,3.84
31.30,6.89,3.05,6.88,3.04,-3.04,-2.97,-3.37,3.85,3.84,3.84
31.61,6.89,3.05,6.89,3.06,-3.06,-2.99,-3.39,3.83,3.83,3.84
31.93,6.89,3.06,6.90,3.07,-3.07,-3.01,-3.40,3.82,3.83,3.83
32.24,6.91,3.08,6.91,3.09,-3.09,-3.03,-3.41,3.82,3.83,3.83
32.57,6.94,3.12,6.93,3.11,-3.10,-3.05,-3.42,3.84,3.83,3.82
32.89,6.94,3.12,6.94,3.12,-3.11,-3.07,-3.43,3.83,3.82,3.82
33.22,6.94,3.13,6.94,3.13,-3.13,-3.09,-3.43,3.81,3.81,3.81
33.55,6.94,3.13,6.94,3.13,-3.14,-3.11,-3.43,3.80,3.80,3.81
33.89,6.95,3.14,6.96,3.15,-3.16,-3.13,-3.43,3.79,3.80,3.81
34.23,6.98,3.18,6.97,3.17,-3.17,-3.15,-3.42,3.81,3.80,3.80
34.57,6.98,3.19,6.98,3.19,-3.18,-3.17,-3.42,3.80,3.80,3.79
34.92,6.98,3.20,6.98,3.20,-3.19,-3.19,-3.41,3.79,3.79,3.78
35.27,6.98,3.19,6.98,3.20,-3.20,-3.21,-3.40,3.78,3.78,3.79
35.62,6.98,3.22,6.98,3.21,-3.21,-3.24,-3.39,3.77,3.77,3.76
35.97,6.98,3.22,6.98,3.22,-3.23,-3.26,-3.38,3.75,3.75,3.76
36.33,6.98,3.23,6.98,3.24,-3.24,-3.28,-3.37,3.74,3.74,3.75
36.70,6.98,3.25,6.98,3.25,-3.25,-3.30,-3.36,3.73,3.73,3.73
37.06,6.98,3.26,6.98,3.26,-3.26,-3.32,-3.35,3.72,3.72,3.72
37.43,6.98,3.28,6.98,3.28,-3.28,-3.34,-3.33,3.70,3.70,3.70
37.81,6.98,3.29,6.98,3.29,-3.29,-3.37,-3.32,3.69,3.69,3.69
38.19,6.98,3.31,6.98,3.30,-3.31,-3.39,-3.32,3.67,3.67,3.67
38.57,6.98,3.32,6.98,3.32,-3.32,-3.41,-3.31,3.66,3.66,3.66
38.95,6.98,3.34,6.98,3.34,-3.34,-3.43,-3.30,3.64,3.64,3.64
39.34,6.98,3.36,6.98,3.36,-3.36,-3.46,-3.29,3.62,3.62,3.62
39.74,6.98,3.38,6.98,3.37,-3.37,-3.48,-3.29,3.61,3.61,3.60
