frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.02,1.42,4.01,1.42,-1.42,-1.02,-0.44,2.60,2.59,2.60
20.20,4.02,1.39,4.02,1.40,-1.40,-1.03,-0.45,2.62,2.62,2.62
20.40,4.02,1.36,4.04,1.38,-1.39,-1.03,-0.47,2.63,2.65,2.65
20.61,4.06,1.38,4.05,1.37,-1.37,-1.03,-0.48,2.69,2.68,2.67
20.81,4.07,1.37,4.06,1.36,-1.35,-1.03,-0.50,2.72,2.71,2.70
21.02,4.07,1.34,4.08,1.35,-1.34,-1.03,-0.51,2.73,2.74,2.73
21.23,4.07,1.33,4.07,1.33,-1.32,-1.04,-0.52,2.75,2.75,2.74
21.44,4.07,1.32,4.06,1.30,-1.30,-1.04,-0.54,2.77,2.75,2.75
21.66,4.04,1.28,4.04,1.28,-1.29,-1.04,-0.56,2.75,2.76,2.76
21.87,4.02,1.26,4.03,1.27,-1.27,-1.04,-0.57,2.75,2.76,2.76
22.09,4.02,1.25,4.02,1.25,-1.25,-1.04,-0.59,2.77,2.76,2.77
22.31,4.02,1.25,4.00,1.23,-1.24,-1.05,-0.61,2.78,2.77,2.77
22.54,3.98,1.21,4.00,1.23,-1.22,-1.05,-0.62,2.76,2.77,2.77
22.76,3.98,1.21,3.98,1.21,-1.21,-1.05,-0.64,2.77,2.77,2.77
22.99,3.98,1.22,3.96,1.20,-1.20,-1.05,-0.66,2.78,2.76,2.76
23.22,3.93,1.17,3.95,1.19,-1.18,-1.05,-0.68,2.75,2.77,2.76
23.45,3.93,1.17,3.93,1.18,-1.17,-1.05,-0.70,2.76,2.77,2.76
23.69,3.93,1.17,3.92,1.16,-1.16,-1.06,-0.72,2.77,2.76,2.76
23.92,3.91,1.15,3.91,1.14,-1.14,-1.06,-0.74,2.77,2.76,2.76
24.16,3.88,1.11,3.89,1.13,-1.13,-1.06,-0.76,2.75,2.76,2.77
24.40,3.88,1.11,3.88,1.12,-1.13,-1.06,-0.78,2.75,2.75,2.77
24.65,3.88,1.12,3.88,1.12,-1.12,-1.06,-0.80,2.76,2.75,2.76
24.89,3.88,1.12,3.88,1.12,-1.12,-1.06,-0.82,2.76,2.76,2.76
25.14,3.88,1.12,3.88,1.12,-1.12,-1.07,-0.84,2.76,2.76,2.76
25.39,3.88,1.12,3.88,1.13,-1.13,-1.07,-0.86,2.75,2.75,2.75
25.65,3.88,1.13,3.88,1.13,-1.13,-1.07,-0.88,2.75,2.75,2.75
25.91,3.88,1.14,3.88,1.14,-1.13,-1.07,-0.90,2.75,2.75,2.74
26.16,3.88,1.14,3.88,1.13,-1.13,-1.07,-0.92,2.75,2.75,2.74
26.43,3.88,1.14,3.87,1.13,-1.12,-1.07,-0.94,2.76,2.75,2.74
26.69,3.84,1.10,3.85,1.11,-1.11,-1.07,-0.96,2.73,2.75,2.74
26.96,3.84,1.10,3.83,1.09,-1.09,-1.07,-0.98,2.75,2.74,2.74
27.23,3.81,1.07,3.81,1.07,-1.08,-1.07,-1.00,2.73,2.73,2.74
27.50,3.79,1.05,3.79,1.05,-1.06,-1.07,-1.02,2.73,2.73,2.74
27.77,3.77,1.04,3.77,1.04,-1.04,-1.07,-1.04,2.73,2.73,2.73
28.05,3.74,1.01,3.74,1.02,-1.02,-1.07,-1.06,2.72,2.72,2.73
28.33,3.73,1.01,3.73,1.01,-1.00,-1.07,-1.07,2.73,2.72,2.72
